date,open,high,low,close,average,volume,count
1620806400,35.0,35.2,34.92,35.2,35.16414,41,22
1620806700,35.23,35.3,35.13,35.2,35.21642,85,43
1620807000,35.2,35.23,35.14,35.2,35.20643,72,29
1620807300,35.16,35.2,35.12,35.19,35.15605,49,26
1620807600,35.15,35.24,35.15,35.22,35.20397,25,19
1620807900,35.23,35.25,35.19,35.19,35.22462,19,11
1620808200,35.25,35.3,35.2,35.3,35.24242,50,25
1620808500,35.3,35.35,35.22,35.22,35.25332,23,14
1620808800,35.22,35.22,35.04,35.1,35.15853,51,24
1620809100,35.12,35.13,35.12,35.13,35.12469,2,2
1620809400,35.15,35.16,35.13,35.15,35.1464,33,16
1620809700,35.15,35.16,35.15,35.16,35.15667,3,3
1620810000,35.19,35.27,35.19,35.27,35.20825,34,12
1620810300,35.2,35.2,35.2,35.2,35.2,3,1
1620810600,35.24,35.4,35.24,35.4,35.28596,44,20
1620810900,35.4,35.5,35.4,35.49,35.47278,41,22
1620811200,35.49,35.54,35.48,35.53,35.49647,70,30
1620811500,35.53,35.64,35.47,35.6,35.55961,171,64
1620811800,35.6,35.64,35.6,35.6,35.60075,214,69
1620812100,35.6,35.62,35.55,35.62,35.59668,194,75
1620812400,35.6,35.79,35.6,35.7,35.68689,113,37
1620812700,35.72,35.74,35.6,35.74,35.665,69,34
1620813000,35.66,35.69,35.61,35.61,35.64124,49,16
1620813300,35.63,35.65,35.51,35.51,35.6032,178,49
1620813600,35.53,35.53,35.48,35.48,35.51922,66,16
1620813900,35.49,35.65,35.45,35.65,35.56895,53,19
1620814200,35.63,35.66,35.63,35.65,35.65048,7,4
1620814500,35.62,35.62,35.5,35.5,35.52803,13,6
1620814800,35.5,35.52,35.45,35.52,35.49328,48,15
1620815100,35.48,35.5,35.48,35.5,35.49363,3,2
1620815400,35.5,35.57,35.5,35.5,35.5446,28,12
1620815700,35.5,35.5,35.47,35.47,35.49705,47,16
1620816000,35.46,35.5,35.35,35.37,35.41629,84,42
1620816300,35.4,35.4,35.36,35.36,35.37102,3,3
1620816600,35.36,35.36,35.19,35.3,35.21974,47,15
1620816900,35.27,35.27,35.21,35.21,35.2186,45,11
1620817200,35.29,35.29,35.21,35.22,35.23051,116,47
1620817500,35.22,35.4,35.22,35.4,35.34609,70,41
1620817800,35.39,35.5,35.39,35.46,35.46355,57,35
1620818100,35.47,35.47,35.25,35.32,35.34016,138,58
1620818400,35.31,35.37,35.27,35.31,35.33108,41,37
1620818700,35.34,35.34,35.24,35.24,35.27728,204,31
1620819000,35.25,35.41,35.25,35.36,35.33602,69,36
1620819300,35.34,35.36,35.32,35.32,35.3375,4,4
1620819600,35.33,35.33,35.22,35.26,35.28035,104,54
1620819900,35.22,35.35,35.22,35.34,35.29156,43,26
1620820200,35.31,35.34,35.3,35.3,35.32606,14,10
1620820500,35.32,35.35,35.28,35.35,35.32674,44,25
1620820800,35.32,35.5,35.2,35.3,35.30727,723,143
1620821100,35.28,35.28,35.22,35.23,35.24432,44,25
1620821400,35.26,35.27,35.25,35.27,35.26424,83,33
1620821700,35.28,35.32,35.28,35.3,35.30204,53,22
1620822000,35.31,35.31,35.1334,35.1334,35.21436,198,63
1620822300,35.14,35.2,35.13,35.16,35.16005,140,42
1620822600,35.13,35.15,34.54,34.65,34.78224,1320,454
1620822900,34.68,34.73,34.53,34.63,34.61233,970,256
1620823200,34.62,34.8,34.5999,34.79,34.66006,588,227
1620823500,34.7999,34.84,34.55,34.55,34.7183,317,141
1620823800,34.55,34.55,34.3,34.38,34.40934,618,196
1620824100,34.38,34.38,34.0,34.36,34.16931,1017,344
1620824400,34.3701,34.47,34.03,34.43,34.28551,1069,313
1620824700,34.45,34.45,34.25,34.43,34.38034,482,173
1620825000,34.44,34.44,34.15,34.15,34.27743,478,176
1620825300,34.15,34.25,34.11,34.12,34.16645,538,166
1620825600,34.11,34.25,34.07,34.14,34.14143,588,240
1620825900,34.15,34.44,34.15,34.38,34.23111,501,159
1620826200,34.38,34.776,34.2,34.62,34.50855,21889,5703
1620826500,34.6,34.91,34.4,34.605,34.66822,20893,6364
1620826800,34.61,34.63,33.95,34.03,34.23759,23973,8258
1620827100,34.031,34.69,34.0082,34.555,34.43805,21224,7494
1620827400,34.56,35.08,34.37,34.85,34.78944,26984,9392
1620827700,34.8592,35.125,34.66,34.6899,34.90423,21090,7828
1620828000,34.685,34.74,34.49,34.695,34.60779,17200,5646
1620828300,34.69,35.1015,34.6205,35.095,34.85165,15463,5479
1620828600,35.1,35.1,34.8,34.85,34.94377,16626,5591
1620828900,34.8406,34.91,34.58,34.67,34.7284,12819,3931
1620829200,34.66,34.86,34.3513,34.42,34.59442,13805,4659
1620829500,34.41,34.48,34.26,34.2689,34.3893,13077,4180
1620829800,34.2692,34.41,34.15,34.22,34.24937,12497,4216
1620830100,34.22,34.35,34.12,34.291,34.2521,12804,4014
1620830400,34.29,34.45,34.23,34.2999,34.34529,12087,4568
1620830700,34.29,34.48,34.22,34.4199,34.36718,9547,3245
1620831000,34.4102,34.51,34.13,34.16,34.305,9360,3048
1620831300,34.17,34.21,33.95,34.136,34.05453,12481,3768
1620831600,34.14,34.2508,34.02,34.175,34.14517,10102,3373
