date,open,high,low,close,average,volume,count
1620979200,412.13,412.32,412.0,412.32,412.195,20,9
1620979500,412.46,412.46,412.14,412.14,412.289,68,24
1620979800,412.19,412.3,412.19,412.3,412.25,6,6
1620980100,412.3,412.48,412.3,412.48,412.388,42,5
1620980400,412.59,412.64,412.57,412.57,412.602,11,6
1620980700,412.5,412.5,412.5,412.5,412.5,2,1
1620981000,412.69,412.7,412.69,412.69,412.692,4,4
1620981300,412.76,412.92,412.76,412.88,412.811,21,12
1620981600,412.86,412.86,412.75,412.75,412.774,13,7
1620981900,412.73,412.73,412.67,412.72,412.672,71,12
1620982200,412.96,412.99,412.94,412.99,412.961,7,5
1620982500,412.94,412.94,412.83,412.83,412.846,17,5
1620982800,412.92,413.06,412.87,413.0,412.978,29,14
1620983100,412.95,413.15,412.95,413.12,413.095,24,12
1620983400,413.19,413.34,413.19,413.2,413.223,62,22
1620983700,413.13,413.42,413.13,413.37,413.33,15,10
1620984000,413.38,413.38,413.23,413.25,413.341,21,9
1620984300,413.22,413.23,413.19,413.19,413.209,12,6
1620984600,413.08,413.17,413.08,413.14,413.139,12,5
1620984900,413.14,413.2,413.13,413.16,413.178,11,8
1620985200,413.15,413.15,413.09,413.12,413.12,24,10
1620985500,413.2,413.2,413.08,413.17,413.158,13,8
1620985800,413.0,413.0,413.0,413.0,413.0,3,1
1620986100,413.01,413.01,412.8,412.8,412.863,26,10
1620986400,412.97,412.98,412.88,412.88,412.951,19,5
1620986700,412.88,412.88,412.88,412.88,412.88,10,3
1620987000,412.85,412.96,412.73,412.73,412.802,18,8
1620987300,412.81,412.85,412.81,412.85,412.84,4,3
1620987600,412.98,412.98,412.9,412.9,412.932,5,3
1620987900,413.0,413.0,412.88,412.88,412.925,7,2
1620988200,412.95,413.0,412.83,412.83,412.919,282,78
1620988500,412.74,412.74,412.67,412.71,412.691,135,39
1620988800,412.71,412.71,412.71,412.71,412.71,0,0
1620989100,412.68,412.89,412.68,412.76,412.816,51,19
1620989400,412.92,413.02,412.91,413.0,412.977,162,68
