date,open,high,low,close,average,volume,count
1638262800,17.47,17.52,17.25,17.44,17.472,76,17
1638262860,17.3,17.31,17.3,17.31,17.301,45,7
1638262920,17.32,17.38,17.22,17.25,17.248,90,17
1638262980,17.31,17.31,17.31,17.31,17.31,5,1
1638263040,17.33,17.39,17.33,17.39,17.384,9,2
1638263100,17.39,17.39,17.39,17.39,17.39,0,0
1638263160,17.39,17.39,17.39,17.39,17.39,0,0
1638263220,17.31,17.31,17.27,17.27,17.29,48,21
1638263280,17.21,17.25,17.21,17.25,17.243,5,2
1638263340,17.21,17.21,17.21,17.21,17.21,1,1
1638263400,17.21,17.21,17.21,17.21,17.21,0,0
1638263460,17.25,17.25,17.22,17.22,17.235,2,2
1638263520,17.2,17.21,17.1,17.1,17.143,44,11
1638263580,17.12,17.12,17.12,17.12,17.12,1,1
1638263640,17.15,17.2,17.15,17.2,17.173,12,6
1638263700,17.21,17.21,17.2,17.21,17.206,3,3
1638263760,17.25,17.25,17.25,17.25,17.25,1,1
1638263820,17.25,17.25,17.25,17.25,17.25,1,1
1638263880,17.22,17.22,17.22,17.22,17.22,2,2
1638263940,17.22,17.22,17.22,17.22,17.22,0,0
1638264000,17.22,17.22,17.22,17.22,17.22,0,0
1638264060,17.22,17.22,17.22,17.22,17.22,0,0
1638264120,17.22,17.25,17.22,17.25,17.241,13,3
1638264180,17.25,17.25,17.25,17.25,17.25,0,0
1638264240,17.25,17.25,17.25,17.25,17.25,0,0
1638264300,17.22,17.22,17.18,17.18,17.207,9,5
1638264360,17.14,17.14,17.14,17.14,17.14,2,2
1638264420,17.14,17.14,17.14,17.14,17.14,0,0
1638264480,17.14,17.14,17.14,17.14,17.14,0,0
1638264540,17.17,17.17,17.17,17.17,17.17,8,3
1638264600,17.17,17.18,17.17,17.18,17.175,7,3
1638264660,17.17,17.18,17.17,17.17,17.173,12,5
1638264720,17.17,17.17,17.17,17.17,17.17,0,0
1638264780,17.18,17.18,17.18,17.18,17.18,6,5
1638264840,17.17,17.17,17.16,17.16,17.162,24,7
1638264900,17.16,17.16,17.16,17.16,17.16,0,0
1638264960,17.16,17.16,17.16,17.16,17.16,0,0
1638265020,17.16,17.16,17.16,17.16,17.16,1,1
1638265080,17.16,17.16,17.16,17.16,17.16,28,7
1638265140,17.16,17.16,17.16,17.16,17.16,0,0
1638265200,17.16,17.16,17.16,17.16,17.16,0,0
1638265260,17.2,17.22,17.2,17.22,17.213,16,4
1638265320,17.22,17.22,17.22,17.22,17.22,0,0
1638265380,17.22,17.22,17.22,17.22,17.22,0,0
1638265440,17.22,17.22,17.22,17.22,17.22,0,0
1638265500,17.22,17.22,17.22,17.22,17.22,0,0
1638265560,17.22,17.22,17.22,17.22,17.22,0,0
1638265620,17.22,17.22,17.22,17.22,17.22,1,1
1638265680,17.22,17.22,17.22,17.22,17.22,0,0
1638265740,17.22,17.22,17.22,17.22,17.22,0,0
1638265800,17.19,17.19,17.19,17.19,17.19,1,1
1638265860,17.19,17.19,17.19,17.19,17.19,0,0
1638265920,17.19,17.19,17.19,17.19,17.19,0,0
1638265980,17.19,17.19,17.19,17.19,17.19,2,2
1638266040,17.19,17.19,17.19,17.19,17.19,0,0
1638266100,17.19,17.19,17.19,17.19,17.19,0,0
1638266160,17.25,17.25,17.23,17.23,17.248,11,4
1638266220,17.24,17.24,17.24,17.24,17.24,1,1
1638266280,17.26,17.26,17.26,17.26,17.26,1,1
1638266340,17.27,17.29,17.27,17.29,17.277,18,5
1638266400,17.28,17.28,17.26,17.26,17.272,13,4
1638266460,17.26,17.26,17.26,17.26,17.26,0,0
1638266520,17.26,17.26,17.26,17.26,17.26,0,0
1638266580,17.26,17.26,17.26,17.26,17.26,0,0
1638266640,17.27,17.27,17.27,17.27,17.27,2,2
1638266700,17.28,17.28,17.28,17.28,17.28,50,45
1638266760,17.27,17.27,17.27,17.27,17.27,2,2
1638266820,17.26,17.26,17.26,17.26,17.26,3,2
1638266880,17.26,17.26,17.26,17.26,17.26,0,0
1638266940,17.25,17.25,17.2,17.2,17.229,32,9
1638267000,17.2,17.2,17.2,17.2,17.2,0,0
1638267060,17.2,17.2,17.2,17.2,17.2,0,0
1638267120,17.2,17.2,17.2,17.2,17.2,0,0
1638267180,17.21,17.21,17.21,17.21,17.21,1,1
1638267240,17.27,17.28,17.27,17.28,17.273,3,3
1638267300,17.29,17.29,17.29,17.29,17.29,1,1
1638267360,17.27,17.27,17.2,17.2,17.205,30,6
1638267420,17.2,17.2,17.2,17.2,17.2,0,0
1638267480,17.2,17.2,17.2,17.2,17.2,0,0
1638267540,17.2,17.2,17.2,17.2,17.2,0,0
1638267600,17.2,17.2,17.2,17.2,17.2,0,0
1638267660,17.2,17.2,17.2,17.2,17.2,0,0
1638267720,17.2,17.2,17.2,17.2,17.2,0,0
1638267780,17.21,17.21,17.08,17.09,17.159,178,46
1638267840,17.1,17.1,17.1,17.1,17.1,20,8
1638267900,17.1,17.1,17.1,17.1,17.1,0,0
1638267960,17.17,17.17,17.17,17.17,17.17,1,1
1638268020,17.17,17.17,17.17,17.17,17.17,0,0
1638268080,17.17,17.17,17.17,17.17,17.17,0,0
1638268140,17.15,17.15,17.08,17.08,17.084,51,6
1638268200,17.08,17.08,17.08,17.08,17.08,0,0
1638268260,17.09,17.09,17.09,17.09,17.09,1,1
1638268320,17.09,17.09,17.08,17.08,17.081,11,3
1638268380,17.08,17.08,17.08,17.08,17.08,0,0
1638268440,17.08,17.08,17.08,17.08,17.08,0,0
1638268500,17.08,17.08,17.08,17.08,17.08,0,0
1638268560,17.08,17.08,17.08,17.08,17.08,0,0
1638268620,17.17,17.17,17.17,17.17,17.17,3,3
1638268680,17.17,17.17,17.17,17.17,17.17,0,0
1638268740,17.16,17.16,17.16,17.16,17.16,1,1
1638268800,17.16,17.16,17.16,17.16,17.16,0,0
1638268860,17.16,17.16,17.16,17.16,17.16,0,0
1638268920,17.17,17.17,17.17,17.17,17.17,1,1
1638268980,17.17,17.17,17.17,17.17,17.17,0,0
1638269040,17.14,17.14,17.12,17.12,17.137,6,3
1638269100,17.13,17.13,17.13,17.13,17.13,9,1
1638269160,17.14,17.14,17.12,17.14,17.126,7,4
1638269220,17.14,17.14,17.14,17.14,17.14,0,0
1638269280,17.14,17.14,17.14,17.14,17.14,0,0
1638269340,17.14,17.14,17.14,17.14,17.14,0,0
1638269400,17.14,17.14,17.14,17.14,17.14,0,0
1638269460,17.16,17.16,17.14,17.16,17.155,15,10
1638269520,17.16,17.16,17.16,17.16,17.16,0,0
1638269580,17.16,17.16,17.16,17.16,17.16,0,0
1638269640,17.16,17.17,17.16,17.17,17.167,7,3
1638269700,17.17,17.17,17.17,17.17,17.17,0,0
1638269760,17.17,17.17,17.17,17.17,17.17,0,0
1638269820,17.17,17.17,17.17,17.17,17.17,0,0
1638269880,17.17,17.17,17.17,17.17,17.17,0,0
1638269940,17.18,17.18,17.16,17.17,17.168,44,6
1638270000,17.17,17.17,17.17,17.17,17.17,0,0
1638270060,17.2,17.2,17.17,17.17,17.187,10,5
1638270120,17.17,17.17,17.17,17.17,17.17,0,0
1638270180,17.16,17.16,17.16,17.16,17.16,55,2
1638270240,17.13,17.13,17.11,17.12,17.118,22,9
1638270300,17.11,17.13,17.11,17.13,17.111,36,2
1638270360,17.13,17.13,17.12,17.13,17.122,20,7
1638270420,17.13,17.13,17.13,17.13,17.13,0,0
1638270480,17.14,17.14,17.14,17.14,17.14,1,1
1638270540,17.14,17.14,17.14,17.14,17.14,0,0
1638270600,17.14,17.14,17.14,17.14,17.14,0,0
1638270660,17.14,17.14,17.14,17.14,17.14,0,0
1638270720,17.14,17.14,17.14,17.14,17.14,0,0
1638270780,17.15,17.15,17.15,17.15,17.15,3,3
1638270840,17.15,17.15,17.15,17.15,17.15,1,1
1638270900,17.18,17.18,17.18,17.18,17.18,1,1
1638270960,17.18,17.18,17.18,17.18,17.18,0,0
1638271020,17.18,17.18,17.18,17.18,17.18,0,0
1638271080,17.18,17.18,17.18,17.18,17.18,0,0
1638271140,17.18,17.18,17.18,17.18,17.18,0,0
1638271200,17.18,17.18,17.18,17.18,17.18,3,1
1638271260,17.18,17.18,17.18,17.18,17.18,0,0
1638271320,17.18,17.18,17.18,17.18,17.18,0,0
1638271380,17.18,17.18,17.18,17.18,17.18,0,0
1638271440,17.18,17.18,17.18,17.18,17.18,0,0
1638271500,17.19,17.25,17.19,17.25,17.208,21,6
1638271560,17.24,17.24,17.24,17.24,17.24,10,4
1638271620,17.26,17.26,17.25,17.25,17.255,4,4
1638271680,17.25,17.26,17.25,17.26,17.251,6,2
1638271740,17.25,17.25,17.25,17.25,17.25,1,1
1638271800,17.25,17.28,17.25,17.28,17.266,19,6
1638271860,17.34,17.34,17.34,17.34,17.34,1,1
1638271920,17.35,17.35,17.35,17.35,17.35,1,1
1638271980,17.35,17.35,17.35,17.35,17.35,0,0
1638272040,17.35,17.35,17.35,17.35,17.35,0,0
1638272100,17.35,17.35,17.35,17.35,17.35,0,0
1638272160,17.35,17.35,17.35,17.35,17.35,0,0
1638272220,17.35,17.35,17.35,17.35,17.35,0,0
1638272280,17.3,17.3,17.3,17.3,17.3,24,2
1638272340,17.3,17.3,17.3,17.3,17.3,0,0
1638272400,17.3,17.3,17.3,17.3,17.3,0,0
1638272460,17.31,17.31,17.27,17.27,17.29,8,4
1638272520,17.27,17.27,17.27,17.27,17.27,0,0
1638272580,17.27,17.27,17.27,17.27,17.27,0,0
1638272640,17.3,17.3,17.3,17.3,17.3,3,1
1638272700,17.29,17.29,17.29,17.29,17.29,7,2
1638272760,17.29,17.29,17.29,17.29,17.29,0,0
1638272820,17.27,17.28,17.24,17.24,17.261,18,8
1638272880,17.24,17.24,17.24,17.24,17.24,0,0
1638272940,17.23,17.23,17.23,17.23,17.23,59,5
1638273000,17.23,17.23,17.23,17.23,17.23,0,0
1638273060,17.22,17.22,17.22,17.22,17.22,1,1
1638273120,17.22,17.22,17.22,17.22,17.22,0,0
1638273180,17.22,17.22,17.21,17.21,17.213,4,2
1638273240,17.21,17.21,17.2,17.21,17.201,32,14
1638273300,17.21,17.21,17.21,17.21,17.21,0,0
1638273360,17.21,17.21,17.21,17.21,17.21,0,0
1638273420,17.21,17.21,17.21,17.21,17.21,0,0
1638273480,17.21,17.21,17.21,17.21,17.21,0,0
1638273540,17.23,17.24,17.23,17.24,17.23,50,3
1638273600,17.31,17.39,17.25,17.36,17.349,203,53
1638273660,17.39,17.39,17.32,17.39,17.374,43,23
1638273720,17.39,17.39,17.39,17.39,17.39,6,4
1638273780,17.38,17.38,17.35,17.35,17.378,28,6
1638273840,17.38,17.38,17.33,17.33,17.34,136,25
1638273900,17.36,17.38,17.35,17.38,17.369,33,11
1638273960,17.38,17.38,17.34,17.37,17.355,53,10
1638274020,17.37,17.38,17.36,17.38,17.372,23,7
1638274080,17.37,17.39,17.36,17.38,17.375,60,21
1638274140,17.38,17.38,17.36,17.38,17.374,24,12
1638274200,17.38,17.39,17.38,17.38,17.387,78,22
1638274260,17.38,17.38,17.36,17.38,17.365,119,23
1638274320,17.38,17.4,17.38,17.4,17.383,131,41
1638274380,17.44,17.44,17.44,17.44,17.44,2,1
1638274440,17.44,17.44,17.44,17.44,17.44,0,0
1638274500,17.43,17.43,17.42,17.43,17.423,10,7
1638274560,17.43,17.45,17.43,17.44,17.44,127,34
1638274620,17.43,17.43,17.43,17.43,17.43,3,2
1638274680,17.42,17.42,17.41,17.41,17.413,7,4
1638274740,17.41,17.41,17.38,17.38,17.397,20,13
1638274800,17.38,17.38,17.38,17.38,17.38,0,0
1638274860,17.38,17.41,17.38,17.41,17.393,54,15
1638274920,17.4,17.41,17.39,17.41,17.4,11,9
1638274980,17.42,17.45,17.42,17.45,17.435,58,22
1638275040,17.45,17.45,17.45,17.45,17.45,8,3
1638275100,17.45,17.47,17.45,17.46,17.454,31,14
1638275160,17.46,17.46,17.46,17.46,17.46,0,0
1638275220,17.48,17.49,17.48,17.48,17.484,75,23
1638275280,17.48,17.49,17.48,17.49,17.482,64,16
1638275340,17.5,17.52,17.5,17.52,17.503,43,13
1638275400,17.54,17.54,17.49,17.49,17.504,47,26
1638275460,17.47,17.47,17.46,17.46,17.465,6,4
1638275520,17.47,17.47,17.42,17.42,17.446,35,17
1638275580,17.43,17.43,17.43,17.43,17.43,3,2
1638275640,17.44,17.44,17.43,17.43,17.433,3,3
1638275700,17.42,17.42,17.42,17.42,17.42,5,1
1638275760,17.41,17.41,17.4,17.4,17.401,14,5
1638275820,17.38,17.4,17.38,17.4,17.387,9,4
1638275880,17.41,17.41,17.39,17.39,17.398,12,5
1638275940,17.4,17.41,17.4,17.41,17.403,23,9
1638276000,17.4,17.44,17.4,17.44,17.419,24,14
1638276060,17.44,17.45,17.4,17.41,17.425,115,39
1638276120,17.41,17.41,17.4,17.4,17.403,12,5
1638276180,17.4,17.4,17.39,17.39,17.391,36,12
1638276240,17.39,17.4,17.39,17.4,17.395,38,21
1638276300,17.4,17.4,17.38,17.38,17.398,21,14
1638276360,17.38,17.4,17.38,17.38,17.389,21,12
1638276420,17.39,17.39,17.35,17.35,17.365,92,42
1638276480,17.37,17.38,17.37,17.38,17.375,6,3
1638276540,17.36,17.36,17.36,17.36,17.36,11,2
1638276600,17.35,17.35,17.35,17.35,17.35,14,6
1638276660,17.34,17.35,17.34,17.35,17.34,31,5
1638276720,17.36,17.38,17.36,17.38,17.361,43,11
1638276780,17.38,17.41,17.37,17.41,17.397,39,24
1638276840,17.4,17.4,17.4,17.4,17.4,2,2
1638276900,17.4,17.4,17.4,17.4,17.4,27,4
1638276960,17.4,17.41,17.4,17.41,17.406,17,9
1638277020,17.4,17.4,17.38,17.38,17.394,39,24
1638277080,17.39,17.39,17.36,17.36,17.376,60,37
1638277140,17.38,17.4,17.38,17.4,17.391,65,12
1638277200,17.38,17.55,17.25,17.37,17.374,2087,160
1638277260,17.37,17.39,17.37,17.37,17.376,22,5
1638277320,17.37,17.42,17.37,17.41,17.394,50,27
1638277380,17.41,17.41,17.41,17.41,17.41,4,4
1638277440,17.4,17.41,17.4,17.41,17.405,22,7
1638277500,17.4,17.4,17.4,17.4,17.4,1,1
1638277560,17.4,17.4,17.37,17.38,17.39,116,31
1638277620,17.37,17.38,17.37,17.37,17.372,1,1
1638277680,17.39,17.39,17.37,17.37,17.376,33,5
1638277740,17.39,17.39,17.37,17.37,17.375,26,4
1638277800,17.37,17.39,17.37,17.39,17.38,87,11
1638277860,17.38,17.39,17.38,17.38,17.381,46,9
1638277920,17.38,17.38,17.38,17.38,17.38,9,4
1638277980,17.37,17.37,17.37,17.37,17.37,4,4
1638278040,17.37,17.38,17.36,17.37,17.371,93,22
1638278100,17.37,17.37,17.33,17.33,17.349,262,52
1638278160,17.34,17.34,17.34,17.34,17.34,21,7
1638278220,17.35,17.36,17.35,17.36,17.352,50,26
1638278280,17.34,17.36,17.34,17.36,17.346,195,57
1638278340,17.37,17.39,17.37,17.39,17.38,69,22
1638278400,17.4,17.42,17.4,17.41,17.411,80,28
1638278460,17.4,17.41,17.39,17.39,17.397,28,20
1638278520,17.38,17.39,17.38,17.38,17.38,76,11
1638278580,17.39,17.39,17.39,17.39,17.39,1,1
1638278640,17.38,17.38,17.37,17.37,17.377,7,3
1638278700,17.37,17.38,17.37,17.37,17.373,94,42
1638278760,17.36,17.37,17.36,17.37,17.369,19,12
1638278820,17.37,17.38,17.37,17.37,17.37,2,1
1638278880,17.38,17.39,17.38,17.38,17.38,9,6
1638278940,17.38,17.38,17.37,17.37,17.37,31,12
