date,open,high,low,close,average,volume,count
1637226000,19.82,19.92,19.82,19.91,19.854,8,4
1637226900,19.93,19.96,19.93,19.96,19.95,10,4
1637227800,19.99,19.99,19.95,19.95,19.97,4,3
1637228700,19.96,19.96,19.96,19.96,19.96,1,1
1637229600,19.96,19.99,19.96,19.97,19.977,13,6
1637230500,19.98,19.98,19.97,19.97,19.974,5,3
1637231400,19.97,19.97,19.97,19.97,19.97,0,0
1637232300,19.97,19.98,19.95,19.96,19.957,70,16
1637233200,19.96,19.97,19.93,19.93,19.957,34,12
1637234100,19.93,19.93,19.87,19.88,19.891,33,10
1637235000,19.88,19.91,19.88,19.89,19.887,37,13
1637235900,19.9,19.91,19.9,19.91,19.907,14,4
1637236800,19.9,19.9,19.86,19.88,19.88,49,20
1637237700,19.88,19.89,19.88,19.89,19.888,40,17
1637238600,19.89,19.89,19.87,19.87,19.877,84,26
1637239500,19.87,19.9,19.87,19.89,19.883,70,27
1637240400,19.88,19.9,19.86,19.89,19.887,454,73
1637241300,19.89,19.89,19.88,19.89,19.885,40,17
1637242200,19.89,19.9,19.89,19.9,19.892,274,25
1637243100,19.9,19.95,19.89,19.91,19.913,272,80
1637244000,19.91,19.92,19.9,19.91,19.913,151,51
1637244900,19.91,19.95,19.87,19.88,19.899,248,76
1637245800,19.88,19.93,19.69,19.71,19.816,15218,4194
1637246700,19.71,19.77,19.55,19.56,19.651,12802,4107
1637247600,19.55,19.6,19.25,19.27,19.415,29912,7148
1637248500,19.27,19.32,19.14,19.19,19.211,27829,6666
1637249400,19.19,19.36,19.18,19.26,19.253,18225,5751
1637250300,19.26,19.39,19.25,19.36,19.332,8434,2801
1637251200,19.36,19.49,19.34,19.48,19.431,10046,2791
1637252100,19.49,19.49,19.42,19.44,19.456,6313,2046
1637253000,19.45,19.46,19.4,19.42,19.424,4286,1600
1637253900,19.42,19.43,19.34,19.38,19.374,6522,2115
1637254800,19.37,19.41,19.33,19.34,19.365,6668,1775
1637255700,19.34,19.4,19.32,19.38,19.363,3850,1382
1637256600,19.39,19.4,19.3,19.33,19.344,5479,1825
1637257500,19.34,19.36,19.28,19.3,19.324,5053,1310
1637258400,19.3,19.3,19.24,19.25,19.261,6510,1859
1637259300,19.25,19.25,19.14,19.18,19.187,16116,3518
1637260200,19.18,19.24,19.13,19.22,19.174,14522,3531
1637261100,19.21,19.22,19.15,19.21,19.186,6481,1882
1637262000,19.21,19.22,19.15,19.16,19.184,6669,2012
1637262900,19.16,19.21,19.15,19.2,19.176,6192,1931
1637263800,19.2,19.32,19.18,19.3,19.253,8068,2889
1637264700,19.3,19.33,19.29,19.32,19.306,4062,1302
1637265600,19.32,19.35,19.29,19.34,19.32,5783,2329
1637266500,19.34,19.38,19.31,19.36,19.345,4217,1448
1637267400,19.36,19.39,19.28,19.3,19.336,6872,2429
1637268300,19.3,19.4,19.28,19.38,19.341,16568,4990
1637269200,19.39,19.4,19.36,19.4,19.39,8571,70
1637270100,19.41,19.41,19.4,19.4,19.402,127,28
1637271000,19.4,19.4,19.38,19.39,19.395,72,19
1637271900,19.39,19.4,19.38,19.4,19.388,142,28
1637272800,19.39,19.4,19.38,19.4,19.389,101,20
1637273700,19.4,19.41,19.39,19.4,19.401,269,19
1637274600,19.4,19.44,19.4,19.43,19.419,99,22
1637275500,19.44,19.46,19.43,19.44,19.445,146,26
1637276400,19.44,19.44,19.43,19.43,19.431,17,5
1637277300,19.43,19.44,19.43,19.43,19.436,84,8
1637278200,19.42,19.43,19.42,19.42,19.423,37,5
1637279100,19.43,19.44,19.42,19.43,19.429,51,10
1637280000,19.44,19.44,19.43,19.43,19.432,13,5
1637280900,19.42,19.42,19.41,19.41,19.416,79,14
1637281800,19.42,19.42,19.41,19.41,19.414,87,15
1637282700,19.42,19.42,19.4,19.4,19.41,80,22
1637312400,19.31,19.54,19.31,19.54,19.475,20,3
1637313300,19.52,19.52,19.52,19.52,19.52,11,4
1637314200,19.53,19.53,19.25,19.25,19.413,98,30
1637315100,19.35,19.35,19.24,19.24,19.26,27,10
1637316000,19.23,19.29,19.05,19.12,19.116,281,64
1637316900,19.08,19.19,19.08,19.14,19.146,116,33
1637317800,19.15,19.24,19.12,19.14,19.164,33,16
1637318700,19.13,19.24,19.09,19.09,19.166,79,28
1637319600,19.16,19.16,19.11,19.15,19.127,59,15
1637320500,19.16,19.16,19.02,19.08,19.084,87,31
1637321400,19.12,19.12,19.01,19.06,19.039,137,55
1637322300,19.06,19.11,19.02,19.1,19.056,122,35
1637323200,19.1,19.2,19.08,19.1,19.126,800,183
1637324100,19.09,19.17,19.07,19.12,19.12,203,78
1637325000,19.13,19.13,19.02,19.03,19.054,726,253
1637325900,19.02,19.12,18.97,19.06,19.017,1552,406
1637326800,19.14,19.19,18.99,19.03,19.05,2269,444
1637327700,19.04,19.05,19.03,19.05,19.041,527,113
1637328600,19.05,19.1,19.05,19.08,19.08,688,135
1637329500,19.09,19.13,19.08,19.08,19.109,505,86
1637330400,19.09,19.18,19.05,19.17,19.088,921,324
1637331300,19.17,19.3,19.16,19.18,19.217,1729,545
1637332200,19.14,19.18,18.94,19.04,19.034,39374,9141
1637333100,19.04,19.18,19.02,19.08,19.088,14427,4975
1637334000,19.07,19.15,18.96,19.14,19.032,14623,4491
1637334900,19.14,19.25,19.08,19.24,19.159,12507,4256
1637335800,19.23,19.38,19.2,19.36,19.283,13596,4424
1637336700,19.36,19.44,19.23,19.24,19.33,12520,4260
1637337600,19.24,19.3,19.21,19.22,19.252,8017,3098
1637338500,19.21,19.28,19.21,19.25,19.253,6084,2557
1637339400,19.25,19.27,19.14,19.19,19.209,8184,2817
1637340300,19.19,19.22,19.13,19.18,19.173,6081,2194
1637341200,19.18,19.19,19.08,19.1,19.11,12187,3061
1637342100,19.1,19.14,19.08,19.11,19.099,11608,3290
1637343000,19.11,19.22,19.1,19.19,19.177,6858,2372
1637343900,19.19,19.23,19.14,19.19,19.181,5841,2012
1637344800,19.19,19.2,19.15,19.16,19.176,3088,1296
1637345700,19.17,19.17,19.08,19.09,19.11,6550,1972
1637346600,19.09,19.13,19.07,19.11,19.093,5296,1724
1637347500,19.1,19.16,19.06,19.14,19.11,4944,1670
1637348400,19.14,19.16,19.08,19.11,19.115,4182,1576
1637349300,19.11,19.14,19.05,19.08,19.092,5381,1765
1637350200,19.07,19.12,19.02,19.1,19.068,6010,2144
1637351100,19.09,19.25,19.09,19.17,19.182,11068,3757
1637352000,19.18,19.19,19.13,19.19,19.161,6816,2527
1637352900,19.19,19.19,19.1,19.15,19.139,5794,2299
1637353800,19.16,19.22,19.13,19.18,19.174,9549,3582
1637354700,19.17,19.29,19.16,19.28,19.231,19806,7431
1637355600,19.28,19.29,19.23,19.26,19.28,22437,77
1637356500,19.25,19.28,19.25,19.26,19.261,42,16
1637357400,19.27,19.27,19.26,19.27,19.264,68,19
