date,open,high,low,close,average,volume,count
1643644800,16.1,16.1,16.09,16.1,16.1,0,0
1643644801,16.1,16.1,16.09,16.1,16.1,0,0
1643644802,16.1,16.1,16.09,16.09,16.1,419,107
1643644803,16.09,16.09,16.09,16.09,16.09,0,0
1643644804,16.09,16.09,16.09,16.09,16.09,0,0
1643644805,16.1,16.1,16.09,16.09,16.095,2,2
1643644806,16.09,16.1,16.09,16.09,16.09,0,0
1643644807,16.09,16.1,16.09,16.09,16.09,0,0
1643644808,16.1,16.1,16.1,16.1,16.1,3,3
1643644809,16.1,16.1,16.09,16.1,16.098,2,2
1643644810,16.1,16.1,16.1,16.1,16.1,8,1
1643644811,16.1,16.1,16.09,16.1,16.095,3,2
1643644812,16.1,16.1,16.09,16.1,16.1,0,0
1643644813,16.1,16.1,16.09,16.1,16.099,4,4
1643644814,16.1,16.1,16.1,16.1,16.1,1,1
1643644815,16.1,16.11,16.1,16.1,16.1,140,31
1643644816,16.11,16.11,16.1,16.11,16.105,3,3
1643644817,16.11,16.11,16.11,16.11,16.11,1,1
1643644818,16.11,16.11,16.11,16.11,16.11,14,8
1643644819,16.11,16.11,16.11,16.11,16.11,25,12
1643644820,16.11,16.11,16.11,16.11,16.11,0,0
1643644821,16.11,16.11,16.11,16.11,16.11,0,0
1643644822,16.11,16.11,16.11,16.11,16.11,0,0
1643644823,16.11,16.12,16.11,16.11,16.11,123,1
1643644824,16.11,16.12,16.11,16.11,16.11,0,0
1643644825,16.12,16.12,16.11,16.12,16.115,30,1
1643644826,16.12,16.12,16.11,16.12,16.12,0,0
1643644827,16.12,16.12,16.11,16.12,16.12,0,0
1643644828,16.12,16.12,16.11,16.12,16.12,0,0
1643644829,16.12,16.12,16.11,16.12,16.12,0,0
1643644830,16.11,16.12,16.11,16.11,16.113,2,1
1643644831,16.11,16.11,16.1,16.11,16.11,17,15
1643644832,16.11,16.11,16.1,16.11,16.11,0,0
1643644833,16.11,16.11,16.1,16.11,16.108,2,2
1643644834,16.11,16.11,16.1,16.11,16.11,0,0
1643644835,16.11,16.11,16.1,16.11,16.11,0,0
1643644836,16.11,16.11,16.1,16.11,16.11,0,0
1643644837,16.1,16.11,16.09,16.1,16.099,45,22
1643644838,16.1,16.1,16.09,16.1,16.1,0,0
1643644839,16.1,16.1,16.09,16.1,16.1,0,0
1643644840,16.1,16.1,16.08,16.08,16.09,29,16
1643644841,16.08,16.08,16.08,16.08,16.08,0,0
1643644842,16.08,16.09,16.08,16.08,16.08,1,1
1643644843,16.08,16.09,16.08,16.08,16.08,0,0
1643644844,16.08,16.09,16.08,16.08,16.08,0,0
1643644845,16.08,16.09,16.08,16.08,16.08,0,0
1643644846,16.08,16.09,16.08,16.08,16.08,0,0
1643644847,16.08,16.09,16.08,16.08,16.08,0,0
1643644848,16.08,16.09,16.08,16.08,16.08,0,0
1643644849,16.08,16.09,16.08,16.08,16.08,0,0
1643644850,16.08,16.09,16.08,16.08,16.08,0,0
1643644851,16.09,16.09,16.08,16.09,16.085,2,2
1643644852,16.09,16.09,16.08,16.09,16.09,0,0
1643644853,16.09,16.09,16.08,16.09,16.09,0,0
1643644854,16.09,16.09,16.08,16.09,16.09,0,0
1643644855,16.09,16.09,16.09,16.09,16.09,4,2
1643644856,16.09,16.09,16.08,16.09,16.09,10,4
1643644857,16.09,16.09,16.08,16.09,16.09,0,0
1643644858,16.09,16.09,16.09,16.09,16.09,2,2
1643644859,16.08,16.08,16.08,16.08,16.08,4,3
1643644860,16.08,16.09,16.08,16.08,16.084,1,1
1643644861,16.08,16.09,16.08,16.09,16.08,11,5
1643644862,16.09,16.09,16.08,16.09,16.09,0,0
1643644863,16.09,16.09,16.08,16.09,16.09,0,0
1643644864,16.09,16.09,16.08,16.09,16.09,0,0
1643644865,16.09,16.09,16.08,16.09,16.085,4,4
1643644866,16.09,16.09,16.08,16.09,16.09,0,0
1643644867,16.09,16.09,16.08,16.09,16.09,0,0
1643644868,16.09,16.09,16.08,16.09,16.085,1,1
1643644869,16.09,16.09,16.08,16.09,16.09,0,0
1643644870,16.09,16.09,16.08,16.09,16.09,0,0
1643644871,16.09,16.09,16.08,16.09,16.09,0,0
1643644872,16.09,16.09,16.08,16.09,16.085,1,1
1643644873,16.09,16.09,16.08,16.09,16.09,0,0
1643644874,16.09,16.09,16.08,16.09,16.09,0,0
1643644875,16.09,16.09,16.08,16.09,16.09,0,0
1643644876,16.09,16.09,16.08,16.09,16.09,0,0
1643644877,16.08,16.09,16.08,16.08,16.08,8,2
1643644878,16.08,16.08,16.07,16.07,16.078,39,20
1643644879,16.07,16.08,16.07,16.07,16.076,64,4
1643644880,16.08,16.08,16.07,16.08,16.077,22,3
1643644881,16.08,16.08,16.08,16.08,16.08,0,0
1643644882,16.08,16.08,16.08,16.08,16.08,0,0
1643644883,16.08,16.08,16.08,16.08,16.08,4,4
1643644884,16.08,16.08,16.08,16.08,16.08,0,0
1643644885,16.08,16.08,16.08,16.08,16.08,1,1
1643644886,16.08,16.08,16.08,16.08,16.08,0,0
1643644887,16.08,16.08,16.08,16.08,16.08,0,0
1643644888,16.08,16.08,16.08,16.08,16.08,1,1
1643644889,16.08,16.08,16.07,16.07,16.076,6,2
1643644890,16.07,16.08,16.07,16.07,16.075,4,4
1643644891,16.07,16.07,16.06,16.07,16.069,85,32
1643644892,16.07,16.07,16.06,16.07,16.067,2,2
1643644893,16.07,16.08,16.07,16.07,16.07,142,48
1643644894,16.08,16.08,16.08,16.08,16.08,108,35
1643644895,16.08,16.08,16.08,16.08,16.08,0,0
1643644896,16.09,16.09,16.09,16.09,16.09,1,1
1643644897,16.09,16.09,16.09,16.09,16.09,0,0
1643644898,16.09,16.09,16.09,16.09,16.09,0,0
1643644899,16.09,16.09,16.09,16.09,16.09,0,0
1643644900,16.09,16.09,16.09,16.09,16.09,0,0
1643644901,16.09,16.09,16.09,16.09,16.09,0,0
1643644902,16.08,16.09,16.08,16.09,16.083,13,5
1643644903,16.08,16.09,16.08,16.09,16.086,5,4
1643644904,16.09,16.09,16.09,16.09,16.09,0,0
1643644905,16.09,16.09,16.09,16.09,16.09,0,0
1643644906,16.09,16.09,16.08,16.09,16.085,1,1
1643644907,16.09,16.09,16.08,16.09,16.085,2,1
1643644908,16.08,16.09,16.08,16.08,16.081,10,6
1643644909,16.08,16.08,16.08,16.08,16.08,0,0
1643644910,16.08,16.08,16.08,16.08,16.08,0,0
1643644911,16.08,16.08,16.08,16.08,16.08,0,0
1643644912,16.08,16.08,16.08,16.08,16.08,0,0
1643644913,16.08,16.09,16.08,16.08,16.082,2,2
1643644914,16.08,16.09,16.08,16.08,16.08,11,1
1643644915,16.08,16.09,16.08,16.08,16.08,0,0
1643644916,16.08,16.09,16.08,16.09,16.084,5,2
1643644917,16.09,16.09,16.08,16.09,16.085,11,8
1643644918,16.09,16.09,16.08,16.09,16.09,0,0
1643644919,16.09,16.09,16.08,16.09,16.09,0,0
1643644920,16.09,16.09,16.08,16.09,16.09,0,0
1643644921,16.09,16.09,16.08,16.09,16.085,2,2
1643644922,16.09,16.09,16.08,16.08,16.083,2,2
1643644923,16.09,16.09,16.08,16.09,16.087,5,4
1643644924,16.09,16.09,16.09,16.09,16.09,3,2
1643644925,16.09,16.09,16.09,16.09,16.09,0,0
1643644926,16.09,16.09,16.08,16.09,16.086,1,1
1643644927,16.09,16.09,16.09,16.09,16.09,120,47
1643644928,16.1,16.1,16.09,16.1,16.095,2,2
1643644929,16.1,16.1,16.09,16.1,16.095,2,1
1643644930,16.09,16.09,16.09,16.09,16.09,67,18
1643644931,16.09,16.09,16.08,16.09,16.085,1,1
1643644932,16.09,16.09,16.08,16.09,16.09,0,0
1643644933,16.09,16.09,16.08,16.09,16.086,2,1
1643644934,16.09,16.09,16.08,16.09,16.09,0,0
1643644935,16.08,16.08,16.08,16.08,16.08,17,17
1643644936,16.08,16.08,16.08,16.08,16.08,0,0
1643644937,16.08,16.08,16.08,16.08,16.08,0,0
1643644938,16.08,16.08,16.08,16.08,16.08,0,0
1643644939,16.08,16.08,16.08,16.08,16.08,3,2
1643644940,16.09,16.09,16.08,16.09,16.086,1,1
1643644941,16.09,16.09,16.08,16.09,16.09,0,0
1643644942,16.09,16.09,16.08,16.09,16.09,10,1
1643644943,16.09,16.09,16.08,16.09,16.09,0,0
1643644944,16.09,16.09,16.08,16.09,16.09,0,0
1643644945,16.09,16.09,16.08,16.09,16.09,0,0
1643644946,16.09,16.09,16.08,16.09,16.09,32,16
1643644947,16.09,16.1,16.09,16.09,16.092,16,2
1643644948,16.1,16.1,16.09,16.09,16.095,21,2
1643644949,16.09,16.1,16.09,16.09,16.091,21,11
1643644950,16.09,16.1,16.09,16.09,16.09,0,0
1643644951,16.09,16.09,16.08,16.08,16.088,5,5
1643644952,16.08,16.08,16.07,16.07,16.079,24,17
1643644953,16.07,16.08,16.07,16.07,16.079,7,3
1643644954,16.08,16.08,16.07,16.07,16.076,18,4
1643644955,16.08,16.08,16.08,16.08,16.08,1,1
1643644956,16.07,16.08,16.07,16.07,16.075,1,1
1643644957,16.07,16.08,16.07,16.07,16.07,0,0
1643644958,16.07,16.07,16.07,16.07,16.07,4,4
1643644959,16.07,16.07,16.07,16.07,16.07,3,3
1643644960,16.07,16.08,16.07,16.07,16.072,8,4
1643644961,16.07,16.08,16.07,16.07,16.073,32,9
1643644962,16.07,16.08,16.07,16.07,16.07,26,3
1643644963,16.07,16.07,16.07,16.07,16.07,3,3
1643644964,16.07,16.08,16.07,16.07,16.07,34,20
1643644965,16.07,16.08,16.07,16.07,16.07,25,20
1643644966,16.07,16.07,16.07,16.07,16.07,0,0
1643644967,16.07,16.07,16.07,16.07,16.07,4,3
1643644968,16.07,16.07,16.07,16.07,16.07,3,3
1643644969,16.07,16.08,16.07,16.07,16.071,4,4
1643644970,16.07,16.07,16.07,16.07,16.07,2,2
1643644971,16.07,16.07,16.07,16.07,16.07,0,0
1643644972,16.07,16.07,16.07,16.07,16.07,0,0
1643644973,16.07,16.07,16.07,16.07,16.07,0,0
1643644974,16.08,16.08,16.07,16.08,16.078,16,2
