date,open,high,low,close,average,volume,count
1647417695,15.75,15.75,15.75,15.75,15.75,2,1
1647417700,15.75,15.75,15.75,15.75,15.75,0,0
1647417705,15.75,15.75,15.75,15.75,15.75,0,0
1647417710,15.75,15.75,15.75,15.75,15.75,0,0
1647417715,15.75,15.75,15.75,15.75,15.75,0,0
1647417720,15.75,15.75,15.75,15.75,15.75,0,0
1647417725,15.75,15.75,15.75,15.75,15.75,0,0
1647417730,15.74,15.74,15.74,15.74,15.74,1,1
1647417735,15.74,15.74,15.74,15.74,15.74,3,1
1647417740,15.74,15.74,15.74,15.74,15.74,0,0
1647417745,15.74,15.74,15.74,15.74,15.74,0,0
1647417750,15.74,15.74,15.74,15.74,15.74,1,1
1647417755,15.74,15.74,15.74,15.74,15.74,1,1
1647417760,15.74,15.74,15.74,15.74,15.74,0,0
1647417765,15.75,15.75,15.75,15.75,15.75,3,1
1647417770,15.75,15.75,15.75,15.75,15.75,0,0
1647417775,15.75,15.75,15.75,15.75,15.75,0,0
1647417780,15.76,15.76,15.76,15.76,15.76,2,1
1647417785,15.76,15.76,15.76,15.76,15.76,0,0
1647417790,15.76,15.76,15.76,15.76,15.76,0,0
1647417795,15.76,15.76,15.76,15.76,15.76,0,0
1647417800,15.76,15.76,15.76,15.76,15.76,0,0
1647417805,15.78,15.78,15.78,15.78,15.78,1,1
1647417810,15.8,15.8,15.8,15.8,15.8,1,1
1647417815,15.8,15.8,15.8,15.8,15.8,0,0
1647417820,15.8,15.8,15.8,15.8,15.8,0,0
1647417825,15.8,15.8,15.8,15.8,15.8,0,0
1647417830,15.85,15.85,15.85,15.85,15.85,1,1
1647417835,15.85,15.85,15.85,15.85,15.85,0,0
1647417840,15.85,15.85,15.85,15.85,15.85,0,0
1647417845,15.85,15.85,15.85,15.85,15.85,0,0
1647417850,15.85,15.85,15.85,15.85,15.85,0,0
1647417855,15.85,15.85,15.85,15.85,15.85,3,1
1647417860,15.85,15.85,15.85,15.85,15.85,0,0
1647417865,15.85,15.85,15.85,15.85,15.85,1,1
1647417870,15.85,15.85,15.85,15.85,15.85,4,1
1647417875,15.85,15.85,15.85,15.85,15.85,0,0
1647417880,15.85,15.85,15.85,15.85,15.85,0,0
1647417885,15.86,15.86,15.86,15.86,15.86,1,1
1647417890,15.86,15.86,15.86,15.86,15.86,0,0
1647417895,15.86,15.86,15.86,15.86,15.86,0,0
1647417900,15.86,15.86,15.86,15.86,15.86,0,0
1647417905,15.86,15.86,15.86,15.86,15.86,0,0
1647417910,15.86,15.86,15.86,15.86,15.86,2,1
1647417915,15.86,15.86,15.86,15.86,15.86,0,0
1647417920,15.86,15.86,15.86,15.86,15.86,0,0
1647417925,15.86,15.86,15.86,15.86,15.86,0,0
1647417930,15.86,15.86,15.86,15.86,15.86,0,0
1647417935,15.86,15.86,15.86,15.86,15.86,6,1
1647417940,15.86,15.86,15.86,15.86,15.86,0,0
1647417945,15.86,15.86,15.86,15.86,15.86,0,0
1647417950,15.86,15.86,15.86,15.86,15.86,0,0
1647417955,15.86,15.86,15.86,15.86,15.86,0,0
1647417960,15.86,15.86,15.86,15.86,15.86,0,0
1647417965,15.86,15.86,15.86,15.86,15.86,0,0
1647417970,15.86,15.86,15.86,15.86,15.86,0,0
1647417975,15.84,15.85,15.84,15.85,15.848,5,2
1647417980,15.82,15.85,15.81,15.85,15.82,11,3
1647417985,15.85,15.85,15.85,15.85,15.85,0,0
1647417990,15.85,15.85,15.85,15.85,15.85,0,0
1647417995,15.85,15.85,15.85,15.85,15.85,0,0
1647418000,15.85,15.85,15.85,15.85,15.85,0,0
1647418005,15.85,15.85,15.85,15.85,15.85,0,0
1647418010,15.85,15.85,15.85,15.85,15.85,0,0
1647418015,15.85,15.85,15.85,15.85,15.85,0,0
1647418020,15.85,15.85,15.85,15.85,15.85,0,0
1647418025,15.84,15.84,15.84,15.84,15.84,1,1
1647418030,15.84,15.84,15.84,15.84,15.84,0,0
1647418035,15.81,15.81,15.81,15.81,15.81,1,1
1647418040,15.81,15.81,15.81,15.81,15.81,0,0
1647418045,15.81,15.81,15.81,15.81,15.81,2,1
1647418050,15.81,15.81,15.81,15.81,15.81,0,0
1647418055,15.81,15.81,15.81,15.81,15.81,0,0
1647418060,15.81,15.81,15.81,15.81,15.81,0,0
1647418065,15.81,15.81,15.81,15.81,15.81,0,0
1647418070,15.81,15.81,15.81,15.81,15.81,0,0
1647418075,15.84,15.84,15.84,15.84,15.84,1,1
1647418080,15.84,15.84,15.84,15.84,15.84,0,0
1647418085,15.84,15.84,15.84,15.84,15.84,0,0
1647418090,15.84,15.84,15.84,15.84,15.84,0,0
1647418095,15.84,15.84,15.84,15.84,15.84,0,0
1647418100,15.84,15.84,15.84,15.84,15.84,0,0
1647418105,15.84,15.84,15.84,15.84,15.84,0,0
1647418110,15.84,15.84,15.84,15.84,15.84,0,0
1647418115,15.84,15.84,15.84,15.84,15.84,0,0
1647418120,15.84,15.84,15.84,15.84,15.84,0,0
1647418125,15.84,15.84,15.84,15.84,15.84,0,0
1647418130,15.84,15.84,15.84,15.84,15.84,1,1
1647418135,15.85,15.85,15.85,15.85,15.85,10,2
1647418140,15.85,15.85,15.85,15.85,15.85,1,1
1647418145,15.85,15.85,15.85,15.85,15.85,0,0
1647418150,15.85,15.85,15.85,15.85,15.85,0,0
1647418155,15.85,15.85,15.85,15.85,15.85,0,0
1647418160,15.85,15.85,15.85,15.85,15.85,0,0
1647418165,15.85,15.85,15.85,15.85,15.85,0,0
1647418170,15.85,15.85,15.85,15.85,15.85,0,0
1647418175,15.87,15.87,15.87,15.87,15.87,2,1
1647418180,15.87,15.87,15.87,15.87,15.87,0,0
1647418185,15.87,15.87,15.87,15.87,15.87,0,0
1647418190,15.87,15.87,15.87,15.87,15.87,0,0
1647418195,15.87,15.87,15.87,15.87,15.87,0,0
1647418200,15.89,15.89,15.89,15.89,15.89,1,1
1647418205,15.89,15.89,15.89,15.89,15.89,0,0
1647418210,15.89,15.89,15.89,15.89,15.89,0,0
1647418215,15.89,15.89,15.89,15.89,15.89,0,0
1647418220,15.89,15.89,15.89,15.89,15.89,0,0
1647418225,15.89,15.89,15.89,15.89,15.89,0,0
1647418230,15.89,15.89,15.89,15.89,15.89,0,0
1647418235,15.9,15.9,15.9,15.9,15.9,5,1
1647418240,15.9,15.9,15.9,15.9,15.9,0,0
1647418245,15.9,15.9,15.9,15.9,15.9,0,0
1647418250,15.9,15.9,15.9,15.9,15.9,0,0
1647418255,15.9,15.9,15.9,15.9,15.9,0,0
1647418260,15.9,15.9,15.9,15.9,15.9,0,0
1647418265,15.9,15.9,15.9,15.9,15.9,0,0
1647418270,15.9,15.9,15.9,15.9,15.9,0,0
1647418275,15.9,15.9,15.9,15.9,15.9,0,0
1647418280,15.9,15.9,15.9,15.9,15.9,0,0
1647418285,15.9,15.9,15.9,15.9,15.9,0,0
1647418290,15.9,15.9,15.9,15.9,15.9,0,0
1647418295,15.9,15.9,15.9,15.9,15.9,0,0
1647418300,15.9,15.9,15.9,15.9,15.9,0,0
1647418305,15.9,15.9,15.9,15.9,15.9,0,0
1647418310,15.9,15.9,15.9,15.9,15.9,0,0
1647418315,15.9,15.9,15.9,15.9,15.9,0,0
1647418320,15.9,15.9,15.9,15.9,15.9,0,0
1647418325,15.9,15.9,15.9,15.9,15.9,0,0
1647418330,15.9,15.9,15.9,15.9,15.9,0,0
1647418335,15.9,15.9,15.9,15.9,15.9,0,0
1647418340,15.9,15.9,15.9,15.9,15.9,0,0
1647418345,15.9,15.9,15.9,15.9,15.9,0,0
1647418350,15.9,15.9,15.9,15.9,15.9,0,0
1647418355,15.9,15.9,15.9,15.9,15.9,0,0
1647418360,15.9,15.9,15.9,15.9,15.9,0,0
1647418365,15.9,15.9,15.9,15.9,15.9,0,0
