date,open,high,low,close,average,volume,count
1612537200,136.53,136.53,136.5,136.5,136.516,47,31
1612537201,136.49,136.49,136.43,136.46,136.45,100,60
1612537202,136.45,136.46,136.44,136.45,136.457,61,7
1612537203,136.45,136.46,136.44,136.44,136.448,31,11
1612537204,136.45,136.45,136.44,136.44,136.447,8,5
1612537205,136.46,136.46,136.44,136.45,136.451,74,23
1612537206,136.43,136.45,136.43,136.44,136.437,32,6
1612537207,136.44,136.45,136.44,136.45,136.445,32,9
1612537208,136.44,136.45,136.43,136.45,136.445,76,23
1612537209,136.45,136.46,136.45,136.45,136.452,19,14
1612537210,136.44,136.46,136.44,136.46,136.449,13,5
1612537211,136.45,136.48,136.45,136.47,136.463,27,12
1612537212,136.47,136.47,136.45,136.46,136.463,12,7
1612537213,136.47,136.48,136.47,136.48,136.475,15,9
1612537214,136.48,136.5,136.47,136.49,136.482,22,14
1612537215,136.49,136.5,136.49,136.5,136.499,42,15
1612537216,136.49,136.49,136.49,136.49,136.49,12,8
1612537217,136.49,136.5,136.48,136.5,136.49,150,57
1612537218,136.48,136.5,136.47,136.5,136.483,77,39
1612537219,136.5,136.52,136.48,136.52,136.513,20,11
1612537220,136.52,136.52,136.51,136.51,136.515,21,8
1612537221,136.52,136.52,136.5,136.5,136.511,51,21
1612537222,136.5,136.53,136.48,136.49,136.495,21,12
1612537223,136.49,136.49,136.47,136.49,136.483,27,13
1612537224,136.49,136.49,136.47,136.48,136.481,32,10
1612537225,136.48,136.49,136.47,136.48,136.479,23,10
1612537226,136.48,136.49,136.48,136.48,136.485,9,6
1612537227,136.49,136.49,136.48,136.49,136.485,14,6
1612537228,136.48,136.49,136.47,136.47,136.476,19,13
1612537229,136.46,136.46,136.45,136.46,136.458,12,5
1612537230,136.46,136.49,136.45,136.49,136.476,48,24
1612537231,136.5,136.51,136.49,136.5,136.499,23,16
1612537232,136.51,136.54,136.51,136.53,136.529,26,9
1612537233,136.54,136.54,136.52,136.52,136.527,9,5
1612537234,136.53,136.54,136.53,136.53,136.536,5,5
1612537235,136.55,136.55,136.53,136.54,136.539,42,7
1612537236,136.55,136.56,136.55,136.55,136.552,5,5
1612537237,136.56,136.57,136.55,136.57,136.564,44,13
1612537238,136.57,136.58,136.56,136.56,136.575,12,8
1612537239,136.57,136.59,136.57,136.58,136.579,20,9
1612537240,136.58,136.59,136.58,136.59,136.582,5,5
1612537241,136.57,136.59,136.57,136.59,136.584,59,21
1612537242,136.57,136.61,136.57,136.6,136.597,74,28
1612537243,136.6,136.61,136.59,136.61,136.594,29,8
1612537244,136.61,136.61,136.6,136.61,136.606,27,6
1612537245,136.61,136.61,136.6,136.61,136.61,54,18
1612537246,136.61,136.61,136.59,136.61,136.603,31,22
1612537247,136.59,136.6,136.57,136.57,136.579,45,15
1612537248,136.58,136.58,136.57,136.58,136.579,23,8
1612537249,136.58,136.58,136.57,136.58,136.579,66,8
1612537250,136.57,136.58,136.57,136.58,136.574,13,5
1612537251,136.58,136.6,136.58,136.6,136.585,12,10
1612537252,136.6,136.6,136.59,136.6,136.597,5,3
1612537253,136.59,136.6,136.59,136.6,136.592,26,6
1612537254,136.6,136.6,136.59,136.6,136.598,14,5
1612537255,136.59,136.6,136.59,136.6,136.598,10,3
1612537256,136.6,136.62,136.6,136.62,136.608,28,16
1612537257,136.62,136.62,136.6,136.61,136.618,38,26
1612537258,136.61,136.63,136.61,136.62,136.618,35,10
1612537259,136.6,136.63,136.6,136.63,136.62,29,4
1612537260,136.63,136.65,136.62,136.62,136.627,53,19
1612537261,136.62,136.63,136.6,136.6,136.61,21,16
1612537262,136.61,136.63,136.61,136.62,136.627,107,23
1612537263,136.62,136.63,136.59,136.6,136.606,94,30
1612537264,136.59,136.61,136.59,136.61,136.601,15,6
1612537265,136.6,136.63,136.6,136.63,136.618,44,9
1612537266,136.63,136.64,136.62,136.62,136.63,26,11
1612537267,136.63,136.63,136.61,136.62,136.621,27,13
1612537268,136.62,136.63,136.62,136.63,136.626,8,5
1612537269,136.63,136.63,136.62,136.63,136.623,26,11
1612537270,136.63,136.64,136.62,136.63,136.623,51,13
1612537271,136.63,136.65,136.62,136.65,136.639,43,36
1612537272,136.65,136.67,136.63,136.67,136.653,78,33
1612537273,136.67,136.68,136.66,136.68,136.671,33,9
1612537274,136.67,136.68,136.65,136.67,136.665,52,29
1612537275,136.67,136.67,136.64,136.65,136.653,21,6
1612537276,136.66,136.66,136.63,136.63,136.647,83,16
1612537277,136.64,136.65,136.63,136.63,136.639,14,10
1612537278,136.64,136.65,136.64,136.64,136.643,12,10
1612537279,136.64,136.65,136.63,136.63,136.631,54,5
1612537280,136.65,136.66,136.64,136.65,136.647,35,9
1612537281,136.64,136.65,136.63,136.64,136.639,38,16
1612537282,136.63,136.67,136.63,136.66,136.663,161,48
1612537283,136.67,136.68,136.66,136.67,136.67,62,25
1612537284,136.67,136.68,136.66,136.68,136.674,28,8
1612537285,136.67,136.69,136.66,136.69,136.682,17,6
1612537286,136.69,136.69,136.67,136.67,136.677,4,3
1612537287,136.69,136.69,136.66,136.67,136.676,15,7
1612537288,136.67,136.67,136.66,136.67,136.665,8,1
1612537289,136.66,136.67,136.66,136.67,136.663,3,3
1612537290,136.67,136.67,136.66,136.67,136.663,6,4
1612537291,136.66,136.68,136.66,136.67,136.67,8,8
1612537292,136.68,136.68,136.64,136.66,136.656,16,8
1612537293,136.65,136.66,136.64,136.65,136.65,18,8
1612537294,136.66,136.66,136.65,136.66,136.657,6,5
1612537295,136.65,136.65,136.64,136.64,136.643,10,3
1612537296,136.65,136.65,136.63,136.63,136.643,57,39
1612537297,136.63,136.64,136.62,136.63,136.629,35,22
1612537298,136.62,136.62,136.6,136.61,136.613,26,17
1612537299,136.6,136.62,136.6,136.61,136.611,43,10
1612537300,136.62,136.62,136.61,136.61,136.617,7,2
1612537301,136.61,136.63,136.61,136.62,136.618,62,18
1612537302,136.61,136.62,136.6,136.62,136.606,27,11
1612537303,136.61,136.61,136.6,136.61,136.61,3,3
1612537304,136.61,136.63,136.61,136.62,136.613,8,7
1612537305,136.63,136.63,136.61,136.61,136.623,7,5
1612537306,136.61,136.62,136.6,136.62,136.609,9,7
1612537307,136.61,136.61,136.6,136.6,136.603,20,13
1612537308,136.61,136.61,136.59,136.6,136.598,9,9
1612537309,136.6,136.6,136.59,136.59,136.596,15,5
1612537310,136.59,136.6,136.59,136.59,136.593,51,8
1612537311,136.59,136.59,136.57,136.57,136.574,25,14
1612537312,136.57,136.57,136.55,136.56,136.558,19,8
1612537313,136.55,136.55,136.53,136.54,136.543,78,17
1612537314,136.53,136.54,136.53,136.53,136.531,15,7
1612537315,136.53,136.54,136.53,136.53,136.531,72,38
1612537316,136.53,136.54,136.53,136.53,136.535,48,22
1612537317,136.54,136.56,136.53,136.55,136.541,10,7
1612537318,136.56,136.56,136.55,136.55,136.557,14,4
1612537319,136.55,136.56,136.55,136.55,136.552,11,5
1612537320,136.55,136.56,136.54,136.55,136.551,11,6
1612537321,136.55,136.55,136.54,136.54,136.543,6,6
1612537322,136.55,136.55,136.54,136.54,136.544,30,13
1612537323,136.54,136.55,136.53,136.54,136.532,41,37
1612537324,136.53,136.54,136.53,136.54,136.533,23,21
1612537325,136.54,136.54,136.53,136.53,136.532,98,79
1612537326,136.53,136.53,136.49,136.5,136.502,412,78
1612537327,136.51,136.52,136.48,136.49,136.501,62,43
1612537328,136.49,136.5,136.48,136.5,136.493,89,14
1612537329,136.49,136.49,136.48,136.49,136.49,16,7
1612537330,136.49,136.49,136.47,136.47,136.481,15,13
1612537331,136.47,136.48,136.46,136.48,136.47,38,17
1612537332,136.47,136.48,136.43,136.43,136.448,198,36
1612537333,136.42,136.42,136.4,136.41,136.416,81,28
1612537334,136.4,136.42,136.39,136.4,136.403,166,54
1612537335,136.41,136.42,136.4,136.42,136.414,33,17
1612537336,136.42,136.43,136.41,136.42,136.419,19,10
1612537337,136.43,136.44,136.41,136.43,136.423,33,22
1612537338,136.43,136.43,136.42,136.42,136.422,5,3
1612537339,136.43,136.43,136.41,136.41,136.414,37,10
1612537340,136.42,136.42,136.4,136.41,136.414,40,11
1612537341,136.41,136.43,136.4,136.42,136.41,151,35
1612537342,136.42,136.42,136.4,136.41,136.415,67,24
1612537343,136.41,136.42,136.41,136.42,136.414,7,6
1612537344,136.41,136.42,136.4,136.41,136.412,44,10
1612537345,136.43,136.45,136.43,136.45,136.44,25,15
1612537346,136.44,136.46,136.44,136.45,136.451,12,11
1612537347,136.46,136.49,136.44,136.47,136.473,108,40
1612537348,136.49,136.49,136.47,136.48,136.483,6,5
1612537349,136.48,136.48,136.46,136.47,136.47,18,7
1612537350,136.47,136.48,136.46,136.47,136.472,8,5
1612537351,136.46,136.46,136.45,136.46,136.455,5,4
1612537352,136.46,136.46,136.42,136.42,136.435,390,28
1612537353,136.42,136.43,136.41,136.42,136.427,52,9
1612537354,136.41,136.42,136.39,136.4,136.401,81,26
1612537355,136.4,136.42,136.39,136.42,136.403,65,26
1612537356,136.43,136.43,136.41,136.43,136.425,18,11
1612537357,136.41,136.43,136.41,136.42,136.421,14,8
1612537358,136.43,136.43,136.42,136.42,136.423,7,5
1612537359,136.42,136.43,136.42,136.42,136.424,12,6
1612537360,136.42,136.43,136.4,136.4,136.412,33,21
1612537361,136.39,136.39,136.37,136.37,136.376,10,8
1612537362,136.38,136.39,136.38,136.38,136.384,13,3
1612537363,136.39,136.42,136.38,136.42,136.397,32,17
1612537364,136.42,136.42,136.41,136.42,136.417,9,5
1612537365,136.42,136.42,136.41,136.42,136.415,4,4
1612537366,136.42,136.42,136.4,136.41,136.412,12,10
1612537367,136.42,136.42,136.4,136.41,136.413,3,3
1612537368,136.41,136.41,136.38,136.38,136.397,44,17
1612537369,136.38,136.4,136.38,136.4,136.396,29,23
1612537370,136.39,136.41,136.36,136.37,136.38,64,33
1612537371,136.37,136.38,136.37,136.37,136.376,28,9
1612537372,136.38,136.38,136.36,136.37,136.373,30,13
1612537373,136.36,136.37,136.36,136.37,136.365,11,9
1612537374,136.37,136.37,136.28,136.3,136.305,653,118
1612537375,136.29,136.33,136.29,136.32,136.316,125,31
1612537376,136.33,136.35,136.32,136.35,136.332,37,16
1612537377,136.34,136.35,136.32,136.32,136.331,66,19
1612537378,136.32,136.36,136.32,136.34,136.339,83,38
1612537379,136.33,136.36,136.33,136.36,136.339,52,9
1612537380,136.35,136.35,136.32,136.33,136.333,42,20
1612537381,136.34,136.38,136.34,136.38,136.358,21,18
1612537382,136.38,136.38,136.36,136.37,136.374,47,33
1612537383,136.36,136.38,136.36,136.38,136.371,22,10
1612537384,136.37,136.38,136.34,136.38,136.355,104,54
1612537385,136.36,136.39,136.36,136.39,136.374,40,19
1612537386,136.4,136.41,136.39,136.41,136.4,22,12
1612537387,136.4,136.42,136.39,136.42,136.406,61,20
1612537388,136.43,136.44,136.41,136.42,136.426,25,13
1612537389,136.43,136.46,136.42,136.46,136.435,47,25
1612537390,136.45,136.45,136.43,136.45,136.444,26,15
1612537391,136.43,136.45,136.43,136.45,136.446,4,3
1612537392,136.43,136.45,136.43,136.45,136.447,28,13
1612537393,136.45,136.46,136.44,136.46,136.447,26,10
1612537394,136.46,136.48,136.46,136.47,136.468,57,22
1612537395,136.48,136.49,136.48,136.49,136.488,66,24
1612537396,136.49,136.5,136.49,136.49,136.491,9,4
1612537397,136.49,136.5,136.48,136.49,136.49,24,4
1612537398,136.48,136.49,136.45,136.49,136.474,41,14
1612537399,136.47,136.48,136.46,136.47,136.472,24,8
1612537400,136.47,136.48,136.46,136.47,136.471,67,13
1612537401,136.48,136.48,136.48,136.48,136.48,12,8
1612537402,136.48,136.5,136.48,136.5,136.49,20,9
1612537403,136.5,136.51,136.49,136.5,136.498,51,25
1612537404,136.5,136.51,136.5,136.5,136.504,28,20
1612537405,136.49,136.49,136.47,136.47,136.477,38,19
1612537406,136.47,136.47,136.45,136.46,136.455,56,6
1612537407,136.45,136.46,136.45,136.46,136.45,32,3
1612537408,136.46,136.47,136.46,136.46,136.464,14,7
1612537409,136.47,136.48,136.46,136.48,136.471,35,17
1612537410,136.48,136.48,136.46,136.47,136.468,11,10
1612537411,136.46,136.47,136.44,136.45,136.454,75,22
1612537412,136.47,136.51,136.47,136.5,136.491,24,15
1612537413,136.51,136.51,136.49,136.49,136.491,34,14
1612537414,136.51,136.51,136.5,136.51,136.505,60,7
1612537415,136.5,136.51,136.49,136.5,136.495,108,7
1612537416,136.49,136.49,136.46,136.47,136.471,61,26
1612537417,136.47,136.48,136.45,136.45,136.456,17,6
1612537418,136.46,136.46,136.45,136.46,136.459,46,4
1612537419,136.46,136.47,136.45,136.46,136.461,20,9
1612537420,136.45,136.46,136.45,136.46,136.457,8,6
1612537421,136.46,136.47,136.46,136.46,136.46,1,1
1612537422,136.45,136.46,136.45,136.45,136.451,17,3
1612537423,136.46,136.46,136.45,136.45,136.459,12,5
1612537424,136.45,136.46,136.44,136.44,136.45,36,8
1612537425,136.44,136.45,136.43,136.44,136.44,21,12
1612537426,136.45,136.47,136.45,136.47,136.46,22,11
1612537427,136.47,136.48,136.47,136.48,136.475,16,7
1612537428,136.47,136.48,136.46,136.47,136.464,28,27
1612537429,136.48,136.48,136.47,136.48,136.474,10,10
1612537430,136.48,136.49,136.48,136.49,136.484,45,24
1612537431,136.49,136.5,136.48,136.48,136.495,22,16
1612537432,136.49,136.5,136.49,136.5,136.498,26,8
1612537433,136.5,136.5,136.49,136.49,136.498,91,51
1612537434,136.49,136.5,136.49,136.5,136.495,9,5
1612537435,136.48,136.49,136.48,136.49,136.487,4,2
1612537436,136.48,136.49,136.47,136.48,136.479,44,17
1612537437,136.48,136.48,136.46,136.47,136.475,27,6
1612537438,136.47,136.47,136.45,136.47,136.46,50,13
1612537439,136.48,136.5,136.48,136.49,136.487,42,20
1612537440,136.5,136.54,136.49,136.53,136.526,154,46
1612537441,136.52,136.54,136.52,136.53,136.527,33,18
1612537442,136.53,136.53,136.52,136.53,136.527,14,6
1612537443,136.52,136.53,136.5,136.52,136.518,37,13
1612537444,136.51,136.52,136.51,136.52,136.514,17,5
1612537445,136.51,136.54,136.51,136.53,136.528,42,15
1612537446,136.54,136.6,136.54,136.6,136.578,106,55
1612537447,136.61,136.63,136.61,136.63,136.623,96,54
1612537448,136.63,136.65,136.63,136.64,136.643,14,11
1612537449,136.64,136.64,136.61,136.63,136.622,91,45
1612537450,136.62,136.68,136.61,136.68,136.637,201,108
1612537451,136.66,136.68,136.65,136.65,136.666,159,26
1612537452,136.65,136.66,136.63,136.66,136.653,93,32
1612537453,136.65,136.66,136.64,136.65,136.65,8,3
1612537454,136.66,136.66,136.64,136.64,136.643,41,16
1612537455,136.63,136.65,136.62,136.64,136.639,33,18
1612537456,136.64,136.64,136.62,136.62,136.63,26,19
1612537457,136.61,136.61,136.6,136.6,136.605,8,4
1612537458,136.6,136.62,136.6,136.62,136.611,35,15
1612537459,136.61,136.62,136.57,136.6,136.597,82,51
1612537460,136.58,136.6,136.58,136.59,136.589,116,6
1612537461,136.59,136.63,136.58,136.61,136.609,30,17
1612537462,136.63,136.66,136.62,136.66,136.646,39,25
1612537463,136.67,136.67,136.66,136.67,136.667,2,2
1612537464,136.67,136.67,136.66,136.67,136.666,24,10
1612537465,136.67,136.72,136.67,136.72,136.695,26,19
1612537466,136.7,136.71,136.68,136.68,136.691,57,23
1612537467,136.68,136.71,136.68,136.7,136.685,39,11
1612537468,136.71,136.72,136.7,136.72,136.712,13,12
1612537469,136.72,136.73,136.71,136.72,136.72,11,8
1612537470,136.72,136.73,136.72,136.72,136.723,29,7
1612537471,136.72,136.73,136.71,136.72,136.725,37,25
1612537472,136.72,136.72,136.72,136.72,136.72,10,9
1612537473,136.72,136.73,136.72,136.73,136.724,43,14
1612537474,136.73,136.73,136.72,136.72,136.723,34,11
1612537475,136.72,136.73,136.72,136.72,136.724,13,5
1612537476,136.72,136.72,136.71,136.71,136.712,32,12
1612537477,136.71,136.71,136.7,136.71,136.705,9,4
1612537478,136.71,136.71,136.68,136.68,136.697,150,19
1612537479,136.68,136.69,136.68,136.69,136.689,41,8
1612537480,136.69,136.7,136.68,136.68,136.683,21,12
1612537481,136.69,136.71,136.68,136.69,136.698,32,26
