date,open,high,low,close,average,volume,count
1625040000,136.49,136.5,136.15,136.15,136.285,64,17
1625040900,136.2,136.2,136.11,136.18,136.155,18,11
1625041800,136.2,136.28,136.15,136.28,136.215,64,15
1625042700,136.2,136.2,136.13,136.13,136.183,6,5
1625043600,136.11,136.11,135.84,135.84,135.919,270,41
1625044500,135.83,135.89,135.5,135.78,135.693,74,37
1625045400,135.6,135.8,135.5,135.7,135.643,21,14
1625046300,135.7,135.84,135.7,135.84,135.735,19,10
1625047200,135.88,135.95,135.88,135.93,135.901,13,7
1625048100,135.97,135.97,135.88,135.88,135.937,12,4
1625049000,135.87,135.93,135.87,135.9,135.896,30,6
1625049900,135.91,135.91,135.8,135.8,135.838,4,3
1625050800,135.85,136.15,135.75,136.12,136.039,414,151
1625051700,136.12,136.25,136.09,136.1,136.163,257,156
1625052600,136.1,136.17,136.03,136.07,136.107,163,91
1625053500,136.12,136.19,136.08,136.11,136.127,62,34
1625054400,136.12,136.24,135.96,136.18,136.142,591,226
1625055300,136.2,136.33,136.0,136.03,136.185,636,211
1625056200,136.04,136.13,136.03,136.06,136.082,329,115
1625057100,136.05,136.17,136.05,136.12,136.13,378,125
1625058000,136.12,136.16,136.04,136.11,136.111,471,163
1625058900,136.12,136.29,135.81,136.14,136.091,524,174
1625059800,136.17,136.42,135.87,136.41,136.157,44099,17881
1625060700,136.4,137.01,135.98,136.2,136.584,42000,17838
1625061600,136.19,136.56,136.17,136.53,136.361,22721,10629
1625062500,136.52,136.8,136.45,136.77,136.663,17518,7381
1625063400,136.76,136.82,136.57,136.79,136.716,15216,7276
1625064300,136.78,137.14,136.73,136.99,136.955,21232,9575
1625065200,137.0,137.19,136.94,136.98,137.056,13240,6161
1625066100,136.98,137.0,136.8,136.84,136.885,12028,5829
1625067000,136.85,136.96,136.71,136.73,136.843,13427,5845
1625067900,136.74,136.79,136.63,136.7,136.702,13973,5903
1625068800,136.7,136.84,136.61,136.82,136.733,11827,5781
1625069700,136.83,136.93,136.47,136.57,136.731,13006,5983
1625070600,136.57,136.79,136.51,136.78,136.675,11381,4596
1625071500,136.77,136.82,136.7,136.71,136.751,7556,3592
1625072400,136.71,136.81,136.67,136.8,136.745,7593,3440
1625073300,136.8,136.86,136.76,136.84,136.81,7874,3571
1625074200,136.84,137.05,136.81,136.96,136.946,11510,4736
1625075100,136.95,137.0,136.89,136.99,136.945,7490,3417
1625076000,136.99,137.0,136.72,136.78,136.857,8594,3650
1625076900,136.78,136.96,136.77,136.95,136.848,9348,4756
1625077800,136.94,137.04,136.92,137.03,136.999,9424,3871
1625078700,137.03,137.04,136.87,136.92,136.955,8941,4253
1625079600,136.92,137.09,136.91,137.05,137.017,11852,5548
1625080500,137.06,137.27,137.05,137.23,137.196,15673,7228
1625081400,137.24,137.37,137.16,137.22,137.253,21530,9969
1625082300,137.23,137.41,136.85,136.92,137.111,68338,33457
1625083200,136.92,137.2,136.91,137.02,136.96,95479,253
1625084100,137.02,137.05,136.9,136.95,136.965,460,97
1625085000,136.95,137.0,136.95,136.97,136.98,175,41
1625085900,137.01,137.01,136.92,136.93,136.951,263,48
1625086800,136.93,137.05,136.92,137.0,136.99,69,22
1625087700,137.0,137.0,136.92,136.92,136.971,139,31
1625088600,136.93,137.0,136.92,137.0,136.969,44,23
1625089500,137.0,137.03,137.0,137.02,137.004,26,15
1625090400,137.02,137.02,137.0,137.02,137.008,22,11
1625091300,137.02,137.04,137.0,137.0,137.021,26,14
1625092200,137.04,137.06,137.0,137.03,137.033,57,20
1625093100,137.04,137.08,137.03,137.08,137.071,31,12
1625094000,137.08,137.1,137.08,137.08,137.084,63,13
1625094900,137.08,137.2,137.08,137.1,137.107,90,26
1625095800,137.1,137.18,137.02,137.04,137.102,147,33
1625096700,137.08,137.1,137.01,137.1,137.058,153,22
1625126400,137.27,137.35,137.1,137.14,137.25,125,18
1625127300,137.05,137.05,136.98,137.04,137.013,24,9
1625128200,137.0,137.13,137.0,137.13,137.077,12,6
1625129100,137.1,137.1,137.06,137.06,137.068,7,2
1625130000,136.98,136.98,136.89,136.97,136.937,16,12
1625130900,136.9,136.9,136.82,136.82,136.867,2,2
1625131800,136.84,136.86,136.78,136.84,136.841,46,10
1625132700,136.83,136.83,136.76,136.76,136.795,24,8
1625133600,136.81,136.84,136.78,136.84,136.801,41,14
1625134500,136.85,136.85,136.64,136.64,136.772,84,19
1625135400,136.66,136.69,136.6,136.6,136.621,69,24
1625136300,136.6,136.6,136.48,136.51,136.538,39,15
1625137200,136.59,136.74,136.51,136.69,136.659,273,117
1625138100,136.69,136.75,136.67,136.74,136.705,78,35
1625139000,136.74,136.86,136.74,136.86,136.771,201,79
1625139900,136.86,136.96,136.84,136.94,136.895,233,112
1625140800,136.95,137.05,136.61,136.97,136.877,1461,404
1625141700,136.96,136.96,136.8,136.8,136.876,496,136
1625142600,136.83,136.96,136.79,136.82,136.892,446,159
1625143500,136.8,136.85,136.71,136.79,136.785,415,133
1625144400,136.79,136.88,136.76,136.83,136.823,413,153
1625145300,136.85,136.88,136.41,136.57,136.693,920,292
1625146200,136.57,136.96,136.41,136.68,136.655,43839,17543
1625147100,136.68,137.19,136.62,136.94,136.932,30582,13642
1625148000,136.94,136.94,136.55,136.59,136.709,22623,11041
1625148900,136.59,136.66,136.26,136.56,136.482,21320,9977
1625149800,136.56,136.58,136.32,136.36,136.457,17481,7891
1625150700,136.37,136.52,136.26,136.44,136.407,14689,6592
1625151600,136.45,136.48,135.93,136.03,136.167,20899,8668
1625152500,136.04,136.14,135.76,136.02,135.942,23879,8046
1625153400,136.01,136.23,135.97,136.22,136.078,11907,5251
1625154300,136.21,136.42,136.11,136.32,136.274,11394,5239
1625155200,136.31,136.47,136.31,136.44,136.407,7968,3536
1625156100,136.45,136.53,136.3,136.4,136.423,11213,4890
1625157000,136.4,136.43,136.15,136.25,136.255,10242,4413
1625157900,136.25,136.28,136.04,136.1,136.146,9124,4413
1625158800,136.09,136.21,136.03,136.14,136.124,7816,3887
1625159700,136.15,136.35,136.12,136.27,136.244,6676,3189
1625160600,136.27,136.62,136.25,136.57,136.498,11169,4509
1625161500,136.56,136.58,136.41,136.52,136.513,10973,5185
1625162400,136.53,136.84,136.47,136.74,136.692,12191,5753
1625163300,136.74,136.87,136.68,136.75,136.775,8554,3788
1625164200,136.75,137.0,136.74,137.0,136.891,10357,4718
1625165100,137.0,137.0,136.82,136.99,136.914,10078,4660
1625166000,136.99,137.07,136.88,136.9,136.976,12822,5705
1625166900,136.89,137.03,136.88,136.94,136.97,11804,5428
1625167800,136.95,137.13,136.95,137.03,137.06,15498,7131
1625168700,137.03,137.33,137.01,137.27,137.167,38462,18188
1625169600,137.27,137.32,137.23,137.29,137.27,41751,215
1625170500,137.29,137.31,137.27,137.28,137.271,4657,66
1625171400,137.28,137.41,134.78,137.3,136.527,450,105
1625172300,137.3,137.32,137.27,137.27,137.278,155,35
1625173200,137.27,137.29,137.22,137.24,137.263,64,28
1625174100,137.24,137.25,137.22,137.22,137.247,102,21
1625175000,137.22,137.24,137.22,137.24,137.229,90,18
1625175900,137.24,137.24,137.18,137.24,137.212,59,13
1625176800,137.21,137.26,137.2,137.22,137.234,25,14
1625177700,137.2,137.22,137.15,137.16,137.185,122,35
1625178600,137.17,137.2,137.15,137.2,137.164,45,18
1625179500,137.2,137.24,137.2,137.22,137.228,15,5
1625180400,137.21,137.25,137.21,137.25,137.227,27,14
1625181300,137.24,137.24,137.19,137.19,137.209,13,9
1625182200,137.18,137.19,137.18,137.19,137.182,27,11
1625183100,137.19,137.2,137.11,137.11,137.156,193,48
1625212800,137.27,137.5,137.26,137.4,137.327,72,25
1625213700,137.3,137.3,136.86,137.0,137.03,75,27
1625214600,137.0,137.1,137.0,137.1,137.045,10,6
1625215500,137.09,137.11,137.03,137.1,137.09,22,9
1625216400,137.09,137.1,137.09,137.1,137.095,8,2
1625217300,137.15,137.32,137.15,137.27,137.264,25,12
1625218200,137.2,137.24,137.2,137.2,137.211,27,12
1625219100,137.22,137.28,137.22,137.28,137.261,4,2
1625220000,137.21,137.21,137.17,137.2,137.193,3,3
1625220900,137.26,137.32,137.26,137.31,137.29,17,10
1625221800,137.25,137.32,137.25,137.3,137.308,25,11
1625222700,137.32,137.32,137.3,137.3,137.313,10,6
1625223600,137.29,137.44,137.28,137.38,137.361,231,83
1625224500,137.4,137.5,137.35,137.5,137.442,178,96
1625225400,137.5,137.65,137.45,137.62,137.533,275,142
1625226300,137.62,137.8,137.59,137.76,137.734,347,174
1625227200,137.35,137.98,136.92,137.79,137.695,1200,391
1625228100,137.79,137.88,137.74,137.86,137.803,580,228
1625229000,137.8,138.28,137.7,138.15,138.046,2450,933
1625229900,138.15,138.17,138.04,138.06,138.112,1097,340
1625230800,138.08,138.33,138.07,138.18,138.248,1373,512
1625231700,138.16,138.23,137.56,137.89,137.935,1947,584
1625232600,137.92,138.64,137.74,138.58,138.226,69522,26173
1625233500,138.58,139.07,138.48,139.02,138.731,44506,19501
1625234400,139.02,139.13,138.78,139.0,138.988,40192,17335
1625235300,139.0,139.02,138.57,138.84,138.773,26046,11286
1625236200,138.84,138.84,138.39,138.62,138.595,23397,10376
1625237100,138.62,138.63,138.4,138.59,138.522,18426,7882
1625238000,138.59,138.91,138.57,138.86,138.765,21105,6885
1625238900,138.85,138.86,138.56,138.7,138.695,13922,6573
1625239800,138.69,138.96,138.68,138.96,138.829,15621,6648
1625240700,138.96,139.12,138.91,138.96,138.999,16358,6503
1625241600,138.97,139.22,138.97,139.19,139.119,17416,6973
1625242500,139.18,139.43,139.15,139.31,139.307,23367,8491
1625243400,139.31,139.34,139.16,139.3,139.252,15299,6291
1625244300,139.3,139.62,139.25,139.6,139.472,22625,7897
1625245200,139.6,139.67,139.43,139.54,139.538,16028,6542
1625246100,139.54,139.55,139.35,139.43,139.438,12730,5759
1625247000,139.42,139.6,139.39,139.59,139.466,11679,4988
1625247900,139.58,139.71,139.51,139.67,139.625,13069,5181
1625248800,139.67,139.7,139.51,139.64,139.63,13121,5452
1625249700,139.65,139.81,139.58,139.74,139.691,13280,5512
1625250600,139.74,139.75,139.46,139.51,139.626,12725,5521
1625251500,139.5,139.55,139.37,139.52,139.475,14629,6357
1625252400,139.52,139.65,139.46,139.57,139.562,18761,8651
1625253300,139.57,139.76,139.57,139.68,139.681,23220,9997
1625254200,139.67,139.88,139.63,139.88,139.771,30705,12949
1625255100,139.88,140.0,139.8,139.96,139.936,67895,25980
1625256000,139.96,139.98,139.8,139.81,139.959,71997,298
1625256900,139.84,139.96,139.8,139.9,139.869,406,111
1625257800,139.91,139.94,139.81,139.85,139.87,225,85
1625258700,139.86,139.95,139.81,139.82,139.869,254,75
1625259600,139.82,139.84,139.81,139.83,139.823,121,41
1625260500,139.83,139.85,139.81,139.85,139.831,146,53
1625261400,139.84,139.92,139.84,139.88,139.887,142,46
1625262300,139.87,139.93,139.87,139.93,139.886,89,28
1625263200,139.95,139.95,139.89,139.91,139.912,29,19
1625264100,139.91,139.92,139.8,139.82,139.833,169,43
1625265000,139.82,139.96,139.82,139.89,139.92,98,50
1625265900,139.89,139.9,139.88,139.89,139.893,96,22
1625266800,139.89,139.96,139.86,139.91,139.917,105,34
1625267700,139.88,139.96,139.87,139.96,139.913,149,33
1625268600,139.92,139.96,139.92,139.95,139.928,59,16
1625269500,139.95,139.95,139.85,139.85,139.889,171,56
1625558400,139.5,139.9,139.5,139.81,139.734,102,32
1625559300,139.85,139.85,139.39,139.65,139.708,210,60
1625560200,139.57,139.65,139.56,139.57,139.603,57,27
1625561100,139.57,139.69,139.52,139.69,139.611,24,14
1625562000,139.66,139.8,139.66,139.7,139.719,50,15
1625562900,139.78,139.9,139.78,139.9,139.836,19,9
1625563800,139.89,139.89,139.72,139.72,139.809,17,8
1625564700,139.72,139.72,139.7,139.72,139.713,12,5
1625565600,139.77,139.8,139.73,139.78,139.774,20,10
1625566500,139.77,139.78,139.69,139.7,139.742,42,15
1625567400,139.72,139.74,139.7,139.74,139.728,12,4
1625568300,139.73,140.0,139.73,139.94,139.887,92,40
1625569200,139.92,140.31,139.84,140.25,140.103,1026,376
1625570100,140.23,140.38,140.2,140.33,140.31,678,367
1625571000,140.33,140.33,140.18,140.2,140.26,397,199
1625571900,140.19,140.32,140.19,140.31,140.262,350,166
1625572800,139.94,140.38,139.61,140.38,140.25,1449,380
1625573700,140.35,140.38,140.23,140.31,140.311,652,222
1625574600,140.31,140.35,140.23,140.26,140.278,662,253
1625575500,140.26,140.33,140.1,140.17,140.249,1245,491
1625576400,140.23,140.35,140.1,140.28,140.245,1462,435
