date,open,high,low,close,average,volume,count
20210127,144.72,145.08,136.75,137.43,142.375,1215702,440339
20210128,137.59,142.12,134.5,136.63,139.186,1232516,463071
20210129,135.6,137.43,130.21,131.78,132.697,1478544,586869
20210201,133.52,135.38,131.0,134.05,133.808,929075,352059
20210202,135.51,136.45,134.14,135.35,135.232,699510,261866
20210203,135.6,138.02,133.61,136.56,134.659,734273,267320
20210204,136.38,137.5,134.27,136.99,136.152,703222,248377
20210205,137.03,138.19,135.85,136.68,136.644,633908,239390
20210208,136.68,137.1,134.93,136.6,136.208,603699,214851
20210209,136.4,137.88,135.81,135.93,136.745,577240,201996
20210210,136.7,136.99,134.4,134.92,135.505,581042,224360
20210211,135.44,136.39,133.77,134.91,134.907,533120,201042
20210212,134.79,135.53,133.69,135.43,134.529,511360,190288
20210216,135.78,136.44,132.61,132.65,133.868,675149,248101
20210217,133.0,133.26,129.47,130.88,130.607,802928,318941
20210218,130.5,130.5,127.42,129.0,128.875,797526,302542
20210219,129.75,130.8,128.8,129.72,129.782,735493,263804
20210222,127.8,130.2,125.6,125.82,127.054,879959,333054
20210223,126.0,126.71,118.39,125.5,123.349,1325945,547868
20210224,125.3,127.49,122.23,124.9,124.43,951627,379955
20210225,124.8,126.46,119.82,120.8,122.642,1252173,525432
20210226,121.68,124.85,119.75,121.76,122.931,1382353,533278
20210301,124.3,128.75,121.56,128.75,126.069,1002477,376841
20210302,126.95,128.72,125.0,125.59,126.129,865305,343397
20210303,126.22,126.7,121.25,121.7,123.381,957807,412109
20210304,121.77,123.6,118.0,118.69,120.821,1413557,625942
20210305,119.6,121.94,117.57,121.49,119.814,1286777,573460
20210308,119.24,121.02,116.11,116.84,117.934,1295006,550210
20210309,118.16,122.05,118.11,121.09,120.718,1113039,439011
20210310,121.5,122.17,119.45,119.93,120.335,955327,425055
20210311,122.24,123.21,120.13,122.3,122.068,891011,342040
20210312,120.37,122.12,119.16,121.08,120.252,767352,314888
20210315,121.0,124.56,120.42,124.12,123.0,814467,291407
20210316,124.66,127.22,124.29,125.23,125.942,1007231,384795
20210317,125.0,125.89,122.33,124.95,123.784,976724,394770
20210318,123.36,125.08,120.32,120.55,121.634,1029870,416146
20210319,120.86,121.7,119.67,120.02,120.307,1080234,407467
20210322,120.7,123.87,119.99,123.18,122.789,939797,351888
20210323,123.02,124.24,122.14,122.45,122.988,824035,314354
20210324,122.64,123.52,120.0,120.13,121.221,758554,308267
20210325,120.15,121.66,118.59,120.75,120.244,856895,372620
20210326,121.4,121.5,118.92,121.1,120.248,828849,330983
20210329,120.69,122.58,120.21,121.35,121.453,689147,289980
20210330,120.78,121.7,118.86,119.93,119.706,744715,300723
20210331,121.66,123.52,121.15,122.45,122.609,1021970,388735
20210401,123.45,124.18,122.15,123.0,123.15,654460,249836
20210405,123.12,126.5,122.81,126.5,125.33,777870,295546
20210406,125.33,127.13,125.0,126.33,126.366,712804,266787
20210407,126.51,128.4,125.14,128.4,127.107,733711,280124
20210408,128.61,130.87,128.21,130.87,129.741,783087,306318
20210409,130.29,133.04,129.3,132.91,131.684,934749,347018
20210412,132.99,132.99,130.63,131.03,131.514,803383,276979
20210413,131.03,134.66,130.62,134.22,133.744,802955,288424
20210414,134.88,135.3,131.65,132.15,133.034,754578,291434
20210415,132.77,135.0,132.36,134.37,134.394,783700,280050
20210416,134.29,134.98,133.28,134.09,134.036,737044,234654
20210419,134.24,135.47,133.34,134.98,134.6,798220,279539
20210420,135.0,135.53,131.81,132.3,133.444,826862,330297
20210421,132.59,133.75,131.3,132.9,132.87,615611,238374
20210422,133.4,134.15,131.41,131.88,132.772,752956,295612
20210423,132.15,135.12,132.0,134.29,134.155,696289,261581
20210426,133.9,135.06,133.56,134.9,134.539,583239,212297
20210427,134.89,135.74,134.11,134.79,134.59,587688,222944
20210428,134.31,139.5,133.08,136.7,134.677,948464,359458
20210429,137.0,137.8,132.45,132.68,134.185,1295012,513422
20210430,132.7,133.56,131.06,131.52,132.231,861191,333523
20210503,131.9,134.07,131.5,132.33,132.816,662817,269963
20210504,131.88,132.08,126.7,127.7,127.887,1172152,478685
20210505,128.4,130.45,127.81,127.98,129.234,739702,305961
20210506,128.24,130.23,127.13,130.05,128.638,692233,292140
20210507,129.93,132.0,129.38,130.49,130.446,649972,265395
20210510,129.98,130.18,126.3,126.32,127.827,758085,299800
20210511,124.75,126.85,122.77,125.72,124.912,1012731,423893
20210512,125.71,125.85,122.25,122.79,123.055,987251,401736
20210513,122.1,126.15,121.68,125.03,125.193,943390,385189
20210514,126.0,127.89,125.82,127.79,126.969,740076,269727
20210517,126.96,127.45,125.17,126.3,125.947,669944,240524
20210518,126.99,127.51,124.4,124.4,125.994,540575,221107
20210519,123.83,125.17,122.85,124.3,124.013,800556,329415
20210520,124.91,127.72,124.09,127.55,126.835,647221,264224
20210521,127.56,128.24,125.2,125.31,126.163,701396,269524
20210524,125.86,127.94,125.72,127.29,127.269,563811,223415
20210525,127.99,128.32,126.32,127.11,126.976,558696,216389
20210526,127.27,127.47,126.42,126.7,126.866,496716,186272
20210527,126.36,127.64,125.08,126.04,126.127,821517,240952
20210528,126.04,126.28,124.52,124.61,125.062,636993,241389
20210601,124.65,125.56,123.94,124.06,124.604,545405,217729
20210602,124.24,125.24,123.98,125.08,124.763,514599,203808
20210603,124.88,124.89,123.13,123.54,123.696,604987,251524
20210604,123.52,126.16,123.23,126.01,125.364,646180,231373
20210607,125.64,126.47,124.83,125.96,125.369,621801,243043
20210608,126.1,128.46,125.84,126.64,127.073,665583,258196
20210609,126.5,127.75,126.42,126.98,127.076,497433,187237
20210610,126.82,128.19,125.94,126.28,126.656,646348,262777
20210611,126.33,127.44,126.1,127.4,127.031,479232,182709
