date,open,high,low,close,average,volume,count
1627027200,147.5,147.69,147.5,147.59,147.557,29,12
1627027500,147.57,147.57,147.57,147.57,147.57,4,1
1627027800,147.5,147.5,147.5,147.5,147.5,1,1
1627028100,147.65,147.65,147.56,147.56,147.612,3,3
1627028400,147.56,147.6,147.56,147.6,147.589,4,4
1627028700,147.63,147.69,147.63,147.69,147.648,13,6
1627029000,147.75,147.9,147.75,147.9,147.83,18,13
1627029300,147.89,147.9,147.81,147.89,147.874,18,12
1627029600,147.82,147.82,147.82,147.82,147.82,1,1
1627029900,147.86,147.86,147.84,147.84,147.844,4,4
1627030200,147.84,147.84,147.84,147.84,147.84,5,2
1627030500,147.78,147.78,147.78,147.78,147.78,11,3
1627030800,147.78,147.78,147.78,147.78,147.78,0,0
1627031100,147.75,147.75,147.75,147.75,147.75,2,1
1627031400,147.7,147.85,147.7,147.85,147.791,5,2
1627031700,147.7,147.7,147.7,147.7,147.7,1,1
1627032000,147.8,147.8,147.8,147.8,147.8,2,1
1627032300,147.8,147.8,147.8,147.8,147.8,0,0
1627032600,147.74,147.74,147.65,147.65,147.657,20,7
1627032900,147.64,147.66,147.64,147.66,147.645,9,5
1627033200,147.64,147.64,147.64,147.64,147.64,6,3
1627033500,147.66,147.66,147.66,147.66,147.66,1,1
1627033800,147.66,147.66,147.6,147.61,147.638,14,10
1627034100,147.61,147.61,147.61,147.61,147.61,8,3
1627034400,147.54,147.54,147.54,147.54,147.54,1,1
1627034700,147.54,147.54,147.54,147.54,147.54,0,0
1627035000,147.49,147.49,147.49,147.49,147.49,4,2
1627035300,147.51,147.51,147.51,147.51,147.51,12,6
1627035600,147.51,147.51,147.51,147.51,147.51,0,0
1627035900,147.54,147.54,147.54,147.54,147.54,2,2
1627036200,147.53,147.55,147.53,147.54,147.544,4,3
1627036500,147.55,147.6,147.52,147.6,147.561,3,3
1627036800,147.57,147.6,147.57,147.57,147.591,12,10
1627037100,147.54,147.54,147.52,147.52,147.528,4,3
1627037400,147.52,147.52,147.52,147.52,147.52,4,3
1627037700,147.53,147.55,147.52,147.52,147.525,18,10
1627038000,147.58,147.8,147.53,147.69,147.691,259,97
1627038300,147.68,147.68,147.54,147.57,147.605,106,33
1627038600,147.57,147.57,147.52,147.53,147.536,63,26
1627038900,147.53,147.53,147.4,147.5,147.488,240,76
1627039200,147.5,147.54,147.43,147.43,147.491,105,41
1627039500,147.44,147.5,147.43,147.44,147.457,57,24
1627039800,147.43,147.46,147.33,147.33,147.403,72,41
1627040100,147.38,147.43,147.35,147.36,147.383,38,23
1627040400,147.4,147.42,147.39,147.41,147.405,8,7
1627040700,147.4,147.4,147.35,147.38,147.386,35,20
1627041000,147.4,147.45,147.32,147.45,147.392,37,35
1627041300,147.48,147.51,147.41,147.51,147.472,79,35
1627041600,147.7,147.75,147.32,147.45,147.48,1585,250
1627041900,147.45,147.45,147.36,147.38,147.393,120,65
1627042200,147.38,147.39,147.31,147.39,147.342,171,36
1627042500,147.38,147.38,147.25,147.36,147.325,121,47
1627042800,147.36,147.4,147.27,147.34,147.342,216,83
1627043100,147.34,147.43,147.3,147.38,147.359,115,53
1627043400,147.38,147.49,147.38,147.42,147.446,252,85
1627043700,147.41,147.42,147.36,147.39,147.389,126,47
1627044000,147.36,147.38,147.28,147.31,147.33,200,69
1627044300,147.3,147.34,147.15,147.15,147.295,308,78
1627044600,147.15,147.23,147.13,147.19,147.187,315,83
1627044900,147.18,147.27,147.18,147.21,147.211,198,53
1627045200,147.2,147.22,147.11,147.18,147.157,232,67
1627045500,147.19,147.82,147.16,147.2,147.276,331,66
1627045800,147.22,147.4,147.17,147.4,147.254,516,184
1627046100,147.38,147.39,147.24,147.25,147.307,379,107
1627046400,147.25,147.43,147.24,147.33,147.3,199,76
1627046700,147.34,147.66,147.3,147.53,147.464,411,117
1627047000,147.52,147.87,147.42,147.42,147.574,26648,9172
1627047300,147.44,147.44,146.92,147.37,147.151,18491,7887
1627047600,147.37,147.67,147.09,147.51,147.373,15917,6833
1627047900,147.49,147.81,147.34,147.72,147.603,14048,5359
1627048200,147.73,148.02,147.69,147.77,147.856,20291,7446
1627048500,147.77,147.85,147.57,147.68,147.705,11940,5688
1627048800,147.68,147.84,147.59,147.64,147.712,8693,3556
1627049100,147.64,147.87,147.57,147.82,147.741,8735,3735
1627049400,147.82,147.83,147.6,147.77,147.675,7663,2893
1627049700,147.76,148.01,147.75,147.85,147.887,10847,4750
1627050000,147.85,147.95,147.69,147.85,147.805,6826,2849
1627050300,147.85,148.08,147.83,148.03,147.947,7859,3292
1627050600,148.03,148.11,147.91,147.97,148.024,8337,3358
1627050900,147.97,148.16,147.89,148.09,148.058,7924,3433
1627051200,148.09,148.14,147.89,147.91,147.979,6360,2682
1627051500,147.92,147.94,147.73,147.79,147.814,6794,2769
1627051800,147.78,148.08,147.76,148.03,147.969,8101,3176
1627052100,148.03,148.03,147.81,147.87,147.92,4469,2200
1627052400,147.86,148.04,147.77,147.98,147.957,7184,3087
1627052700,147.99,148.11,147.87,148.04,147.996,6827,2976
1627053000,148.04,148.06,147.82,148.0,147.945,6120,2493
1627053300,148.0,148.17,148.0,148.12,148.095,6851,2740
1627053600,148.11,148.2,148.05,148.14,148.145,6155,2349
1627053900,148.14,148.25,148.13,148.14,148.196,7053,3144
1627054200,148.15,148.27,148.0,148.04,148.176,6498,2986
1627054500,148.05,148.19,148.03,148.1,148.115,4914,2201
1627054800,148.1,148.1,148.01,148.08,148.058,4434,1798
1627055100,148.09,148.17,148.04,148.12,148.11,5172,2448
1627055400,148.13,148.18,148.02,148.05,148.098,3748,1827
1627055700,148.06,148.19,148.06,148.1,148.124,4248,1979
1627056000,148.1,148.17,147.92,147.95,148.036,5138,2460
1627056300,147.94,147.97,147.85,147.87,147.906,4230,1771
1627056600,147.88,147.99,147.86,147.94,147.935,4030,1673
1627056900,147.93,148.16,147.92,148.15,148.058,4528,1664
1627057200,148.15,148.25,148.14,148.23,148.2,4967,2035
1627057500,148.22,148.26,148.06,148.09,148.171,4536,1900
1627057800,148.1,148.21,148.08,148.18,148.166,3066,1255
1627058100,148.19,148.21,148.12,148.21,148.169,3188,1240
1627058400,148.2,148.24,148.12,148.21,148.195,3855,1611
1627058700,148.21,148.25,148.08,148.17,148.176,4267,1970
1627059000,148.18,148.18,148.02,148.06,148.085,3382,1258
1627059300,148.06,148.19,148.04,148.15,148.12,3334,1533
1627059600,148.15,148.21,148.13,148.16,148.181,3109,1451
1627059900,148.17,148.39,148.17,148.39,148.299,5580,2190
1627060200,148.39,148.52,148.38,148.48,148.462,7751,3147
1627060500,148.48,148.62,148.47,148.56,148.538,6120,2220
1627060800,148.56,148.59,148.46,148.52,148.513,4501,1760
1627061100,148.52,148.64,148.48,148.49,148.575,6617,2258
1627061400,148.49,148.5,148.31,148.34,148.362,5037,1924
1627061700,148.34,148.36,148.14,148.22,148.236,6611,2338
1627062000,148.22,148.32,148.17,148.31,148.24,4262,1674
1627062300,148.31,148.49,148.28,148.44,148.395,4816,1965
1627062600,148.46,148.49,148.33,148.47,148.417,3928,1695
1627062900,148.47,148.5,148.38,148.43,148.453,3644,1499
1627063200,148.42,148.53,148.4,148.52,148.465,5124,2404
1627063500,148.52,148.68,148.4,148.66,148.55,5237,2202
1627063800,148.67,148.67,148.59,148.61,148.626,4824,1935
1627064100,148.6,148.61,148.52,148.56,148.563,3775,1655
1627064400,148.56,148.65,148.51,148.63,148.577,3559,1631
1627064700,148.64,148.72,148.58,148.6,148.654,4557,1968
1627065000,148.61,148.62,148.49,148.5,148.548,4225,1566
1627065300,148.5,148.68,148.48,148.61,148.577,3925,1720
1627065600,148.6,148.6,148.41,148.46,148.481,4078,1699
1627065900,148.46,148.48,148.28,148.36,148.358,5890,2128
1627066200,148.35,148.43,148.29,148.31,148.362,3402,1510
1627066500,148.31,148.47,148.3,148.44,148.399,4581,1780
1627066800,148.45,148.47,148.26,148.33,148.354,4756,2533
1627067100,148.32,148.43,148.31,148.43,148.373,3626,1699
1627067400,148.43,148.47,148.28,148.3,148.355,3650,1648
1627067700,148.3,148.36,148.22,148.33,148.276,5141,1973
1627068000,148.33,148.35,148.19,148.28,148.259,4976,2023
1627068300,148.28,148.4,148.19,148.38,148.3,4798,1957
1627068600,148.38,148.47,148.33,148.46,148.387,5455,2545
1627068900,148.46,148.61,148.45,148.55,148.543,6928,3078
1627069200,148.55,148.62,148.48,148.5,148.559,6778,3026
1627069500,148.5,148.56,148.46,148.54,148.508,6149,2921
1627069800,148.55,148.62,148.43,148.48,148.519,13829,6745
1627070100,148.47,148.62,148.41,148.57,148.541,21026,9262
1627070400,148.57,148.57,148.16,148.48,148.557,42471,196
1627070700,148.45,148.56,148.45,148.52,148.541,566,45
1627071000,148.52,148.56,148.41,148.44,148.524,225,38
1627071300,148.42,148.44,148.36,148.38,148.404,269,45
1627071600,148.38,148.41,148.38,148.38,148.391,62,30
1627071900,148.39,148.43,148.38,148.41,148.406,47,18
1627072200,148.42,148.45,148.4,148.44,148.439,116,26
1627072500,148.43,148.43,148.31,148.35,148.366,199,57
1627072800,148.36,148.4,148.31,148.4,148.364,58,21
1627073100,148.42,148.42,148.34,148.34,148.358,43,19
1627073400,148.35,148.36,148.31,148.34,148.339,87,28
1627073700,148.33,148.34,148.3,148.3,148.311,49,24
1627074000,148.3,148.31,148.23,148.23,148.257,139,27
1627074300,148.26,148.26,148.22,148.24,148.244,51,18
1627074600,148.24,148.3,148.23,148.28,148.259,64,25
1627074900,148.28,148.3,148.2,148.22,148.247,276,60
