date,open,high,low,close,average,volume,count
1623331800,9.22,9.25,9.22,9.25,9.23531,5,3
1623331801,9.2665,9.3,9.16,9.25,9.17292,2096,57
1623331802,9.275,9.3,9.202,9.2501,9.23241,30,16
1623331803,9.25,9.28,9.2238,9.278,9.24882,31,21
1623331804,9.21,9.3,9.2,9.22,9.24435,33,25
1623331805,9.23,9.2593,9.22,9.22,9.24026,4,3
1623331806,9.245,9.245,9.21,9.245,9.23287,12,12
1623331807,9.2,9.2899,9.2,9.275,9.22251,37,18
1623331808,9.275,9.2858,9.26,9.26,9.27084,10,4
1623331809,9.26,9.275,9.2,9.275,9.21874,65,20
1623331810,9.263,9.263,9.21,9.21,9.22161,11,6
1623331811,9.21,9.21,9.2,9.2035,9.2047,5,4
1623331812,9.225,9.2494,9.2,9.225,9.23186,39,11
1623331813,9.21,9.21,9.2,9.2,9.20333,3,3
1623331814,9.225,9.2358,9.2,9.2168,9.22823,52,14
1623331815,9.2021,9.21,9.2021,9.21,9.20605,2,2
1623331816,9.205,9.21,9.16,9.17,9.20225,118,32
1623331817,9.1601,9.19,9.1601,9.18,9.17255,4,4
1623331818,9.16,9.16,9.15,9.15,9.15862,7,5
1623331819,9.15,9.15,9.1001,9.1009,9.10584,84,10
1623331820,9.1,9.1,9.1,9.1,9.1,9,6
1623331821,9.1085,9.1085,9.08,9.08,9.0979,11,8
1623331822,9.085,9.085,9.03,9.035,9.04284,84,29
1623331823,9.01,9.06,8.97,9.002,9.00238,448,123
1623331824,9.005,9.005,9.0,9.005,9.0019,43,19
1623331825,9.0,9.01,8.97,9.0,9.00068,133,35
1623331826,9.0,9.01,8.97,9.01,9.00307,194,75
1623331827,9.01,9.04,9.0,9.02,9.01714,142,63
1623331828,9.02,9.14,9.02,9.1397,9.07889,97,52
1623331829,9.14,9.14,9.1221,9.1221,9.13692,14,7
1623331830,9.13,9.14,9.12,9.14,9.12172,83,9
1623331831,9.14,9.27,9.1135,9.1981,9.20284,94,48
