date,open,high,low,close,average,volume,count
1630594800,27.81,27.81,27.81,27.81,27.81,0,0
1630594801,27.8,27.83,27.8,27.83,27.811,24,14
1630594802,27.83,27.83,27.83,27.83,27.83,0,0
1630594803,27.83,27.83,27.83,27.83,27.83,3,3
1630594804,27.83,27.83,27.83,27.83,27.83,0,0
1630594805,27.84,27.84,27.81,27.83,27.829,52,46
1630594806,27.83,27.83,27.83,27.83,27.83,3,3
1630594807,27.83,27.83,27.83,27.83,27.83,8,7
1630594808,27.83,27.83,27.83,27.83,27.83,0,0
1630594809,27.83,27.84,27.82,27.84,27.828,8,2
1630594810,27.84,27.84,27.83,27.84,27.84,0,0
1630594811,27.84,27.84,27.83,27.84,27.835,1,1
1630594812,27.84,27.84,27.83,27.84,27.84,0,0
1630594813,27.84,27.84,27.83,27.84,27.84,0,0
1630594814,27.84,27.84,27.83,27.84,27.84,0,0
1630594815,27.84,27.84,27.83,27.84,27.84,0,0
1630594816,27.84,27.85,27.84,27.85,27.849,15,13
1630594817,27.85,27.85,27.85,27.85,27.85,2,2
1630594818,27.85,27.85,27.85,27.85,27.85,2,2
1630594819,27.85,27.85,27.85,27.85,27.85,0,0
1630594820,27.85,27.86,27.85,27.86,27.854,41,9
1630594821,27.85,27.85,27.85,27.85,27.85,3,1
1630594822,27.88,27.88,27.87,27.88,27.88,35,1
1630594823,27.86,27.86,27.84,27.84,27.853,5,3
1630594824,27.87,27.89,27.87,27.89,27.881,26,17
1630594825,27.88,27.89,27.88,27.89,27.883,9,4
1630594826,27.89,27.89,27.88,27.89,27.885,12,1
1630594827,27.88,27.89,27.88,27.88,27.88,27,13
1630594828,27.87,27.87,27.85,27.85,27.861,12,10
1630594829,27.85,27.85,27.84,27.84,27.844,4,4
1630594830,27.85,27.85,27.84,27.85,27.845,3,1
1630594831,27.85,27.85,27.84,27.85,27.85,0,0
1630594832,27.85,27.85,27.85,27.85,27.85,1,1
1630594833,27.85,27.85,27.85,27.85,27.85,0,0
1630594834,27.85,27.85,27.85,27.85,27.85,0,0
1630594835,27.84,27.85,27.84,27.84,27.841,10,1
1630594836,27.84,27.85,27.84,27.84,27.84,0,0
1630594837,27.84,27.85,27.84,27.84,27.84,0,0
1630594838,27.84,27.85,27.83,27.83,27.839,21,14
1630594839,27.83,27.83,27.83,27.83,27.83,0,0
1630594840,27.83,27.83,27.83,27.83,27.83,0,0
1630594841,27.82,27.84,27.82,27.83,27.824,8,7
1630594842,27.84,27.84,27.83,27.84,27.835,1,1
1630594843,27.84,27.84,27.83,27.84,27.835,1,1
1630594844,27.84,27.84,27.83,27.84,27.835,3,1
1630594845,27.82,27.83,27.82,27.82,27.82,35,1
1630594846,27.82,27.83,27.82,27.82,27.82,0,0
1630594847,27.82,27.84,27.82,27.84,27.825,15,6
1630594848,27.85,27.86,27.85,27.86,27.851,10,10
1630594849,27.86,27.86,27.85,27.86,27.855,1,1
1630594850,27.86,27.86,27.86,27.86,27.86,1,1
1630594851,27.86,27.86,27.86,27.86,27.86,3,1
1630594852,27.86,27.86,27.86,27.86,27.86,0,0
1630594853,27.87,27.88,27.86,27.87,27.871,10,8
1630594854,27.88,27.9,27.87,27.9,27.898,44,22
1630594855,27.9,27.9,27.9,27.9,27.9,0,0
1630594856,27.91,27.91,27.89,27.9,27.909,62,23
1630594857,27.89,27.89,27.87,27.88,27.885,22,15
1630594858,27.88,27.88,27.88,27.88,27.88,0,0
1630594859,27.88,27.88,27.88,27.88,27.88,0,0
1630594860,27.88,27.88,27.88,27.88,27.88,0,0
1630594861,27.86,27.86,27.83,27.84,27.846,16,9
1630594862,27.84,27.85,27.83,27.85,27.838,4,4
1630594863,27.85,27.86,27.85,27.86,27.853,4,2
1630594864,27.87,27.87,27.83,27.85,27.856,11,3
1630594865,27.85,27.85,27.84,27.84,27.848,4,2
1630594866,27.84,27.84,27.84,27.84,27.84,0,0
1630594867,27.85,27.85,27.85,27.85,27.85,2,1
1630594868,27.85,27.85,27.85,27.85,27.85,0,0
1630594869,27.85,27.85,27.85,27.85,27.85,0,0
1630594870,27.85,27.85,27.85,27.85,27.85,0,0
1630594871,27.85,27.85,27.85,27.85,27.85,3,1
1630594872,27.85,27.85,27.85,27.85,27.85,11,3
1630594873,27.85,27.85,27.85,27.85,27.85,1,1
1630594874,27.84,27.84,27.84,27.84,27.84,1,1
1630594875,27.83,27.84,27.83,27.83,27.832,35,1
1630594876,27.85,27.85,27.83,27.84,27.833,26,20
1630594877,27.84,27.84,27.84,27.84,27.84,0,0
1630594878,27.83,27.84,27.83,27.84,27.832,10,9
1630594879,27.84,27.84,27.84,27.84,27.84,2,2
1630594880,27.84,27.86,27.84,27.85,27.849,6,6
1630594881,27.85,27.85,27.85,27.85,27.85,1,1
1630594882,27.85,27.86,27.85,27.86,27.854,6,2
