date,open,high,low,close,average,volume,count
1629457200,31.86,31.86,31.86,31.86,31.86,1,1
1629458100,31.86,31.86,31.86,31.86,31.86,0,0
1629459000,31.86,31.86,31.86,31.86,31.86,0,0
1629459900,31.86,31.86,31.86,31.86,31.86,0,0
1629460800,31.9,31.9,31.9,31.9,31.9,1,1
1629461700,31.97,31.98,31.9,31.9,31.942,3,2
1629462600,31.9,31.9,31.9,31.9,31.9,0,0
1629463500,31.83,31.83,31.61,31.83,31.658,107,7
1629464400,31.83,31.83,31.83,31.83,31.83,0,0
1629465300,31.79,31.79,31.6,31.6,31.695,2,2
1629466200,31.65,31.89,31.56,31.79,31.706,1807,826
1629467100,31.81,32.07,31.76,31.84,31.904,1074,667
1629468000,31.84,32.13,31.8,31.9,32.025,2273,1491
1629468900,31.88,31.98,31.79,31.87,31.884,937,688
1629469800,31.87,32.03,31.7,31.73,31.904,745,552
1629470700,31.74,31.85,31.67,31.79,31.741,1018,665
1629471600,31.82,31.85,31.66,31.72,31.794,1593,953
1629472500,31.73,31.92,31.72,31.9,31.798,709,476
1629473400,31.91,32.11,31.91,32.09,32.071,1668,680
1629474300,32.1,32.22,32.06,32.22,32.141,703,474
1629475200,32.22,32.27,32.14,32.15,32.196,487,395
1629476100,32.15,32.25,32.06,32.24,32.15,427,355
1629477000,32.25,32.32,32.19,32.25,32.253,682,445
1629477900,32.25,32.35,32.23,32.27,32.293,447,305
1629478800,32.26,32.36,32.25,32.35,32.297,437,328
1629479700,32.36,32.43,32.33,32.34,32.376,493,369
1629480600,32.34,32.34,32.08,32.15,32.185,623,478
1629481500,32.15,32.27,32.15,32.16,32.203,406,305
1629482400,32.16,32.36,32.15,32.32,32.304,338,259
1629483300,32.33,32.35,32.26,32.29,32.309,335,286
1629484200,32.29,32.34,32.25,32.26,32.306,356,304
1629485100,32.25,32.38,32.24,32.3,32.316,820,464
1629486000,32.3,32.34,32.21,32.32,32.284,439,360
1629486900,32.32,32.34,32.22,32.32,32.285,496,382
1629487800,32.32,32.32,32.24,32.3,32.286,835,601
1629488700,32.3,32.39,32.27,32.37,32.32,3698,2373
1629489600,32.37,32.37,32.37,32.37,32.37,2053,5
1629490500,32.37,32.37,32.37,32.37,32.37,1,1
1629491400,32.37,32.37,32.37,32.37,32.37,0,0
1629492300,32.31,32.31,32.31,32.31,32.31,3,2
1629493200,32.31,32.31,32.31,32.31,32.31,0,0
1629494100,32.31,32.31,32.31,32.31,32.31,0,0
1629495000,32.31,32.31,32.31,32.31,32.31,0,0
1629495900,32.31,32.31,32.31,32.31,32.31,0,0
1629496800,32.31,32.31,32.31,32.31,32.31,0,0
1629497700,32.31,32.31,32.31,32.31,32.31,0,0
1629498600,32.31,32.31,32.31,32.31,32.31,0,0
1629499500,32.31,32.31,32.31,32.31,32.31,0,0
1629500400,32.31,32.31,32.31,32.31,32.31,0,0
1629501300,32.31,32.31,32.31,32.31,32.31,0,0
1629502200,32.31,32.31,32.31,32.31,32.31,0,0
1629503100,32.31,32.31,32.31,32.31,32.31,0,0
1629705600,32.43,32.45,32.43,32.45,32.437,5,3
1629706500,32.46,32.47,32.46,32.47,32.462,8,2
1629707400,32.47,32.47,32.47,32.47,32.47,0,0
1629708300,32.47,32.47,32.47,32.47,32.47,0,0
1629709200,32.47,32.47,32.47,32.47,32.47,0,0
1629710100,32.47,32.47,32.47,32.47,32.47,0,0
1629711000,32.47,32.47,32.47,32.47,32.47,0,0
1629711900,32.47,32.47,32.47,32.47,32.47,0,0
1629712800,32.47,32.47,32.47,32.47,32.47,0,0
1629713700,32.8,32.8,32.8,32.8,32.8,1,1
1629714600,32.8,32.8,32.8,32.8,32.8,0,0
1629715500,33.3,33.3,33.3,33.3,33.3,2,1
1629716400,33.3,33.3,33.3,33.3,33.3,0,0
1629717300,33.3,33.3,33.3,33.3,33.3,0,0
1629718200,33.3,33.3,33.3,33.3,33.3,0,0
1629719100,33.3,33.3,33.3,33.3,33.3,0,0
1629720000,32.69,32.69,32.55,32.69,32.638,12,8
1629720900,32.54,32.54,32.54,32.54,32.54,2,1
1629721800,32.79,32.79,32.78,32.78,32.788,5,2
1629722700,32.78,32.78,32.65,32.65,32.767,10,2
1629723600,32.74,32.78,32.74,32.78,32.757,7,2
1629724500,32.77,32.77,32.52,32.52,32.674,54,24
1629725400,32.75,32.87,32.46,32.87,32.673,1610,663
1629726300,32.85,33.11,32.68,33.09,32.899,1585,994
1629727200,33.09,33.25,33.03,33.18,33.142,1585,1102
1629728100,33.19,33.25,32.75,32.79,33.127,1876,970
1629729000,32.79,32.93,32.7,32.91,32.792,632,469
