date,open,high,low,close,average,volume,count
1647264600,29.82,29.85,29.78,29.78,29.82,1194,19
1647264601,29.83,29.83,29.77,29.83,29.819,77,21
1647264602,29.78,29.83,29.78,29.83,29.818,6,2
1647264603,29.79,29.82,29.75,29.82,29.775,14,13
1647264604,29.83,29.83,29.77,29.82,29.798,28,15
1647264605,29.76,29.76,29.69,29.73,29.73,29,17
1647264606,29.67,29.73,29.67,29.68,29.693,6,5
1647264607,29.66,29.66,29.66,29.66,29.66,2,2
1647264608,29.72,29.72,29.65,29.67,29.696,23,14
1647264609,29.65,29.73,29.6,29.6,29.638,113,26
1647264610,29.64,29.65,29.6,29.6,29.611,31,11
1647264611,29.6,29.68,29.6,29.67,29.639,22,2
1647264612,29.62,29.66,29.62,29.66,29.647,3,3
1647264613,29.65,29.69,29.64,29.69,29.653,6,3
1647264614,29.65,29.66,29.64,29.65,29.654,6,5
1647264615,29.62,29.62,29.49,29.49,29.521,43,30
1647264616,29.5,29.5,29.34,29.34,29.401,50,17
1647264617,29.35,29.39,29.29,29.39,29.321,69,16
1647264618,29.36,29.46,29.25,29.25,29.379,85,23
1647264619,29.26,29.26,29.26,29.26,29.26,5,1
1647264620,29.3,29.3,29.3,29.3,29.3,1,1
1647264621,29.32,29.33,29.3,29.3,29.322,10,10
1647264622,29.38,29.38,29.37,29.38,29.375,1,1
1647264623,29.38,29.38,29.37,29.38,29.37,0,0
1647264624,29.38,29.38,29.37,29.38,29.37,0,0
1647264625,29.43,29.43,29.41,29.41,29.415,4,2
1647264626,29.37,29.38,29.37,29.37,29.37,4,1
1647264627,29.42,29.51,29.41,29.46,29.469,88,66
1647264628,29.52,29.56,29.52,29.54,29.555,24,5
1647264629,29.47,29.48,29.47,29.47,29.47,3,1
1647264630,29.53,29.53,29.53,29.53,29.53,3,3
1647264631,29.54,29.58,29.54,29.58,29.56,2,2
1647264632,29.58,29.58,29.58,29.58,29.58,0,0
1647264633,29.53,29.53,29.44,29.47,29.469,20,17
1647264634,29.4,29.56,29.4,29.5,29.437,130,54
1647264635,29.48,29.51,29.48,29.51,29.491,6,6
1647264636,29.43,29.44,29.43,29.43,29.434,1,1
1647264637,29.49,29.49,29.49,29.49,29.49,6,1
1647264638,29.49,29.49,29.49,29.49,29.49,1,1
1647264639,29.49,29.49,29.48,29.49,29.485,2,1
1647264640,29.49,29.49,29.42,29.42,29.441,9,8
1647264641,29.42,29.42,29.42,29.42,29.42,0,0
1647264642,29.42,29.42,29.42,29.42,29.42,0,0
1647264643,29.44,29.44,29.36,29.36,29.392,5,2
1647264644,29.43,29.44,29.36,29.36,29.414,4,2
1647264645,29.55,29.55,29.28,29.28,29.308,26,15
1647264646,29.39,29.42,29.35,29.42,29.369,7,5
1647264647,29.42,29.42,29.42,29.42,29.42,5,1
1647264648,29.37,29.38,29.37,29.38,29.375,2,2
1647264649,29.38,29.38,29.38,29.38,29.38,0,0
1647264650,29.38,29.38,29.35,29.35,29.358,22,4
1647264651,29.35,29.36,29.3,29.3,29.319,22,11
1647264652,29.25,29.25,29.24,29.25,29.245,2,2
1647264653,29.25,29.26,29.25,29.25,29.25,1,1
1647264654,29.25,29.25,29.25,29.25,29.25,1,1
1647264655,29.29,29.29,29.29,29.29,29.29,1,1
1647264656,29.23,29.24,29.22,29.23,29.227,24,20
1647264657,29.21,29.28,29.15,29.28,29.198,74,31
1647264658,29.28,29.28,29.27,29.28,29.28,0,0
1647264659,29.3,29.3,29.22,29.22,29.269,5,2
1647264660,29.22,29.23,29.22,29.22,29.22,0,0
1647264661,29.28,29.29,29.28,29.28,29.283,10,1
1647264662,29.22,29.22,29.22,29.22,29.22,15,1
1647264663,29.21,29.21,29.19,29.2,29.198,7,3
1647264664,29.2,29.2,29.19,29.2,29.2,0,0
1647264665,29.24,29.24,29.06,29.06,29.164,48,20
1647264666,29.1,29.13,29.1,29.12,29.119,24,11
1647264667,29.1,29.14,29.1,29.1,29.111,25,9
1647264668,29.12,29.14,29.08,29.08,29.1,23,5
1647264669,29.1,29.1,28.94,28.94,29.018,124,60
1647264670,28.94,28.95,28.88,28.9,28.909,21,17
1647264671,28.89,28.96,28.84,28.92,28.885,90,31
1647264672,28.85,28.93,28.85,28.89,28.889,20,5
1647264673,28.94,29.05,28.9,28.99,28.979,84,52
1647264674,29.0,29.02,28.92,28.96,28.963,44,23
1647264675,28.97,29.01,28.93,28.93,28.962,12,7
1647264676,28.97,28.99,28.89,28.99,28.936,5,5
1647264677,28.93,29.07,28.93,29.04,29.004,100,74
1647264678,29.07,29.07,28.91,28.95,29.002,118,17
1647264679,28.94,28.99,28.91,28.93,28.939,51,8
1647264680,28.93,28.99,28.88,28.94,28.95,74,46
1647264681,28.98,28.99,28.97,28.99,28.985,24,15
1647264682,28.98,28.98,28.9,28.9,28.945,7,6
1647264683,28.95,28.95,28.78,28.78,28.836,39,28
1647264684,28.86,28.86,28.84,28.85,28.854,2,2
1647264685,28.8,28.83,28.8,28.83,28.807,23,4
1647264686,28.79,28.83,28.79,28.83,28.814,4,4
1647264687,28.82,28.82,28.81,28.82,28.815,1,1
