date,open,high,low,close,average,volume,count
1654158900,24.76,24.85,24.76,24.85,24.83,4,2
1654159200,24.85,24.85,24.85,24.85,24.85,0,0
1654159500,24.81,24.81,24.7,24.7,24.793,7,3
1654159800,24.66,24.66,24.65,24.65,24.657,4,3
1654160100,24.6,24.6,24.6,24.6,24.6,4,1
1654160400,24.6,24.6,24.6,24.6,24.6,0,0
1654160700,24.6,24.6,24.6,24.6,24.6,0,0
1654161000,24.6,24.6,24.6,24.6,24.6,0,0
1654161300,24.6,24.6,24.6,24.6,24.6,0,0
1654161600,24.64,24.64,24.64,24.64,24.64,3,2
1654161900,24.56,24.56,24.56,24.56,24.56,2,1
1654162200,24.58,24.58,24.58,24.58,24.58,1,1
1654162500,24.64,24.65,24.64,24.64,24.643,4,4
1654162800,24.64,24.64,24.64,24.64,24.64,0,0
1654163100,24.64,24.64,24.64,24.64,24.64,0,0
1654163400,24.64,24.64,24.64,24.64,24.64,0,0
1654163700,24.64,24.64,24.64,24.64,24.64,0,0
1654164000,24.64,24.64,24.64,24.64,24.64,0,0
1654164300,24.69,24.69,24.69,24.69,24.69,2,1
1654164600,24.69,24.7,24.69,24.7,24.693,4,3
1654164900,24.7,24.7,24.7,24.7,24.7,0,0
1654165200,24.71,24.71,24.69,24.69,24.702,48,14
1654165500,24.69,24.69,24.69,24.69,24.69,0,0
1654165800,24.69,24.69,24.69,24.69,24.69,0,0
1654166100,24.66,24.66,24.66,24.66,24.66,5,1
1654166400,24.66,24.66,24.66,24.66,24.66,0,0
1654166700,24.61,24.61,24.61,24.61,24.61,2,1
1654167000,24.61,24.61,24.61,24.61,24.61,0,0
1654167300,24.62,24.7,24.61,24.7,24.675,26,6
1654167600,24.79,24.8,24.64,24.64,24.732,45,19
1654167900,24.64,24.65,24.6,24.65,24.63,16,7
1654168200,24.63,24.63,24.6,24.6,24.605,49,28
1654168500,24.6,24.6,24.42,24.44,24.528,59,30
1654168800,24.43,24.53,24.4,24.53,24.462,23,7
1654169100,24.51,24.51,24.49,24.49,24.501,9,5
1654169400,24.5,24.53,24.48,24.53,24.507,15,9
1654169700,24.53,24.53,24.53,24.53,24.53,0,0
1654170000,24.6,24.6,24.57,24.58,24.586,7,6
1654170300,24.6,24.6,24.59,24.59,24.596,34,16
1654170600,24.53,24.53,24.49,24.5,24.503,33,13
1654170900,24.5,24.59,24.49,24.58,24.531,9,6
1654171200,24.6,24.85,24.39,24.53,24.591,167,31
1654171500,24.51,24.6,24.46,24.52,24.503,106,21
1654171800,24.52,24.53,24.41,24.41,24.496,30,6
1654172100,24.55,24.55,24.48,24.48,24.493,60,17
1654172400,24.42,24.48,24.42,24.48,24.43,6,2
1654172700,24.44,24.45,24.43,24.45,24.442,15,5
1654173000,24.43,24.48,24.41,24.41,24.432,43,9
1654173300,24.4,24.4,24.35,24.39,24.37,51,16
1654173600,24.4,24.41,24.39,24.39,24.404,18,10
1654173900,24.4,24.4,24.35,24.35,24.368,14,8
1654174200,24.4,24.4,24.31,24.31,24.339,73,17
1654174500,24.3,24.34,24.15,24.15,24.268,44,20
1654174800,24.11,24.16,24.06,24.12,24.117,95,30
1654175100,24.12,24.12,23.69,23.96,23.903,180,64
