date,open,high,low,close,average,volume,count
1625146200,20.9,20.9,20.8,20.85,20.891,37,7
1625146260,20.85,20.85,20.85,20.85,20.85,0,0
1625146320,20.87,20.87,20.86,20.87,20.865,1,1
1625146380,20.87,20.87,20.87,20.87,20.87,0,0
1625146440,20.87,20.87,20.87,20.87,20.87,0,0
1625146500,20.87,20.87,20.87,20.87,20.87,0,0
1625146560,21.0,21.0,21.0,21.0,21.0,1,1
1625146620,20.89,21.21,20.88,21.21,21.047,8,8
1625146680,21.21,21.21,20.87,20.87,21.042,3,3
1625146740,20.87,20.87,20.87,20.87,20.87,0,0
1625146800,21.21,21.22,21.06,21.22,21.168,8,8
1625146860,21.19,21.22,21.09,21.09,21.201,16,8
1625146920,21.09,21.09,21.09,21.09,21.09,0,0
1625146980,21.09,21.09,21.09,21.09,21.09,0,0
1625147040,21.11,21.11,21.11,21.11,21.11,2,2
1625147100,20.99,20.99,20.86,20.86,20.954,4,4
1625147160,21.01,21.01,21.01,21.01,21.01,1,1
1625147220,21.01,21.01,21.01,21.01,21.01,0,0
1625147280,21.01,21.01,21.01,21.01,21.01,0,0
1625147340,20.96,21.01,20.95,20.96,20.971,5,5
1625147400,20.91,20.92,20.86,20.92,20.885,22,22
1625147460,20.92,20.95,20.89,20.95,20.938,21,20
1625147520,20.95,20.95,20.95,20.95,20.95,0,0
1625147580,21.02,21.02,21.01,21.02,21.017,10,1
1625147640,21.03,21.03,20.92,20.93,20.978,4,3
1625147700,20.96,20.96,20.96,20.96,20.96,1,1
1625147760,20.96,20.96,20.96,20.96,20.96,2,2
1625147820,20.91,20.91,20.9,20.9,20.905,2,2
1625147880,20.82,20.82,20.82,20.82,20.82,1,1
1625147940,20.82,20.82,20.82,20.82,20.82,1,1
1625148000,20.82,20.82,20.82,20.82,20.82,0,0
1625148060,20.99,20.99,20.85,20.85,20.971,20,4
1625148120,20.85,20.85,20.85,20.85,20.85,0,0
1625148180,20.87,20.87,20.71,20.76,20.842,43,11
1625148240,20.79,20.86,20.79,20.86,20.82,31,13
1625148300,20.9,20.9,20.86,20.9,20.885,4,4
1625148360,20.9,20.9,20.9,20.9,20.9,0,0
1625148420,20.93,20.93,20.93,20.93,20.93,2,2
1625148480,20.93,20.93,20.92,20.92,20.925,2,2
