date,open,high,low,close,average,volume,count
1624003380,5.93,5.93,5.93,5.93,5.93,10,1
1624003440,5.81,5.81,5.81,5.81,5.81,1,1
1624003500,5.81,5.81,5.81,5.81,5.81,0,0
1624003560,5.81,5.81,5.81,5.81,5.81,0,0
1624003620,5.81,5.81,5.81,5.81,5.81,0,0
1624003680,5.81,5.81,5.81,5.81,5.81,0,0
1624003740,5.81,5.81,5.81,5.81,5.81,0,0
1624003800,5.81,5.81,5.81,5.81,5.81,0,0
1624003860,5.81,5.81,5.81,5.81,5.81,0,0
1624003920,5.81,5.81,5.81,5.81,5.81,0,0
1624003980,5.84,5.93,5.82,5.93,5.829,36,8
1624004040,5.93,5.93,5.93,5.93,5.93,3,1
1624004100,5.93,5.93,5.93,5.93,5.93,0,0
1624004160,5.93,5.93,5.93,5.93,5.93,0,0
1624004220,5.93,5.93,5.93,5.93,5.93,0,0
1624004280,5.93,5.93,5.93,5.93,5.93,0,0
1624004340,5.93,5.93,5.93,5.93,5.93,0,0
1624004400,5.91,5.91,5.91,5.91,5.91,1,1
1624004460,5.91,5.91,5.91,5.91,5.91,0,0
1624004520,5.91,5.91,5.91,5.91,5.91,0,0
1624004580,5.91,5.91,5.91,5.91,5.91,0,0
1624004640,5.91,5.91,5.91,5.91,5.91,0,0
1624004700,5.91,5.91,5.91,5.91,5.91,0,0
1624004760,5.91,5.91,5.91,5.91,5.91,0,0
1624004820,5.89,5.89,5.89,5.89,5.89,7,2
1624004880,5.89,5.89,5.89,5.89,5.89,0,0
1624004940,5.89,5.89,5.89,5.89,5.89,0,0
1624005000,5.91,5.91,5.9,5.9,5.904,5,3
1624005060,5.9,5.9,5.9,5.9,5.9,0,0
1624005120,5.9,5.9,5.9,5.9,5.9,0,0
1624005180,5.9,5.9,5.9,5.9,5.9,0,0
1624005240,5.9,5.9,5.9,5.9,5.9,1,1
1624005300,5.9,5.9,5.9,5.9,5.9,0,0
1624005360,5.9,5.9,5.9,5.9,5.9,0,0
1624005420,5.9,5.9,5.9,5.9,5.9,0,0
1624005480,5.9,5.9,5.9,5.9,5.9,0,0
1624005540,5.9,5.9,5.9,5.9,5.9,0,0
1624005600,5.9,5.9,5.9,5.9,5.9,0,0
1624005660,5.9,5.9,5.9,5.9,5.9,0,0
1624005720,5.9,5.9,5.9,5.9,5.9,0,0
1624005780,5.93,5.94,5.93,5.94,5.933,3,2
1624005840,5.95,5.95,5.95,5.95,5.95,1,1
1624005900,5.95,5.95,5.95,5.95,5.95,0,0
1624005960,5.95,5.95,5.95,5.95,5.95,0,0
1624006020,5.95,5.95,5.95,5.95,5.95,0,0
1624006080,5.95,5.95,5.95,5.95,5.95,0,0
1624006140,5.95,5.95,5.95,5.95,5.95,0,0
1624006200,5.95,5.95,5.95,5.95,5.95,0,0
1624006260,5.95,5.95,5.95,5.95,5.95,0,0
1624006320,5.95,5.95,5.95,5.95,5.95,0,0
1624006380,5.95,5.95,5.95,5.95,5.95,0,0
1624006440,5.95,5.95,5.95,5.95,5.95,2,1
1624006500,5.95,5.95,5.95,5.95,5.95,0,0
1624006560,5.95,5.95,5.95,5.95,5.95,0,0
1624006620,5.95,5.95,5.95,5.95,5.95,0,0
1624006680,5.95,5.95,5.95,5.95,5.95,0,0
1624006740,5.95,5.95,5.95,5.95,5.95,0,0
1624006800,5.95,5.95,5.95,5.95,5.95,0,0
1624006860,5.95,5.95,5.95,5.95,5.95,0,0
1624006920,5.95,5.95,5.95,5.95,5.95,0,0
1624006980,5.95,5.95,5.95,5.95,5.95,0,0
1624007040,5.95,5.95,5.95,5.95,5.95,0,0
1624007100,5.95,5.95,5.95,5.95,5.95,0,0
1624007160,5.95,5.95,5.95,5.95,5.95,0,0
1624007220,5.95,5.95,5.95,5.95,5.95,0,0
1624007280,5.95,5.95,5.95,5.95,5.95,0,0
1624007340,5.95,5.95,5.95,5.95,5.95,0,0
1624007400,5.95,5.95,5.95,5.95,5.95,0,0
1624007460,5.95,5.95,5.95,5.95,5.95,0,0
1624007520,5.95,5.95,5.95,5.95,5.95,0,0
1624007580,5.95,5.95,5.95,5.95,5.95,0,0
1624007640,5.95,5.95,5.95,5.95,5.95,0,0
1624007700,5.95,5.95,5.95,5.95,5.95,0,0
1624007760,5.95,5.95,5.95,5.95,5.95,0,0
1624007820,5.95,5.95,5.95,5.95,5.95,0,0
1624007880,5.95,5.95,5.95,5.95,5.95,0,0
1624007940,5.92,5.92,5.92,5.92,5.92,1,1
1624008000,5.92,5.92,5.92,5.92,5.92,0,0
1624008060,5.92,5.92,5.92,5.92,5.92,0,0
1624008120,5.92,5.92,5.92,5.92,5.92,0,0
1624008180,5.92,5.92,5.92,5.92,5.92,0,0
1624008240,5.95,5.95,5.95,5.95,5.95,1,1
1624008300,5.95,5.95,5.95,5.95,5.95,0,0
1624008360,5.95,5.95,5.95,5.95,5.95,0,0
1624008420,5.95,5.95,5.95,5.95,5.95,0,0
1624008480,5.95,5.95,5.95,5.95,5.95,0,0
1624008540,5.95,5.95,5.95,5.95,5.95,0,0
1624008600,5.95,5.95,5.95,5.95,5.95,0,0
