date,open,high,low,close,average,volume,count
1624372200,11.4,11.49,11.38,11.41,11.408,120,20
1624372201,11.42,11.44,11.32,11.33,11.373,189,53
1624372202,11.32,11.38,11.32,11.33,11.328,257,66
1624372203,11.33,11.4,11.21,11.4,11.299,534,185
1624372204,11.24,11.29,11.2,11.22,11.226,273,71
1624372205,11.24,11.27,11.2,11.24,11.225,276,60
1624372206,11.21,11.25,11.2,11.2,11.222,115,26
1624372207,11.21,11.25,11.2,11.21,11.219,185,35
1624372208,11.22,11.27,11.21,11.22,11.234,121,44
1624372209,11.21,11.3,11.21,11.25,11.256,165,47
1624372210,11.23,11.3,11.23,11.29,11.267,64,21
1624372211,11.29,11.3,11.25,11.27,11.265,84,33
1624372212,11.26,11.29,11.25,11.25,11.277,134,26
1624372213,11.26,11.26,11.13,11.13,11.201,336,112
1624372214,11.13,11.22,11.06,11.1,11.101,252,73
1624372215,11.1,11.22,11.06,11.08,11.114,449,103
1624372216,11.12,11.13,11.08,11.1,11.106,330,85
1624372217,11.1,11.11,11.09,11.1,11.097,156,39
1624372218,11.1,11.18,11.1,11.12,11.117,79,29
1624372219,11.16,11.16,11.11,11.13,11.136,162,29
1624372220,11.15,11.15,11.11,11.12,11.119,44,15
1624372221,11.14,11.15,11.1,11.11,11.127,99,14
1624372222,11.15,11.15,11.12,11.14,11.137,92,13
1624372223,11.13,11.19,11.13,11.17,11.153,183,34
1624372224,11.18,11.21,11.17,11.2,11.189,93,24
1624372225,11.21,11.21,11.15,11.15,11.182,161,29
1624372226,11.14,11.18,11.12,11.17,11.14,163,36
1624372227,11.11,11.15,11.11,11.12,11.125,5,4
1624372228,11.12,11.16,11.11,11.13,11.132,80,22
1624372229,11.13,11.14,11.1,11.12,11.117,34,15
1624372230,11.13,11.14,11.1,11.14,11.119,18,7
1624372231,11.12,11.14,11.11,11.12,11.118,98,17
1624372232,11.14,11.14,11.12,11.14,11.133,35,6
1624372233,11.13,11.14,11.12,11.13,11.13,16,4
1624372234,11.13,11.16,11.12,11.15,11.143,112,32
1624372235,11.14,11.17,11.13,11.16,11.152,67,18
1624372236,11.16,11.17,11.13,11.16,11.16,36,17
1624372237,11.16,11.17,11.15,11.17,11.16,41,7
1624372238,11.16,11.18,11.15,11.15,11.163,53,12
1624372239,11.16,11.18,11.16,11.16,11.167,21,8
1624372240,11.16,11.16,11.11,11.11,11.132,95,30
1624372241,11.11,11.12,11.07,11.09,11.099,259,78
1624372242,11.08,11.09,11.03,11.04,11.053,163,48
1624372243,11.03,11.07,11.02,11.04,11.035,94,26
1624372244,11.04,11.06,11.02,11.06,11.036,179,39
1624372245,11.05,11.06,11.02,11.04,11.044,155,44
1624372246,11.06,11.06,11.02,11.04,11.038,175,30
1624372247,11.03,11.05,11.02,11.02,11.033,175,35
1624372248,11.03,11.05,11.03,11.04,11.036,179,21
1624372249,11.03,11.04,11.01,11.01,11.021,367,67
1624372250,11.02,11.02,10.9,10.91,10.944,939,258
1624372251,10.92,11.0,10.9,10.95,10.965,283,67
1624372252,10.96,11.0,10.93,10.98,10.967,234,73
1624372253,11.0,11.0,10.95,10.98,10.968,170,36
1624372254,10.97,10.98,10.93,10.93,10.949,241,66
1624372255,10.93,10.96,10.92,10.96,10.928,219,48
1624372256,10.94,10.94,10.9,10.91,10.908,86,40
1624372257,10.91,10.98,10.9,10.9,10.928,348,79
1624372258,10.92,10.98,10.84,10.9,10.866,348,73
1624372259,10.9,10.95,10.87,10.93,10.902,99,30
1624372260,10.91,10.95,10.91,10.92,10.923,232,34
1624372261,10.91,10.95,10.91,10.95,10.926,199,49
1624372262,10.94,10.95,10.93,10.94,10.938,211,32
1624372263,10.94,10.95,10.92,10.94,10.937,127,23
1624372264,10.94,10.94,10.92,10.93,10.925,121,28
1624372265,10.92,10.93,10.87,10.9,10.903,158,51
1624372266,10.91,10.92,10.87,10.91,10.9,99,40
1624372267,10.91,10.92,10.88,10.9,10.898,100,43
1624372268,10.89,10.92,10.88,10.9,10.904,75,18
1624372269,10.92,10.92,10.86,10.88,10.883,196,51
1624372270,10.88,10.88,10.85,10.86,10.866,67,31
1624372271,10.86,10.86,10.84,10.85,10.851,103,38
1624372272,10.85,10.85,10.83,10.84,10.838,181,40
1624372273,10.84,10.86,10.83,10.86,10.844,92,36
1624372274,10.85,10.88,10.85,10.88,10.86,108,32
1624372275,10.87,10.89,10.86,10.89,10.88,79,17
1624372276,10.88,10.89,10.86,10.89,10.873,126,45
1624372277,10.89,10.89,10.87,10.88,10.883,76,24
1624372278,10.88,10.89,10.88,10.88,10.883,73,16
1624372279,10.88,10.89,10.86,10.86,10.881,115,33
1624372280,10.88,10.89,10.85,10.86,10.861,61,24
1624372281,10.86,10.88,10.84,10.84,10.851,136,52
1624372282,10.88,10.88,10.85,10.85,10.87,6,6
1624372283,10.86,10.87,10.85,10.85,10.856,90,13
1624372284,10.85,10.85,10.84,10.84,10.847,39,12
1624372285,10.84,10.91,10.84,10.9,10.876,150,59
1624372286,10.88,10.93,10.88,10.92,10.907,54,17
1624372287,10.93,10.93,10.9,10.93,10.912,101,43
1624372288,10.91,10.97,10.91,10.93,10.943,210,47
1624372289,10.96,10.96,10.93,10.93,10.94,98,19
1624372290,10.94,10.94,10.89,10.89,10.92,36,11
1624372291,10.91,10.92,10.9,10.91,10.913,41,12
1624372292,10.91,10.93,10.9,10.9,10.918,115,33
1624372293,10.91,10.91,10.9,10.9,10.906,36,19
1624372294,10.9,10.93,10.9,10.93,10.906,75,30
1624372295,10.91,10.93,10.91,10.92,10.917,46,37
1624372296,10.93,10.93,10.92,10.93,10.927,44,15
1624372297,10.93,11.02,10.92,10.97,10.965,357,94
1624372298,10.97,11.01,10.96,11.0,10.995,121,44
1624372299,10.98,11.0,10.96,10.97,10.978,139,18
1624372300,10.97,10.98,10.96,10.96,10.972,22,15
1624372301,10.98,11.0,10.96,10.98,10.983,65,14
1624372302,10.98,11.0,10.96,10.99,10.984,54,15
1624372303,11.01,11.03,11.0,11.02,11.012,85,23
1624372304,11.02,11.07,11.01,11.04,11.041,208,48
1624372305,11.05,11.08,11.04,11.05,11.06,143,54
1624372306,11.04,11.05,10.98,10.98,11.018,134,42
1624372307,11.0,11.0,10.98,10.99,10.989,114,28
1624372308,10.99,11.0,10.98,10.99,10.994,50,14
1624372309,11.0,11.02,10.98,11.0,10.993,32,12
1624372310,11.01,11.02,10.99,11.01,11.012,54,6
1624372311,11.0,11.02,11.0,11.02,11.006,14,8
1624372312,11.0,11.01,10.98,10.98,10.985,26,12
1624372313,10.96,10.97,10.93,10.96,10.946,171,39
1624372314,10.97,10.97,10.93,10.93,10.954,62,15
1624372315,10.95,10.97,10.94,10.95,10.951,44,9
1624372316,10.95,10.96,10.95,10.96,10.957,17,3
1624372317,10.96,10.97,10.95,10.96,10.96,47,7
1624372318,10.97,10.99,10.97,10.97,10.974,59,10
1624372319,10.99,11.0,10.98,11.0,10.997,37,6
1624372320,10.98,11.01,10.97,11.0,11.0,29,8
1624372321,11.01,11.03,11.01,11.03,11.02,122,25
1624372322,11.02,11.07,11.02,11.07,11.048,102,24
1624372323,11.03,11.07,11.03,11.06,11.046,121,9
1624372324,11.04,11.05,11.01,11.01,11.038,68,19
1624372325,11.02,11.02,10.97,10.97,11.0,72,21
1624372326,10.97,11.0,10.96,10.97,10.98,29,8
1624372327,11.0,11.0,10.96,11.0,10.978,53,15
1624372328,11.0,11.01,11.0,11.01,11.006,20,6
1624372329,11.01,11.01,10.98,10.99,11.0,11,5
1624372330,10.99,11.03,10.98,11.03,10.999,26,7
1624372331,11.03,11.03,11.03,11.03,11.03,6,3
1624372332,11.02,11.02,11.01,11.02,11.018,30,5
1624372333,11.01,11.04,11.0,11.03,11.029,144,28
