date,open,high,low,close,average,volume,count
1629273600,10.57,10.57,10.57,10.57,10.57,2,1
1629273605,10.57,10.57,10.57,10.57,10.57,4,1
1629273610,10.57,10.57,10.57,10.57,10.57,0,0
1629273615,10.57,10.57,10.57,10.57,10.57,0,0
1629273620,10.57,10.57,10.57,10.57,10.57,0,0
1629273625,10.58,10.58,10.58,10.58,10.58,1,1
1629273630,10.58,10.58,10.58,10.58,10.58,0,0
1629273635,10.37,10.37,10.28,10.28,10.349,6,4
1629273640,10.28,10.28,10.28,10.28,10.28,0,0
1629273645,10.28,10.28,10.28,10.28,10.28,0,0
1629273650,10.28,10.28,10.28,10.28,10.28,0,0
1629273655,10.28,10.28,10.28,10.28,10.28,0,0
1629273660,10.24,10.24,10.24,10.24,10.24,1,1
1629273665,10.24,10.24,10.24,10.24,10.24,0,0
1629273670,10.24,10.24,10.24,10.24,10.24,0,0
1629273675,10.24,10.24,10.24,10.24,10.24,0,0
1629273680,10.24,10.24,10.24,10.24,10.24,0,0
1629273685,10.24,10.24,10.24,10.24,10.24,0,0
1629273690,10.24,10.24,10.24,10.24,10.24,0,0
1629273695,10.24,10.24,10.24,10.24,10.24,0,0
1629273700,10.24,10.24,10.24,10.24,10.24,0,0
1629273705,10.24,10.24,10.24,10.24,10.24,0,0
1629273710,10.24,10.24,10.24,10.24,10.24,0,0
1629273715,10.24,10.24,10.24,10.24,10.24,0,0
1629273720,10.24,10.24,10.24,10.24,10.24,0,0
1629273725,10.29,10.3,10.29,10.3,10.293,7,5
1629273730,10.4,10.4,10.4,10.4,10.4,3,1
1629273735,10.4,10.4,10.4,10.4,10.4,0,0
1629273740,10.4,10.4,10.4,10.4,10.4,0,0
1629273745,10.57,10.57,10.57,10.57,10.57,1,1
1629273750,10.57,10.57,10.57,10.57,10.57,0,0
1629273755,10.57,10.57,10.57,10.57,10.57,0,0
1629273760,10.57,10.57,10.57,10.57,10.57,0,0
1629273765,10.57,10.57,10.57,10.57,10.57,0,0
1629273770,10.57,10.57,10.5,10.5,10.553,6,4
1629273775,10.57,10.57,10.5,10.5,10.535,4,3
1629273780,10.51,10.54,10.45,10.45,10.494,17,8
1629273785,10.45,10.45,10.45,10.45,10.45,4,2
1629273790,10.45,10.45,10.45,10.45,10.45,0,0
1629273795,10.34,10.34,10.31,10.31,10.327,6,3
1629273800,10.31,10.31,10.31,10.31,10.31,0,0
1629273805,10.31,10.31,10.31,10.31,10.31,0,0
1629273810,10.31,10.31,10.31,10.31,10.31,0,0
1629273815,10.31,10.31,10.31,10.31,10.31,0,0
1629273820,10.32,10.32,10.32,10.32,10.32,2,1
1629273825,10.32,10.32,10.32,10.32,10.32,0,0
1629273830,10.32,10.32,10.32,10.32,10.32,0,0
