date,open,high,low,close,average,volume,count
1631693700,7.2,7.2,7.2,7.2,7.2,2,1
1631694600,7.2,7.2,7.2,7.2,7.2,0,0
1631695500,7.2,7.2,7.2,7.2,7.2,0,0
1631696400,7.2,7.2,7.2,7.2,7.2,0,0
1631697300,7.2,7.2,7.2,7.2,7.2,0,0
1631698200,7.21,7.21,7.21,7.21,7.21,1,1
1631699100,7.21,7.21,7.21,7.21,7.21,1,1
1631700000,7.25,7.25,7.25,7.25,7.25,10,1
1631700900,7.25,7.25,7.25,7.25,7.25,0,0
1631701800,7.25,7.25,7.25,7.25,7.25,0,0
1631702700,7.25,7.25,7.25,7.25,7.25,0,0
1631703600,7.25,7.25,7.25,7.25,7.25,0,0
1631704500,7.25,7.25,7.25,7.25,7.25,0,0
1631705400,7.15,7.15,7.13,7.13,7.147,11,3
1631706300,7.13,7.13,7.13,7.13,7.13,0,0
1631707200,7.25,7.25,7.05,7.05,7.157,32,6
1631708100,7.24,7.25,7.24,7.25,7.247,10,6
1631709000,7.25,7.25,7.25,7.25,7.25,11,2
1631709900,7.25,7.25,7.25,7.25,7.25,0,0
1631710800,7.25,7.25,7.25,7.25,7.25,2,1
1631711700,7.25,7.25,7.16,7.16,7.17,8,4
1631712600,7.14,7.19,7.02,7.14,7.091,481,134
1631713500,7.15,7.24,7.1,7.15,7.156,372,64
1631714400,7.18,7.21,7.13,7.15,7.163,15,7
1631715300,7.16,7.16,7.14,7.14,7.15,9,7
1631716200,7.19,7.23,7.15,7.2,7.197,53,16
1631717100,7.19,7.19,7.16,7.18,7.169,105,15
1631718000,7.16,7.26,7.16,7.24,7.224,155,42
1631718900,7.28,7.37,7.25,7.33,7.323,180,42
1631719800,7.32,7.37,7.3,7.36,7.327,205,36
1631720700,7.35,7.42,7.35,7.39,7.388,319,46
1631721600,7.37,7.41,7.33,7.35,7.348,165,32
1631722500,7.35,7.55,7.35,7.55,7.473,258,80
1631723400,7.54,7.59,7.42,7.47,7.487,182,64
1631724300,7.47,7.48,7.41,7.48,7.449,146,21
1631725200,7.45,7.47,7.41,7.44,7.454,59,21
1631726100,7.44,7.46,7.41,7.45,7.432,23,7
1631727000,7.44,7.45,7.38,7.39,7.409,32,23
1631727900,7.4,7.44,7.37,7.37,7.395,78,25
1631728800,7.37,7.38,7.25,7.3,7.314,181,58
1631729700,7.31,7.33,7.3,7.31,7.318,17,15
1631730600,7.29,7.42,7.28,7.37,7.347,637,171
1631731500,7.38,7.41,7.33,7.41,7.354,362,104
1631732400,7.41,7.5,7.4,7.5,7.466,206,48
1631733300,7.5,7.52,7.46,7.49,7.494,130,59
1631734200,7.5,7.55,7.49,7.5,7.518,248,75
1631735100,7.5,7.5,7.43,7.46,7.465,316,137
1631736000,7.43,7.45,7.43,7.43,7.431,84,3
1631736900,7.43,7.43,7.43,7.43,7.43,0,0
1631737800,7.44,7.44,7.44,7.44,7.44,1,1
1631738700,7.44,7.44,7.44,7.44,7.44,8,1
1631739600,7.44,7.45,7.44,7.44,7.44,5,1
1631740500,7.44,7.44,7.44,7.44,7.44,3,2
1631741400,7.44,7.44,7.44,7.44,7.44,0,0
1631742300,7.44,7.44,7.44,7.44,7.44,0,0
1631743200,7.45,7.49,7.45,7.49,7.485,18,3
1631744100,7.49,7.49,7.49,7.49,7.49,0,0
1631745000,7.43,7.43,7.43,7.43,7.43,10,1
1631745900,7.43,7.43,7.43,7.43,7.43,0,0
1631746800,7.43,7.43,7.43,7.43,7.43,0,0
1631747700,7.47,7.47,7.47,7.47,7.47,17,2
1631748600,7.47,7.47,7.47,7.47,7.47,0,0
1631749500,7.47,7.47,7.47,7.47,7.47,0,0
1631793600,7.37,7.37,7.37,7.37,7.37,1,1
1631794500,7.37,7.37,7.37,7.37,7.37,0,0
1631795400,7.31,7.32,7.31,7.31,7.312,9,2
1631796300,7.31,7.32,7.31,7.31,7.312,10,4
1631797200,7.31,7.33,7.31,7.31,7.313,25,5
1631798100,7.33,7.34,7.33,7.33,7.331,3,2
1631799000,7.48,7.48,7.12,7.16,7.269,341,111
1631799900,7.17,7.27,7.15,7.21,7.221,380,67
1631800800,7.17,7.3,7.17,7.29,7.219,133,23
1631801700,7.26,7.49,7.25,7.42,7.364,807,198
1631802600,7.43,7.45,7.36,7.4,7.413,192,39
1631803500,7.42,7.45,7.34,7.35,7.396,165,44
1631804400,7.39,7.44,7.3,7.44,7.358,188,48
1631805300,7.36,7.46,7.34,7.46,7.424,88,25
1631806200,7.46,7.56,7.41,7.5,7.495,188,41
1631807100,7.47,7.5,7.42,7.46,7.455,63,13
1631808000,7.48,7.5,7.42,7.45,7.43,131,18
1631808900,7.45,7.45,7.43,7.43,7.444,6,4
1631809800,7.44,7.49,7.44,7.46,7.466,21,10
1631810700,7.49,7.55,7.43,7.55,7.484,158,29
1631811600,7.53,7.65,7.44,7.57,7.56,792,200
1631812500,7.58,7.74,7.54,7.67,7.625,571,123
1631813400,7.67,7.68,7.56,7.56,7.616,242,72
1631814300,7.56,7.65,7.56,7.61,7.621,50,22
1631815200,7.64,7.64,7.57,7.61,7.602,124,36
1631816100,7.63,7.63,7.56,7.57,7.592,13,7
1631817000,7.57,7.57,7.47,7.52,7.523,34,22
1631817900,7.56,7.57,7.51,7.53,7.537,54,15
1631818800,7.56,7.56,7.47,7.48,7.507,87,52
1631819700,7.49,7.49,7.45,7.45,7.47,54,23
1631820600,7.44,7.52,7.44,7.49,7.484,38,17
1631821500,7.49,7.51,7.43,7.43,7.477,206,80
1631822400,7.42,7.42,7.42,7.42,7.42,48,1
1631823300,7.42,7.42,7.42,7.42,7.42,0,0
1631824200,7.42,7.42,7.42,7.42,7.42,0,0
1631825100,7.42,7.42,7.42,7.42,7.42,0,0
1631826000,7.42,7.42,7.42,7.42,7.42,0,0
1631826900,7.42,7.42,7.42,7.42,7.42,0,0
1631827800,7.42,7.42,7.42,7.42,7.42,1,1
1631828700,7.35,7.35,7.35,7.35,7.35,26,2
1631829600,7.36,7.36,7.35,7.35,7.355,3,3
1631830500,7.35,7.35,7.35,7.35,7.35,0,0
1631831400,7.35,7.35,7.35,7.35,7.35,0,0
1631832300,7.35,7.35,7.35,7.35,7.35,0,0
1631833200,7.36,7.36,7.36,7.36,7.36,60,2
1631834100,7.36,7.36,7.36,7.36,7.36,0,0
1631835000,7.36,7.36,7.36,7.36,7.36,0,0
1631835900,7.36,7.36,7.36,7.36,7.36,0,0
1631878200,7.35,7.35,7.35,7.35,7.35,1,1
1631879100,7.35,7.35,7.35,7.35,7.35,0,0
1631880000,7.35,7.35,7.35,7.35,7.35,0,0
1631880900,7.35,7.35,7.35,7.35,7.35,0,0
1631881800,7.3,7.3,7.3,7.3,7.3,11,3
1631882700,7.32,7.32,7.3,7.3,7.306,4,4
1631883600,7.3,7.3,7.3,7.3,7.3,0,0
1631884500,7.37,7.42,7.3,7.3,7.361,11,6
1631885400,7.4,7.41,7.29,7.3,7.353,152,38
1631886300,7.32,7.36,7.3,7.3,7.325,69,26
1631887200,7.35,7.36,7.22,7.26,7.268,216,77
1631888100,7.31,7.34,7.24,7.3,7.267,131,29
1631889000,7.28,7.3,7.23,7.26,7.237,117,18
