date,open,high,low,close,average,volume,count
1639060200,76.2,77.61,76.2,76.92,76.989,27,9
1639061100,76.92,78.02,76.92,77.61,77.644,37,24
1639062000,77.59,77.8,77.08,77.08,77.698,117,66
1639062900,76.99,77.07,76.56,76.74,76.889,69,41
1639063800,76.77,77.37,76.77,77.17,77.181,165,80
1639064700,77.35,77.35,76.39,77.06,76.992,48,35
1639065600,77.04,77.36,76.98,77.36,77.147,76,36
1639066500,77.63,77.63,77.46,77.51,77.519,10,10
1639067400,76.89,76.9,76.88,76.9,76.89,3,3
1639068300,76.81,76.95,75.73,75.9,76.346,219,82
1639069200,75.9,76.2,75.54,75.96,75.953,228,99
1639070100,75.91,75.91,75.21,75.55,75.551,120,34
1639071000,75.57,75.99,75.37,75.55,75.629,36,30
1639071900,75.55,75.55,75.55,75.55,75.55,0,0
1639072800,75.63,75.76,75.41,75.52,75.569,11,10
1639073700,75.57,75.57,75.48,75.48,75.525,11,9
1639074600,75.69,75.74,75.34,75.34,75.565,27,25
1639075500,75.23,75.58,74.69,75.58,75.241,88,57
1639076400,75.55,75.58,75.31,75.31,75.531,42,9
1639077300,75.09,75.45,75.09,75.18,75.251,31,28
1639078200,75.2,75.45,75.1,75.27,75.27,23,23
1639079100,75.48,75.49,75.17,75.2,75.245,15,13
1639080000,75.12,75.61,74.83,75.43,75.4,246,126
1639080900,75.34,75.61,74.56,74.94,75.34,138,93
1639081800,74.74,74.86,74.23,74.63,74.546,22,21
1639082700,74.93,74.93,74.09,74.11,74.314,149,134
1639083600,74.11,74.11,74.11,74.11,74.11,659,5
1639084500,74.11,74.11,74.11,74.11,74.11,0,0
1639085400,74.11,74.11,74.11,74.11,74.11,0,0
1639086300,74.11,74.11,74.11,74.11,74.11,0,0
1639087200,74.11,74.11,74.11,74.11,74.11,0,0
1639088100,74.11,74.11,74.11,74.11,74.11,0,0
1639089000,74.11,74.11,74.11,74.11,74.11,0,0
1639089900,74.11,74.11,74.11,74.11,74.11,0,0
1639090800,74.11,74.11,74.11,74.11,74.11,0,0
1639091700,74.11,74.11,74.11,74.11,74.11,0,0
1639092600,74.11,74.11,74.11,74.11,74.11,0,0
1639093500,74.11,74.11,74.11,74.11,74.11,0,0
1639094400,74.11,74.11,74.11,74.11,74.11,0,0
1639095300,74.11,74.11,74.11,74.11,74.11,0,0
1639096200,74.11,74.11,74.11,74.11,74.11,0,0
1639097100,74.11,74.11,74.11,74.11,74.11,0,0
1639145700,74.26,74.26,74.26,74.26,74.26,1,1
1639146600,74.25,75.27,73.01,74.75,74.562,41,31
1639147500,74.92,75.27,73.0,73.0,74.651,32,28
1639148400,73.34,75.0,73.33,75.0,73.965,61,19
1639149300,74.67,75.22,74.4,74.4,74.823,21,20
1639150200,74.49,74.49,73.93,74.14,74.195,7,7
1639151100,74.01,74.4,73.9,74.25,74.045,14,11
1639152000,74.37,74.38,74.06,74.15,74.295,27,19
1639152900,74.07,74.45,73.92,74.42,74.211,7,7
1639153800,74.34,74.48,74.25,74.44,74.348,19,15
1639154700,74.47,75.08,74.27,74.89,74.612,75,30
1639155600,75.0,75.16,74.27,74.27,74.791,82,69
1639156500,74.09,74.17,73.97,74.0,74.03,23,21
1639157400,73.93,73.93,73.39,73.39,73.563,36,25
1639158300,73.39,73.58,73.38,73.38,73.478,13,12
1639159200,73.52,73.62,73.46,73.49,73.557,16,16
1639160100,73.6,73.64,73.48,73.5,73.551,14,14
1639161000,73.5,73.5,73.16,73.25,73.27,12,12
1639161900,73.15,73.69,73.1,73.28,73.243,124,79
1639162800,73.2,73.2,72.67,72.88,72.977,26,18
1639163700,72.98,73.05,72.86,73.05,72.983,5,5
1639164600,73.03,73.12,72.34,72.34,72.887,31,30
1639165500,72.56,72.75,72.56,72.75,72.634,5,5
1639166400,72.32,72.47,72.31,72.35,72.361,17,17
1639167300,72.43,72.58,72.17,72.49,72.429,44,32
1639168200,72.59,73.0,72.43,72.73,72.662,32,29
1639169100,72.76,72.98,72.44,72.98,72.66,282,198
1639170000,72.8,72.8,72.8,72.8,72.8,617,5
1639170900,72.8,72.8,72.8,72.8,72.8,0,0
1639171800,72.8,72.8,72.8,72.8,72.8,0,0
1639172700,72.8,72.8,72.8,72.8,72.8,0,0
1639173600,72.8,72.8,72.8,72.8,72.8,0,0
1639174500,72.8,72.8,72.8,72.8,72.8,0,0
1639175400,72.8,72.8,72.8,72.8,72.8,0,0
1639176300,72.8,72.8,72.8,72.8,72.8,0,0
1639177200,72.8,72.8,72.8,72.8,72.8,0,0
1639178100,72.8,72.8,72.8,72.8,72.8,0,0
1639179000,72.8,72.8,72.8,72.8,72.8,0,0
1639179900,72.8,72.8,72.8,72.8,72.8,0,0
1639180800,72.8,72.8,72.8,72.8,72.8,0,0
1639181700,72.8,72.8,72.8,72.8,72.8,0,0
1639182600,72.8,72.8,72.8,72.8,72.8,0,0
1639183500,72.8,72.8,72.8,72.8,72.8,0,0
1639405800,74.0,76.57,73.02,76.57,74.766,137,82
1639406700,76.14,76.57,75.53,75.88,76.026,80,74
1639407600,76.05,76.41,75.68,76.12,76.034,127,112
1639408500,76.2,76.91,75.86,76.83,76.285,91,87
1639409400,76.56,77.52,76.56,77.42,76.993,23,23
1639410300,77.48,77.49,76.68,76.91,76.985,26,26
1639411200,76.98,77.17,76.75,76.99,76.937,32,30
1639412100,76.98,76.98,76.29,76.29,76.599,36,33
1639413000,76.26,76.88,76.26,76.79,76.473,67,62
1639413900,76.87,77.11,75.81,76.03,76.579,24,20
1639414800,75.98,75.98,75.56,75.76,75.742,12,11
1639415700,75.88,75.89,75.55,75.68,75.68,15,13
1639416600,75.96,76.44,75.95,76.36,76.22,20,20
1639417500,76.39,76.39,75.85,75.85,76.087,10,7
1639418400,75.96,76.18,75.81,76.05,75.995,24,23
1639419300,75.95,76.06,75.46,75.47,75.936,42,39
1639420200,75.54,76.22,75.53,76.22,75.851,39,34
1639421100,76.25,76.38,76.02,76.25,76.237,50,32
1639422000,76.25,76.29,76.04,76.16,76.21,29,24
1639422900,76.22,76.53,75.98,76.14,76.36,73,54
1639423800,76.23,76.43,76.12,76.2,76.226,43,39
1639424700,76.2,76.6,76.09,76.35,76.303,67,43
1639425600,76.35,76.75,76.35,76.7,76.564,52,36
1639426500,76.7,77.11,76.67,76.82,76.907,43,42
1639427400,76.84,77.36,76.84,77.34,77.144,47,47
1639428300,77.35,77.94,77.08,77.74,77.581,334,233
1639429200,77.73,77.73,77.73,77.73,77.73,650,4
1639430100,77.73,77.73,77.73,77.73,77.73,0,0
1639431000,77.73,77.73,77.73,77.73,77.73,0,0
1639431900,77.73,77.73,77.73,77.73,77.73,0,0
1639432800,77.73,77.73,77.73,77.73,77.73,0,0
1639433700,77.73,77.73,77.73,77.73,77.73,0,0
1639434600,77.73,77.73,77.73,77.73,77.73,0,0
1639435500,77.73,77.73,77.73,77.73,77.73,0,0
1639436400,77.73,77.73,77.73,77.73,77.73,0,0
1639437300,77.73,77.73,77.73,77.73,77.73,0,0
1639438200,77.73,77.73,77.73,77.73,77.73,0,0
1639439100,77.73,77.73,77.73,77.73,77.73,0,0
1639440000,77.73,77.73,77.73,77.73,77.73,0,0
1639440900,77.73,77.73,77.73,77.73,77.73,0,0
1639441800,77.73,77.73,77.73,77.73,77.73,0,0
1639442700,77.73,77.73,77.73,77.73,77.73,0,0
1639492200,76.84,78.15,76.04,78.01,77.473,62,47
1639493100,78.35,78.68,78.08,78.58,78.55,15,15
1639494000,78.5,79.84,78.35,79.45,79.237,30,25
1639494900,79.79,81.05,79.25,80.51,80.333,307,117
1639495800,80.22,80.55,79.88,80.34,80.103,109,52
1639496700,80.68,81.0,80.48,80.85,80.773,132,106
1639497600,80.84,81.03,80.52,80.75,80.853,207,152
1639498500,80.79,80.95,80.36,80.88,80.754,250,117
1639499400,80.92,80.92,80.13,80.56,80.617,80,57
1639500300,80.61,81.4,80.59,81.05,80.896,295,71
1639501200,81.44,81.44,79.62,79.62,80.903,335,97
1639502100,79.76,79.77,79.26,79.67,79.489,40,39
1639503000,79.84,80.57,79.84,80.25,80.144,60,47
1639503900,80.53,80.99,80.38,80.51,80.815,189,73
1639504800,80.5,81.0,80.38,80.88,80.707,33,31
1639505700,80.86,80.97,80.03,80.32,80.674,47,39
1639506600,80.3,80.46,80.26,80.44,80.414,21,20
1639507500,80.43,80.54,80.28,80.51,80.405,35,32
1639508400,80.3,80.72,80.29,80.72,80.537,32,30
1639509300,80.75,81.06,80.53,81.06,80.855,579,48
1639510200,81.19,82.43,81.19,82.39,81.885,38,34
1639511100,82.39,82.48,81.8,82.04,82.23,29,28
1639512000,82.22,82.68,81.79,82.17,82.383,135,113
1639512900,82.28,82.73,82.04,82.57,82.395,68,58
1639513800,82.53,82.53,81.77,82.11,82.16,71,65
1639514700,81.94,82.19,81.4,81.75,81.772,267,203
1639515600,81.53,81.53,81.53,81.53,81.53,340,4
1639516500,81.53,81.53,81.53,81.53,81.53,0,0
1639517400,81.53,81.53,81.53,81.53,81.53,0,0
1639518300,81.53,81.53,81.53,81.53,81.53,0,0
1639519200,81.53,81.53,81.53,81.53,81.53,0,0
1639520100,81.53,81.53,81.53,81.53,81.53,0,0
1639521000,81.53,81.53,81.53,81.53,81.53,0,0
1639521900,81.53,81.53,81.53,81.53,81.53,0,0
1639522800,81.53,81.53,81.53,81.53,81.53,0,0
1639523700,81.53,81.53,81.53,81.53,81.53,0,0
1639524600,81.53,81.53,81.53,81.53,81.53,0,0
1639525500,81.53,81.53,81.53,81.53,81.53,0,0
1639526400,81.53,81.53,81.53,81.53,81.53,0,0
1639527300,81.53,81.53,81.53,81.53,81.53,0,0
1639528200,81.53,81.53,81.53,81.53,81.53,0,0
1639529100,81.53,81.53,81.53,81.53,81.53,0,0
1639578600,81.16,81.96,80.83,81.53,81.331,31,16
1639579500,81.51,81.91,81.35,81.42,81.651,40,36
1639580400,81.89,82.32,80.87,81.13,81.618,32,24
1639581300,81.4,81.4,80.95,81.03,81.175,10,9
1639582200,81.24,81.7,81.24,81.59,81.463,45,41
1639583100,81.66,81.66,80.97,81.09,81.382,22,22
1639584000,81.3,81.8,81.12,81.8,81.324,31,25
1639584900,81.82,82.45,81.81,82.01,82.249,85,51
1639585800,81.73,81.86,81.44,81.62,81.678,45,38
1639586700,81.64,82.02,81.54,81.7,81.81,26,25
1639587600,81.7,81.97,81.7,81.82,81.827,30,28
1639588500,81.81,81.92,81.3,81.48,81.607,22,21
1639589400,81.62,82.04,81.53,81.85,81.768,30,26
1639590300,81.66,82.26,81.65,82.26,81.884,32,28
