date,open,high,low,close,average,volume,count
1640269800,9.67,9.69,9.65,9.65,9.67,37,26
1640269801,9.7,9.7,9.67,9.67,9.689,219,32
1640269802,9.68,9.7,9.65,9.66,9.68,2437,45
1640269803,9.65,9.7,9.64,9.66,9.663,233,69
1640269804,9.65,9.7,9.63,9.66,9.648,65,40
1640269805,9.66,9.68,9.63,9.68,9.657,382,63
1640269806,9.68,9.69,9.65,9.66,9.659,140,40
1640269807,9.67,9.67,9.65,9.66,9.655,54,16
1640269808,9.66,9.67,9.64,9.65,9.649,61,26
1640269809,9.65,9.66,9.64,9.66,9.649,32,5
1640269810,9.65,9.65,9.58,9.59,9.609,343,90
1640269811,9.59,9.61,9.58,9.6,9.591,55,32
1640269812,9.6,9.63,9.58,9.58,9.596,226,63
1640269813,9.58,9.63,9.58,9.63,9.614,40,17
1640269814,9.63,9.63,9.58,9.6,9.601,59,10
1640269815,9.6,9.61,9.58,9.59,9.592,41,7
1640269816,9.59,9.6,9.58,9.58,9.59,39,8
1640269817,9.6,9.61,9.58,9.61,9.591,72,36
1640269818,9.59,9.6,9.58,9.58,9.591,52,18
1640269819,9.58,9.59,9.57,9.58,9.575,35,21
1640269820,9.57,9.59,9.57,9.58,9.577,20,7
1640269821,9.59,9.59,9.58,9.58,9.587,15,10
1640269822,9.59,9.59,9.58,9.58,9.588,31,17
1640269823,9.57,9.59,9.57,9.58,9.589,22,11
1640269824,9.59,9.59,9.57,9.57,9.577,24,10
1640269825,9.59,9.59,9.56,9.59,9.575,94,36
1640269826,9.58,9.59,9.57,9.58,9.574,63,9
1640269827,9.58,9.59,9.57,9.59,9.581,42,9
1640269828,9.58,9.59,9.57,9.59,9.579,13,11
1640269829,9.58,9.59,9.56,9.58,9.573,95,17
1640269830,9.59,9.59,9.57,9.57,9.578,9,7
1640269831,9.58,9.59,9.57,9.58,9.584,15,8
1640269832,9.59,9.59,9.58,9.58,9.583,32,8
1640269833,9.59,9.59,9.58,9.59,9.585,27,10
1640269834,9.59,9.59,9.58,9.59,9.587,32,17
1640269835,9.59,9.59,9.58,9.59,9.585,553,38
1640269836,9.59,9.6,9.59,9.6,9.597,35,18
1640269837,9.6,9.66,9.59,9.64,9.62,185,48
1640269838,9.66,9.66,9.63,9.66,9.651,149,11
1640269839,9.66,9.66,9.63,9.64,9.635,46,8
1640269840,9.65,9.66,9.64,9.65,9.649,26,8
1640269841,9.65,9.66,9.65,9.65,9.65,21,8
1640269842,9.64,9.66,9.63,9.63,9.637,27,8
1640269843,9.63,9.65,9.63,9.63,9.631,45,6
1640269844,9.65,9.65,9.64,9.64,9.649,45,4
1640269845,9.64,9.65,9.63,9.64,9.64,30,6
1640269846,9.64,9.66,9.63,9.64,9.641,75,12
1640269847,9.65,9.68,9.64,9.66,9.656,166,35
1640269848,9.67,9.68,9.66,9.68,9.675,53,19
1640269849,9.69,9.7,9.66,9.68,9.682,59,17
1640269850,9.68,9.7,9.67,9.69,9.684,43,22
1640269851,9.69,9.8,9.68,9.79,9.738,564,156
1640269852,9.79,9.85,9.78,9.85,9.818,370,75
1640269853,9.85,9.88,9.83,9.87,9.854,210,77
1640269854,9.88,9.9,9.84,9.85,9.879,368,59
1640269855,9.86,9.9,9.84,9.88,9.885,194,64
1640269856,9.88,9.91,9.87,9.9,9.891,185,34
1640269857,9.91,9.94,9.9,9.93,9.931,350,45
1640269858,9.93,9.94,9.9,9.92,9.921,133,41
1640269859,9.92,9.93,9.87,9.88,9.906,149,41
1640269860,9.91,9.91,9.8,9.8,9.826,251,70
1640269861,9.83,9.88,9.8,9.87,9.855,291,60
1640269862,9.87,9.88,9.84,9.86,9.861,589,50
1640269863,9.87,9.9,9.85,9.88,9.872,90,28
1640269864,9.88,9.9,9.87,9.88,9.89,131,38
1640269865,9.88,9.9,9.88,9.88,9.894,350,62
1640269866,9.89,9.9,9.87,9.9,9.886,88,33
1640269867,9.9,9.9,9.88,9.89,9.891,118,25
1640269868,9.89,9.9,9.88,9.88,9.888,100,18
