date,open,high,low,close,average,volume,count
20210331,13.227,14.49,13.21,14.12,14.07269,10444,2922
20210401,14.0,14.67,13.7,13.85,14.12395,10054,4067
20210405,14.0,14.49,13.6893,13.99,14.03304,5010,2479
20210406,13.77,14.08,13.29,13.3,13.60119,5099,2380
20210407,13.35,14.21,13.05,13.62,13.76664,6159,2966
20210408,13.8,13.8,13.06,13.15,13.28767,5921,2520
20210409,13.54,13.54,12.86,12.99,13.05062,6445,3389
20210412,13.0,13.25,12.14,12.53,12.47944,8573,3969
20210413,12.59,13.02,12.41,12.7275,12.69202,6728,2494
20210414,12.3,13.32,12.3,12.95,13.05849,6852,3077
20210415,13.01,13.29,12.31,12.35,12.68659,6058,2761
20210416,12.34,12.48,11.96,12.08,12.24214,9679,3961
20210419,12.25,12.34,11.51,11.71,11.82789,7688,3779
20210420,11.9999,12.155,11.35,11.85,11.71404,5716,3369
20210421,12.1466,12.5,11.7,12.5,12.16513,7268,2600
20210422,12.43,13.24,12.0801,12.68,12.73112,7724,3782
20210423,12.9299,12.9299,12.28,12.59,12.4804,4622,2283
20210426,12.5,13.67,12.5,13.47,13.31821,8418,3734
20210427,13.3,14.1,13.04,13.54,13.68031,9796,3585
20210428,13.96,14.35,13.26,13.99,13.99403,12100,5468
20210429,14.14,14.889,13.43,14.29,14.15277,12496,5355
20210430,14.19,14.6,14.01,14.4999,14.36339,8913,3774
20210503,14.99,14.99,13.58,14.0,14.19899,7016,3476
20210504,14.2,14.75,13.002,13.77,13.59049,8293,4097
20210505,13.41,14.13,13.3,13.31,13.71383,6059,3397
20210506,13.36,13.39,12.24,12.8,12.72545,9710,4704
20210507,12.97,13.59,12.91,13.27,13.21518,5266,2935
20210510,12.89,14.2,11.13,13.0,13.32172,6519,2812
20210511,12.56,13.36,12.2001,13.34,12.99124,5721,2862
20210512,13.3,13.91,12.75,12.9,13.31394,4893,2553
20210513,12.85,13.4368,12.41,12.74,12.8076,5866,2936
20210514,12.8,13.5,12.6,13.25,13.18454,5916,2664
20210517,13.01,14.32,12.52,14.19,13.88637,8288,3940
20210518,14.18,14.6394,14.0,14.07,14.32334,6276,3594
20210519,13.5722,14.4324,13.57,14.09,14.06018,6540,3644
20210520,14.01,14.54,13.76,14.34,14.2208,4853,2542
20210521,14.3001,14.78,13.96,14.0101,14.31149,5235,2509
20210524,13.81,14.0,11.87,12.37,12.7933,22953,6932
20210525,12.08,12.63,11.8,11.89,12.04854,10386,4173
20210526,12.37,12.79,11.73,12.5,12.27261,9586,3228
20210527,12.6001,12.9455,12.5,12.82,12.76998,5147,1844
