date,open,high,low,close,average,volume,count
20210120,3.3,3.55,2.75,2.93,3.03941,1787748,203962
20210121,2.9,3.15,2.76,3.0,2.98242,635894,68336
20210122,3.0,3.74,2.81,3.58,3.32726,2642567,325344
20210125,3.65,5.27,3.6,4.87,4.52132,4322848,652388
20210126,4.98,8.42,4.37,8.23,5.37919,4440237,633516
20210127,10.25,25.8,7.88,14.61,16.13982,11366785,2673237
20210128,16.3,23.0,6.51,11.29,11.0737,5444663,1207847
20210129,13.2,16.0,11.6,13.46,13.57081,5413408,1313470
20210201,17.5,18.0,11.01,12.45,14.66846,3845979,1195874
20210202,11.8,11.98,6.0,7.52,7.96329,4252765,980901
20210203,7.3,9.77,6.64,8.6,8.81299,2059243,449057
20210204,8.6,9.22,6.81,6.99,7.6691,1482432,324314
20210205,7.31,8.27,6.52,6.87,7.21274,1855805,365523
20210208,6.94,7.5,5.75,6.08,6.16197,1177186,229845
20210209,5.9,6.0,5.26,5.71,5.49788,955347,178961
20210210,5.79,6.59,5.45,5.68,5.99069,1455624,268317
20210211,5.7,5.85,5.47,5.69,5.61873,518442,114586
20210212,5.74,5.97,5.52,5.54,5.70845,437808,99755
20210216,5.8,6.79,5.49,5.67,5.7724,568627,126509
20210217,5.72,5.73,5.32,5.49,5.45479,360481,78006
20210218,5.5,6.6,5.39,5.63,5.85588,1258384,231110
20210219,5.61,5.83,5.51,5.75,5.6524,380203,69601
20210222,5.75,7.25,5.66,6.89,6.33032,1674661,330436
20210223,6.9,7.86,6.01,7.38,7.24488,2548168,498626
20210224,7.45,11.38,6.99,11.08,8.7868,3619242,706563
20210225,11.0,11.89,7.43,7.49,9.77202,4158805,1143912
20210226,7.9,9.01,7.6301,8.2,8.15706,1291315,288878
20210301,8.9,9.445,8.42,9.17,8.98966,1365186,288632
20210302,9.15,9.4,8.51,8.94,8.9751,739240,161506
20210303,8.97,9.14,8.45,8.48,8.77236,524652,141180
20210304,8.5,8.59,7.5,7.65,7.99015,729447,177047
20210305,7.81,8.28,7.63,7.97,7.94653,564912,131967
20210308,8.4,9.48,7.91,9.13,9.00862,1088245,239452
20210309,9.4,11.8,9.05,11.03,10.2287,1415292,313690
20210310,11.04,12.47,9.51,10.47,11.04944,2445537,605674
20210311,10.71,11.3,9.9,10.21,10.29028,784977,192315
20210312,10.15,11.4,9.5,11.34,10.95777,1052560,264508
20210315,11.53,14.49,11.44,14.0,13.59478,2602533,653048
20210316,14.05,14.88,12.34,13.06,12.97911,1177011,303425
20210317,13.06,14.15,12.35,14.08,13.36338,739063,169803
20210318,14.1,14.54,13.57,14.22,14.17454,1142884,293889
20210319,14.22,14.4,13.28,13.58,13.92256,1476246,244261
20210322,13.59,13.59,11.76,12.15,12.33558,817506,192848
20210323,12.09,12.09,10.06,10.17,11.00277,824601,171767
20210324,10.1,11.21,8.75,9.41,9.9726,758290,165756
20210325,9.55,11.42,8.82,11.13,10.44892,1245051,244565
20210326,11.28,11.9,10.01,10.25,10.74258,797051,188351
20210329,10.35,10.76,10.09,10.38,10.41116,347287,91666
20210330,10.39,10.55,9.76,10.32,10.12391,362502,96201
20210331,10.35,10.57,10.05,10.16,10.20323,279383,72755
20210401,10.16,10.44,9.15,9.27,9.65125,722305,179888
20210405,9.64,11.25,8.95,10.51,10.53833,913032,195907
20210406,10.5,10.76,10.0,10.15,10.22819,415297,109028
20210407,10.17,10.2,9.77,9.9,9.98327,259523,70361
20210408,9.9,10.07,9.5,9.69,9.68985,311797,83806
20210409,9.69,9.78,9.24,9.33,9.4663,267542,77689
20210412,9.42,9.83,8.51,8.63,8.83438,469225,132253
20210413,8.84,9.12,8.3101,8.94,8.76515,412430,106500
20210414,8.92,9.81,8.9,9.52,9.33705,481480,115236
20210415,9.7,10.23,9.58,9.89,9.84471,417248,104880
20210416,9.89,10.2,9.09,9.36,9.48466,373939,94779
20210419,9.5,9.81,9.36,9.67,9.61431,303859,83380
20210420,9.75,9.8,9.01,9.2,9.25111,244498,73773
20210421,9.2,9.81,9.14,9.76,9.56408,217489,57550
20210422,9.8,10.65,9.6,10.14,10.22627,462950,119626
20210423,10.14,10.38,9.96,10.19,10.13433,255141,73761
20210426,10.5,11.96,10.3,11.67,11.27113,733887,194424
20210427,11.75,12.223,11.09,11.3,11.74282,475102,127188
20210428,11.4,11.79,10.65,10.89,10.96084,364657,104901
20210429,10.9,11.19,10.09,10.21,10.46579,353022,108180
20210430,10.27,10.27,9.88,10.01,10.02805,254696,71134
20210503,10.15,10.3,9.6,9.66,9.81658,282216,89066
20210504,9.67,9.94,9.05,9.27,9.27292,319794,94214
20210505,9.4,9.73,9.08,9.24,9.25461,250062,73118
20210506,9.45,9.7,8.93,9.23,9.12794,363406,114251
20210507,9.23,9.79,9.11,9.47,9.49224,350530,94236
20210510,9.6,10.89,9.56,10.24,9.84562,376668,107427
20210511,10.28,10.56,9.6,10.11,10.04465,459709,126335
20210512,10.39,10.625,10.01,10.39,10.3172,507764,131530
20210513,10.5,14.2,10.45,12.87,12.62454,2772739,701638
20210514,13.07,14.335,12.57,12.81,13.43287,1944225,488716
20210517,13.22,15.8,13.22,15.49,14.00117,1487356,394451
20210518,15.75,15.75,13.5723,13.9,14.13804,1611205,426528
20210519,14.15,14.15,12.14,12.49,12.66469,820088,209321
20210520,12.5,12.99,12.03,12.47,12.48477,581240,133173
20210521,12.52,12.85,12.0,12.1601,12.35172,498303,116418
20210524,12.27,13.99,12.16,13.8,13.39723,1075773,240869
20210525,13.82,17.28,13.5,17.08,15.09823,2010470,489737
20210526,17.1,19.99,16.61,19.65,18.8528,3541565,988646
20210527,19.67,29.76,17.77,26.51,24.616,6525668,1811963
20210528,27.5,36.72,24.17,25.6899,29.39372,5893196,1809092
20210601,28.7,39.41,27.33,37.69,31.18971,4681870,1266000
20210602,36.3,72.62,35.59,68.0,52.0621,6742614,2174678
