date,open,high,low,close,average,volume,count
1627891200,37.42,37.42,37.42,37.42,37.42,16,1
1627891205,37.42,37.42,37.42,37.42,37.42,0,0
1627891210,37.37,37.49,37.37,37.49,37.38268,9,6
1627891215,37.49,37.49,37.49,37.49,37.49,0,0
1627891220,37.5,37.5,37.5,37.5,37.5,8,3
1627891225,37.5,37.5,37.5,37.5,37.5,6,1
1627891230,37.5,37.5,37.5,37.5,37.5,0,0
1627891235,37.5,37.5,37.5,37.5,37.5,0,0
1627891240,37.5,37.5,37.5,37.5,37.5,0,0
1627891245,37.51,37.51,37.51,37.51,37.51,1,1
1627891250,37.51,37.51,37.51,37.51,37.51,0,0
1627891255,37.51,37.51,37.51,37.51,37.51,0,0
1627891260,37.75,37.75,37.75,37.75,37.75,1,1
1627891265,37.75,37.75,37.75,37.75,37.75,0,0
1627891270,37.75,37.75,37.75,37.75,37.75,2,1
1627891275,37.73,37.73,37.73,37.73,37.73,1,1
1627891280,37.73,37.73,37.73,37.73,37.73,0,0
1627891285,37.73,37.73,37.73,37.73,37.73,0,0
1627891290,37.73,37.73,37.73,37.73,37.73,0,0
1627891295,37.73,37.73,37.73,37.73,37.73,0,0
1627891300,37.73,37.73,37.73,37.73,37.73,0,0
1627891305,37.7,37.7,37.6,37.6,37.64301,3,2
1627891310,37.6,37.6,37.6,37.6,37.6,0,0
1627891315,37.6,37.6,37.6,37.6,37.6,0,0
1627891320,37.6,37.6,37.6,37.6,37.6,0,0
1627891325,37.6,37.6,37.6,37.6,37.6,0,0
1627891330,37.6,37.6,37.6,37.6,37.6,0,0
1627891335,37.6,37.6,37.6,37.6,37.6,0,0
1627891340,37.6,37.6,37.6,37.6,37.6,0,0
1627891345,37.6,37.6,37.6,37.6,37.6,0,0
1627891350,37.6,37.6,37.6,37.6,37.6,0,0
1627891355,37.6,37.6,37.6,37.6,37.6,0,0
1627891360,37.6,37.6,37.6,37.6,37.6,0,0
1627891365,37.6,37.6,37.6,37.6,37.6,0,0
1627891370,37.6,37.6,37.6,37.6,37.6,0,0
1627891375,37.7,37.7,37.7,37.7,37.7,1,1
1627891380,37.7,37.7,37.7,37.7,37.7,0,0
1627891385,37.7,37.7,37.7,37.7,37.7,0,0
1627891390,37.7,37.7,37.7,37.7,37.7,0,0
1627891395,37.7,37.7,37.7,37.7,37.7,0,0
1627891400,37.72,37.73,37.7,37.73,37.72237,6,4
1627891405,37.73,37.73,37.73,37.73,37.73,0,0
1627891410,37.73,37.73,37.73,37.73,37.73,0,0
1627891415,37.73,37.73,37.73,37.73,37.73,0,0
1627891420,37.73,37.73,37.73,37.73,37.73,0,0
1627891425,37.68,37.68,37.68,37.68,37.68,1,1
1627891430,37.68,37.68,37.68,37.68,37.68,0,0
1627891435,37.68,37.68,37.68,37.68,37.68,0,0
1627891440,37.68,37.68,37.68,37.68,37.68,1,1
1627891445,37.68,37.68,37.68,37.68,37.68,0,0
1627891450,37.68,37.68,37.68,37.68,37.68,0,0
1627891455,37.68,37.68,37.68,37.68,37.68,0,0
1627891460,37.68,37.68,37.68,37.68,37.68,0,0
1627891465,37.68,37.68,37.68,37.68,37.68,0,0
1627891470,37.68,37.68,37.68,37.68,37.68,0,0
1627891475,37.68,37.68,37.68,37.68,37.68,0,0
1627891480,37.68,37.68,37.68,37.68,37.68,0,0
1627891485,37.68,37.68,37.68,37.68,37.68,0,0
1627891490,37.68,37.68,37.68,37.68,37.68,0,0
1627891495,37.68,37.68,37.68,37.68,37.68,0,0
1627891500,37.68,37.68,37.68,37.68,37.68,0,0
1627891505,37.68,37.68,37.68,37.68,37.68,0,0
1627891510,37.68,37.68,37.68,37.68,37.68,0,0
1627891515,37.68,37.68,37.68,37.68,37.68,0,0
1627891520,37.68,37.68,37.68,37.68,37.68,0,0
1627891525,37.68,37.68,37.68,37.68,37.68,0,0
1627891530,37.68,37.68,37.68,37.68,37.68,0,0
1627891535,37.68,37.68,37.68,37.68,37.68,0,0
1627891540,37.62,37.63,37.61,37.61,37.62796,25,9
1627891545,37.61,37.61,37.61,37.61,37.61,0,0
1627891550,37.61,37.61,37.61,37.61,37.61,0,0
1627891555,37.6,37.6,37.6,37.6,37.6,2,1
1627891560,37.6,37.6,37.6,37.6,37.6,1,1
1627891565,37.6,37.6,37.6,37.6,37.6,0,0
1627891570,37.6,37.6,37.6,37.6,37.6,0,0
1627891575,37.6,37.6,37.6,37.6,37.6,0,0
1627891580,37.6,37.6,37.6,37.6,37.6,0,0
1627891585,37.6,37.6,37.6,37.6,37.6,1,1
1627891590,37.6,37.6,37.6,37.6,37.6,0,0
1627891595,37.64,37.64,37.64,37.64,37.64,2,1
