date,open,high,low,close,average,volume,count
1638885600,30.01,30.01,30.01,30.01,30.01,0,0
1638885601,30.01,30.01,30.01,30.01,30.01,0,0
1638885602,30.01,30.01,30.01,30.01,30.01,0,0
1638885603,30.01,30.01,30.01,30.01,30.01,0,0
1638885604,30.01,30.01,30.01,30.01,30.01,0,0
1638885605,30.01,30.01,30.01,30.01,30.01,0,0
1638885606,30.01,30.01,30.01,30.01,30.01,0,0
1638885607,30.01,30.01,30.01,30.01,30.01,0,0
1638885608,30.01,30.01,30.01,30.01,30.01,0,0
1638885609,30.01,30.01,30.01,30.01,30.01,0,0
1638885610,30.01,30.01,30.01,30.01,30.01,0,0
1638885611,30.01,30.01,30.01,30.01,30.01,0,0
1638885612,30.0,30.0,30.0,30.0,30.0,2,1
1638885613,30.01,30.01,30.01,30.01,30.01,1,1
1638885614,30.01,30.01,30.01,30.01,30.01,0,0
1638885615,30.01,30.01,30.01,30.01,30.01,0,0
1638885616,30.01,30.01,30.01,30.01,30.01,0,0
1638885617,30.01,30.01,30.01,30.01,30.01,0,0
1638885618,30.01,30.01,30.01,30.01,30.01,0,0
1638885619,30.01,30.01,30.01,30.01,30.01,0,0
1638885620,30.01,30.01,30.01,30.01,30.01,1,1
1638885621,30.01,30.01,30.01,30.01,30.01,0,0
1638885622,30.01,30.01,30.01,30.01,30.01,0,0
1638885623,30.01,30.01,30.01,30.01,30.01,0,0
1638885624,30.01,30.01,30.01,30.01,30.01,0,0
1638885625,30.01,30.01,30.01,30.01,30.01,0,0
1638885626,30.01,30.01,30.01,30.01,30.01,0,0
1638885627,30.01,30.01,30.01,30.01,30.01,0,0
1638885628,30.01,30.01,30.01,30.01,30.01,0,0
1638885629,30.01,30.01,30.01,30.01,30.01,0,0
1638885630,30.01,30.01,30.01,30.01,30.01,0,0
1638885631,29.99,29.99,29.99,29.99,29.99,2,1
1638885632,29.99,29.99,29.99,29.99,29.99,0,0
1638885633,29.99,29.99,29.99,29.99,29.99,0,0
1638885634,29.99,29.99,29.99,29.99,29.99,0,0
1638885635,29.99,29.99,29.99,29.99,29.99,0,0
1638885636,29.99,29.99,29.99,29.99,29.99,0,0
1638885637,29.99,29.99,29.99,29.99,29.99,0,0
1638885638,29.99,29.99,29.99,29.99,29.99,0,0
1638885639,29.99,29.99,29.99,29.99,29.99,0,0
1638885640,29.99,29.99,29.99,29.99,29.99,0,0
1638885641,29.99,29.99,29.99,29.99,29.99,0,0
1638885642,29.99,29.99,29.99,29.99,29.99,0,0
1638885643,29.99,29.99,29.99,29.99,29.99,0,0
1638885644,29.96,29.96,29.96,29.96,29.96,1,1
1638885645,29.96,29.96,29.96,29.96,29.96,0,0
1638885646,29.97,29.97,29.97,29.97,29.97,1,1
1638885647,29.97,29.97,29.97,29.97,29.97,0,0
1638885648,29.97,29.97,29.97,29.97,29.97,0,0
1638885649,29.97,29.97,29.97,29.97,29.97,0,0
1638885650,29.97,29.97,29.97,29.97,29.97,0,0
1638885651,29.97,29.97,29.97,29.97,29.97,0,0
1638885652,29.97,29.97,29.97,29.97,29.97,0,0
1638885653,29.97,29.97,29.97,29.97,29.97,0,0
1638885654,29.97,29.97,29.97,29.97,29.97,0,0
1638885655,29.97,29.97,29.97,29.97,29.97,0,0
1638885656,29.97,29.97,29.97,29.97,29.97,0,0
1638885657,29.97,29.97,29.97,29.97,29.97,0,0
1638885658,29.97,29.97,29.97,29.97,29.97,0,0
1638885659,29.97,29.97,29.97,29.97,29.97,0,0
1638885660,29.97,29.97,29.97,29.97,29.97,0,0
1638885661,29.97,29.97,29.97,29.97,29.97,0,0
1638885662,29.97,29.97,29.97,29.97,29.97,0,0
1638885663,29.97,29.97,29.97,29.97,29.97,0,0
1638885664,29.97,29.97,29.97,29.97,29.97,0,0
1638885665,29.97,29.97,29.97,29.97,29.97,0,0
1638885666,29.97,29.97,29.97,29.97,29.97,0,0
1638885667,29.97,29.97,29.97,29.97,29.97,0,0
1638885668,29.97,29.97,29.97,29.97,29.97,0,0
1638885669,29.97,29.97,29.97,29.97,29.97,0,0
1638885670,29.97,29.97,29.97,29.97,29.97,0,0
1638885671,29.94,29.94,29.92,29.92,29.93333,3,3
1638885672,29.92,29.92,29.92,29.92,29.92,0,0
1638885673,29.9,29.93,29.78,29.9,29.8622,34,19
1638885674,29.9,29.9,29.9,29.9,29.9,0,0
1638885675,29.9,29.9,29.9,29.9,29.9,0,0
1638885676,29.9,29.9,29.9,29.9,29.9,0,0
1638885677,29.91,29.91,29.91,29.91,29.91,10,1
1638885678,29.91,29.91,29.91,29.91,29.91,0,0
1638885679,29.91,29.91,29.91,29.91,29.91,0,0
1638885680,29.91,29.91,29.91,29.91,29.91,3,1
1638885681,29.91,29.91,29.91,29.91,29.91,0,0
1638885682,29.91,29.91,29.91,29.91,29.91,0,0
1638885683,29.91,29.91,29.91,29.91,29.91,7,1
1638885684,29.91,29.91,29.91,29.91,29.91,3,3
1638885685,29.91,29.91,29.91,29.91,29.91,0,0
1638885686,29.91,29.91,29.91,29.91,29.91,0,0
1638885687,29.91,29.91,29.91,29.91,29.91,0,0
1638885688,29.91,29.91,29.91,29.91,29.91,0,0
1638885689,29.93,29.93,29.93,29.93,29.93,1,1
1638885690,29.93,29.93,29.93,29.93,29.93,0,0
1638885691,29.88,29.89,29.88,29.89,29.88287,3,3
1638885692,29.89,29.89,29.89,29.89,29.89,0,0
1638885693,29.89,29.89,29.89,29.89,29.89,0,0
1638885694,29.89,29.89,29.89,29.89,29.89,0,0
1638885695,29.89,29.89,29.89,29.89,29.89,0,0
1638885696,29.89,29.89,29.89,29.89,29.89,0,0
1638885697,29.89,29.89,29.89,29.89,29.89,0,0
1638885698,29.86,29.86,29.85,29.85,29.85883,8,5
1638885699,29.85,29.85,29.85,29.85,29.85,0,0
1638885700,29.85,29.85,29.85,29.85,29.85,0,0
1638885701,29.85,29.85,29.85,29.85,29.85,0,0
1638885702,29.85,29.85,29.85,29.85,29.85,0,0
1638885703,29.85,29.85,29.85,29.85,29.85,0,0
1638885704,29.85,29.85,29.85,29.85,29.85,0,0
1638885705,29.85,29.85,29.85,29.85,29.85,0,0
1638885706,29.85,29.85,29.85,29.85,29.85,0,0
