date,open,high,low,close,average,volume,count
1640595600,28.45,28.53,28.02,28.07,28.14394,98,65
1640596500,28.03,28.8,28.03,28.77,28.36221,126,65
1640597400,28.68,28.68,28.57,28.6,28.6174,12,6
1640598300,28.57,28.62,28.5,28.62,28.54172,21,12
1640599200,28.56,28.62,28.56,28.6,28.59511,7,7
1640600100,28.57,28.64,28.57,28.64,28.6225,4,3
1640601000,28.64,28.64,28.64,28.64,28.64,1,1
1640601900,28.74,28.74,28.73,28.73,28.73415,2,2
1640602800,28.7,28.7,28.33,28.35,28.52988,39,15
1640603700,28.45,28.45,28.31,28.4,28.37533,6,4
1640604600,28.46,28.46,28.46,28.46,28.46,1,1
1640605500,28.4,28.4,28.34,28.35,28.35453,15,4
1640606400,28.48,28.65,28.35,28.54,28.47643,196,60
1640607300,28.55,28.57,28.54,28.55,28.55229,20,15
1640608200,28.55,28.6,28.54,28.57,28.57998,17,9
1640609100,28.55,28.59,28.5,28.53,28.5441,16,11
1640610000,28.5995,28.69,28.425,28.69,28.55602,325,97
1640610900,28.65,28.76,28.65,28.75,28.72535,239,60
1640611800,28.7,28.8,28.66,28.77,28.73996,242,54
1640612700,28.76,28.78,28.66,28.7,28.71467,120,38
1640613600,28.7,28.77,28.6,28.71,28.64805,315,109
1640614500,28.73,28.74,28.35,28.35,28.59391,470,198
1640615400,28.35,28.8399,27.581,27.9132,28.17654,30471,10017
1640616300,27.9214,28.0597,27.01,27.42,27.49567,29141,8345
1640617200,27.425,28.15,27.33,27.9629,27.7144,21066,6326
1640618100,27.97,28.2,27.59,28.13,27.92055,13391,4319
1640619000,28.1388,28.34,27.88,28.0197,28.13302,12952,3588
1640619900,28.01,28.57,27.98,28.41,28.27168,12190,3527
1640620800,28.41,28.88,28.3626,28.8,28.61092,12510,4052
1640621700,28.805,29.1494,28.58,29.1289,28.84811,16151,5717
1640622600,29.12,29.39,28.91,29.165,29.13026,14115,4769
1640623500,29.17,29.31,29.0,29.0313,29.12891,9190,2991
1640624400,29.03,29.12,28.78,29.065,28.90788,11224,3695
1640625300,29.065,29.13,28.8592,29.1101,28.98518,6791,2219
1640626200,29.115,29.138,28.7701,28.94,28.93797,6967,2264
1640627100,28.94,29.04,28.83,28.96,28.94753,3773,1300
1640628000,28.95,29.22,28.86,29.1806,29.04481,5369,1664
1640628900,29.1802,29.1872,28.99,29.0619,29.09346,5032,1448
1640629800,29.06,29.11,28.81,28.9699,28.99456,5156,1662
1640630700,28.9509,28.96,28.75,28.81,28.84593,5161,1567
1640631600,28.81,28.81,28.58,28.64,28.69065,7135,2161
1640632500,28.6448,28.809,28.58,28.715,28.70761,4979,1458
1640633400,28.7,28.8899,28.69,28.81,28.76304,4241,1622
1640634300,28.8,29.02,28.73,28.95,28.90548,5989,1988
1640635200,28.9437,28.96,28.57,28.6914,28.74657,5780,1786
1640636100,28.7,28.73,28.62,28.64,28.66754,4232,1279
1640637000,28.64,28.68,28.42,28.67,28.54034,6060,2072
1640637900,28.6649,28.77,28.61,28.69,28.69,10552,5025
1640638800,28.7,28.7,28.6,28.61,28.69556,1712,44
1640639700,28.61,28.64,28.61,28.61,28.63231,70,23
1640640600,28.64,28.64,28.59,28.61,28.61326,78,27
1640641500,28.61,28.63,28.59,28.63,28.61301,51,18
1640642400,28.6,28.64,28.6,28.64,28.62253,25,10
1640643300,28.61,28.61,28.59,28.6,28.60333,10,6
1640644200,28.61,28.62,28.58,28.5801,28.59953,49,21
1640645100,28.5899,28.6,28.56,28.6,28.58005,58,20
1640646000,28.58,28.58,28.56,28.56,28.57793,30,8
1640646900,28.58,28.59,28.56,28.59,28.58189,34,16
1640647800,28.6,28.6,28.56,28.56,28.57907,52,9
1640648700,28.56,28.59,28.56,28.56,28.56938,37,14
1640649600,28.56,28.57,28.55,28.55,28.55576,28,7
1640650500,28.57,28.57,28.52,28.52,28.54267,48,17
1640651400,28.52,28.55,28.51,28.52,28.51564,41,13
1640652300,28.52,28.55,28.5,28.55,28.53103,96,23
1640682000,28.55,28.8,28.24,28.46,28.64827,101,26
1640682900,28.54,28.62,28.49,28.5,28.5124,12,8
1640683800,28.46,28.52,28.46,28.52,28.50595,14,10
1640684700,28.57,28.62,28.57,28.62,28.60434,6,4
1640685600,28.54,28.66,28.53,28.66,28.58159,12,9
1640686500,28.65,28.73,28.65,28.73,28.68175,2,2
1640687400,28.75,28.8,28.75,28.78,28.76654,14,7
1640688300,28.8,28.91,28.77,28.91,28.81893,16,8
1640689200,28.88,28.88,28.67,28.67,28.84859,14,8
1640690100,28.66,28.86,28.66,28.8,28.82167,22,14
1640691000,28.87,28.9,28.87,28.9,28.88785,10,7
1640691900,28.86,28.92,28.81,28.81,28.85965,19,13
1640692800,28.75,28.75,28.61,28.69,28.65666,43,21
1640693700,28.69,28.73,28.67,28.73,28.69279,24,8
1640694600,28.73,28.75,28.6,28.61,28.67696,81,32
1640695500,28.65,28.65,28.61,28.61,28.625,6,6
1640696400,28.6001,28.8,28.6,28.6601,28.6726,133,41
1640697300,28.68,28.74,28.61,28.74,28.66952,134,36
1640698200,28.68,28.8,28.65,28.7,28.72004,92,37
