date,open,high,low,close,average,volume,count
1660118400,21.8,21.92,21.21,21.24,21.45996,289,138
1660118700,21.24,21.45,21.12,21.38,21.25447,216,111
1660119000,21.34,21.42,21.3,21.31,21.34811,41,22
1660119300,21.34,21.39,21.34,21.36,21.37097,4,3
1660119600,21.4,21.57,21.4,21.51,21.4907,110,62
1660119900,21.56,21.66,21.55,21.66,21.59393,29,20
1660120200,21.66,21.81,21.61,21.81,21.65908,19,14
1660120500,21.83,21.95,21.73,21.77,21.78722,54,19
1660120800,21.77,22.45,21.77,22.29,22.23558,72,39
1660121100,22.3,22.5,22.29,22.5,22.44642,107,52
1660121400,22.54,22.65,22.52,22.59,22.57272,97,54
1660121700,22.52,22.52,21.8,22.33,22.16305,43,19
1660122000,22.31,22.41,22.21,22.41,22.29507,17,13
1660122300,22.42,22.43,22.42,22.43,22.42333,3,3
1660122600,22.45,22.45,22.42,22.42,22.43628,5,5
1660122900,22.4,22.4,22.35,22.35,22.37169,12,8
1660123200,22.36,22.36,22.31,22.31,22.32817,26,16
1660123500,22.35,22.4,22.35,22.37,22.3799,6,4
1660123800,22.37,22.38,22.37,22.37,22.37051,19,8
1660124100,22.37,22.37,22.37,22.37,22.37,0,0
1660124400,22.37,22.37,22.37,22.37,22.37,0,0
1660124700,22.39,22.39,22.37,22.38,22.37695,5,5
1660125000,22.37,22.37,22.37,22.37,22.37,7,7
1660125300,22.33,22.36,22.33,22.36,22.33692,6,5
1660125600,22.33,22.33,22.31,22.31,22.32266,22,8
1660125900,22.31,22.33,22.22,22.23,22.24859,40,24
1660126200,22.22,22.22,22.13,22.13,22.18136,42,24
1660126500,22.15,22.15,22.15,22.15,22.15,1,1
1660126800,22.15,22.15,22.03,22.03,22.10231,13,10
1660127100,22.04,22.11,22.0,22.0,22.03711,17,11
1660127400,21.99,21.99,21.88,21.93,21.92077,23,12
1660127700,21.89,21.89,21.63,21.73,21.75084,72,40
1660128000,21.81,21.81,21.8,21.8,21.8049,4,4
1660128300,21.81,22.0,21.81,22.0,21.88847,20,13
1660128600,22.15,22.15,22.15,22.15,22.15,1,1
1660128900,22.16,22.16,22.16,22.16,22.16,1,1
1660129200,22.17,22.29,22.05,22.05,22.18275,45,27
1660129500,22.04,22.24,22.02,22.24,22.09584,104,45
1660129800,22.3,22.43,22.22,22.31,22.37258,127,50
1660130100,22.32,22.35,22.26,22.26,22.32101,68,23
1660130400,22.3,22.44,22.3,22.35,22.37436,92,61
1660130700,22.4,22.42,22.2,22.4,22.30026,144,40
1660131000,22.4,22.4,22.31,22.36,22.36617,26,8
1660131300,22.26,22.27,22.13,22.13,22.20572,56,48
1660131600,22.13,22.28,22.13,22.26,22.22261,23,23
1660131900,22.26,22.26,22.13,22.15,22.18752,29,28
1660132200,22.18,22.23,22.14,22.23,22.18384,18,15
1660132500,22.25,22.25,22.2,22.22,22.21512,35,23
1660132800,22.2,22.6588,21.1812,22.35,22.23211,1269,280
1660133100,22.35,22.35,22.19,22.2,22.30012,130,42
1660133400,22.24,22.36,22.2,22.2,22.27483,267,107
1660133700,22.21,22.25,22.13,22.15,22.18148,190,89
1660134000,22.15,22.17,21.95,22.03,22.04574,424,170
1660134300,22.04,22.2,21.9,22.05,22.00123,194,93
1660134600,22.05,23.34,22.05,23.1,22.96395,4566,1272
1660134900,23.06,23.26,23.05,23.16,23.18504,1900,554
1660135200,23.18,23.66,23.11,23.59,23.47141,1808,582
1660135500,23.6,23.6,23.38,23.58,23.537,1367,448
1660135800,23.59,23.6,23.3,23.3,23.47795,2592,590
1660136100,23.3,23.44,23.11,23.35,23.32231,1104,330
1660136400,23.3,23.46,23.3,23.42,23.4155,923,295
1660136700,23.45,23.57,23.4,23.48,23.46412,1265,357
1660137000,23.48,23.5,23.34,23.45,23.42573,689,263
1660137300,23.45,23.48,23.31,23.39,23.41112,630,229
1660137600,23.39,23.42,23.26,23.33,23.34164,734,312
1660137900,23.34,23.45,23.01,23.39,23.16286,1216,407
1660138200,23.39,23.7963,22.96,23.1427,23.36918,26956,7382
1660138500,23.12,23.12,22.48,22.57,22.78139,17112,7148
1660138800,22.56,22.5956,21.96,22.075,22.23237,18818,7989
1660139100,22.075,22.57,22.02,22.43,22.30581,12305,4997
1660139400,22.43,22.48,21.79,22.01,22.00043,13364,4931
1660139700,22.0069,22.1799,21.67,21.84,21.93131,11909,3557
1660140000,21.84,22.08,21.68,22.075,21.89493,8003,2766
1660140300,22.075,22.12,21.75,21.855,21.95423,6410,1894
1660140600,21.85,21.89,21.46,21.4612,21.68977,9627,3889
1660140900,21.46,21.5,20.88,20.88,21.21499,18801,7153
1660141200,20.8801,21.33,20.73,21.251,20.98171,16366,5545
1660141500,21.25,21.6699,21.24,21.645,21.46628,10977,3540
1660141800,21.6401,21.88,21.56,21.88,21.69162,8941,3095
1660142100,21.87,21.95,21.71,21.785,21.83037,8241,2806
1660142400,21.7899,21.98,21.71,21.875,21.86923,5168,1863
1660142700,21.8802,22.27,21.785,22.205,22.04698,10957,4201
1660143000,22.2051,22.32,22.04,22.0999,22.17316,9939,3427
1660143300,22.1,22.18,21.955,22.079,22.04436,4718,1825
1660143600,22.08,22.51,22.08,22.44,22.3287,11441,3776
1660143900,22.44,22.64,22.31,22.4,22.46174,9816,3330
1660144200,22.3999,22.46,22.24,22.34,22.31907,5758,2095
1660144500,22.35,22.35,22.15,22.312,22.23287,5051,1810
1660144800,22.3146,22.4,22.19,22.23,22.27454,4662,1755
1660145100,22.24,22.47,22.21,22.3,22.36296,5135,1944
1660145400,22.29,22.4261,22.24,22.33,22.33416,3203,1107
1660145700,22.335,22.335,21.93,21.9598,22.0783,10155,3370
1660146000,21.95,22.07,21.95,22.04,22.01075,5483,1653
1660146300,22.04,22.0892,21.93,22.08,21.99918,4931,1435
1660146600,22.08,22.12,22.02,22.0897,22.07649,2836,841
1660146900,22.0899,22.091,21.9201,21.94,21.99672,4214,1345
1660147200,21.9467,22.19,21.94,22.1499,22.07355,3811,1316
1660147500,22.14,22.2,21.92,21.9601,22.05437,3420,1103
1660147800,21.9699,22.0599,21.84,21.84,21.97625,3536,1179
1660148100,21.84,21.85,21.66,21.68,21.75119,5529,2076
1660148400,21.6791,21.785,21.65,21.755,21.72004,4039,1238
1660148700,21.76,21.81,21.625,21.798,21.72109,3309,950
1660149000,21.795,21.84,21.74,21.81,21.79963,2820,912
1660149300,21.815,21.9199,21.79,21.835,21.86637,3020,919
1660149600,21.8214,21.88,21.71,21.79,21.78763,2321,778
1660149900,21.78,21.79,21.67,21.74,21.72051,2371,730
1660150200,21.7301,21.91,21.72,21.8799,21.81648,2284,640
1660150500,21.88,22.06,21.88,22.04,21.95883,3626,1097
1660150800,22.05,22.05,21.94,21.9908,21.98708,2942,915
1660151100,21.99,22.09,21.98,22.05,22.04533,2272,728
1660151400,22.055,22.09,22.01,22.05,22.04899,1802,614
1660151700,22.06,22.06,21.98,22.025,22.01493,1393,505
1660152000,22.03,22.195,22.03,22.19,22.11269,2342,733
1660152300,22.189,22.21,22.06,22.065,22.13309,2675,916
1660152600,22.0609,22.11,22.0,22.0809,22.0469,2466,791
1660152900,22.09,22.34,22.0808,22.31,22.23211,6248,1637
1660153200,22.31,22.39,22.25,22.3599,22.31916,2657,755
1660153500,22.35,22.54,22.32,22.5272,22.44893,5933,1541
1660153800,22.5201,22.5297,22.44,22.4701,22.48196,3341,849
1660154100,22.47,22.49,22.33,22.43,22.40821,4436,1207
1660154400,22.4373,22.88,22.43,22.829,22.67321,7994,2238
1660154700,22.8299,22.99,22.7201,22.7399,22.86027,10271,2431
1660155000,22.73,22.87,22.67,22.735,22.76365,7214,2105
1660155300,22.7322,22.78,22.64,22.7689,22.71314,4804,1309
1660155600,22.77,23.05,22.71,22.975,22.93838,10032,2998
1660155900,22.99,23.42,22.98,23.32,23.17645,10405,3047
1660156200,23.32,23.48,23.12,23.2293,23.27821,11684,3614
1660156500,23.225,23.46,23.22,23.38,23.36172,8694,2406
1660156800,23.39,23.39,23.17,23.27,23.25832,5564,1818
1660157100,23.2639,23.4499,23.18,23.345,23.32315,5744,1676
1660157400,23.34,23.39,23.3,23.37,23.3465,3420,1134
1660157700,23.38,23.48,23.17,23.21,23.34494,9178,3050
1660158000,23.2115,23.22,23.06,23.13,23.11818,6919,2275
1660158300,23.12,23.13,22.88,22.89,22.98851,6615,1999
1660158600,22.8874,23.1,22.83,23.0754,22.96529,5783,1956
1660158900,23.0709,23.38,23.07,23.3288,23.27332,7168,2147
1660159200,23.32,23.44,23.25,23.3799,23.34618,5588,1763
1660159500,23.375,23.375,23.26,23.3085,23.31404,2934,968
1660159800,23.31,23.43,23.23,23.4,23.35573,4645,1354
1660160100,23.391,23.49,23.39,23.45,23.44456,4777,1543
1660160400,23.455,23.71,23.4407,23.585,23.59084,11338,3251
1660160700,23.585,23.59,23.37,23.47,23.45028,5638,1776
1660161000,23.48,23.73,23.47,23.72,23.62525,8616,2351
1660161300,23.73,23.73,23.58,23.67,23.64883,11143,3827
1660161600,23.67,23.67,23.55,23.6,23.66411,4227,108
1660161900,23.63,23.69,23.6,23.67,23.63535,454,78
1660162200,23.66,23.66,23.61,23.63,23.62798,196,50
1660162500,23.62,23.6407,23.5,23.55,23.57065,158,51
1660162800,23.58,23.62,23.52,23.56,23.56579,153,38
1660163100,23.56,23.6,23.56,23.6,23.58318,137,47
1660163400,23.58,23.62,23.58,23.61,23.60932,113,24
1660163700,23.6,23.62,23.58,23.62,23.59116,67,13
1660164000,23.58,23.62,23.58,23.59,23.61017,101,14
1660164300,23.58,23.58,23.53,23.53,23.55862,72,20
1660164600,23.52,23.53,23.48,23.5,23.50128,160,31
1660164900,23.52,23.52,23.47,23.47,23.49721,71,21
1660165200,23.47,23.5,23.47,23.48,23.47972,24,9
1660165500,23.48,23.5,23.47,23.47,23.49289,46,9
1660165800,23.48,23.52,23.46,23.5,23.48473,113,21
1660166100,23.54,23.6,23.5,23.5,23.55266,106,16
1660166400,23.52,23.59,23.52,23.59,23.56123,95,18
1660166700,23.53,23.58,23.53,23.57,23.56693,11,7
1660167000,23.55,23.58,23.55,23.551,23.57071,84,20
1660167300,23.56,23.59,23.56,23.58,23.58282,37,18
1660167600,23.59,23.59,23.5516,23.5535,23.58207,62,21
1660167900,23.5612,23.5612,23.55,23.55,23.55189,29,12
1660168200,23.55,23.56,23.52,23.53,23.54559,89,25
1660168500,23.56,23.59,23.5326,23.58,23.56602,46,20
1660168800,23.55,23.6,23.55,23.58,23.5666,44,14
1660169100,23.58,23.58,23.51,23.52,23.54695,47,21
1660169400,23.55,23.56,23.52,23.52,23.54462,30,12
1660169700,23.53,23.53,23.45,23.48,23.49596,99,27
1660170000,23.55,23.55,23.46,23.54,23.52786,26,11
1660170300,23.54,23.58,23.52,23.52,23.55558,71,14
1660170600,23.51,23.56,23.51,23.52,23.53792,24,11
1660170900,23.56,23.58,23.52,23.57,23.55507,61,11
1660171200,23.52,23.57,23.52,23.55,23.55314,99,19
1660171500,23.57,23.58,23.54,23.58,23.56929,40,9
1660171800,23.58,23.65,23.58,23.63,23.61374,108,33
1660172100,23.63,23.63,23.58,23.58,23.59749,22,6
1660172400,23.58,23.63,23.49,23.63,23.5851,80,9
1660172700,23.63,23.63,23.54,23.55,23.57878,28,13
1660173000,23.53,23.6,23.53,23.58,23.56101,25,9
1660173300,23.64,23.65,23.56,23.56,23.56747,104,6
1660173600,23.56,23.58,23.55,23.58,23.56249,15,8
1660173900,23.6,23.6,23.56,23.56,23.57933,49,12
1660174200,23.56,23.59,23.54,23.54,23.56023,36,6
1660174500,23.6,23.6,23.55,23.56,23.58193,24,13
1660174800,23.58,23.61,23.57,23.6,23.58602,26,9
1660175100,23.59,23.6,23.58,23.6,23.59851,34,13
1660175400,23.6,23.64,23.58,23.64,23.61733,161,37
1660175700,23.63,23.65,23.63,23.64,23.63807,142,42
1660204800,23.82,23.94,22.35,23.56,23.72362,148,55
1660205100,23.5,23.63,23.5,23.53,23.54764,33,18
1660205400,23.55,23.55,23.51,23.51,23.53756,35,19
1660205700,23.52,23.52,23.4,23.4,23.41829,19,9
1660206000,23.4,23.4,23.38,23.38,23.39068,7,4
1660206300,23.4,23.41,23.4,23.4,23.4013,30,10
1660206600,23.4,23.4,23.4,23.4,23.4,0,0
1660206900,23.49,23.51,23.49,23.51,23.4907,28,6
1660207200,23.47,23.51,23.47,23.51,23.4898,2,2
1660207500,23.62,23.62,23.61,23.61,23.61094,10,3
1660207800,23.54,23.58,23.53,23.55,23.54842,8,4
1660208100,23.55,23.55,23.55,23.55,23.55,0,0
1660208400,23.58,23.63,23.57,23.63,23.58756,17,8
1660208700,23.65,23.65,23.59,23.59,23.6075,4,3
1660209000,23.57,23.58,23.57,23.58,23.57096,10,5
1660209300,23.57,23.57,23.57,23.57,23.57,1,1
1660209600,23.59,23.59,23.59,23.59,23.59,2,1
1660209900,23.59,23.59,23.59,23.59,23.59,2,1
1660210200,23.59,23.59,23.59,23.59,23.59,3,2
1660210500,23.6,23.7,23.6,23.7,23.6523,62,22
1660210800,23.79,23.88,23.78,23.82,23.82283,30,12
1660211100,23.76,23.76,23.74,23.74,23.75,4,2
1660211400,23.8,23.81,23.8,23.81,23.8039,4,3
1660211700,23.84,23.84,23.81,23.84,23.83729,11,7
1660212000,23.81,23.81,23.75,23.75,23.76529,14,6
1660212300,23.73,23.73,23.7,23.7,23.7122,6,5
1660212600,23.7,23.72,23.7,23.72,23.7073,3,2
1660212900,23.76,23.79,23.76,23.79,23.76637,6,2
1660213200,23.75,23.75,23.75,23.75,23.75,1,1
1660213500,23.8,23.8,23.8,23.8,23.8,2,2
1660213800,23.76,23.76,23.75,23.75,23.75095,10,3
1660214100,23.75,23.75,23.75,23.75,23.75,0,0
1660214400,23.75,23.79,23.75,23.79,23.76727,9,4
1660214700,23.79,23.79,23.79,23.79,23.79,0,0
1660215000,23.79,23.79,23.79,23.79,23.79,0,0
1660215300,23.75,23.75,23.71,23.71,23.72385,5,4
1660215600,23.75,24.0,23.73,24.0,23.90201,132,58
1660215900,24.0,24.0,23.9,23.98,23.95999,161,72
1660216200,24.0,24.44,23.99,24.35,24.26139,314,127
1660216500,24.36,24.37,24.25,24.27,24.31409,124,51
1660216800,24.27,24.32,24.11,24.19,24.23915,92,51
1660217100,24.19,24.19,24.05,24.07,24.09588,89,38
1660217400,24.09,24.27,24.06,24.27,24.19881,77,42
1660217700,24.27,24.34,24.25,24.3,24.30426,186,81
1660218000,24.34,24.48,24.3,24.46,24.40685,236,113
1660218300,24.46,24.46,24.4,24.41,24.43825,63,37
1660218600,24.43,24.46,24.3,24.41,24.40259,205,97
1660218900,24.42,24.43,24.31,24.35,24.36035,57,42
1660219200,23.75,24.48,23.3712,24.4,24.23019,2308,473
1660219500,24.37,24.4,24.25,24.3012,24.3227,269,116
1660219800,24.31,24.4,24.3,24.31,24.34637,249,69
1660220100,24.31,24.37,24.28,24.34,24.29995,276,125
1660220400,24.36,24.36,24.25,24.33,24.32334,198,97
1660220700,24.3,24.33,24.28,24.28,24.29982,89,37
1660221000,24.3,24.38,24.15,24.15,24.27477,307,132
1660221300,24.15,24.21,23.95,24.14,24.10524,804,243
1660221600,24.14,24.29,24.1,24.26,24.20757,357,133
