date,open,high,low,close,average,volume,count
1658736000,87.78,88.15,87.78,88.15,87.924,33,22
1658736900,88.02,88.3,87.92,88.3,88.131,7,5
1658737800,88.29,88.42,88.29,88.35,88.359,7,6
1658738700,88.35,88.35,88.35,88.35,88.35,0,0
1658739600,88.18,88.39,88.18,88.36,88.335,9,6
1658740500,88.3,88.44,88.3,88.32,88.381,44,11
1658741400,88.41,88.42,88.41,88.42,88.415,4,3
1658742300,88.42,88.65,88.42,88.65,88.508,9,7
1658743200,88.65,88.65,88.5,88.5,88.545,108,32
1658744100,88.58,88.58,88.43,88.44,88.496,124,29
1658745000,88.4,88.4,88.12,88.12,88.255,70,20
1658745900,88.3,88.35,88.3,88.3,88.322,8,6
1658746800,88.3,88.3,88.14,88.3,88.214,100,56
1658747700,88.3,88.46,88.25,88.45,88.363,124,59
1658748600,88.45,88.5,88.3,88.3,88.412,40,25
1658749500,88.29,88.32,87.94,88.04,88.099,142,85
1658750400,88.32,88.5,87.88,87.9,88.187,802,194
1658751300,87.83,87.9,87.58,87.62,87.726,326,108
1658752200,87.62,87.71,87.35,87.56,87.519,829,181
1658753100,87.56,87.62,87.27,87.58,87.441,403,151
1658754000,87.6,87.65,87.25,87.25,87.423,293,105
1658754900,87.23,87.37,86.35,86.53,86.827,963,382
1658755800,86.59,87.27,85.92,86.99,86.543,52924,17710
1658756700,86.98,87.31,86.3,86.84,86.879,41052,13042
1658757600,86.84,86.97,85.65,85.65,86.234,39001,13301
1658758500,85.66,85.87,85.12,85.72,85.504,41001,14161
1658759400,85.72,86.3,85.51,86.2,85.944,29945,9421
1658760300,86.2,86.29,85.62,85.67,85.903,26831,8342
1658761200,85.68,86.01,85.38,85.44,85.705,19910,6876
1658762100,85.44,85.92,85.29,85.87,85.571,18803,5328
1658763000,85.88,86.11,85.8,86.06,86.004,20248,5614
1658763900,86.06,86.38,85.97,86.18,86.19,21656,6148
1658764800,86.18,86.44,85.93,86.03,86.22,19965,5797
1658765700,86.04,86.41,85.98,86.39,86.231,15705,4332
1658766600,86.38,86.86,86.23,86.76,86.589,19826,5495
1658767500,86.75,87.06,86.74,86.97,86.902,18344,5884
1658768400,86.97,87.12,86.8,86.88,86.934,16757,5280
1658769300,86.88,86.96,86.64,86.69,86.83,12786,4502
1658770200,86.69,86.84,86.6,86.66,86.721,9841,3297
1658771100,86.67,86.78,86.46,86.54,86.614,10484,3932
1658772000,86.54,86.69,86.38,86.64,86.529,10755,3978
1658772900,86.64,86.89,86.45,86.89,86.7,15519,4609
1658773800,86.88,87.29,86.78,87.29,87.02,17797,5523
1658774700,87.29,87.29,86.88,86.97,87.03,18875,6162
1658775600,86.96,87.1,86.59,86.81,86.802,18638,6386
1658776500,86.82,87.22,86.73,86.97,87.038,21711,7621
1658777400,86.97,87.29,86.79,87.24,87.072,22165,7424
1658778300,87.24,87.6,87.13,87.53,87.429,31643,12629
1658779200,87.54,87.86,87.48,87.78,87.547,20747,290
1658780100,87.7,87.78,87.42,87.42,87.581,434,162
1658781000,87.42,87.7,87.37,87.62,87.542,300,111
1658781900,87.51,87.75,87.5,87.5,87.599,214,74
1658782800,87.51,87.69,87.44,87.47,87.531,236,58
1658783700,87.59,87.59,87.42,87.42,87.455,92,30
1658784600,87.38,87.42,87.35,87.35,87.391,67,21
1658785500,87.39,87.39,87.31,87.39,87.354,82,16
1658786400,87.5,87.5,87.3,87.3,87.382,70,27
1658787300,87.34,87.37,87.29,87.29,87.351,24,14
1658788200,87.27,87.4,87.26,87.35,87.324,51,18
1658789100,87.35,87.42,87.27,87.4,87.374,40,16
1658790000,87.3,87.37,87.3,87.31,87.322,28,12
1658790900,87.31,87.37,87.27,87.27,87.302,46,15
1658791800,87.27,87.35,87.22,87.3,87.279,62,23
1658792700,87.28,87.36,87.22,87.26,87.273,138,34
1658822400,89.22,89.22,86.95,86.95,87.273,26,18
1658823300,87.04,87.04,87.04,87.04,87.04,1,1
1658824200,87.04,87.04,87.04,87.04,87.04,1,1
1658825100,87.15,87.15,87.15,87.15,87.15,3,2
1658826000,87.2,87.3,87.2,87.27,87.256,31,15
1658826900,87.22,87.22,87.2,87.2,87.212,8,3
1658827800,87.2,87.2,87.2,87.2,87.2,0,0
1658828700,87.32,87.32,87.32,87.32,87.32,1,1
1658829600,87.16,87.17,87.14,87.15,87.153,15,11
1658830500,87.06,87.06,86.77,86.77,86.967,16,9
1658831400,86.9,86.9,86.78,86.78,86.852,2,2
1658832300,86.78,86.78,86.78,86.78,86.78,0,0
1658833200,86.95,86.98,86.86,86.88,86.913,44,18
1658834100,86.9,86.95,86.81,86.95,86.892,41,19
1658835000,86.94,87.0,86.89,86.89,86.936,25,17
1658835900,86.96,87.12,86.88,86.88,87.004,145,47
1658836800,86.88,87.19,86.81,87.15,86.959,248,79
1658837700,87.09,87.22,86.95,87.15,87.094,188,71
1658838600,87.14,87.27,87.03,87.03,87.162,130,41
1658839500,87.01,87.03,86.7,87.0,86.877,259,111
1658840400,86.89,87.13,86.7,86.91,86.949,292,80
1658841300,86.91,87.2,86.88,87.01,87.1,494,130
1658842200,87.0,87.57,86.43,86.81,86.95,44706,15079
1658843100,86.8,87.75,86.37,87.24,87.176,42590,14724
1658844000,87.22,87.43,86.38,86.5,86.981,34761,10949
