date,open,high,low,close,average,volume,count
1655211600,105.25,105.25,105.25,105.25,105.25,0,0
1655211601,105.25,105.25,105.25,105.25,105.25,0,0
1655211602,105.25,105.25,105.2,105.2,105.225,8,4
1655211603,105.2,105.2,105.2,105.2,105.2,31,3
1655211604,105.2,105.2,105.2,105.2,105.2,0,0
1655211605,105.17,105.17,105.16,105.16,105.165,2,2
1655211606,105.16,105.16,105.16,105.16,105.16,0,0
1655211607,105.16,105.16,105.16,105.16,105.16,0,0
1655211608,105.16,105.16,105.16,105.16,105.16,0,0
1655211609,105.13,105.13,105.13,105.13,105.13,16,2
1655211610,105.1,105.1,105.09,105.09,105.094,27,9
1655211611,105.01,105.01,105.01,105.01,105.01,1,1
1655211612,105.01,105.01,105.01,105.01,105.01,0,0
1655211613,105.01,105.01,105.01,105.01,105.01,0,0
1655211614,105.01,105.01,105.01,105.01,105.01,0,0
1655211615,105.1,105.1,105.1,105.1,105.1,1,1
1655211616,105.1,105.1,105.1,105.1,105.1,0,0
1655211617,105.1,105.1,105.1,105.1,105.1,0,0
1655211618,105.1,105.1,105.1,105.1,105.1,0,0
1655211619,105.0,105.0,105.0,105.0,105.0,1,1
1655211620,105.0,105.0,105.0,105.0,105.0,0,0
1655211621,105.0,105.0,105.0,105.0,105.0,0,0
1655211622,105.0,105.0,105.0,105.0,105.0,0,0
1655211623,105.0,105.0,105.0,105.0,105.0,0,0
1655211624,105.0,105.0,105.0,105.0,105.0,0,0
1655211625,105.0,105.0,105.0,105.0,105.0,0,0
1655211626,105.0,105.0,105.0,105.0,105.0,0,0
1655211627,105.0,105.0,105.0,105.0,105.0,0,0
1655211628,105.0,105.0,105.0,105.0,105.0,0,0
1655211629,105.1,105.1,105.1,105.1,105.1,1,1
1655211630,105.05,105.05,105.0,105.0,105.021,7,6
1655211631,105.0,105.0,105.0,105.0,105.0,0,0
1655211632,105.0,105.0,105.0,105.0,105.0,0,0
1655211633,105.0,105.0,105.0,105.0,105.0,0,0
1655211634,105.0,105.01,105.0,105.0,105.0,5,1
1655211635,105.0,105.01,105.0,105.0,105.0,0,0
1655211636,105.0,105.01,105.0,105.0,105.0,0,0
1655211637,105.0,105.01,105.0,105.0,105.0,0,0
1655211638,105.0,105.01,105.0,105.0,105.0,0,0
1655211639,105.0,105.01,105.0,105.0,105.0,0,0
1655211640,105.0,105.01,105.0,105.0,105.0,0,0
1655211641,105.0,105.01,105.0,105.0,105.0,0,0
1655211642,105.0,105.01,105.0,105.0,105.0,0,0
1655211643,105.0,105.01,105.0,105.0,105.0,0,0
1655211644,105.0,105.01,105.0,105.0,105.0,0,0
1655211645,105.0,105.01,105.0,105.0,105.0,0,0
1655211646,105.0,105.01,105.0,105.0,105.0,0,0
1655211647,105.1,105.13,105.1,105.13,105.106,14,8
1655211648,105.13,105.13,105.13,105.13,105.13,0,0
1655211649,105.13,105.13,105.13,105.13,105.13,0,0
1655211650,105.13,105.13,105.13,105.13,105.13,0,0
1655211651,105.13,105.13,105.13,105.13,105.13,0,0
1655211652,105.13,105.13,105.13,105.13,105.13,0,0
1655211653,105.13,105.13,105.13,105.13,105.13,0,0
1655211654,105.13,105.13,105.13,105.13,105.13,0,0
1655211655,105.17,105.17,105.17,105.17,105.17,3,1
