date,open,high,low,close,average,volume,count
1633939200,6.79,6.79,6.75,6.79,6.782,24,9
1633939260,6.79,6.8,6.79,6.8,6.7952,14,4
1633939320,6.8,6.8,6.8,6.8,6.8,0,0
1633939380,6.81,6.89,6.8,6.89,6.83814,30,10
1633939440,6.89,6.89,6.89,6.89,6.89,4,3
1633939500,6.89,6.89,6.89,6.89,6.89,12,2
1633939560,6.89,6.89,6.89,6.89,6.89,8,3
1633939620,6.895,6.9,6.89,6.9,6.89333,26,15
1633939680,6.9,6.91,6.84,6.84,6.88748,12,7
1633939740,6.88,6.88,6.88,6.88,6.88,2,1
1633939800,6.87,6.89,6.87,6.89,6.87978,36,10
1633939860,6.91,6.91,6.91,6.91,6.91,1,1
1633939920,6.91,6.91,6.89,6.9,6.903,22,7
1633939980,6.88,6.9,6.88,6.9,6.889,10,4
1633940040,6.9,6.9,6.9,6.9,6.9,0,0
1633940100,6.9,6.91,6.9,6.91,6.90688,16,11
1633940160,6.91,6.91,6.91,6.91,6.91,41,4
1633940220,6.91,6.91,6.91,6.91,6.91,62,2
1633940280,6.9,6.91,6.9,6.91,6.90625,16,2
1633940340,6.91,6.91,6.91,6.91,6.91,0,0
1633940400,6.91,6.91,6.9,6.9,6.90101,19,10
1633940460,6.9,6.9,6.9,6.9,6.9,0,0
1633940520,6.9,6.9,6.9,6.9,6.9,4,2
1633940580,6.9,6.9,6.9,6.9,6.9,0,0
1633940640,6.86,6.86,6.81,6.81,6.83674,8,7
1633940700,6.81,6.81,6.81,6.81,6.81,1,1
1633940760,6.81,6.81,6.81,6.81,6.81,0,0
1633940820,6.81,6.81,6.81,6.81,6.81,1,1
1633940880,6.81,6.81,6.8,6.8,6.80375,8,3
1633940940,6.8,6.8,6.8,6.8,6.8,0,0
1633941000,6.8,6.8,6.8,6.8,6.8,0,0
1633941060,6.8,6.8,6.8,6.8,6.8,9,3
1633941120,6.8,6.8,6.8,6.8,6.8,0,0
1633941180,6.8,6.8,6.8,6.8,6.8,0,0
1633941240,6.8,6.8,6.8,6.8,6.8,0,0
1633941300,6.8,6.8,6.8,6.8,6.8,0,0
1633941360,6.8,6.8,6.8,6.8,6.8,0,0
1633941420,6.8,6.8,6.8,6.8,6.8,0,0
1633941480,6.81,6.81,6.81,6.81,6.81,3,2
1633941540,6.8,6.8,6.8,6.8,6.8,1,1
1633941600,6.8,6.8,6.8,6.8,6.8,0,0
1633941660,6.8,6.8,6.8,6.8,6.8,5,2
1633941720,6.8,6.8,6.8,6.8,6.8,0,0
1633941780,6.8,6.8,6.8,6.8,6.8,0,0
1633941840,6.8,6.8,6.8,6.8,6.8,0,0
1633941900,6.8,6.8,6.8,6.8,6.8,0,0
1633941960,6.8,6.8,6.8,6.8,6.8,0,0
1633942020,6.77,6.77,6.77,6.77,6.77,1,1
1633942080,6.77,6.77,6.77,6.77,6.77,0,0
1633942140,6.77,6.77,6.77,6.77,6.77,0,0
1633942200,6.77,6.77,6.77,6.77,6.77,0,0
1633942260,6.8,6.81,6.8,6.81,6.80714,3,2
1633942320,6.81,6.81,6.81,6.81,6.81,0,0
1633942380,6.81,6.81,6.81,6.81,6.81,12,9
1633942440,6.81,6.81,6.81,6.81,6.81,0,0
1633942500,6.81,6.81,6.81,6.81,6.81,0,0
1633942560,6.81,6.81,6.81,6.81,6.81,0,0
1633942620,6.81,6.81,6.81,6.81,6.81,0,0
1633942680,6.85,6.85,6.85,6.85,6.85,9,1
1633942740,6.84,6.84,6.84,6.84,6.84,2,2
1633942800,6.84,6.84,6.84,6.84,6.84,20,1
1633942860,6.84,6.84,6.84,6.84,6.84,0,0
1633942920,6.84,6.84,6.84,6.84,6.84,40,1
1633942980,6.84,6.84,6.84,6.84,6.84,0,0
1633943040,6.83,6.83,6.83,6.83,6.83,1,1
1633943100,6.83,6.83,6.83,6.83,6.83,0,0
1633943160,6.83,6.83,6.82,6.82,6.82435,2,2
1633943220,6.82,6.82,6.82,6.82,6.82,0,0
1633943280,6.82,6.82,6.82,6.82,6.82,1,1
1633943340,6.82,6.82,6.82,6.82,6.82,1,1
1633943400,6.82,6.82,6.82,6.82,6.82,1,1
1633943460,6.82,6.84,6.82,6.84,6.83248,33,18
1633943520,6.84,6.84,6.84,6.84,6.84,2,2
1633943580,6.84,6.84,6.84,6.84,6.84,0,0
1633943640,6.84,6.84,6.84,6.84,6.84,0,0
1633943700,6.84,6.84,6.84,6.84,6.84,5,1
1633943760,6.84,6.84,6.84,6.84,6.84,0,0
1633943820,6.82,6.83,6.82,6.82,6.82059,16,4
1633943880,6.84,6.84,6.84,6.84,6.84,3,1
1633943940,6.84,6.84,6.84,6.84,6.84,0,0
1633944000,6.84,6.84,6.84,6.84,6.84,1,1
1633944060,6.84,6.84,6.84,6.84,6.84,0,0
1633944120,6.84,6.84,6.84,6.84,6.84,0,0
1633944180,6.84,6.84,6.84,6.84,6.84,0,0
1633944240,6.84,6.84,6.84,6.84,6.84,0,0
1633944300,6.84,6.84,6.84,6.84,6.84,0,0
1633944360,6.84,6.84,6.84,6.84,6.84,0,0
1633944420,6.84,6.84,6.84,6.84,6.84,0,0
