date,open,high,low,close,average,volume,count
1627045200,27.99,27.99,27.99,27.99,27.99,0,0
1627045201,27.99,27.99,27.99,27.99,27.99,0,0
1627045202,27.99,27.99,27.99,27.99,27.99,0,0
1627045203,27.99,27.99,27.99,27.99,27.99,0,0
1627045204,27.99,27.99,27.99,27.99,27.99,0,0
1627045205,27.99,27.99,27.99,27.99,27.99,0,0
1627045206,27.99,27.99,27.99,27.99,27.99,0,0
1627045207,27.99,27.99,27.99,27.99,27.99,0,0
1627045208,27.99,27.99,27.99,27.99,27.99,0,0
1627045209,27.99,27.99,27.99,27.99,27.99,0,0
1627045210,27.99,27.99,27.99,27.99,27.99,0,0
1627045211,27.99,27.99,27.99,27.99,27.99,0,0
1627045212,27.99,27.99,27.99,27.99,27.99,0,0
1627045213,27.99,27.99,27.99,27.99,27.99,0,0
1627045214,27.99,27.99,27.99,27.99,27.99,0,0
1627045215,27.99,27.99,27.99,27.99,27.99,0,0
1627045216,27.99,27.99,27.99,27.99,27.99,0,0
1627045217,27.99,27.99,27.99,27.99,27.99,0,0
1627045218,27.99,27.99,27.99,27.99,27.99,0,0
1627045219,27.99,27.99,27.99,27.99,27.99,0,0
1627045220,27.99,27.99,27.99,27.99,27.99,0,0
1627045221,27.99,27.99,27.99,27.99,27.99,0,0
1627045222,27.99,27.99,27.99,27.99,27.99,0,0
1627045223,27.99,27.99,27.99,27.99,27.99,0,0
1627045224,27.99,27.99,27.99,27.99,27.99,0,0
1627045225,27.99,27.99,27.99,27.99,27.99,0,0
1627045226,27.99,27.99,27.99,27.99,27.99,0,0
1627045227,27.99,27.99,27.99,27.99,27.99,0,0
1627045228,27.99,27.99,27.99,27.99,27.99,0,0
1627045229,27.99,27.99,27.99,27.99,27.99,0,0
1627045230,27.99,27.99,27.99,27.99,27.99,0,0
1627045231,27.99,27.99,27.99,27.99,27.99,0,0
1627045232,27.99,27.99,27.99,27.99,27.99,0,0
1627045233,27.99,27.99,27.99,27.99,27.99,0,0
1627045234,27.99,27.99,27.99,27.99,27.99,0,0
1627045235,27.99,27.99,27.99,27.99,27.99,0,0
1627045236,27.99,27.99,27.99,27.99,27.99,0,0
1627045237,27.99,27.99,27.99,27.99,27.99,0,0
1627045238,27.99,27.99,27.99,27.99,27.99,0,0
1627045239,27.99,27.99,27.99,27.99,27.99,0,0
1627045240,27.99,27.99,27.99,27.99,27.99,0,0
1627045241,27.99,27.99,27.99,27.99,27.99,0,0
1627045242,27.99,27.99,27.99,27.99,27.99,0,0
1627045243,27.99,27.99,27.99,27.99,27.99,0,0
1627045244,27.99,27.99,27.99,27.99,27.99,0,0
1627045245,27.99,27.99,27.99,27.99,27.99,0,0
1627045246,27.99,27.99,27.99,27.99,27.99,0,0
1627045247,27.99,27.99,27.99,27.99,27.99,0,0
1627045248,27.99,27.99,27.99,27.99,27.99,0,0
1627045249,27.99,27.99,27.99,27.99,27.99,0,0
1627045250,27.99,27.99,27.99,27.99,27.99,0,0
1627045251,27.99,27.99,27.99,27.99,27.99,0,0
1627045252,27.99,27.99,27.99,27.99,27.99,0,0
1627045253,27.99,27.99,27.99,27.99,27.99,0,0
1627045254,27.99,27.99,27.99,27.99,27.99,0,0
1627045255,27.99,27.99,27.99,27.99,27.99,0,0
1627045256,27.99,27.99,27.99,27.99,27.99,0,0
1627045257,27.99,27.99,27.99,27.99,27.99,0,0
1627045258,27.99,27.99,27.99,27.99,27.99,0,0
1627045259,27.99,27.99,27.99,27.99,27.99,0,0
1627045260,27.99,27.99,27.99,27.99,27.99,0,0
1627045261,27.99,27.99,27.99,27.99,27.99,0,0
1627045262,27.99,27.99,27.99,27.99,27.99,0,0
1627045263,27.99,27.99,27.99,27.99,27.99,0,0
1627045264,27.99,27.99,27.99,27.99,27.99,0,0
1627045265,27.99,27.99,27.99,27.99,27.99,0,0
1627045266,27.99,27.99,27.99,27.99,27.99,0,0
1627045267,27.99,27.99,27.99,27.99,27.99,0,0
1627045268,27.99,27.99,27.99,27.99,27.99,0,0
1627045269,27.99,27.99,27.99,27.99,27.99,0,0
1627045270,27.99,27.99,27.99,27.99,27.99,0,0
1627045271,27.99,27.99,27.99,27.99,27.99,0,0
1627045272,27.99,27.99,27.99,27.99,27.99,0,0
1627045273,27.99,27.99,27.99,27.99,27.99,0,0
1627045274,27.99,27.99,27.99,27.99,27.99,0,0
1627045275,27.99,27.99,27.99,27.99,27.99,0,0
1627045276,27.99,27.99,27.99,27.99,27.99,0,0
1627045277,27.99,27.99,27.99,27.99,27.99,0,0
1627045278,27.99,27.99,27.99,27.99,27.99,0,0
1627045279,27.99,27.99,27.99,27.99,27.99,0,0
1627045280,27.99,27.99,27.99,27.99,27.99,0,0
1627045281,27.99,27.99,27.99,27.99,27.99,1,1
1627045282,27.99,27.99,27.99,27.99,27.99,0,0
1627045283,27.99,27.99,27.99,27.99,27.99,0,0
1627045284,27.99,27.99,27.99,27.99,27.99,0,0
1627045285,27.99,27.99,27.99,27.99,27.99,0,0
1627045286,27.99,27.99,27.99,27.99,27.99,0,0
1627045287,27.99,27.99,27.99,27.99,27.99,0,0
1627045288,27.99,27.99,27.99,27.99,27.99,0,0
1627045289,27.99,27.99,27.99,27.99,27.99,0,0
1627045290,27.99,27.99,27.99,27.99,27.99,0,0
1627045291,27.99,27.99,27.99,27.99,27.99,0,0
1627045292,27.99,27.99,27.99,27.99,27.99,0,0
1627045293,27.99,27.99,27.99,27.99,27.99,0,0
1627045294,27.99,27.99,27.99,27.99,27.99,0,0
1627045295,27.99,27.99,27.99,27.99,27.99,0,0
1627045296,27.99,27.99,27.99,27.99,27.99,0,0
1627045297,27.99,27.99,27.99,27.99,27.99,0,0
1627045298,27.99,27.99,27.99,27.99,27.99,0,0
1627045299,27.99,27.99,27.99,27.99,27.99,0,0
1627045300,27.99,27.99,27.99,27.99,27.99,0,0
1627045301,27.99,27.99,27.99,27.99,27.99,0,0
1627045302,27.99,27.99,27.99,27.99,27.99,0,0
1627045303,27.99,27.99,27.99,27.99,27.99,0,0
1627045304,27.99,27.99,27.99,27.99,27.99,0,0
1627045305,27.99,27.99,27.99,27.99,27.99,0,0
1627045306,27.99,27.99,27.99,27.99,27.99,0,0
1627045307,27.99,27.99,27.99,27.99,27.99,0,0
1627045308,27.99,27.99,27.99,27.99,27.99,0,0
1627045309,27.99,27.99,27.99,27.99,27.99,0,0
1627045310,27.99,27.99,27.99,27.99,27.99,0,0
1627045311,27.99,27.99,27.99,27.99,27.99,0,0
1627045312,27.99,27.99,27.99,27.99,27.99,0,0
1627045313,27.99,27.99,27.99,27.99,27.99,0,0
1627045314,27.99,27.99,27.99,27.99,27.99,0,0
1627045315,27.99,27.99,27.99,27.99,27.99,0,0
1627045316,27.99,27.99,27.99,27.99,27.99,0,0
1627045317,27.99,27.99,27.99,27.99,27.99,0,0
1627045318,27.99,27.99,27.99,27.99,27.99,0,0
1627045319,27.99,27.99,27.99,27.99,27.99,0,0
1627045320,27.99,27.99,27.99,27.99,27.99,0,0
1627045321,27.99,27.99,27.99,27.99,27.99,0,0
1627045322,27.99,27.99,27.99,27.99,27.99,0,0
1627045323,27.99,27.99,27.99,27.99,27.99,0,0
1627045324,27.99,27.99,27.99,27.99,27.99,0,0
1627045325,27.99,27.99,27.99,27.99,27.99,0,0
1627045326,27.99,27.99,27.99,27.99,27.99,0,0
1627045327,27.99,27.99,27.99,27.99,27.99,0,0
1627045328,27.99,27.99,27.99,27.99,27.99,0,0
1627045329,27.99,27.99,27.99,27.99,27.99,0,0
1627045330,27.99,27.99,27.99,27.99,27.99,0,0
1627045331,27.99,27.99,27.99,27.99,27.99,0,0
1627045332,27.99,27.99,27.99,27.99,27.99,0,0
1627045333,27.99,27.99,27.99,27.99,27.99,0,0
1627045334,27.99,27.99,27.99,27.99,27.99,0,0
1627045335,27.99,27.99,27.99,27.99,27.99,0,0
1627045336,27.99,27.99,27.99,27.99,27.99,0,0
1627045337,27.99,27.99,27.99,27.99,27.99,0,0
1627045338,27.99,27.99,27.99,27.99,27.99,0,0
1627045339,27.99,27.99,27.99,27.99,27.99,0,0
1627045340,27.99,27.99,27.99,27.99,27.99,0,0
1627045341,27.99,27.99,27.99,27.99,27.99,0,0
1627045342,27.99,27.99,27.99,27.99,27.99,0,0
1627045343,27.99,27.99,27.99,27.99,27.99,0,0
1627045344,27.99,27.99,27.99,27.99,27.99,0,0
1627045345,27.99,27.99,27.99,27.99,27.99,0,0
1627045346,27.99,27.99,27.99,27.99,27.99,0,0
1627045347,27.99,27.99,27.99,27.99,27.99,0,0
