date,open,high,low,close,average,volume,count
1629878400,3.8,3.8,3.75,3.75,3.755,9,3
1629878700,3.75,3.75,3.75,3.75,3.75,0,0
1629879000,3.75,3.75,3.75,3.75,3.75,0,0
1629879300,3.75,3.75,3.75,3.75,3.75,0,0
1629879600,3.75,3.75,3.75,3.75,3.75,0,0
1629879900,3.75,3.75,3.75,3.75,3.75,0,0
1629880200,3.75,3.75,3.75,3.75,3.75,0,0
1629880500,3.75,3.75,3.75,3.75,3.75,0,0
1629880800,3.75,3.75,3.75,3.75,3.75,0,0
1629881100,3.75,3.75,3.75,3.75,3.75,0,0
1629881400,3.75,3.75,3.75,3.75,3.75,0,0
1629881700,3.75,3.75,3.75,3.75,3.75,0,0
1629882000,3.75,3.75,3.75,3.75,3.75,0,0
1629882300,3.75,3.75,3.75,3.75,3.75,0,0
1629882600,3.75,3.75,3.75,3.75,3.75,0,0
1629882900,3.75,3.75,3.75,3.75,3.75,0,0
1629883200,3.82,3.82,3.81,3.81,3.816,7,4
1629883500,3.95,3.95,3.93,3.93,3.947,11,4
1629883800,3.93,3.93,3.93,3.93,3.93,0,0
1629884100,3.92,3.92,3.92,3.92,3.92,3,2
1629884400,3.92,3.92,3.92,3.92,3.92,0,0
1629884700,3.92,3.92,3.92,3.92,3.92,0,0
1629885000,3.92,3.92,3.92,3.92,3.92,0,0
1629885300,3.92,3.92,3.92,3.92,3.92,0,0
1629885600,3.92,3.92,3.92,3.92,3.92,0,0
1629885900,3.92,3.92,3.92,3.92,3.92,0,0
1629886200,3.92,3.92,3.92,3.92,3.92,0,0
1629886500,3.92,3.92,3.92,3.92,3.92,0,0
1629886800,3.92,3.92,3.92,3.92,3.92,0,0
1629887100,3.87,3.88,3.87,3.88,3.878,4,2
1629887400,3.91,3.91,3.91,3.91,3.91,2,1
1629887700,3.95,3.95,3.95,3.95,3.95,2,1
1629888000,3.95,3.95,3.95,3.95,3.95,0,0
1629888300,3.88,3.94,3.88,3.94,3.935,12,3
1629888600,3.94,3.94,3.94,3.94,3.94,0,0
1629888900,3.94,3.94,3.94,3.94,3.94,0,0
1629889200,3.87,3.87,3.86,3.86,3.865,2,2
1629889500,3.85,3.86,3.85,3.86,3.856,4,2
1629889800,3.86,3.86,3.86,3.86,3.86,0,0
1629890100,3.86,3.86,3.86,3.86,3.86,0,0
1629890400,3.84,3.84,3.84,3.84,3.84,1,1
1629890700,3.84,3.84,3.84,3.84,3.84,0,0
1629891000,3.84,3.84,3.84,3.84,3.84,0,0
1629891300,3.86,3.86,3.86,3.86,3.86,1,1
1629891600,3.86,3.86,3.86,3.86,3.86,0,0
1629891900,3.86,3.86,3.86,3.86,3.86,0,0
1629892200,3.86,3.86,3.86,3.86,3.86,0,0
1629892500,3.86,3.86,3.86,3.86,3.86,0,0
1629892800,3.87,3.91,3.86,3.86,3.871,68,4
1629893100,3.9,3.9,3.9,3.9,3.9,5,3
1629893400,3.91,3.91,3.9,3.9,3.905,5,4
1629893700,3.9,3.9,3.9,3.9,3.9,8,3
1629894000,3.89,3.89,3.89,3.89,3.89,4,2
1629894300,3.89,3.89,3.89,3.89,3.89,5,1
1629894600,3.89,3.89,3.89,3.89,3.89,0,0
1629894900,3.89,3.89,3.89,3.89,3.89,0,0
1629895200,3.89,3.89,3.89,3.89,3.89,10,4
1629895500,3.9,3.91,3.9,3.9,3.907,12,4
1629895800,3.9,3.9,3.9,3.9,3.9,5,3
1629896100,3.91,3.91,3.9,3.9,3.903,6,3
1629896400,3.88,3.89,3.88,3.89,3.886,99,4
1629896700,3.88,3.88,3.88,3.88,3.88,5,1
1629897000,3.88,3.88,3.86,3.86,3.863,16,2
1629897300,3.85,3.85,3.85,3.85,3.85,1,1
1629897600,3.85,3.89,3.84,3.87,3.886,45,6
1629897900,3.82,3.82,3.82,3.82,3.82,1,1
1629898200,3.82,3.85,3.67,3.71,3.755,1316,239
1629898500,3.72,3.82,3.7,3.79,3.777,660,214
1629898800,3.79,3.9,3.75,3.87,3.821,859,223
1629899100,3.86,4.25,3.85,4.22,4.049,5469,825
1629899400,4.22,4.27,4.07,4.11,4.153,3039,476
1629899700,4.1,4.19,4.07,4.1,4.129,1744,311
1629900000,4.1,4.24,4.09,4.17,4.189,1326,375
1629900300,4.15,4.15,4.05,4.1,4.086,976,187
1629900600,4.09,4.09,4.01,4.08,4.049,869,234
1629900900,4.07,4.17,4.05,4.14,4.126,695,190
1629901200,4.13,4.17,4.1,4.16,4.137,647,140
1629901500,4.16,4.18,4.1,4.18,4.147,327,116
1629901800,4.17,4.25,4.15,4.24,4.209,1018,291
1629902100,4.24,4.36,4.23,4.33,4.308,2697,744
1629902400,4.33,4.33,4.23,4.24,4.268,1052,281
1629902700,4.23,4.32,4.21,4.25,4.257,1259,313
1629903000,4.25,4.42,4.25,4.35,4.343,1896,395
1629903300,4.34,4.39,4.31,4.36,4.354,934,277
1629903600,4.37,4.37,4.27,4.28,4.328,468,172
1629903900,4.27,4.31,4.17,4.19,4.237,1537,382
1629904200,4.18,4.24,4.15,4.15,4.183,747,176
1629904500,4.16,4.23,4.11,4.2,4.181,825,219
1629904800,4.21,4.25,4.18,4.19,4.221,629,136
1629905100,4.2,4.21,4.15,4.17,4.173,347,94
1629905400,4.18,4.22,4.17,4.19,4.203,517,139
1629905700,4.21,4.21,4.15,4.16,4.181,201,70
1629906000,4.15,4.17,4.15,4.16,4.156,381,130
1629906300,4.15,4.16,4.11,4.13,4.132,490,150
1629906600,4.15,4.16,4.13,4.14,4.14,257,126
1629906900,4.13,4.14,4.11,4.13,4.126,252,71
1629907200,4.12,4.14,4.11,4.14,4.127,318,133
1629907500,4.15,4.23,4.14,4.23,4.189,636,203
1629907800,4.22,4.28,4.22,4.24,4.249,417,117
1629908100,4.24,4.24,4.2,4.2,4.214,359,92
1629908400,4.19,4.24,4.18,4.2,4.21,393,166
1629908700,4.2,4.2,4.14,4.17,4.168,371,111
1629909000,4.17,4.17,4.13,4.17,4.151,311,94
1629909300,4.16,4.16,4.13,4.16,4.146,207,83
1629909600,4.16,4.18,4.15,4.16,4.164,143,60
1629909900,4.17,4.17,4.15,4.16,4.162,161,43
1629910200,4.15,4.16,4.13,4.13,4.141,67,35
1629910500,4.13,4.16,4.13,4.15,4.145,123,79
1629910800,4.16,4.16,4.13,4.13,4.153,266,104
1629911100,4.14,4.14,4.13,4.13,4.135,82,29
1629911400,4.13,4.22,4.13,4.2,4.196,847,212
1629911700,4.2,4.21,4.17,4.18,4.189,148,34
1629912000,4.18,4.19,4.16,4.17,4.173,175,89
1629912300,4.17,4.18,4.15,4.15,4.164,60,39
1629912600,4.15,4.17,4.14,4.17,4.152,119,64
1629912900,4.17,4.17,4.15,4.15,4.159,61,26
1629913200,4.16,4.16,4.15,4.15,4.155,121,40
1629913500,4.15,4.18,4.15,4.16,4.17,187,101
1629913800,4.17,4.18,4.16,4.16,4.168,95,38
1629914100,4.16,4.16,4.11,4.14,4.125,608,161
1629914400,4.13,4.14,4.06,4.08,4.094,348,165
1629914700,4.08,4.12,4.08,4.1,4.098,200,87
1629915000,4.11,4.12,4.08,4.08,4.089,267,125
1629915300,4.08,4.09,4.03,4.05,4.054,287,119
1629915600,4.05,4.06,4.01,4.05,4.038,278,108
1629915900,4.06,4.07,4.05,4.07,4.058,240,76
1629916200,4.07,4.11,4.06,4.07,4.081,248,114
1629916500,4.07,4.09,4.03,4.03,4.057,277,135
1629916800,4.04,4.04,4.02,4.02,4.032,224,109
1629917100,4.03,4.04,4.02,4.03,4.028,273,99
1629917400,4.04,4.06,4.01,4.06,4.032,374,159
1629917700,4.07,4.07,4.05,4.06,4.063,324,123
1629918000,4.07,4.08,4.06,4.08,4.067,200,96
1629918300,4.08,4.08,4.03,4.04,4.044,187,94
1629918600,4.04,4.04,4.02,4.02,4.032,159,108
1629918900,4.03,4.03,4.0,4.0,4.008,325,174
1629919200,4.0,4.02,4.0,4.01,4.008,290,147
1629919500,4.02,4.05,4.01,4.04,4.031,341,205
1629919800,4.04,4.05,4.02,4.04,4.039,210,149
1629920100,4.04,4.04,4.0,4.01,4.008,838,298
1629920400,4.01,4.04,4.0,4.04,4.024,580,199
1629920700,4.04,4.04,4.01,4.02,4.023,306,185
1629921000,4.02,4.03,4.02,4.02,4.024,371,208
1629921300,4.02,4.03,4.01,4.02,4.021,612,289
1629921600,4.03,4.03,4.03,4.03,4.03,308,5
1629921900,4.03,4.04,4.03,4.04,4.037,3,3
1629922200,4.04,4.04,4.04,4.04,4.04,1,1
1629922500,4.04,4.04,4.04,4.04,4.04,5,1
1629922800,4.09,4.09,4.09,4.09,4.09,1,1
1629923100,4.04,4.04,4.04,4.04,4.04,4,2
1629923400,4.07,4.09,4.05,4.09,4.077,4,4
