date,open,high,low,close,average,volume,count
1632407400,12.29,12.29,12.29,12.29,12.29,0,0
1632407401,12.29,12.29,12.29,12.29,12.29,0,0
1632407402,12.29,12.29,12.29,12.29,12.29,0,0
1632407403,12.28,12.3,12.28,12.3,12.288,29,17
1632407404,12.3,12.3,12.29,12.3,12.297,18,3
1632407405,12.29,12.33,12.28,12.33,12.301,99,35
1632407406,12.32,12.34,12.32,12.32,12.328,42,20
1632407407,12.33,12.34,12.32,12.32,12.321,10,2
1632407408,12.34,12.34,12.3,12.33,12.334,43,9
1632407409,12.34,12.34,12.32,12.32,12.323,36,12
1632407410,12.32,12.34,12.32,12.34,12.334,27,12
1632407411,12.34,12.35,12.32,12.35,12.335,23,9
1632407412,12.35,12.35,12.33,12.34,12.34,27,11
1632407413,12.35,12.35,12.33,12.34,12.338,5,3
1632407414,12.32,12.35,12.32,12.35,12.344,49,8
1632407415,12.34,12.34,12.33,12.34,12.335,1,1
1632407416,12.35,12.37,12.34,12.34,12.348,113,21
1632407417,12.36,12.37,12.35,12.35,12.358,23,4
1632407418,12.37,12.37,12.36,12.37,12.37,2,1
1632407419,12.35,12.36,12.35,12.35,12.351,10,5
1632407420,12.35,12.35,12.32,12.34,12.331,116,18
1632407421,12.34,12.34,12.33,12.33,12.333,10,2
1632407422,12.33,12.34,12.33,12.34,12.338,67,16
1632407423,12.35,12.37,12.35,12.37,12.366,11,4
1632407424,12.36,12.37,12.35,12.37,12.366,13,3
1632407425,12.36,12.36,12.35,12.36,12.36,19,8
1632407426,12.37,12.37,12.36,12.36,12.362,36,30
1632407427,12.36,12.37,12.36,12.37,12.364,47,16
1632407428,12.36,12.37,12.35,12.36,12.364,21,3
1632407429,12.36,12.37,12.36,12.36,12.363,44,8
1632407430,12.37,12.37,12.36,12.37,12.367,18,5
1632407431,12.37,12.37,12.37,12.37,12.37,0,0
1632407432,12.38,12.38,12.37,12.38,12.377,24,14
1632407433,12.38,12.39,12.37,12.39,12.378,28,11
1632407434,12.38,12.39,12.38,12.38,12.385,44,15
1632407435,12.38,12.38,12.38,12.38,12.38,7,2
1632407436,12.37,12.37,12.34,12.37,12.362,35,16
1632407437,12.35,12.35,12.34,12.35,12.346,3,2
1632407438,12.35,12.37,12.34,12.37,12.348,89,27
1632407439,12.35,12.35,12.35,12.35,12.35,1,1
1632407440,12.36,12.37,12.35,12.37,12.366,25,15
1632407441,12.37,12.39,12.37,12.39,12.388,10,4
1632407442,12.38,12.39,12.38,12.38,12.38,2,1
1632407443,12.38,12.38,12.38,12.38,12.38,30,5
1632407444,12.39,12.39,12.38,12.38,12.385,42,12
1632407445,12.38,12.4,12.38,12.4,12.387,116,24
1632407446,12.38,12.39,12.37,12.38,12.381,20,4
1632407447,12.38,12.39,12.37,12.38,12.38,19,11
1632407448,12.37,12.4,12.37,12.38,12.375,33,16
1632407449,12.38,12.38,12.37,12.38,12.375,2,2
1632407450,12.38,12.39,12.37,12.38,12.379,29,15
1632407451,12.39,12.39,12.39,12.39,12.39,1,1
1632407452,12.38,12.39,12.37,12.39,12.383,9,6
1632407453,12.38,12.38,12.37,12.37,12.379,19,15
1632407454,12.37,12.39,12.37,12.39,12.385,6,5
1632407455,12.4,12.45,12.39,12.43,12.41,254,40
1632407456,12.45,12.45,12.4,12.43,12.444,39,10
1632407457,12.45,12.45,12.42,12.42,12.448,15,3
1632407458,12.44,12.45,12.41,12.44,12.437,7,4
1632407459,12.41,12.45,12.4,12.45,12.424,12,4
1632407460,12.45,12.47,12.43,12.44,12.454,178,19
1632407461,12.45,12.46,12.45,12.45,12.451,16,3
1632407462,12.47,12.47,12.45,12.46,12.462,21,8
1632407463,12.45,12.47,12.45,12.46,12.453,16,3
