date,open,high,low,close,average,volume,count
1626188400,5.85,5.85,5.85,5.85,5.85,3,2
1626188401,5.8597,5.8597,5.8597,5.8597,5.8597,10,1
1626188402,5.8597,5.8597,5.8597,5.8597,5.8597,0,0
1626188403,5.8597,5.8597,5.8597,5.8597,5.8597,0,0
1626188404,5.8597,5.8597,5.8597,5.8597,5.8597,0,0
1626188405,5.8597,5.8597,5.8597,5.8597,5.8597,0,0
1626188406,5.86,5.86,5.86,5.86,5.86,1,1
1626188407,5.86,5.86,5.86,5.86,5.86,0,0
1626188408,5.86,5.86,5.86,5.86,5.86,0,0
1626188409,5.86,5.86,5.86,5.86,5.86,0,0
1626188410,5.855,5.855,5.855,5.855,5.855,10,1
1626188411,5.855,5.855,5.855,5.855,5.855,0,0
1626188412,5.855,5.855,5.855,5.855,5.855,0,0
1626188413,5.855,5.855,5.855,5.855,5.855,0,0
1626188414,5.8591,5.8591,5.8591,5.8591,5.8591,4,1
1626188415,5.8591,5.8591,5.8591,5.8591,5.8591,0,0
1626188416,5.8591,5.8591,5.8591,5.8591,5.8591,0,0
1626188417,5.8591,5.8591,5.8591,5.8591,5.8591,0,0
1626188418,5.8591,5.8591,5.8591,5.8591,5.8591,0,0
1626188419,5.8599,5.8599,5.8599,5.8599,5.8599,1,1
1626188420,5.8599,5.8599,5.8599,5.8599,5.8599,0,0
1626188421,5.8599,5.8599,5.8599,5.8599,5.8599,0,0
1626188422,5.8599,5.8599,5.8599,5.8599,5.8599,0,0
1626188423,5.8599,5.8599,5.8599,5.8599,5.8599,0,0
1626188424,5.8599,5.8599,5.8599,5.8599,5.8599,0,0
1626188425,5.8599,5.8599,5.8599,5.8599,5.8599,0,0
1626188426,5.8599,5.8599,5.8599,5.8599,5.8599,0,0
1626188427,5.85,5.85,5.85,5.85,5.85,5,1
1626188428,5.85,5.85,5.85,5.85,5.85,0,0
1626188429,5.85,5.85,5.85,5.85,5.85,0,0
1626188430,5.85,5.85,5.85,5.85,5.85,0,0
1626188431,5.85,5.85,5.85,5.85,5.85,0,0
1626188432,5.85,5.85,5.85,5.85,5.85,0,0
1626188433,5.85,5.85,5.85,5.85,5.85,0,0
1626188434,5.85,5.85,5.85,5.85,5.85,0,0
1626188435,5.85,5.85,5.85,5.85,5.85,0,0
1626188436,5.85,5.85,5.85,5.85,5.85,0,0
1626188437,5.85,5.85,5.85,5.85,5.85,0,0
1626188438,5.85,5.85,5.85,5.85,5.85,0,0
1626188439,5.85,5.85,5.85,5.85,5.85,0,0
1626188440,5.85,5.85,5.85,5.85,5.85,0,0
1626188441,5.86,5.86,5.86,5.86,5.86,10,1
1626188442,5.85,5.858,5.85,5.858,5.85146,9,5
1626188443,5.858,5.858,5.858,5.858,5.858,0,0
1626188444,5.858,5.858,5.858,5.858,5.858,0,0
1626188445,5.855,5.855,5.855,5.855,5.855,4,1
1626188446,5.855,5.855,5.855,5.855,5.855,0,0
1626188447,5.8516,5.8516,5.8516,5.8516,5.8516,1,1
1626188448,5.8516,5.8516,5.8516,5.8516,5.8516,0,0
1626188449,5.8514,5.8514,5.845,5.85,5.84987,24,13
1626188450,5.85,5.85,5.85,5.85,5.85,0,0
1626188451,5.85,5.85,5.85,5.85,5.85,0,0
1626188452,5.85,5.85,5.85,5.85,5.85,0,0
1626188453,5.85,5.85,5.85,5.85,5.85,0,0
1626188454,5.85,5.85,5.85,5.85,5.85,0,0
1626188455,5.84,5.84,5.84,5.84,5.84,105,7
1626188456,5.84,5.84,5.84,5.84,5.84,0,0
1626188457,5.84,5.84,5.84,5.84,5.84,0,0
1626188458,5.8392,5.8392,5.8392,5.8392,5.8392,30,1
1626188459,5.8392,5.8392,5.8392,5.8392,5.8392,0,0
1626188460,5.8392,5.8392,5.8392,5.8392,5.8392,0,0
1626188461,5.8327,5.8327,5.825,5.825,5.8295,45,12
1626188462,5.825,5.825,5.825,5.825,5.825,0,0
1626188463,5.83,5.83,5.83,5.83,5.83,3,2
1626188464,5.83,5.83,5.83,5.83,5.83,0,0
1626188465,5.83,5.83,5.83,5.83,5.83,0,0
1626188466,5.8295,5.8295,5.8295,5.8295,5.8295,1,1
1626188467,5.83,5.83,5.83,5.83,5.83,2,2
1626188468,5.83,5.83,5.83,5.83,5.83,0,0
1626188469,5.83,5.835,5.825,5.825,5.82915,133,10
1626188470,5.825,5.825,5.825,5.825,5.825,0,0
1626188471,5.825,5.825,5.825,5.825,5.825,0,0
1626188472,5.825,5.825,5.825,5.825,5.825,0,0
1626188473,5.822,5.822,5.822,5.822,5.822,1,1
1626188474,5.822,5.822,5.822,5.822,5.822,0,0
1626188475,5.825,5.825,5.825,5.825,5.825,1,1
1626188476,5.82,5.82,5.82,5.82,5.82,28,1
1626188477,5.82,5.82,5.82,5.82,5.82,0,0
1626188478,5.8203,5.8203,5.8203,5.8203,5.8203,8,1
1626188479,5.8203,5.8203,5.8203,5.8203,5.8203,0,0
1626188480,5.8203,5.8203,5.8203,5.8203,5.8203,0,0
1626188481,5.8203,5.8203,5.8203,5.8203,5.8203,0,0
1626188482,5.8299,5.8299,5.8299,5.8299,5.8299,2,1
1626188483,5.821,5.821,5.821,5.821,5.821,4,1
1626188484,5.821,5.821,5.821,5.821,5.821,0,0
1626188485,5.82,5.8215,5.82,5.82,5.82036,41,16
1626188486,5.82,5.82,5.82,5.82,5.82,0,0
1626188487,5.82,5.82,5.82,5.82,5.82,0,0
1626188488,5.82,5.82,5.82,5.82,5.82,0,0
1626188489,5.83,5.83,5.825,5.828,5.82901,15,5
1626188490,5.823,5.823,5.823,5.823,5.823,1,1
1626188491,5.823,5.823,5.823,5.823,5.823,0,0
1626188492,5.823,5.823,5.823,5.823,5.823,0,0
1626188493,5.823,5.823,5.823,5.823,5.823,0,0
1626188494,5.823,5.823,5.823,5.823,5.823,0,0
1626188495,5.823,5.823,5.823,5.823,5.823,0,0
1626188496,5.8287,5.83,5.8287,5.83,5.8298,13,7
1626188497,5.8386,5.8386,5.8386,5.8386,5.8386,4,1
1626188498,5.8386,5.8386,5.8386,5.8386,5.8386,0,0
1626188499,5.835,5.835,5.835,5.835,5.835,1,1
1626188500,5.835,5.835,5.835,5.835,5.835,0,0
1626188501,5.84,5.86,5.84,5.857,5.8573,221,21
1626188502,5.855,5.855,5.855,5.855,5.855,2,2
1626188503,5.855,5.855,5.855,5.855,5.855,0,0
1626188504,5.855,5.86,5.855,5.86,5.85567,7,5
1626188505,5.855,5.855,5.855,5.855,5.855,2,1
1626188506,5.8593,5.8593,5.8593,5.8593,5.8593,1,1
1626188507,5.8593,5.8593,5.8593,5.8593,5.8593,0,0
1626188508,5.8593,5.8593,5.8593,5.8593,5.8593,0,0
1626188509,5.8593,5.8593,5.8593,5.8593,5.8593,0,0
1626188510,5.8593,5.8593,5.8593,5.8593,5.8593,0,0
1626188511,5.8593,5.8593,5.8593,5.8593,5.8593,0,0
1626188512,5.8593,5.8593,5.8593,5.8593,5.8593,0,0
1626188513,5.855,5.855,5.8503,5.8503,5.851,8,2
1626188514,5.8503,5.8503,5.8503,5.8503,5.8503,0,0
1626188515,5.851,5.865,5.851,5.865,5.85942,102,13
1626188516,5.865,5.865,5.865,5.865,5.865,0,0
1626188517,5.86,5.865,5.86,5.865,5.86263,5,2
1626188518,5.865,5.865,5.865,5.865,5.865,0,0
1626188519,5.87,5.87,5.87,5.87,5.87,50,2
1626188520,5.87,5.87,5.87,5.87,5.87,0,0
1626188521,5.8699,5.8699,5.8699,5.8699,5.8699,1,1
1626188522,5.8699,5.8699,5.8699,5.8699,5.8699,0,0
1626188523,5.8699,5.8699,5.8699,5.8699,5.8699,0,0
1626188524,5.8699,5.8699,5.8699,5.8699,5.8699,0,0
1626188525,5.8666,5.8666,5.8666,5.8666,5.8666,2,1
1626188526,5.8686,5.8686,5.8686,5.8686,5.8686,10,1
1626188527,5.8686,5.8686,5.8686,5.8686,5.8686,0,0
1626188528,5.8686,5.8686,5.8686,5.8686,5.8686,0,0
1626188529,5.8686,5.8686,5.8686,5.8686,5.8686,0,0
1626188530,5.8686,5.8686,5.8686,5.8686,5.8686,0,0
1626188531,5.8686,5.8686,5.8686,5.8686,5.8686,0,0
1626188532,5.8686,5.8686,5.8686,5.8686,5.8686,0,0
1626188533,5.865,5.865,5.865,5.865,5.865,50,1
1626188534,5.865,5.865,5.865,5.865,5.865,0,0
1626188535,5.865,5.865,5.865,5.865,5.865,0,0
1626188536,5.865,5.865,5.865,5.865,5.865,0,0
1626188537,5.865,5.865,5.865,5.865,5.865,0,0
1626188538,5.865,5.865,5.865,5.865,5.865,0,0
1626188539,5.865,5.865,5.865,5.865,5.865,0,0
1626188540,5.861,5.8699,5.861,5.8699,5.86693,3,2
1626188541,5.8699,5.8699,5.8699,5.8699,5.8699,0,0
1626188542,5.8699,5.8699,5.8699,5.8699,5.8699,0,0
1626188543,5.8699,5.8699,5.8699,5.8699,5.8699,0,0
1626188544,5.8699,5.8699,5.8699,5.8699,5.8699,0,0
1626188545,5.86,5.86,5.86,5.86,5.86,50,1
1626188546,5.86,5.86,5.86,5.86,5.86,0,0
1626188547,5.86,5.86,5.86,5.86,5.86,0,0
1626188548,5.8653,5.8653,5.8653,5.8653,5.8653,2,1
1626188549,5.8653,5.8653,5.8653,5.8653,5.8653,0,0
1626188550,5.8653,5.8653,5.8653,5.8653,5.8653,0,0
1626188551,5.8653,5.8653,5.8653,5.8653,5.8653,0,0
1626188552,5.8653,5.8653,5.8653,5.8653,5.8653,0,0
1626188553,5.8653,5.8653,5.8653,5.8653,5.8653,0,0
1626188554,5.865,5.88,5.865,5.88,5.87588,77,17
1626188555,5.88,5.88,5.88,5.88,5.88,0,0
1626188556,5.8801,5.8801,5.8801,5.8801,5.8801,20,1
1626188557,5.89,5.89,5.89,5.89,5.89,3,1
1626188558,5.88,5.88,5.88,5.88,5.88,80,17
1626188559,5.88,5.88,5.88,5.88,5.88,0,0
1626188560,5.88,5.88,5.8789,5.8789,5.87923,30,7
1626188561,5.87,5.87,5.87,5.87,5.87,105,10
1626188562,5.87,5.87,5.87,5.87,5.87,0,0
1626188563,5.8699,5.8699,5.86,5.86,5.86971,51,2
1626188564,5.86,5.86,5.86,5.86,5.86,0,0
