date,open,high,low,close,average,volume,count
1626163200,5.57,5.57,5.57,5.57,5.57,1,1
1626163500,5.57,5.57,5.57,5.57,5.57,0,0
1626163800,5.5,5.5,5.35,5.35,5.45,6,2
1626164100,5.35,5.35,5.35,5.35,5.35,0,0
1626164400,5.35,5.36,5.35,5.36,5.355,4,2
1626164700,5.36,5.36,5.36,5.36,5.36,0,0
1626165000,5.36,5.36,5.36,5.36,5.36,0,0
1626165300,5.4,5.49,5.4,5.49,5.43059,27,11
1626165600,5.47,5.47,5.47,5.47,5.47,2,1
1626165900,5.47,5.47,5.47,5.47,5.47,0,0
1626166200,5.41,5.41,5.41,5.41,5.41,1,1
1626166500,5.41,5.41,5.41,5.41,5.41,0,0
1626166800,5.41,5.41,5.41,5.41,5.41,0,0
1626167100,5.41,5.41,5.41,5.41,5.41,0,0
1626167400,5.41,5.41,5.41,5.41,5.41,0,0
1626167700,5.41,5.41,5.41,5.41,5.41,0,0
1626168000,5.41,5.41,5.41,5.41,5.41,0,0
1626168300,5.45,5.45,5.43,5.43,5.44,2,2
1626168600,5.43,5.46,5.43,5.46,5.43058,52,7
1626168900,5.46,5.46,5.46,5.46,5.46,0,0
1626169200,5.46,5.46,5.46,5.46,5.46,0,0
1626169500,5.46,5.46,5.46,5.46,5.46,0,0
1626169800,5.46,5.46,5.46,5.46,5.46,0,0
1626170100,5.46,5.46,5.46,5.46,5.46,0,0
1626170400,5.46,5.46,5.46,5.46,5.46,0,0
1626170700,5.46,5.46,5.46,5.46,5.46,0,0
1626171000,5.46,5.46,5.46,5.46,5.46,0,0
1626171300,5.46,5.46,5.46,5.46,5.46,0,0
1626171600,5.46,5.46,5.46,5.46,5.46,1,1
1626171900,5.46,5.46,5.46,5.46,5.46,0,0
1626172200,5.46,5.46,5.46,5.46,5.46,0,0
1626172500,5.47,5.47,5.47,5.47,5.47,1,1
1626172800,5.47,5.47,5.47,5.47,5.47,0,0
1626173100,5.47,5.47,5.47,5.47,5.47,0,0
1626173400,5.47,5.47,5.47,5.47,5.47,0,0
1626173700,5.47,5.47,5.47,5.47,5.47,0,0
1626174000,5.52,5.53,5.52,5.52,5.5236,21,12
1626174300,5.52,5.52,5.52,5.52,5.52,0,0
1626174600,5.52,5.52,5.52,5.52,5.52,0,0
1626174900,5.52,5.52,5.52,5.52,5.52,0,0
1626175200,5.51,5.53,5.51,5.53,5.51424,70,32
1626175500,5.53,5.53,5.53,5.53,5.53,0,0
1626175800,5.55,5.55,5.55,5.55,5.55,6,1
1626176100,5.55,5.55,5.55,5.55,5.55,0,0
1626176400,5.55,5.58,5.55,5.57,5.55672,16,6
1626176700,5.57,5.57,5.57,5.57,5.57,0,0
1626177000,5.57,5.57,5.57,5.57,5.57,0,0
1626177300,5.57,5.57,5.57,5.57,5.57,2,1
1626177600,5.525,5.62,5.5,5.57,5.56017,412,79
1626177900,5.57,5.57,5.56,5.57,5.56909,23,6
1626178200,5.57,5.6,5.5699,5.6,5.57383,26,11
1626178500,5.6,5.6,5.58,5.6,5.58875,23,9
1626178800,5.6,5.61,5.59,5.61,5.60697,34,7
1626179100,5.63,5.63,5.6,5.62,5.61408,24,6
1626179400,5.62,5.63,5.6101,5.62,5.62386,63,15
1626179700,5.6199,5.7,5.57,5.6,5.60904,224,80
1626180000,5.59,5.64,5.59,5.64,5.62568,40,9
1626180300,5.62,5.62,5.62,5.62,5.62,7,2
1626180600,5.62,5.62,5.59,5.59,5.60601,62,20
1626180900,5.59,5.59,5.55,5.56,5.57209,121,29
1626181200,5.5601,5.57,5.48,5.49,5.54132,130,40
1626181500,5.4702,5.6,5.47,5.6,5.52245,164,27
1626181800,5.56,5.6,5.25,5.48,5.38662,788,119
1626182100,5.4806,5.56,5.4806,5.55,5.53545,100,19
1626182400,5.55,5.55,5.5001,5.55,5.53354,11,8
1626182700,5.51,5.64,5.5,5.6,5.57558,315,78
1626183000,5.5145,5.84,5.41,5.8273,5.65102,9977,1610
1626183300,5.837,5.91,5.71,5.91,5.80871,8022,1871
1626183600,5.9078,6.0,5.8528,5.92,5.93611,8997,2130
1626183900,5.93,6.07,5.83,6.025,5.97554,12069,2375
1626184200,6.035,6.08,5.95,5.9971,6.01365,8028,1652
1626184500,6.0,6.0182,5.82,5.86,5.92156,4868,1209
1626184800,5.85,5.98,5.8115,5.87,5.88222,3773,937
1626185100,5.8788,5.88,5.76,5.82,5.80849,3005,649
1626185400,5.81,5.82,5.72,5.82,5.77131,2646,679
1626185700,5.815,5.83,5.72,5.7203,5.7716,3233,783
1626186000,5.72,5.92,5.7115,5.8501,5.84521,6622,1940
