date,open,high,low,close,average,volume,count
1624280400,24.6,24.6,24.6,24.6,24.6,0,0
1624280401,24.6,24.6,24.6,24.6,24.6,0,0
1624280402,24.6,24.6,24.6,24.6,24.6,0,0
1624280403,24.6,24.6,24.6,24.6,24.6,0,0
1624280404,24.6,24.6,24.6,24.6,24.6,0,0
1624280405,24.6,24.6,24.6,24.6,24.6,0,0
1624280406,24.75,24.8,24.75,24.8,24.78356,7,4
1624280407,24.8,24.8,24.8,24.8,24.8,0,0
1624280408,24.8,24.8,24.8,24.8,24.8,0,0
1624280409,24.8,24.8,24.8,24.8,24.8,0,0
1624280410,24.8,24.8,24.8,24.8,24.8,0,0
1624280411,24.8,24.8,24.8,24.8,24.8,0,0
1624280412,24.85,24.85,24.85,24.85,24.85,2,1
1624280413,24.85,24.85,24.85,24.85,24.85,0,0
1624280414,24.85,24.85,24.85,24.85,24.85,0,0
1624280415,24.85,24.85,24.85,24.85,24.85,0,0
1624280416,24.85,24.85,24.85,24.85,24.85,0,0
1624280417,24.85,24.85,24.85,24.85,24.85,0,0
1624280418,24.85,24.85,24.85,24.85,24.85,0,0
1624280419,24.85,24.85,24.85,24.85,24.85,0,0
1624280420,24.85,24.85,24.85,24.85,24.85,0,0
1624280421,24.85,24.85,24.85,24.85,24.85,0,0
1624280422,24.85,24.85,24.85,24.85,24.85,0,0
1624280423,24.85,24.85,24.85,24.85,24.85,0,0
1624280424,24.85,24.85,24.85,24.85,24.85,0,0
1624280425,24.85,24.85,24.85,24.85,24.85,0,0
1624280426,24.85,24.85,24.85,24.85,24.85,0,0
1624280427,24.85,24.85,24.85,24.85,24.85,0,0
1624280428,24.85,24.85,24.85,24.85,24.85,0,0
1624280429,24.8481,24.85,24.8481,24.85,24.84883,13,2
1624280430,24.85,24.85,24.85,24.85,24.85,0,0
1624280431,24.85,24.85,24.85,24.85,24.85,0,0
1624280432,24.89,24.89,24.89,24.89,24.89,1,1
1624280433,24.89,24.89,24.89,24.89,24.89,0,0
1624280434,24.89,24.89,24.89,24.89,24.89,0,0
1624280435,24.89,24.89,24.89,24.89,24.89,0,0
1624280436,24.89,24.89,24.89,24.89,24.89,0,0
1624280437,24.89,24.89,24.89,24.89,24.89,0,0
1624280438,24.89,24.89,24.89,24.89,24.89,0,0
1624280439,24.89,24.89,24.89,24.89,24.89,0,0
1624280440,24.89,24.89,24.89,24.89,24.89,0,0
1624280441,24.89,24.89,24.89,24.89,24.89,0,0
1624280442,24.89,24.89,24.89,24.89,24.89,1,1
1624280443,24.8723,24.8723,24.8723,24.8723,24.8723,2,1
1624280444,24.8723,24.8723,24.8723,24.8723,24.8723,0,0
1624280445,24.8723,24.8723,24.8723,24.8723,24.8723,0,0
1624280446,24.8723,24.8723,24.8723,24.8723,24.8723,0,0
1624280447,24.876,24.876,24.876,24.876,24.876,1,1
1624280448,24.876,24.876,24.876,24.876,24.876,0,0
1624280449,24.876,24.876,24.876,24.876,24.876,0,0
1624280450,24.876,24.876,24.876,24.876,24.876,0,0
1624280451,24.876,24.876,24.876,24.876,24.876,0,0
1624280452,24.876,24.876,24.876,24.876,24.876,0,0
1624280453,24.876,24.876,24.876,24.876,24.876,0,0
1624280454,24.876,24.876,24.876,24.876,24.876,0,0
1624280455,24.876,24.876,24.876,24.876,24.876,0,0
1624280456,24.876,24.876,24.876,24.876,24.876,0,0
1624280457,24.876,24.876,24.876,24.876,24.876,0,0
1624280458,24.876,24.876,24.876,24.876,24.876,0,0
1624280459,24.876,24.876,24.876,24.876,24.876,0,0
1624280460,24.876,24.876,24.876,24.876,24.876,0,0
1624280461,24.876,24.876,24.876,24.876,24.876,0,0
1624280462,24.876,24.876,24.876,24.876,24.876,0,0
1624280463,24.876,24.876,24.876,24.876,24.876,0,0
