date,open,high,low,close,average,volume,count
1627304400,199.76,199.76,199.76,199.76,199.76,0,0
1627304401,199.76,199.76,199.76,199.76,199.76,0,0
1627304402,199.76,199.76,199.76,199.76,199.76,0,0
1627304403,199.76,199.76,199.76,199.76,199.76,0,0
1627304404,199.76,199.76,199.76,199.76,199.76,0,0
1627304405,199.76,199.76,199.76,199.76,199.76,0,0
1627304406,199.76,199.76,199.76,199.76,199.76,0,0
1627304407,199.76,199.76,199.76,199.76,199.76,0,0
1627304408,199.76,199.76,199.76,199.76,199.76,0,0
1627304409,199.76,199.76,199.76,199.76,199.76,0,0
1627304410,199.76,199.76,199.76,199.76,199.76,0,0
1627304411,199.76,199.76,199.76,199.76,199.76,0,0
1627304412,199.55,199.61,199.5,199.5,199.566,8,8
1627304413,199.54,199.54,199.53,199.53,199.535,2,2
1627304414,199.53,199.53,199.53,199.53,199.53,0,0
1627304415,199.53,199.53,199.53,199.53,199.53,0,0
1627304416,199.53,199.53,199.53,199.53,199.53,0,0
1627304417,199.53,199.53,199.53,199.53,199.53,0,0
1627304418,199.49,199.49,199.4,199.4,199.461,4,2
1627304419,199.39,199.59,199.39,199.4,199.445,4,4
1627304420,199.4,199.4,199.4,199.4,199.4,0,0
1627304421,199.4,199.4,199.4,199.4,199.4,0,0
1627304422,199.4,199.4,199.4,199.4,199.4,0,0
1627304423,199.4,199.4,199.4,199.4,199.4,0,0
1627304424,199.4,199.4,199.4,199.4,199.4,0,0
1627304425,199.3,199.3,199.3,199.3,199.3,2,2
1627304426,199.3,199.3,199.3,199.3,199.3,0,0
1627304427,199.3,199.3,199.3,199.3,199.3,0,0
1627304428,199.3,199.3,199.3,199.3,199.3,0,0
1627304429,199.3,199.3,199.3,199.3,199.3,0,0
1627304430,199.26,199.26,199.25,199.25,199.255,3,2
1627304431,199.25,199.25,199.25,199.25,199.25,0,0
1627304432,199.25,199.25,199.25,199.25,199.25,0,0
1627304433,199.25,199.25,199.25,199.25,199.25,0,0
1627304434,199.25,199.25,199.25,199.25,199.25,0,0
1627304435,199.25,199.25,199.25,199.25,199.25,0,0
1627304436,199.25,199.25,199.25,199.25,199.25,0,0
1627304437,199.25,199.25,199.25,199.25,199.25,0,0
1627304438,199.25,199.25,199.25,199.25,199.25,0,0
1627304439,199.25,199.25,199.25,199.25,199.25,0,0
1627304440,199.25,199.25,199.25,199.25,199.25,0,0
1627304441,199.25,199.25,199.25,199.25,199.25,0,0
1627304442,199.25,199.25,199.25,199.25,199.25,0,0
1627304443,199.25,199.25,199.25,199.25,199.25,0,0
1627304444,199.25,199.25,199.25,199.25,199.25,0,0
1627304445,199.25,199.25,199.25,199.25,199.25,0,0
1627304446,199.25,199.25,199.25,199.25,199.25,0,0
1627304447,199.25,199.25,199.25,199.25,199.25,0,0
1627304448,199.25,199.25,199.25,199.25,199.25,0,0
1627304449,199.25,199.25,199.25,199.25,199.25,0,0
1627304450,199.25,199.25,199.25,199.25,199.25,0,0
1627304451,199.25,199.25,199.25,199.25,199.25,2,1
1627304452,199.15,199.15,199.15,199.15,199.15,1,1
1627304453,199.15,199.15,199.15,199.15,199.15,0,0
1627304454,199.15,199.15,199.15,199.15,199.15,0,0
1627304455,199.15,199.15,199.15,199.15,199.15,0,0
1627304456,199.12,199.12,199.1,199.1,199.11,2,2
1627304457,199.1,199.1,199.1,199.1,199.1,0,0
1627304458,199.1,199.1,199.1,199.1,199.1,0,0
1627304459,199.1,199.1,199.1,199.1,199.1,0,0
1627304460,199.1,199.1,199.1,199.1,199.1,0,0
1627304461,199.1,199.1,199.1,199.1,199.1,0,0
1627304462,199.1,199.1,199.1,199.1,199.1,0,0
1627304463,199.1,199.1,199.1,199.1,199.1,0,0
1627304464,199.1,199.1,199.1,199.1,199.1,0,0
