date,open,high,low,close,average,volume,count
1626854400,209.57,209.57,209.24,209.24,209.533,9,2
1626854700,209.24,209.24,209.24,209.24,209.24,0,0
1626855000,209.02,209.02,208.4,208.4,208.528,44,21
1626855300,208.4,208.4,208.4,208.4,208.4,0,0
1626855600,208.85,208.85,208.85,208.85,208.85,1,1
1626855900,208.72,208.89,208.71,208.89,208.837,10,6
1626856200,208.95,208.95,208.81,208.81,208.911,8,6
1626856500,208.82,208.82,208.81,208.81,208.817,3,3
1626856800,208.81,208.81,208.81,208.81,208.81,0,0
1626857100,208.81,208.81,208.81,208.81,208.81,0,0
1626857400,208.93,209.0,208.93,209.0,208.965,19,11
1626857700,209.01,209.01,209.0,209.0,209.003,3,2
1626858000,209.0,209.0,209.0,209.0,209.0,0,0
1626858300,209.0,209.0,209.0,209.0,209.0,0,0
1626858600,209.0,209.0,209.0,209.0,209.0,0,0
1626858900,209.0,209.0,209.0,209.0,209.0,0,0
1626859200,209.0,209.0,209.0,209.0,209.0,0,0
1626859500,209.25,209.25,209.25,209.25,209.25,4,1
1626859800,209.25,209.25,209.25,209.25,209.25,4,2
1626860100,209.25,209.25,209.25,209.25,209.25,0,0
1626860400,209.25,209.25,209.25,209.25,209.25,0,0
1626860700,209.25,209.25,209.25,209.25,209.25,0,0
1626861000,209.25,209.25,209.25,209.25,209.25,0,0
1626861300,209.25,209.25,209.25,209.25,209.25,0,0
1626861600,209.25,209.25,209.25,209.25,209.25,0,0
1626861900,208.8,208.96,208.77,208.8,208.81,12,8
1626862200,208.8,208.8,208.8,208.8,208.8,0,0
1626862500,208.96,208.98,208.96,208.98,208.97,2,2
1626862800,208.98,208.98,208.98,208.98,208.98,0,0
1626863100,209.0,209.0,208.99,209.0,208.999,14,9
1626863400,208.95,208.95,208.9,208.9,208.92,3,3
1626863700,208.8,208.8,208.75,208.75,208.792,13,12
1626864000,208.75,208.75,208.75,208.75,208.75,0,0
1626864300,208.75,208.75,208.75,208.75,208.75,0,0
1626864600,208.75,208.75,208.75,208.75,208.75,0,0
1626864900,208.75,208.77,208.71,208.71,208.748,6,6
1626865200,208.69,209.02,208.69,208.97,208.886,25,15
1626865500,209.01,209.16,209.01,209.15,209.107,16,12
1626865800,209.15,209.24,209.15,209.24,209.207,15,6
1626866100,209.24,209.35,209.23,209.35,209.275,35,16
1626866400,209.35,209.35,209.13,209.13,209.285,65,23
1626866700,208.96,209.01,208.79,208.99,208.881,39,23
1626867000,208.99,209.02,208.99,209.0,209.001,15,4
1626867300,209.15,209.29,208.9,208.9,209.129,34,19
1626867600,208.9,208.9,208.9,208.9,208.9,0,0
1626867900,209.15,209.15,209.15,209.15,209.15,7,7
1626868200,209.13,209.13,209.0,209.0,209.013,14,6
1626868500,208.82,208.82,208.7,208.7,208.793,17,7
1626868800,209.12,209.29,208.65,208.8,208.906,45,17
1626869100,208.8,209.0,208.8,209.0,208.922,2,2
1626869400,208.98,209.15,208.98,209.15,209.064,18,11
1626869700,209.28,209.39,209.27,209.34,209.305,28,12
1626870000,209.28,209.28,209.02,209.03,209.076,13,7
1626870300,209.0,209.12,209.0,209.1,209.032,10,8
1626870600,209.33,209.35,209.33,209.35,209.344,13,3
1626870900,209.22,209.22,209.22,209.22,209.22,4,1
1626871200,209.22,209.22,209.04,209.04,209.13,4,2
1626871500,209.04,209.04,209.04,209.04,209.04,0,0
1626871800,209.04,209.04,209.04,209.04,209.04,0,0
1626872100,209.22,209.35,209.22,209.3,209.327,12,5
1626872400,209.26,209.26,209.26,209.26,209.26,1,1
1626872700,209.27,209.27,209.27,209.27,209.27,7,2
1626873000,209.27,209.27,209.1,209.14,209.169,7,4
1626873300,209.26,209.4,209.06,209.07,209.311,28,16
1626873600,209.37,209.37,209.1,209.3,209.303,20,13
1626873900,209.1,209.79,209.1,209.1,209.578,96,55
1626874200,209.15,209.83,208.42,209.74,209.086,3612,1411
1626874500,209.75,210.67,209.72,210.05,210.29,1591,937
1626874800,210.04,210.15,209.67,210.03,209.921,1502,1170
1626875100,210.06,210.25,209.41,209.54,209.708,1110,869
1626875400,209.59,210.44,209.56,210.43,210.013,886,572
1626875700,210.43,210.67,210.08,210.2,210.367,927,582
1626876000,210.21,210.27,209.95,210.18,210.126,881,451
1626876300,210.18,210.35,209.67,209.67,210.025,857,530
1626876600,209.69,209.84,209.52,209.55,209.697,675,483
1626876900,209.55,210.24,209.55,210.09,210.05,1033,599
1626877200,210.12,210.2,209.89,210.09,210.026,793,449
1626877500,210.06,210.1,209.75,209.81,209.951,520,368
1626877800,209.82,209.96,209.56,209.69,209.8,783,491
1626878100,209.7,209.98,209.47,209.94,209.713,771,535
1626878400,209.97,210.1,209.84,209.85,209.975,693,497
1626878700,209.85,210.09,209.82,210.09,209.972,879,471
1626879000,210.04,210.33,209.76,209.78,210.095,908,539
1626879300,209.77,210.22,209.69,210.04,209.945,767,487
1626879600,210.03,210.19,209.97,210.05,210.061,765,528
1626879900,210.09,210.39,209.94,210.36,210.072,1245,593
1626880200,210.35,210.73,210.33,210.69,210.523,622,335
1626880500,210.71,210.9,210.6,210.78,210.766,579,385
1626880800,210.81,211.19,210.77,211.16,210.998,810,453
1626881100,211.15,211.46,210.79,210.87,211.197,916,628
1626881400,210.85,210.99,210.66,210.87,210.859,684,459
1626881700,210.88,211.0,210.3,210.34,210.693,1928,970
1626882000,210.35,210.73,210.3,210.7,210.594,785,412
1626882300,210.71,210.86,210.52,210.86,210.709,1182,603
1626882600,210.86,211.15,210.82,210.99,210.955,1514,595
1626882900,210.99,211.08,210.8,210.89,210.909,437,232
1626883200,210.85,211.19,210.84,211.12,211.083,348,231
1626883500,211.11,211.21,211.02,211.16,211.093,342,223
1626883800,211.15,211.55,211.15,211.45,211.366,748,399
1626884100,211.43,211.48,211.12,211.27,211.296,926,568
1626884400,211.29,211.32,211.13,211.25,211.237,795,316
1626884700,211.26,211.42,211.13,211.33,211.303,491,304
1626885000,211.34,211.38,210.94,211.0,211.126,456,329
1626885300,211.01,211.18,210.81,210.93,210.982,468,332
1626885600,210.93,211.1,210.9,210.91,211.009,266,158
1626885900,210.88,211.85,210.76,210.77,210.981,692,383
1626886200,210.76,210.87,210.73,210.85,210.796,252,174
1626886500,210.8,210.9,210.53,210.54,210.709,308,201
1626886800,210.51,210.72,210.39,210.66,210.52,512,275
1626887100,210.67,210.73,210.54,210.66,210.614,347,257
1626887400,210.67,210.78,210.55,210.74,210.649,268,189
1626887700,210.77,210.85,210.71,210.74,210.773,271,138
1626888000,210.8,210.99,210.77,210.98,210.913,314,181
1626888300,210.99,211.02,210.91,210.95,210.97,344,148
1626888600,210.96,211.0,210.8,210.85,210.901,187,131
1626888900,210.87,210.98,210.84,210.88,210.912,234,161
1626889200,210.88,211.08,210.88,211.08,210.972,457,225
1626889500,211.05,211.19,211.01,211.15,211.094,409,212
1626889800,211.15,211.17,210.96,211.04,211.034,397,202
1626890100,211.04,211.04,210.85,210.85,210.928,194,143
1626890400,210.85,210.87,210.71,210.81,210.783,373,199
1626890700,210.79,210.84,210.56,210.6,210.686,400,257
1626891000,210.58,210.71,210.56,210.63,210.631,326,214
1626891300,210.64,210.7,210.51,210.56,210.606,351,235
1626891600,210.55,210.81,210.53,210.72,210.653,372,262
1626891900,210.7,210.74,210.45,210.51,210.554,469,335
1626892200,210.5,210.58,210.48,210.57,210.539,412,205
1626892500,210.55,210.59,210.36,210.38,210.459,368,232
1626892800,210.39,210.55,210.38,210.41,210.468,207,149
1626893100,210.41,210.43,210.37,210.4,210.409,354,253
1626893400,210.39,210.51,210.39,210.43,210.468,181,135
1626893700,210.41,210.49,210.37,210.4,210.412,391,250
1626894000,210.4,210.54,210.39,210.49,210.445,274,205
1626894300,210.5,210.53,210.39,210.44,210.457,444,356
1626894600,210.45,210.78,210.43,210.7,210.58,801,520
1626894900,210.71,210.92,210.64,210.92,210.791,261,173
1626895200,210.92,210.93,210.75,210.8,210.848,458,272
1626895500,210.8,210.88,210.74,210.78,210.807,355,262
1626895800,210.78,211.02,210.78,210.97,210.917,467,341
1626896100,210.97,211.02,210.82,210.82,210.952,437,322
1626896400,210.83,211.0,210.69,210.75,210.862,788,475
1626896700,210.75,210.77,210.54,210.58,210.635,862,579
1626897000,210.59,210.97,210.5,210.94,210.692,1530,1102
1626897300,210.95,211.12,210.73,211.07,210.911,2178,1555
