date,open,high,low,close,average,volume,count
1659427200,88.99,88.99,88.84,88.84,88.965,6,2
1659427205,88.84,88.84,88.84,88.84,88.84,0,0
1659427210,88.47,88.47,88.47,88.47,88.47,1,1
1659427215,88.47,88.47,88.47,88.47,88.47,0,0
1659427220,88.47,88.47,88.47,88.47,88.47,0,0
1659427225,88.47,88.47,88.47,88.47,88.47,0,0
1659427230,88.47,88.47,88.47,88.47,88.47,0,0
1659427235,88.47,88.47,88.47,88.47,88.47,0,0
1659427240,88.47,88.47,88.47,88.47,88.47,0,0
1659427245,88.69,88.88,88.69,88.88,88.772,22,13
1659427250,88.88,88.88,88.88,88.88,88.88,0,0
1659427255,88.88,88.88,88.88,88.88,88.88,0,0
1659427260,88.88,88.88,88.88,88.88,88.88,0,0
1659427265,88.88,88.88,88.88,88.88,88.88,0,0
1659427270,88.77,88.77,88.77,88.77,88.77,1,1
1659427275,88.77,88.77,88.77,88.77,88.77,0,0
1659427280,88.74,88.74,88.74,88.74,88.74,5,2
1659427285,88.74,88.74,88.74,88.74,88.74,1,1
1659427290,88.74,88.74,88.74,88.74,88.74,0,0
1659427295,88.74,88.74,88.74,88.74,88.74,0,0
1659427300,88.74,88.74,88.74,88.74,88.74,0,0
1659427305,88.73,88.73,88.7,88.7,88.712,3,2
1659427310,88.7,88.7,88.7,88.7,88.7,0,0
1659427315,88.7,88.7,88.7,88.7,88.7,0,0
1659427320,88.7,88.7,88.7,88.7,88.7,0,0
1659427325,88.7,88.7,88.7,88.7,88.7,0,0
1659427330,88.7,88.7,88.7,88.7,88.7,0,0
1659427335,88.5,88.52,88.5,88.52,88.512,4,3
1659427340,88.52,88.52,88.52,88.52,88.52,0,0
1659427345,88.52,88.52,88.52,88.52,88.52,0,0
1659427350,88.51,88.51,88.49,88.49,88.504,5,3
1659427355,88.49,88.49,88.49,88.49,88.49,0,0
1659427360,88.49,88.49,88.49,88.49,88.49,0,0
1659427365,88.49,88.49,88.49,88.49,88.49,0,0
1659427370,88.5,88.5,88.5,88.5,88.5,6,2
1659427375,88.5,88.5,88.5,88.5,88.5,0,0
1659427380,88.5,88.5,88.5,88.5,88.5,0,0
1659427385,88.5,88.5,88.5,88.5,88.5,0,0
1659427390,88.5,88.5,88.5,88.5,88.5,0,0
1659427395,88.5,88.5,88.5,88.5,88.5,0,0
1659427400,88.5,88.5,88.5,88.5,88.5,0,0
1659427405,88.5,88.5,88.5,88.5,88.5,0,0
1659427410,88.5,88.5,88.5,88.5,88.5,0,0
1659427415,88.5,88.5,88.5,88.5,88.5,0,0
1659427420,88.5,88.5,88.5,88.5,88.5,0,0
1659427425,88.5,88.5,88.5,88.5,88.5,0,0
1659427430,88.5,88.5,88.5,88.5,88.5,0,0
1659427435,88.5,88.5,88.5,88.5,88.5,0,0
1659427440,88.49,88.49,88.49,88.49,88.49,1,1
1659427445,88.49,88.49,88.49,88.49,88.49,0,0
1659427450,88.49,88.49,88.49,88.49,88.49,0,0
1659427455,88.49,88.49,88.49,88.49,88.49,0,0
1659427460,88.47,88.5,88.47,88.5,88.485,4,4
1659427465,88.42,88.42,88.42,88.42,88.42,4,1
1659427470,88.49,88.49,88.49,88.49,88.49,1,1
1659427475,88.41,88.41,88.41,88.41,88.41,1,1
1659427480,88.45,88.45,88.45,88.45,88.45,1,1
1659427485,88.41,88.42,88.41,88.42,88.412,32,22
1659427490,88.4,88.41,88.4,88.41,88.405,5,3
1659427495,88.41,88.41,88.41,88.41,88.41,0,0
1659427500,88.41,88.41,88.41,88.41,88.41,0,0
1659427505,88.4,88.4,88.4,88.4,88.4,4,2
1659427510,88.4,88.4,88.4,88.4,88.4,0,0
1659427515,88.4,88.4,88.4,88.4,88.4,0,0
1659427520,88.4,88.4,88.4,88.4,88.4,0,0
1659427525,88.4,88.4,88.4,88.4,88.4,0,0
1659427530,88.4,88.4,88.4,88.4,88.4,0,0
1659427535,88.4,88.4,88.4,88.4,88.4,0,0
1659427540,88.4,88.4,88.4,88.4,88.4,0,0
1659427545,88.4,88.4,88.4,88.4,88.4,0,0
1659427550,88.4,88.4,88.4,88.4,88.4,0,0
1659427555,88.4,88.4,88.4,88.4,88.4,0,0
1659427560,88.4,88.4,88.4,88.4,88.4,0,0
1659427565,88.4,88.4,88.4,88.4,88.4,0,0
1659427570,88.4,88.4,88.4,88.4,88.4,0,0
1659427575,88.4,88.4,88.4,88.4,88.4,0,0
1659427580,88.4,88.4,88.4,88.4,88.4,0,0
1659427585,88.4,88.4,88.4,88.4,88.4,0,0
1659427590,88.4,88.4,88.4,88.4,88.4,1,1
1659427595,88.4,88.4,88.4,88.4,88.4,0,0
1659427600,88.4,88.4,88.4,88.4,88.4,0,0
1659427605,88.4,88.4,88.4,88.4,88.4,0,0
1659427610,88.41,88.41,88.41,88.41,88.41,1,1
1659427615,88.41,88.41,88.41,88.41,88.41,0,0
1659427620,88.41,88.41,88.41,88.41,88.41,0,0
1659427625,88.41,88.41,88.41,88.41,88.41,0,0
1659427630,88.41,88.41,88.41,88.41,88.41,0,0
1659427635,88.41,88.41,88.41,88.41,88.41,0,0
1659427640,88.41,88.41,88.41,88.41,88.41,0,0
1659427645,88.41,88.41,88.41,88.41,88.41,0,0
1659427650,88.41,88.41,88.41,88.41,88.41,0,0
1659427655,88.41,88.41,88.41,88.41,88.41,0,0
1659427660,88.41,88.41,88.41,88.41,88.41,0,0
1659427665,88.41,88.41,88.41,88.41,88.41,0,0
1659427670,88.41,88.41,88.41,88.41,88.41,0,0
1659427675,88.41,88.41,88.41,88.41,88.41,0,0
1659427680,88.38,88.39,88.38,88.39,88.384,2,2
1659427685,88.39,88.39,88.39,88.39,88.39,0,0
1659427690,88.39,88.39,88.39,88.39,88.39,0,0
1659427695,88.4,88.4,88.4,88.4,88.4,1,1
1659427700,88.4,88.4,88.4,88.4,88.4,0,0
1659427705,88.4,88.4,88.4,88.4,88.4,0,0
1659427710,88.4,88.4,88.4,88.4,88.4,0,0
1659427715,88.4,88.4,88.4,88.4,88.4,0,0
1659427720,88.4,88.4,88.4,88.4,88.4,0,0
1659427725,88.4,88.4,88.4,88.4,88.4,0,0
1659427730,88.4,88.4,88.4,88.4,88.4,0,0
1659427735,88.4,88.4,88.4,88.4,88.4,0,0
1659427740,88.4,88.4,88.4,88.4,88.4,0,0
1659427745,88.4,88.4,88.4,88.4,88.4,0,0
1659427750,88.4,88.4,88.4,88.4,88.4,0,0
1659427755,88.4,88.4,88.4,88.4,88.4,0,0
1659427760,88.4,88.4,88.4,88.4,88.4,0,0
1659427765,88.4,88.4,88.4,88.4,88.4,0,0
1659427770,88.4,88.4,88.4,88.4,88.4,0,0
1659427775,88.4,88.4,88.4,88.4,88.4,0,0
1659427780,88.4,88.4,88.4,88.4,88.4,0,0
1659427785,88.4,88.4,88.4,88.4,88.4,0,0
1659427790,88.52,88.52,88.52,88.52,88.52,1,1
1659427795,88.52,88.52,88.52,88.52,88.52,1,1
1659427800,88.52,88.52,88.52,88.52,88.52,0,0
1659427805,88.52,88.52,88.52,88.52,88.52,0,0
1659427810,88.52,88.52,88.52,88.52,88.52,0,0
1659427815,88.52,88.52,88.52,88.52,88.52,0,0
1659427820,88.52,88.52,88.52,88.52,88.52,0,0
1659427825,88.51,88.51,88.51,88.51,88.51,1,1
1659427830,88.51,88.51,88.51,88.51,88.51,0,0
1659427835,88.51,88.51,88.51,88.51,88.51,0,0
1659427840,88.51,88.51,88.51,88.51,88.51,0,0
1659427845,88.51,88.51,88.51,88.51,88.51,0,0
1659427850,88.51,88.51,88.51,88.51,88.51,0,0
1659427855,88.51,88.51,88.51,88.51,88.51,0,0
1659427860,88.51,88.51,88.51,88.51,88.51,0,0
1659427865,88.51,88.51,88.51,88.51,88.51,0,0
1659427870,88.51,88.51,88.51,88.51,88.51,0,0
1659427875,88.51,88.51,88.51,88.51,88.51,0,0
1659427880,88.51,88.51,88.51,88.51,88.51,0,0
1659427885,88.51,88.51,88.51,88.51,88.51,0,0
1659427890,88.51,88.51,88.51,88.51,88.51,0,0
1659427895,88.51,88.51,88.51,88.51,88.51,0,0
1659427900,88.51,88.51,88.51,88.51,88.51,0,0
1659427905,88.46,88.46,88.46,88.46,88.46,1,1
1659427910,88.46,88.46,88.46,88.46,88.46,0,0
1659427915,88.46,88.46,88.46,88.46,88.46,0,0
1659427920,88.46,88.46,88.46,88.46,88.46,0,0
1659427925,88.46,88.46,88.46,88.46,88.46,0,0
