date,open,high,low,close,average,volume,count
1623312000,15.0,15.14,15.0,15.1,15.11,11,4
1623312005,14.99,14.99,14.99,14.99,14.99,2,2
1623312010,14.99,14.99,14.99,14.99,14.99,0,0
1623312015,14.99,14.99,14.99,14.99,14.99,0,0
1623312020,14.99,14.99,14.99,14.99,14.99,0,0
1623312025,14.99,14.99,14.99,14.99,14.99,0,0
1623312030,14.99,14.99,14.99,14.99,14.99,0,0
1623312035,15.0,15.0,15.0,15.0,15.0,10,1
1623312040,15.0,15.0,15.0,15.0,15.0,3,1
1623312045,15.0,15.0,15.0,15.0,15.0,0,0
1623312050,14.99,14.99,14.96,14.96,14.967,7,6
1623312055,14.96,14.96,14.96,14.96,14.96,0,0
1623312060,14.97,14.97,14.97,14.97,14.97,1,1
1623312065,15.0,15.0,15.0,15.0,15.0,3,1
1623312070,15.0,15.0,15.0,15.0,15.0,1,1
1623312075,15.0,15.0,15.0,15.0,15.0,0,0
1623312080,15.0,15.01,15.0,15.0,15.001,17,3
1623312085,15.0,15.0,15.0,15.0,15.0,2,1
1623312090,15.0,15.0,15.0,15.0,15.0,2,1
1623312095,15.0,15.0,15.0,15.0,15.0,0,0
1623312100,15.0,15.0,15.0,15.0,15.0,0,0
1623312105,15.0,15.0,15.0,15.0,15.0,0,0
1623312110,15.0,15.0,15.0,15.0,15.0,5,1
1623312115,15.0,15.0,15.0,15.0,15.0,0,0
1623312120,15.0,15.0,15.0,15.0,15.0,0,0
1623312125,15.0,15.0,15.0,15.0,15.0,0,0
1623312130,15.0,15.0,15.0,15.0,15.0,0,0
1623312135,15.0,15.0,15.0,15.0,15.0,0,0
1623312140,15.0,15.0,15.0,15.0,15.0,0,0
1623312145,15.0,15.0,15.0,15.0,15.0,0,0
1623312150,15.0,15.0,15.0,15.0,15.0,0,0
1623312155,15.0,15.0,15.0,15.0,15.0,0,0
1623312160,15.0,15.0,15.0,15.0,15.0,0,0
1623312165,15.0,15.0,15.0,15.0,15.0,0,0
1623312170,15.0,15.0,15.0,15.0,15.0,0,0
1623312175,15.0,15.0,15.0,15.0,15.0,0,0
1623312180,15.0,15.0,15.0,15.0,15.0,0,0
1623312185,15.0,15.0,15.0,15.0,15.0,0,0
1623312190,14.96,14.96,14.95,14.95,14.951,57,3
1623312195,14.95,14.95,14.95,14.95,14.95,0,0
1623312200,14.95,14.95,14.95,14.95,14.95,0,0
1623312205,14.95,14.95,14.95,14.95,14.95,0,0
1623312210,14.92,14.92,14.92,14.92,14.92,3,3
1623312215,14.91,14.95,14.91,14.95,14.93,2,2
1623312220,14.9,14.9,14.9,14.9,14.9,5,1
1623312225,14.9,14.9,14.9,14.9,14.9,0,0
1623312230,14.9,14.9,14.9,14.9,14.9,0,0
1623312235,14.9,14.9,14.9,14.9,14.9,0,0
1623312240,14.9,14.9,14.9,14.9,14.9,0,0
1623312245,14.81,14.81,14.81,14.81,14.81,1,1
1623312250,14.81,14.81,14.81,14.81,14.81,3,1
1623312255,14.81,14.82,14.8,14.8,14.809,10,5
1623312260,14.8,14.8,14.8,14.8,14.8,0,0
1623312265,14.8,14.8,14.8,14.8,14.8,0,0
1623312270,14.69,14.69,14.69,14.69,14.69,1,1
1623312275,14.7,14.7,14.7,14.7,14.7,4,1
1623312280,14.7,14.7,14.7,14.7,14.7,0,0
1623312285,14.69,14.69,14.69,14.69,14.69,1,1
1623312290,14.69,14.69,14.69,14.69,14.69,0,0
1623312295,14.69,14.69,14.69,14.69,14.69,0,0
1623312300,14.71,14.71,14.71,14.71,14.71,2,2
1623312305,14.71,14.71,14.71,14.71,14.71,0,0
1623312310,14.71,14.71,14.71,14.71,14.71,0,0
1623312315,14.71,14.71,14.71,14.71,14.71,0,0
1623312320,14.71,14.71,14.71,14.71,14.71,6,3
1623312325,14.72,14.72,14.72,14.72,14.72,1,1
1623312330,14.71,14.71,14.71,14.71,14.71,3,2
1623312335,14.71,14.71,14.71,14.71,14.71,0,0
1623312340,14.71,14.71,14.71,14.71,14.71,0,0
1623312345,14.71,14.71,14.71,14.71,14.71,0,0
1623312350,14.71,14.71,14.71,14.71,14.71,0,0
1623312355,14.71,14.71,14.71,14.71,14.71,0,0
1623312360,14.73,14.74,14.73,14.74,14.735,3,2
1623312365,14.74,14.74,14.74,14.74,14.74,0,0
1623312370,14.74,14.74,14.74,14.74,14.74,0,0
1623312375,14.71,14.71,14.71,14.71,14.71,1,1
1623312380,14.71,14.71,14.71,14.71,14.71,0,0
1623312385,14.7,14.7,14.7,14.7,14.7,15,3
1623312390,14.7,14.7,14.7,14.7,14.7,0,0
1623312395,14.7,14.7,14.7,14.7,14.7,0,0
1623312400,14.7,14.7,14.7,14.7,14.7,0,0
1623312405,14.7,14.7,14.7,14.7,14.7,0,0
1623312410,14.66,14.66,14.66,14.66,14.66,3,3
1623312415,14.66,14.66,14.66,14.66,14.66,0,0
1623312420,14.66,14.66,14.66,14.66,14.66,0,0
1623312425,14.66,14.66,14.66,14.66,14.66,0,0
1623312430,14.66,14.66,14.66,14.66,14.66,0,0
1623312435,14.66,14.66,14.66,14.66,14.66,0,0
1623312440,14.66,14.66,14.66,14.66,14.66,0,0
1623312445,14.66,14.66,14.66,14.66,14.66,0,0
1623312450,14.66,14.66,14.66,14.66,14.66,0,0
1623312455,14.66,14.66,14.66,14.66,14.66,1,1
1623312460,14.66,14.66,14.66,14.66,14.66,0,0
1623312465,14.66,14.66,14.66,14.66,14.66,0,0
1623312470,14.66,14.66,14.66,14.66,14.66,0,0
1623312475,14.66,14.66,14.66,14.66,14.66,0,0
1623312480,14.66,14.66,14.66,14.66,14.66,0,0
1623312485,14.65,14.65,14.65,14.65,14.65,1,1
1623312490,14.65,14.65,14.65,14.65,14.65,0,0
1623312495,14.65,14.65,14.65,14.65,14.65,0,0
1623312500,14.65,14.65,14.65,14.65,14.65,0,0
1623312505,14.61,14.61,14.61,14.61,14.61,6,1
1623312510,14.61,14.61,14.61,14.61,14.61,0,0
1623312515,14.62,14.62,14.62,14.62,14.62,1,1
1623312520,14.62,14.62,14.62,14.62,14.62,0,0
1623312525,14.61,14.61,14.61,14.61,14.61,1,1
1623312530,14.62,14.62,14.61,14.61,14.615,7,2
1623312535,14.6,14.6,14.6,14.6,14.6,3,1
1623312540,14.6,14.6,14.6,14.6,14.6,0,0
1623312545,14.6,14.6,14.6,14.6,14.6,0,0
1623312550,14.6,14.6,14.6,14.6,14.6,0,0
1623312555,14.6,14.6,14.6,14.6,14.6,0,0
1623312560,14.6,14.6,14.6,14.6,14.6,19,2
1623312565,14.6,14.6,14.6,14.6,14.6,0,0
1623312570,14.6,14.6,14.6,14.6,14.6,0,0
1623312575,14.6,14.6,14.6,14.6,14.6,0,0
1623312580,14.6,14.6,14.6,14.6,14.6,0,0
1623312585,14.6,14.6,14.6,14.6,14.6,0,0
1623312590,14.6,14.6,14.6,14.6,14.6,0,0
1623312595,14.56,14.56,14.56,14.56,14.56,2,2
