date,open,high,low,close,average,volume,count
1623830700,13.88,13.89,13.85,13.85,13.868,7,4
1623830760,13.85,13.85,13.85,13.85,13.85,0,0
1623830820,13.85,13.85,13.85,13.85,13.85,0,0
1623830880,13.85,13.85,13.85,13.85,13.85,0,0
1623830940,13.85,13.85,13.85,13.85,13.85,0,0
1623831000,13.85,13.85,13.85,13.85,13.85,2,1
1623831060,13.85,13.85,13.85,13.85,13.85,0,0
1623831120,13.76,13.76,13.76,13.76,13.76,2,2
1623831180,13.76,13.76,13.76,13.76,13.76,3,1
1623831240,13.78,13.78,13.78,13.78,13.78,1,1
1623831300,13.78,13.78,13.78,13.78,13.78,3,2
1623831360,13.78,13.78,13.78,13.78,13.78,0,0
1623831420,13.78,13.78,13.78,13.78,13.78,0,0
1623831480,13.78,13.78,13.78,13.78,13.78,0,0
1623831540,13.78,13.78,13.78,13.78,13.78,1,1
1623831600,13.78,13.79,13.78,13.79,13.785,2,2
1623831660,13.8,13.8,13.8,13.8,13.8,1,1
1623831720,13.8,13.8,13.8,13.8,13.8,8,2
1623831780,13.78,13.78,13.78,13.78,13.78,1,1
1623831840,13.8,13.8,13.79,13.8,13.794,6,4
1623831900,13.8,13.8,13.8,13.8,13.8,0,0
1623831960,13.8,13.8,13.8,13.8,13.8,0,0
1623832020,13.78,13.78,13.77,13.77,13.775,14,5
1623832080,13.79,13.79,13.79,13.79,13.79,1,1
1623832140,13.78,13.78,13.77,13.77,13.777,13,2
1623832200,13.76,13.76,13.76,13.76,13.76,1,1
1623832260,13.76,13.76,13.75,13.75,13.751,11,7
1623832320,13.75,13.75,13.75,13.75,13.75,0,0
1623832380,13.75,13.75,13.75,13.75,13.75,0,0
1623832440,13.74,13.74,13.74,13.74,13.74,5,3
1623832500,13.74,13.74,13.74,13.74,13.74,0,0
1623832560,13.74,13.74,13.74,13.74,13.74,0,0
1623832620,13.73,13.74,13.73,13.74,13.736,2,2
1623832680,13.72,13.72,13.71,13.71,13.713,3,3
1623832740,13.71,13.71,13.71,13.71,13.71,6,1
1623832800,13.72,13.73,13.72,13.73,13.725,2,2
1623832860,13.72,13.72,13.72,13.72,13.72,2,2
1623832920,13.72,13.72,13.72,13.72,13.72,2,2
1623832980,13.72,13.72,13.72,13.72,13.72,0,0
1623833040,13.71,13.71,13.71,13.71,13.71,1,1
1623833100,13.71,13.71,13.71,13.71,13.71,0,0
1623833160,13.71,13.71,13.71,13.71,13.71,0,0
1623833220,13.71,13.71,13.71,13.71,13.71,5,2
1623833280,13.71,13.71,13.71,13.71,13.71,0,0
1623833340,13.71,13.71,13.71,13.71,13.71,0,0
1623833400,13.71,13.71,13.71,13.71,13.71,0,0
1623833460,13.71,13.71,13.71,13.71,13.71,0,0
1623833520,13.71,13.71,13.71,13.71,13.71,0,0
1623833580,13.75,13.75,13.75,13.75,13.75,1,1
1623833640,13.75,13.75,13.75,13.75,13.75,0,0
1623833700,13.75,13.75,13.75,13.75,13.75,0,0
1623833760,13.75,13.75,13.75,13.75,13.75,0,0
1623833820,13.75,13.75,13.75,13.75,13.75,0,0
1623833880,13.77,13.78,13.77,13.78,13.775,2,2
1623833940,13.77,13.78,13.77,13.78,13.775,2,2
1623834000,13.78,13.78,13.78,13.78,13.78,0,0
1623834060,13.78,13.78,13.78,13.78,13.78,0,0
1623834120,13.78,13.78,13.78,13.78,13.78,0,0
1623834180,13.78,13.78,13.78,13.78,13.78,0,0
1623834240,13.78,13.78,13.78,13.78,13.78,0,0
1623834300,13.78,13.78,13.78,13.78,13.78,0,0
1623834360,13.75,13.75,13.75,13.75,13.75,2,2
1623834420,13.75,13.75,13.75,13.75,13.75,0,0
1623834480,13.75,13.75,13.75,13.75,13.75,0,0
1623834540,13.74,13.74,13.74,13.74,13.74,2,2
1623834600,13.74,13.74,13.74,13.74,13.74,0,0
1623834660,13.74,13.74,13.74,13.74,13.74,0,0
1623834720,13.74,13.74,13.74,13.74,13.74,0,0
1623834780,13.74,13.74,13.74,13.74,13.74,0,0
1623834840,13.74,13.74,13.74,13.74,13.74,0,0
1623834900,13.74,13.74,13.74,13.74,13.74,0,0
1623834960,13.74,13.74,13.74,13.74,13.74,0,0
1623835020,13.74,13.74,13.74,13.74,13.74,0,0
1623835080,13.74,13.74,13.74,13.74,13.74,0,0
1623835140,13.72,13.72,13.72,13.72,13.72,3,2
1623835200,13.72,13.72,13.72,13.72,13.72,0,0
1623835260,13.72,13.72,13.72,13.72,13.72,0,0
1623835320,13.72,13.72,13.72,13.72,13.72,0,0
1623835380,13.72,13.72,13.72,13.72,13.72,0,0
1623835440,13.72,13.72,13.72,13.72,13.72,0,0
1623835500,13.72,13.72,13.72,13.72,13.72,1,1
1623835560,13.72,13.72,13.72,13.72,13.72,0,0
1623835620,13.73,13.73,13.73,13.73,13.73,2,1
1623835680,13.72,13.72,13.72,13.72,13.72,1,1
1623835740,13.72,13.72,13.72,13.72,13.72,1,1
1623835800,13.72,13.72,13.72,13.72,13.72,0,0
1623835860,13.74,13.75,13.74,13.75,13.747,9,3
1623835920,13.74,13.74,13.74,13.74,13.74,1,1
1623835980,13.74,13.74,13.74,13.74,13.74,0,0
1623836040,13.74,13.74,13.74,13.74,13.74,0,0
1623836100,13.75,13.75,13.75,13.75,13.75,2,1
1623836160,13.75,13.75,13.75,13.75,13.75,0,0
1623836220,13.75,13.75,13.75,13.75,13.75,0,0
1623836280,13.75,13.75,13.75,13.75,13.75,0,0
1623836340,13.75,13.75,13.75,13.75,13.75,0,0
1623836400,13.78,13.78,13.78,13.78,13.78,2,2
1623836460,13.78,13.78,13.78,13.78,13.78,0,0
1623836520,13.78,13.78,13.78,13.78,13.78,0,0
1623836580,13.76,13.76,13.76,13.76,13.76,2,2
1623836640,13.76,13.76,13.76,13.76,13.76,0,0
1623836700,13.76,13.76,13.76,13.76,13.76,0,0
1623836760,13.79,13.8,13.79,13.8,13.792,12,6
1623836820,13.79,13.8,13.79,13.8,13.798,5,2
1623836880,13.8,13.8,13.8,13.8,13.8,3,1
1623836940,13.8,13.8,13.8,13.8,13.8,0,0
1623837000,13.8,13.8,13.8,13.8,13.8,0,0
1623837060,13.8,13.8,13.8,13.8,13.8,0,0
1623837120,13.8,13.8,13.8,13.8,13.8,0,0
1623837180,13.8,13.8,13.8,13.8,13.8,0,0
1623837240,13.8,13.8,13.8,13.8,13.8,0,0
1623837300,13.8,13.8,13.8,13.8,13.8,0,0
1623837360,13.8,13.8,13.8,13.8,13.8,0,0
1623837420,13.8,13.8,13.8,13.8,13.8,0,0
1623837480,13.8,13.8,13.8,13.8,13.8,0,0
1623837540,13.8,13.8,13.8,13.8,13.8,0,0
1623837600,13.8,13.8,13.8,13.8,13.8,0,0
1623837660,13.77,13.77,13.77,13.77,13.77,2,1
1623837720,13.77,13.77,13.77,13.77,13.77,0,0
