date,open,high,low,close,average,volume,count
1624629600,11.96,11.96,11.96,11.96,11.96,1,1
1624629601,11.96,11.96,11.95,11.95,11.954,41,12
1624629602,11.96,11.96,11.95,11.96,11.956,22,6
1624629603,11.95,11.96,11.95,11.95,11.958,66,4
1624629604,11.95,11.95,11.93,11.94,11.942,89,28
1624629605,11.94,11.95,11.94,11.94,11.941,56,3
1624629606,11.94,11.95,11.94,11.95,11.94,54,4
1624629607,11.95,11.95,11.93,11.95,11.943,80,24
1624629608,11.94,11.95,11.93,11.94,11.939,109,37
1624629609,11.94,11.96,11.94,11.95,11.946,157,51
1624629610,11.95,11.96,11.95,11.95,11.951,3,1
1624629611,11.96,11.96,11.94,11.95,11.949,9,5
1624629612,11.94,11.95,11.94,11.94,11.941,1,1
1624629613,11.95,11.96,11.94,11.96,11.953,9,5
1624629614,11.95,11.96,11.95,11.96,11.951,20,5
1624629615,11.95,11.96,11.94,11.95,11.947,29,6
1624629616,11.95,11.95,11.94,11.95,11.949,27,3
1624629617,11.95,11.95,11.94,11.95,11.948,9,3
1624629618,11.95,11.96,11.95,11.95,11.951,48,7
1624629619,11.95,11.96,11.95,11.95,11.955,17,4
1624629620,11.95,11.96,11.95,11.95,11.951,53,18
1624629621,11.96,11.96,11.95,11.96,11.958,18,5
1624629622,11.96,11.96,11.95,11.95,11.953,3,3
1624629623,11.96,11.96,11.95,11.96,11.955,1,1
1624629624,11.96,11.96,11.95,11.96,11.957,10,3
1624629625,11.96,11.96,11.95,11.96,11.956,12,8
1624629626,11.96,11.96,11.96,11.96,11.96,1,1
1624629627,11.95,11.96,11.95,11.95,11.953,24,12
1624629628,11.95,11.96,11.95,11.95,11.951,8,4
1624629629,11.96,11.96,11.95,11.96,11.959,55,4
1624629630,11.96,11.97,11.95,11.96,11.962,33,24
1624629631,11.96,11.97,11.96,11.97,11.97,64,13
1624629632,11.96,11.99,11.96,11.98,11.98,668,46
1624629633,11.98,12.0,11.98,11.99,11.99,21,15
1624629634,12.0,12.0,11.99,11.99,11.992,74,10
1624629635,11.99,12.0,11.99,11.99,11.99,9,6
1624629636,11.99,11.99,11.98,11.98,11.984,9,4
1624629637,11.98,11.98,11.97,11.98,11.98,6,4
1624629638,11.98,11.98,11.97,11.98,11.979,1,1
1624629639,11.98,11.98,11.97,11.98,11.979,11,2
1624629640,11.98,11.98,11.98,11.98,11.98,7,2
1624629641,11.97,11.98,11.97,11.98,11.971,52,18
1624629642,11.98,11.98,11.97,11.98,11.978,4,2
1624629643,11.98,11.98,11.98,11.98,11.98,0,0
1624629644,11.98,11.99,11.97,11.98,11.985,160,30
1624629645,11.98,11.99,11.98,11.99,11.987,17,5
1624629646,11.99,11.99,11.98,11.98,11.988,118,9
1624629647,11.97,11.97,11.96,11.97,11.962,26,8
1624629648,11.97,11.97,11.96,11.96,11.968,3,3
1624629649,11.96,11.97,11.96,11.96,11.96,0,0
1624629650,11.96,11.97,11.95,11.95,11.958,35,22
1624629651,11.96,11.96,11.95,11.95,11.957,54,14
1624629652,11.95,11.96,11.95,11.96,11.951,111,6
1624629653,11.96,11.96,11.95,11.96,11.96,0,0
1624629654,11.95,11.96,11.95,11.95,11.95,58,3
1624629655,11.95,11.95,11.94,11.94,11.945,48,16
1624629656,11.95,11.95,11.93,11.93,11.937,88,31
1624629657,11.93,11.94,11.93,11.93,11.93,50,16
1624629658,11.93,11.93,11.92,11.92,11.925,14,5
1624629659,11.93,11.93,11.92,11.93,11.925,6,2
1624629660,11.93,11.93,11.91,11.91,11.917,182,39
1624629661,11.91,11.91,11.9,11.91,11.909,50,17
1624629662,11.91,11.91,11.9,11.9,11.907,18,4
1624629663,11.9,11.91,11.9,11.9,11.903,1,1
1624629664,11.91,11.91,11.9,11.91,11.909,31,3
1624629665,11.91,11.92,11.91,11.92,11.912,45,18
1624629666,11.92,11.92,11.91,11.91,11.913,91,6
1624629667,11.92,11.92,11.91,11.91,11.914,151,20
1624629668,11.91,11.91,11.9,11.9,11.903,11,4
1624629669,11.91,11.91,11.9,11.9,11.903,53,4
1624629670,11.91,11.91,11.9,11.91,11.905,1,1
1624629671,11.91,11.91,11.9,11.91,11.907,29,12
1624629672,11.91,11.92,11.9,11.91,11.909,13,7
1624629673,11.9,11.91,11.9,11.9,11.901,83,24
1624629674,11.91,11.91,11.9,11.91,11.907,10,3
1624629675,11.91,11.91,11.9,11.9,11.907,100,29
