date,open,high,low,close,average,volume,count
1636383600,21.2,21.2,21.19,21.19,21.197,7,2
1636383601,21.19,21.19,21.19,21.19,21.19,0,0
1636383602,21.2,21.2,21.19,21.2,21.195,1,1
1636383603,21.2,21.2,21.19,21.2,21.2,0,0
1636383604,21.2,21.2,21.19,21.2,21.2,0,0
1636383605,21.2,21.2,21.19,21.2,21.2,0,0
1636383606,21.2,21.2,21.19,21.2,21.2,0,0
1636383607,21.2,21.2,21.19,21.2,21.2,0,0
1636383608,21.2,21.2,21.19,21.2,21.2,0,0
1636383609,21.2,21.21,21.2,21.2,21.204,1,1
1636383610,21.2,21.21,21.2,21.2,21.2,0,0
1636383611,21.19,21.2,21.18,21.18,21.19,33,15
1636383612,21.2,21.2,21.19,21.2,21.195,1,1
1636383613,21.21,21.21,21.21,21.21,21.21,2,1
1636383614,21.2,21.21,21.2,21.2,21.205,2,1
1636383615,21.2,21.21,21.2,21.2,21.2,0,0
1636383616,21.2,21.2,21.19,21.2,21.195,1,1
1636383617,21.19,21.21,21.18,21.21,21.193,37,6
1636383618,21.2,21.2,21.19,21.2,21.195,6,1
1636383619,21.2,21.21,21.2,21.2,21.203,1,1
1636383620,21.21,21.23,21.18,21.22,21.204,35,17
1636383621,21.22,21.22,21.21,21.21,21.215,2,2
1636383622,21.21,21.21,21.21,21.21,21.21,0,0
1636383623,21.22,21.22,21.21,21.22,21.217,1,1
1636383624,21.21,21.21,21.19,21.2,21.205,10,7
1636383625,21.2,21.2,21.19,21.2,21.195,10,1
1636383626,21.21,21.22,21.16,21.17,21.18,38,18
1636383627,21.16,21.17,21.16,21.17,21.168,5,2
1636383628,21.17,21.17,21.17,21.17,21.17,0,0
1636383629,21.16,21.16,21.15,21.15,21.158,16,5
1636383630,21.16,21.16,21.16,21.16,21.16,43,2
1636383631,21.16,21.16,21.16,21.16,21.16,0,0
1636383632,21.16,21.17,21.15,21.16,21.158,137,34
1636383633,21.17,21.17,21.17,21.17,21.17,6,1
1636383634,21.17,21.17,21.17,21.17,21.17,0,0
1636383635,21.17,21.17,21.17,21.17,21.17,0,0
1636383636,21.17,21.17,21.17,21.17,21.17,0,0
1636383637,21.18,21.18,21.17,21.18,21.179,5,1
1636383638,21.18,21.18,21.17,21.18,21.18,0,0
1636383639,21.17,21.17,21.17,21.17,21.17,2,1
1636383640,21.18,21.19,21.12,21.12,21.156,61,36
1636383641,21.12,21.15,21.12,21.14,21.128,3,3
1636383642,21.12,21.17,21.12,21.16,21.146,6,4
1636383643,21.12,21.15,21.12,21.14,21.124,6,5
1636383644,21.14,21.15,21.14,21.14,21.14,0,0
1636383645,21.14,21.15,21.14,21.14,21.14,0,0
1636383646,21.14,21.15,21.14,21.14,21.14,0,0
1636383647,21.13,21.13,21.12,21.13,21.13,1,1
1636383648,21.12,21.12,21.12,21.12,21.12,1,1
1636383649,21.17,21.17,21.12,21.12,21.133,4,2
1636383650,21.12,21.12,21.11,21.12,21.119,20,16
1636383651,21.12,21.12,21.11,21.12,21.12,0,0
1636383652,21.12,21.12,21.12,21.12,21.12,4,1
1636383653,21.12,21.14,21.11,21.14,21.131,15,2
1636383654,21.14,21.14,21.13,21.14,21.14,0,0
1636383655,21.14,21.14,21.13,21.14,21.14,0,0
1636383656,21.13,21.13,21.12,21.13,21.125,10,1
1636383657,21.13,21.13,21.12,21.13,21.13,0,0
1636383658,21.13,21.13,21.12,21.13,21.13,0,0
1636383659,21.13,21.13,21.12,21.13,21.13,0,0
1636383660,21.13,21.13,21.12,21.13,21.125,2,2
1636383661,21.12,21.12,21.12,21.12,21.12,1,1
1636383662,21.11,21.13,21.11,21.13,21.116,85,15
1636383663,21.12,21.13,21.12,21.12,21.122,10,1
1636383664,21.13,21.19,21.13,21.17,21.187,607,67
1636383665,21.14,21.18,21.14,21.18,21.158,2,2
1636383666,21.19,21.2,21.17,21.19,21.19,104,8
1636383667,21.19,21.19,21.19,21.19,21.19,0,0
1636383668,21.21,21.21,21.19,21.21,21.202,27,8
1636383669,21.19,21.19,21.17,21.18,21.189,13,2
1636383670,21.18,21.18,21.17,21.18,21.18,0,0
1636383671,21.18,21.18,21.17,21.18,21.18,0,0
1636383672,21.18,21.18,21.17,21.18,21.18,0,0
1636383673,21.21,21.22,21.21,21.22,21.213,3,3
1636383674,21.21,21.24,21.21,21.23,21.23,11,9
1636383675,21.24,21.27,21.24,21.27,21.269,30,3
1636383676,21.27,21.27,21.24,21.24,21.245,11,7
1636383677,21.24,21.24,21.24,21.24,21.24,0,0
1636383678,21.24,21.24,21.24,21.24,21.24,0,0
1636383679,21.24,21.24,21.24,21.24,21.24,0,0
1636383680,21.24,21.24,21.24,21.24,21.24,0,0
1636383681,21.24,21.24,21.24,21.24,21.24,0,0
1636383682,21.27,21.27,21.26,21.27,21.27,2,1
1636383683,21.27,21.27,21.26,21.27,21.27,0,0
1636383684,21.27,21.27,21.27,21.27,21.27,7,1
1636383685,21.26,21.26,21.24,21.24,21.249,7,2
1636383686,21.24,21.25,21.24,21.24,21.24,0,0
1636383687,21.25,21.28,21.24,21.26,21.263,6,3
1636383688,21.28,21.28,21.27,21.28,21.28,20,1
1636383689,21.28,21.28,21.27,21.28,21.28,0,0
1636383690,21.25,21.26,21.24,21.26,21.254,4,3
1636383691,21.27,21.27,21.26,21.26,21.267,7,6
1636383692,21.26,21.27,21.26,21.26,21.26,0,0
1636383693,21.26,21.27,21.26,21.26,21.26,0,0
1636383694,21.28,21.28,21.27,21.28,21.275,1,1
1636383695,21.28,21.28,21.27,21.28,21.28,0,0
1636383696,21.28,21.28,21.27,21.28,21.28,0,0
1636383697,21.28,21.28,21.27,21.28,21.28,0,0
1636383698,21.26,21.27,21.26,21.27,21.268,8,3
