date,open,high,low,close,average,volume,count
1659945600,8.4,10.58,8.4,10.58,9.585,521,121
1659945660,10.34,10.6,10.2,10.4,10.397,270,112
1659945720,10.37,10.37,9.72,10.3,10.045,310,116
1659945780,10.09,10.33,9.69,9.79,9.9,210,72
1659945840,9.77,10.22,9.61,9.95,9.854,347,77
1659945900,10.0,10.0,9.6,9.72,9.804,106,49
1659945960,9.75,9.97,9.7,9.85,9.805,35,17
1659946020,9.84,9.85,9.8,9.82,9.83,12,7
1659946080,9.81,9.85,9.81,9.81,9.827,14,11
1659946140,9.8,9.83,9.6,9.81,9.711,82,39
1659946200,9.82,9.86,9.75,9.81,9.805,37,13
1659946260,9.85,9.87,9.83,9.85,9.851,30,8
1659946320,9.88,9.93,9.79,9.9,9.883,147,43
1659946380,9.8,9.92,9.79,9.82,9.842,89,38
1659946440,9.85,9.85,9.55,9.61,9.695,110,42
1659946500,9.6,9.81,9.6,9.71,9.687,21,11
1659946560,9.76,9.77,9.7,9.7,9.71,53,17
1659946620,9.77,9.78,9.77,9.77,9.777,11,8
1659946680,9.75,9.76,9.7,9.76,9.711,18,10
1659946740,9.7,9.73,9.7,9.73,9.713,45,27
1659946800,9.76,9.78,9.73,9.78,9.764,23,14
1659946860,9.83,9.92,9.81,9.9,9.879,58,29
1659946920,9.86,9.86,9.81,9.81,9.819,7,7
1659946980,9.83,9.83,9.82,9.82,9.826,2,2
1659947040,9.81,9.81,9.69,9.7,9.728,109,26
1659947100,9.68,9.75,9.66,9.7,9.701,38,10
1659947160,9.69,9.76,9.69,9.76,9.715,18,14
1659947220,9.75,9.75,9.7,9.7,9.709,40,9
1659947280,9.75,9.79,9.75,9.79,9.777,27,12
1659947340,9.78,9.8,9.77,9.77,9.781,49,19
1659947400,9.75,9.78,9.74,9.78,9.759,11,8
1659947460,9.8,9.8,9.8,9.8,9.8,2,2
1659947520,9.84,9.85,9.8,9.85,9.831,6,5
1659947580,9.85,9.86,9.85,9.85,9.853,6,4
1659947640,9.83,9.86,9.83,9.86,9.845,10,8
1659947700,9.85,9.98,9.85,9.9,9.91,47,17
1659947760,9.9,9.99,9.9,9.99,9.938,45,27
1659947820,9.99,10.2,9.94,9.94,10.073,134,64
1659947880,9.94,9.94,9.85,9.93,9.91,52,28
1659947940,9.93,9.93,9.92,9.92,9.923,2,2
1659948000,9.93,9.99,9.86,9.9,9.912,58,27
1659948060,9.9,9.9,9.69,9.72,9.79,184,32
1659948120,9.72,9.84,9.7,9.84,9.751,33,20
1659948180,9.84,9.84,9.84,9.84,9.84,4,3
1659948240,9.76,9.76,9.76,9.76,9.76,10,2
1659948300,9.76,9.76,9.76,9.76,9.76,0,0
1659948360,9.72,9.72,9.65,9.65,9.689,57,21
1659948420,9.66,9.68,9.59,9.61,9.644,62,13
1659948480,9.65,9.77,9.65,9.77,9.715,15,10
1659948540,9.76,9.76,9.35,9.35,9.43,136,54
1659948600,9.34,9.44,9.31,9.38,9.357,158,44
1659948660,9.37,9.38,9.3,9.37,9.341,44,19
1659948720,9.39,9.42,9.39,9.39,9.4,26,7
1659948780,9.38,9.59,9.36,9.57,9.475,122,31
1659948840,9.42,9.55,9.4,9.5,9.457,84,13
1659948900,9.46,9.49,9.43,9.47,9.454,21,15
1659948960,9.43,9.49,9.35,9.35,9.426,26,10
1659949020,9.42,9.42,9.42,9.42,9.42,1,1
1659949080,9.41,9.41,9.4,9.4,9.407,3,2
1659949140,9.4,9.4,9.4,9.4,9.4,0,0
1659949200,9.41,9.41,9.41,9.41,9.41,2,2
1659949260,9.42,9.42,9.36,9.36,9.4,53,9
1659949320,9.4,9.44,9.4,9.44,9.427,3,3
1659949380,9.44,9.5,9.44,9.48,9.472,7,6
1659949440,9.49,9.49,9.49,9.49,9.49,6,2
1659949500,9.48,9.48,9.45,9.47,9.471,8,5
1659949560,9.49,9.5,9.45,9.45,9.475,22,10
1659949620,9.39,9.4,9.32,9.35,9.36,9,8
1659949680,9.34,9.45,9.34,9.45,9.421,15,7
1659949740,9.35,9.35,9.3,9.3,9.308,6,6
1659949800,9.32,9.32,9.31,9.31,9.316,3,2
1659949860,9.34,9.35,9.34,9.35,9.348,8,6
1659949920,9.36,9.37,9.35,9.37,9.355,6,3
1659949980,9.35,9.36,9.3,9.36,9.314,62,23
1659950040,9.33,9.33,9.22,9.3,9.263,14,10
1659950100,9.24,9.24,9.15,9.15,9.21,92,21
1659950160,9.17,9.17,9.06,9.06,9.102,82,37
1659950220,9.1,9.15,9.06,9.13,9.128,51,13
1659950280,9.18,9.19,9.17,9.19,9.18,5,4
1659950340,9.14,9.28,9.14,9.28,9.186,5,4
1659950400,9.25,9.25,9.19,9.2,9.206,33,28
1659950460,9.25,9.27,9.24,9.26,9.258,9,8
1659950520,9.26,9.3,9.26,9.3,9.279,9,7
1659950580,9.27,9.31,9.22,9.29,9.261,15,10
1659950640,9.3,9.3,9.3,9.3,9.3,1,1
1659950700,9.35,9.41,9.35,9.41,9.39,46,11
1659950760,9.41,9.46,9.38,9.46,9.413,32,7
1659950820,9.41,9.41,9.36,9.39,9.381,12,8
1659950880,9.35,9.38,9.35,9.36,9.356,14,8
1659950940,9.35,9.38,9.33,9.33,9.356,14,10
1659951000,9.33,9.49,9.3,9.49,9.385,28,15
1659951060,9.47,9.52,9.47,9.49,9.479,38,13
1659951120,9.48,9.48,9.33,9.38,9.399,38,13
1659951180,9.44,9.44,9.31,9.31,9.407,51,11
1659951240,9.37,9.37,9.37,9.37,9.37,1,1
1659951300,9.36,9.36,9.35,9.35,9.352,5,2
1659951360,9.35,9.36,9.35,9.35,9.352,9,4
1659951420,9.39,9.39,9.35,9.35,9.354,17,7
1659951480,9.33,9.34,9.33,9.33,9.338,23,10
1659951540,9.34,9.34,9.34,9.34,9.34,2,2
1659951600,9.31,9.35,9.31,9.33,9.333,14,5
1659951660,9.33,9.33,9.33,9.33,9.33,0,0
1659951720,9.33,9.33,9.33,9.33,9.33,0,0
1659951780,9.37,9.38,9.37,9.38,9.375,2,2
1659951840,9.38,9.38,9.38,9.38,9.38,2,2
1659951900,9.42,9.42,9.4,9.4,9.41,2,2
1659951960,9.39,9.39,9.39,9.39,9.39,1,1
1659952020,9.4,9.41,9.4,9.4,9.4,34,5
1659952080,9.4,9.4,9.4,9.4,9.4,0,0
1659952140,9.42,9.46,9.42,9.46,9.448,28,10
1659952200,9.44,9.5,9.44,9.5,9.479,25,12
1659952260,9.49,9.49,9.49,9.49,9.49,1,1
1659952320,9.49,9.53,9.49,9.53,9.522,24,7
1659952380,9.53,9.53,9.53,9.53,9.53,78,2
1659952440,9.49,9.5,9.49,9.5,9.497,3,2
1659952500,9.52,9.74,9.52,9.72,9.594,55,25
1659952560,9.68,9.83,9.63,9.83,9.708,64,28
1659952620,9.9,9.9,9.74,9.85,9.865,71,7
1659952680,9.78,9.79,9.75,9.79,9.784,31,10
1659952740,9.79,9.91,9.79,9.91,9.877,86,23
1659952800,9.89,9.89,9.79,9.79,9.862,8,5
1659952860,9.73,9.79,9.73,9.79,9.733,21,7
1659952920,9.81,9.81,9.42,9.42,9.637,196,44
1659952980,9.46,9.63,9.46,9.51,9.547,132,43
1659953040,9.57,9.62,9.52,9.62,9.55,39,14
1659953100,9.57,9.67,9.57,9.65,9.629,42,20
1659953160,9.65,9.69,9.63,9.69,9.656,29,14
1659953220,9.7,9.7,9.65,9.66,9.691,64,8
1659953280,9.65,9.65,9.55,9.55,9.586,8,6
1659953340,9.56,9.56,9.53,9.56,9.549,7,3
1659953400,9.56,9.56,9.53,9.53,9.534,6,3
1659953460,9.54,9.54,9.54,9.54,9.54,6,3
1659953520,9.59,9.73,9.59,9.73,9.646,20,9
1659953580,9.7,9.7,9.65,9.65,9.672,2,2
1659953640,9.69,9.7,9.69,9.7,9.697,7,4
1659953700,9.7,9.7,9.7,9.7,9.7,4,1
1659953760,9.69,9.69,9.69,9.69,9.69,1,1
1659953820,9.7,9.7,9.61,9.61,9.64,35,10
1659953880,9.61,9.62,9.6,9.6,9.611,24,13
1659953940,9.53,9.6,9.48,9.6,9.534,82,22
1659954000,9.6,9.64,9.6,9.6,9.614,5,3
1659954060,9.58,9.58,9.58,9.58,9.58,3,1
1659954120,9.62,9.62,9.59,9.59,9.599,6,2
1659954180,9.59,9.59,9.59,9.59,9.59,2,1
1659954240,9.59,9.59,9.59,9.59,9.59,0,0
1659954300,9.59,9.59,9.59,9.59,9.59,0,0
1659954360,9.61,9.65,9.61,9.65,9.644,19,8
1659954420,9.64,9.65,9.62,9.62,9.636,11,5
1659954480,9.6,9.6,9.58,9.58,9.594,16,9
1659954540,9.65,9.66,9.65,9.66,9.659,7,4
1659954600,9.7,9.7,9.65,9.65,9.668,3,3
1659954660,9.64,9.64,9.63,9.63,9.635,9,5
1659954720,9.61,9.61,9.58,9.6,9.597,11,4
1659954780,9.67,9.67,9.67,9.67,9.67,6,2
1659954840,9.62,9.62,9.62,9.62,9.62,8,2
1659954900,9.64,9.64,9.6,9.6,9.619,22,7
1659954960,9.6,9.6,9.6,9.6,9.6,1,1
1659955020,9.63,9.69,9.63,9.69,9.667,17,6
1659955080,9.69,9.69,9.64,9.64,9.652,4,3
1659955140,9.7,9.7,9.7,9.7,9.7,5,2
1659955200,9.71,9.71,9.7,9.7,9.704,4,3
1659955260,9.7,9.7,9.7,9.7,9.7,5,4
1659955320,9.66,9.7,9.66,9.7,9.663,19,10
1659955380,9.71,9.75,9.67,9.75,9.732,47,14
1659955440,9.75,9.75,9.74,9.74,9.747,3,3
1659955500,9.74,9.74,9.74,9.74,9.74,0,0
1659955560,9.7,9.7,9.7,9.7,9.7,8,1
1659955620,9.74,9.74,9.74,9.74,9.74,5,4
1659955680,9.74,9.76,9.73,9.76,9.748,12,6
1659955740,9.77,9.8,9.77,9.8,9.796,13,3
1659955800,9.8,9.9,9.77,9.85,9.871,99,43
1659955860,9.88,9.9,9.85,9.9,9.889,23,9
1659955920,9.95,9.96,9.92,9.95,9.943,21,11
1659955980,9.95,10.21,9.95,10.05,10.085,138,75
1659956040,10.01,10.01,9.9,9.99,9.959,81,31
1659956100,9.99,10.04,9.99,10.04,10.026,14,4
1659956160,10.06,10.15,10.04,10.15,10.081,34,8
1659956220,10.17,10.46,10.11,10.38,10.282,125,58
1659956280,10.29,10.41,10.06,10.1,10.245,310,56
1659956340,10.11,10.3,10.1,10.17,10.221,47,30
1659956400,10.16,10.27,10.05,10.19,10.185,492,175
1659956460,10.19,10.3,10.15,10.2,10.215,469,121
1659956520,10.2,10.22,10.19,10.22,10.2,186,50
1659956580,10.21,10.24,10.17,10.2,10.211,40,21
1659956640,10.21,10.32,10.14,10.15,10.203,200,60
1659956700,10.13,10.16,10.03,10.16,10.078,115,52
1659956760,10.17,10.25,10.16,10.22,10.202,301,40
1659956820,10.23,10.3,10.22,10.24,10.246,135,32
1659956880,10.29,10.56,10.28,10.55,10.403,485,175
1659956940,10.55,10.89,10.41,10.89,10.733,534,242
1659957000,10.89,10.95,10.61,10.79,10.81,696,362
1659957060,10.8,10.95,10.7,10.91,10.828,468,222
1659957120,10.94,11.0,10.84,11.0,10.949,1076,379
1659957180,11.0,11.3,10.99,11.3,11.14,1060,523
1659957240,11.32,11.33,11.05,11.13,11.182,1111,414
1659957300,11.12,11.37,11.07,11.31,11.234,780,358
1659957360,11.3,11.4,11.19,11.25,11.299,1210,381
1659957420,11.24,11.55,11.21,11.44,11.433,1025,589
1659957480,11.48,11.55,11.35,11.44,11.435,636,329
1659957540,11.45,11.77,11.44,11.77,11.586,972,355
1659957600,11.74,11.86,11.51,11.59,11.679,1111,468
1659957660,11.58,11.73,11.54,11.72,11.651,326,189
1659957720,11.7,12.09,11.7,11.93,11.929,1597,596
1659957780,11.91,11.97,11.7,11.78,11.851,1163,438
1659957840,11.79,11.79,11.65,11.71,11.706,521,243
1659957900,11.73,11.99,11.67,11.93,11.784,991,302
1659957960,11.9,11.94,11.75,11.8,11.825,447,266
1659958020,11.81,11.82,11.47,11.53,11.575,1598,491
1659958080,11.52,11.59,11.5,11.51,11.529,348,154
1659958140,11.51,11.69,11.32,11.34,11.511,881,417
1659958200,11.35,11.4,11.12,11.2,11.24,938,371
1659958260,11.2,11.25,11.02,11.2,11.146,687,306
1659958320,11.2,11.22,11.15,11.2,11.182,165,83
1659958380,11.2,11.25,11.03,11.05,11.175,640,182
1659958440,11.05,11.2,11.05,11.1,11.146,316,97
1659958500,11.13,11.25,11.12,11.25,11.201,219,98
1659958560,11.24,11.25,11.05,11.09,11.13,396,200
1659958620,11.08,11.23,11.05,11.2,11.142,642,245
1659958680,11.23,11.34,11.13,11.29,11.266,488,246
1659958740,11.32,11.48,11.27,11.43,11.367,848,393
1659958800,11.43,11.49,11.2,11.37,11.384,764,420
1659958860,11.31,11.4,11.11,11.15,11.264,500,206
1659958920,11.17,11.26,11.08,11.26,11.134,451,142
1659958980,11.25,11.25,11.09,11.12,11.13,509,209
1659959040,11.14,11.17,10.87,10.92,11.011,783,283
1659959100,10.91,10.96,10.83,10.93,10.88,331,166
1659959160,10.92,11.11,10.92,11.1,10.989,413,191
1659959220,11.1,11.2,11.08,11.15,11.137,269,121
1659959280,11.18,11.18,11.11,11.14,11.139,112,59
1659959340,11.13,11.17,11.06,11.13,11.123,210,133
1659959400,11.14,11.17,11.09,11.16,11.129,170,70
1659959460,11.15,11.16,11.09,11.12,11.113,388,186
1659959520,11.14,11.14,10.88,10.9,11.01,493,271
1659959580,10.92,11.08,10.92,11.08,11.039,174,108
1659959640,11.09,11.25,11.09,11.2,11.181,334,138
1659959700,11.22,11.36,11.12,11.35,11.245,331,134
1659959760,11.33,11.45,11.33,11.43,11.407,564,190
1659959820,11.43,11.43,11.36,11.42,11.408,505,225
1659959880,11.43,11.49,11.32,11.37,11.437,433,215
1659959940,11.36,11.41,11.31,11.33,11.35,139,57
1659960000,11.31,12.04,10.43,11.19,11.336,10981,1899
1659960060,11.19,11.26,11.0,11.1,11.132,932,334
1659960120,11.09,11.16,11.0,11.16,11.058,327,132
1659960180,11.11,11.2,11.05,11.05,11.112,521,187
1659960240,11.04,11.08,11.01,11.02,11.039,372,118
1659960300,11.02,11.08,10.95,10.97,11.013,629,186
1659960360,10.98,11.1,10.95,11.08,11.054,529,151
1659960420,11.08,11.18,10.03,11.18,10.486,1524,329
1659960480,11.17,11.2,11.1,11.14,11.147,785,126
1659960540,11.14,11.18,11.11,11.11,11.155,197,56
1659960600,11.1,11.18,11.06,11.1,11.109,297,85
1659960660,11.14,11.33,11.1,11.21,11.224,757,211
1659960720,11.24,11.26,11.16,11.2,11.22,286,86
1659960780,11.19,11.2,11.12,11.2,11.161,295,97
1659960840,11.19,11.34,11.18,11.2,11.229,854,191
1659960900,11.2,11.34,11.2,11.26,11.285,355,89
1659960960,11.26,11.38,11.2,11.33,11.288,662,187
1659961020,11.33,11.38,11.28,11.28,11.335,688,195
1659961080,11.3,11.3,11.24,11.28,11.267,261,94
1659961140,11.29,11.3,11.12,11.14,11.221,302,141
1659961200,11.16,11.2,11.03,11.15,11.121,476,167
1659961260,11.15,11.25,11.11,11.2,11.175,306,97
1659961320,11.22,11.35,11.2,11.31,11.284,689,231
1659961380,11.34,11.47,11.27,11.38,11.393,1175,311
1659961440,11.33,11.45,11.33,11.4,11.417,628,164
1659961500,11.42,11.7,11.35,11.64,11.537,2484,734
1659961560,11.65,11.7,11.55,11.61,11.625,713,248
1659961620,11.62,11.69,11.3,11.31,11.545,1398,474
1659961680,11.33,11.42,11.29,11.38,11.362,1101,317
1659961740,11.39,11.47,11.25,11.37,11.386,640,301
1659961800,11.39,11.44,11.38,11.42,11.422,335,114
1659961860,11.42,11.46,11.38,11.43,11.413,402,155
1659961920,11.45,11.59,11.45,11.52,11.545,1383,306
1659961980,11.52,11.68,11.45,11.47,11.571,2097,400
1659962040,11.47,11.48,11.22,11.34,11.336,1143,325
1659962100,11.32,11.35,11.25,11.27,11.304,485,167
1659962160,11.27,11.29,11.06,11.18,11.179,668,305
1659962220,11.18,11.22,11.15,11.2,11.184,267,94
1659962280,11.17,11.24,11.16,11.2,11.204,357,124
1659962340,11.17,11.24,11.1,11.17,11.191,704,194
1659962400,11.14,11.21,11.14,11.21,11.18,464,149
1659962460,11.2,11.21,11.17,11.19,11.189,361,100
1659962520,11.2,11.2,11.12,11.13,11.164,316,100
1659962580,11.13,11.15,11.02,11.08,11.093,994,245
1659962640,11.09,11.09,10.8,10.85,10.932,2188,632
1659962700,10.88,10.93,10.81,10.91,10.881,897,296
1659962760,10.91,11.03,10.85,11.03,10.933,971,415
1659962820,11.01,11.08,10.9,10.93,11.004,691,326
1659962880,10.93,10.98,10.92,10.95,10.957,265,129
1659962940,10.95,11.0,10.93,10.94,10.977,653,275
1659963000,10.93,10.93,10.88,10.9,10.902,868,269
1659963060,10.9,10.97,10.89,10.96,10.916,511,193
1659963120,10.96,10.98,10.88,10.92,10.937,498,196
1659963180,10.89,10.89,10.61,10.61,10.74,1545,528
1659963240,10.61,10.76,10.61,10.69,10.674,720,260
1659963300,10.67,10.7,10.64,10.64,10.671,338,101
1659963360,10.64,10.65,10.52,10.6,10.591,650,234
1659963420,10.63,10.83,10.61,10.77,10.732,921,333
1659963480,10.77,10.79,10.66,10.72,10.724,524,226
1659963540,10.72,10.83,10.71,10.77,10.785,370,146
1659963600,10.79,10.79,10.69,10.73,10.735,398,163
1659963660,10.74,10.78,10.63,10.64,10.702,520,153
1659963720,10.65,10.75,10.64,10.73,10.702,379,152
1659963780,10.74,10.8,10.7,10.78,10.753,763,303
1659963840,10.77,10.79,10.52,10.55,10.679,951,256
1659963900,10.52,10.63,10.52,10.6,10.566,461,239
1659963960,10.6,10.65,10.43,10.52,10.511,1154,365
1659964020,10.52,10.6,10.5,10.53,10.548,644,187
1659964080,10.52,10.54,10.42,10.42,10.486,479,153
1659964140,10.42,10.43,10.36,10.38,10.382,792,258
1659964200,10.38,10.48,10.38,10.48,10.412,242,133
1659964260,10.47,10.5,10.46,10.5,10.489,325,63
1659964320,10.48,10.66,10.46,10.57,10.509,678,129
1659964380,10.59,10.68,10.57,10.62,10.633,844,178
1659964440,10.62,10.65,10.61,10.64,10.62,174,89
1659964500,10.65,10.66,10.57,10.65,10.621,256,96
1659964560,10.65,10.79,10.6,10.75,10.699,441,187
1659964620,10.74,10.9,10.73,10.76,10.769,810,263
1659964680,10.76,10.8,10.73,10.76,10.756,554,175
1659964740,10.77,10.8,10.74,10.79,10.765,428,108
1659964800,10.79,10.79,10.71,10.76,10.749,720,304
1659964860,10.78,10.83,10.76,10.79,10.8,463,142
1659964920,10.79,10.82,10.76,10.79,10.793,232,105
