date,open,high,low,close,average,volume,count
1630569600,8.7,8.94,8.7,8.83,8.83087,48,15
1630569660,8.97,9.35,8.85,9.04,9.06196,90,27
1630569720,9.15,9.4,9.1,9.1,9.2015,216,67
1630569780,9.12,9.2,9.1,9.2,9.12648,169,53
1630569840,9.24,9.27,9.18,9.19,9.2292,62,23
1630569900,9.19,9.19,9.12,9.13,9.16517,108,35
1630569960,9.12,9.12,9.0,9.01,9.03512,173,68
1630570020,9.04,9.06,9.02,9.04,9.03233,26,15
1630570080,9.04,9.05,9.03,9.04,9.0395,38,9
1630570140,9.04,9.07,9.04,9.06,9.06188,36,13
1630570200,9.06,9.07,9.03,9.05,9.0516,44,20
1630570260,9.02,9.04,8.89,8.93,8.97332,82,38
1630570320,8.91,8.91,8.84,8.84,8.88355,49,16
1630570380,8.85,8.85,8.81,8.83,8.83576,81,31
1630570440,8.83,8.83,8.81,8.83,8.82309,23,11
1630570500,8.84,8.94,8.84,8.94,8.87739,29,13
1630570560,8.94,8.95,8.94,8.94,8.9413,31,17
1630570620,8.96,8.96,8.9,8.91,8.92437,36,23
1630570680,8.91,8.91,8.9,8.9,8.90613,34,12
1630570740,8.91,8.92,8.91,8.92,8.91112,8,5
1630570800,8.96,8.96,8.92,8.92,8.93713,7,5
1630570860,8.92,8.92,8.9,8.91,8.90842,16,10
1630570920,8.91,8.91,8.87,8.9,8.89491,94,46
1630570980,8.87,8.9,8.87,8.9,8.88632,65,14
1630571040,8.92,8.95,8.9,8.95,8.92696,47,16
1630571100,8.97,9.0,8.95,8.97,8.99157,65,20
1630571160,8.97,8.97,8.92,8.92,8.95264,69,11
1630571220,8.91,8.91,8.88,8.89,8.8878,66,23
1630571280,8.89,8.89,8.88,8.88,8.88813,5,3
1630571340,8.89,8.89,8.83,8.86,8.85794,255,34
1630571400,8.85,8.87,8.83,8.83,8.85235,4,4
1630571460,8.9,8.9,8.88,8.9,8.89153,20,10
1630571520,8.94,8.94,8.92,8.94,8.93342,8,4
1630571580,8.94,8.95,8.94,8.95,8.945,4,2
1630571640,8.94,8.94,8.94,8.94,8.94,3,1
1630571700,8.94,8.94,8.94,8.94,8.94,1,1
1630571760,8.94,8.94,8.94,8.94,8.94,0,0
1630571820,8.9,8.9,8.9,8.9,8.9,2,2
1630571880,8.88,8.9,8.88,8.9,8.89224,4,3
1630571940,8.88,8.88,8.88,8.88,8.88,2,2
1630572000,8.87,8.9,8.83,8.83,8.85752,17,11
1630572060,8.9,8.9,8.9,8.9,8.9,7,2
1630572120,8.9,8.92,8.9,8.92,8.90519,3,2
1630572180,8.92,8.94,8.92,8.94,8.93571,7,5
1630572240,8.94,8.94,8.94,8.94,8.94,6,4
1630572300,8.92,8.92,8.92,8.92,8.92,2,1
1630572360,8.93,8.93,8.93,8.93,8.93,5,2
1630572420,8.93,8.93,8.93,8.93,8.93,9,5
1630572480,8.93,8.93,8.93,8.93,8.93,3,1
1630572540,8.93,8.93,8.92,8.92,8.92524,2,2
1630572600,8.91,8.91,8.9,8.9,8.90574,3,3
1630572660,8.89,8.89,8.88,8.88,8.88664,4,3
1630572720,8.88,8.88,8.84,8.84,8.85708,27,17
1630572780,8.85,8.94,8.85,8.94,8.89783,11,9
1630572840,8.97,8.99,8.96,8.96,8.97923,20,5
1630572900,8.96,8.97,8.96,8.97,8.965,2,2
1630572960,8.97,9.1,8.97,9.1,9.02481,69,24
1630573020,9.1,9.15,9.1,9.12,9.12858,42,26
1630573080,9.13,9.13,9.1,9.11,9.10783,27,17
1630573140,9.1,9.1,9.07,9.07,9.07374,16,12
1630573200,9.03,9.06,9.02,9.06,9.05074,16,6
1630573260,9.07,9.12,9.07,9.12,9.09839,12,4
1630573320,9.12,9.15,9.11,9.15,9.11771,35,13
