date,open,high,low,close,average,volume,count
1635771600,5.38,5.38,5.38,5.38,5.38,0,0
1635771601,5.3899,5.3899,5.3899,5.3899,5.3899,10,1
1635771602,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771603,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771604,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771605,5.3899,5.3899,5.3899,5.3899,5.3899,1,1
1635771606,5.38,5.38,5.38,5.38,5.38,1,1
1635771607,5.38,5.38,5.38,5.38,5.38,0,0
1635771608,5.38,5.38,5.38,5.38,5.38,0,0
1635771609,5.39,5.39,5.39,5.39,5.39,41,17
1635771610,5.39,5.39,5.39,5.39,5.39,2,1
1635771611,5.3999,5.3999,5.3999,5.3999,5.3999,1,1
1635771612,5.4,5.4,5.4,5.4,5.4,3,1
1635771613,5.39,5.39,5.39,5.39,5.39,1,1
1635771614,5.39,5.39,5.39,5.39,5.39,0,0
1635771615,5.39,5.39,5.38,5.38,5.38952,42,2
1635771616,5.39,5.39,5.39,5.39,5.39,1,1
1635771617,5.39,5.39,5.39,5.39,5.39,0,0
1635771618,5.39,5.39,5.39,5.39,5.39,1,1
1635771619,5.38,5.38,5.38,5.38,5.38,1,1
1635771620,5.39,5.39,5.39,5.39,5.39,1,1
1635771621,5.39,5.39,5.39,5.39,5.39,0,0
1635771622,5.39,5.39,5.39,5.39,5.39,0,0
1635771623,5.39,5.39,5.39,5.39,5.39,0,0
1635771624,5.3899,5.3899,5.3899,5.3899,5.3899,1,1
1635771625,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771626,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771627,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771628,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771629,5.3899,5.3899,5.3899,5.3899,5.3899,30,1
1635771630,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771631,5.38,5.38,5.38,5.38,5.38,1,1
1635771632,5.38,5.38,5.38,5.38,5.38,0,0
1635771633,5.38,5.38,5.38,5.38,5.38,1,1
1635771634,5.39,5.39,5.39,5.39,5.39,20,1
1635771635,5.39,5.39,5.38,5.39,5.38667,3,3
1635771636,5.39,5.39,5.39,5.39,5.39,0,0
1635771637,5.39,5.39,5.38,5.38,5.385,2,2
1635771638,5.38,5.38,5.38,5.38,5.38,0,0
1635771639,5.38,5.38,5.38,5.38,5.38,0,0
1635771640,5.39,5.39,5.39,5.39,5.39,2,1
1635771641,5.39,5.39,5.39,5.39,5.39,0,0
1635771642,5.39,5.39,5.39,5.39,5.39,0,0
1635771643,5.39,5.39,5.39,5.39,5.39,18,4
1635771644,5.38,5.38,5.38,5.38,5.38,1,1
1635771645,5.38,5.3899,5.38,5.3899,5.38708,13,2
1635771646,5.38,5.38,5.38,5.38,5.38,1,1
1635771647,5.38,5.38,5.38,5.38,5.38,0,0
1635771648,5.39,5.39,5.39,5.39,5.39,5,1
1635771649,5.39,5.39,5.39,5.39,5.39,1,1
1635771650,5.39,5.39,5.39,5.39,5.39,10,1
1635771651,5.39,5.39,5.39,5.39,5.39,0,0
1635771652,5.39,5.39,5.39,5.39,5.39,2,1
1635771653,5.38,5.38,5.38,5.38,5.38,1,1
1635771654,5.38,5.38,5.38,5.38,5.38,0,0
1635771655,5.38,5.38,5.38,5.38,5.38,0,0
1635771656,5.38,5.38,5.38,5.38,5.38,0,0
1635771657,5.38,5.38,5.38,5.38,5.38,0,0
1635771658,5.38,5.38,5.38,5.38,5.38,0,0
1635771659,5.38,5.38,5.38,5.38,5.38,0,0
1635771660,5.38,5.38,5.38,5.38,5.38,0,0
1635771661,5.38,5.38,5.38,5.38,5.38,0,0
1635771662,5.3899,5.3899,5.38,5.38,5.38371,8,2
1635771663,5.38,5.38,5.38,5.38,5.38,0,0
1635771664,5.38,5.38,5.38,5.38,5.38,1,1
1635771665,5.38,5.38,5.38,5.38,5.38,8,5
1635771666,5.38,5.38,5.38,5.38,5.38,0,0
1635771667,5.38,5.38,5.38,5.38,5.38,0,0
1635771668,5.38,5.38,5.38,5.38,5.38,0,0
1635771669,5.38,5.38,5.38,5.38,5.38,0,0
1635771670,5.38,5.38,5.38,5.38,5.38,0,0
1635771671,5.39,5.39,5.38,5.38,5.38612,2,2
1635771672,5.38,5.39,5.38,5.39,5.38355,15,2
1635771673,5.38,5.38,5.38,5.38,5.38,1,1
1635771674,5.38,5.38,5.38,5.38,5.38,0,0
1635771675,5.38,5.38,5.38,5.38,5.38,1,1
1635771676,5.39,5.39,5.38,5.39,5.38354,6,4
1635771677,5.39,5.39,5.39,5.39,5.39,0,0
1635771678,5.38,5.38,5.38,5.38,5.38,1,1
1635771679,5.38,5.38,5.38,5.38,5.38,0,0
1635771680,5.38,5.38,5.38,5.38,5.38,1,1
1635771681,5.39,5.39,5.39,5.39,5.39,60,1
1635771682,5.38,5.38,5.38,5.38,5.38,4,3
1635771683,5.38,5.38,5.38,5.38,5.38,12,1
1635771684,5.39,5.39,5.38,5.38,5.38794,63,3
1635771685,5.38,5.38,5.38,5.38,5.38,12,1
1635771686,5.38,5.38,5.38,5.38,5.38,0,0
1635771687,5.38,5.38,5.38,5.38,5.38,2,1
1635771688,5.38,5.38,5.38,5.38,5.38,0,0
1635771689,5.39,5.39,5.39,5.39,5.39,2,1
1635771690,5.39,5.39,5.39,5.39,5.39,0,0
1635771691,5.39,5.39,5.39,5.39,5.39,0,0
1635771692,5.39,5.39,5.39,5.39,5.39,4,1
1635771693,5.39,5.39,5.39,5.39,5.39,0,0
1635771694,5.3899,5.3899,5.3899,5.3899,5.3899,10,1
1635771695,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771696,5.38,5.3899,5.38,5.3899,5.38825,6,2
1635771697,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771698,5.39,5.39,5.38,5.38,5.38623,2,2
1635771699,5.38,5.38,5.38,5.38,5.38,0,0
1635771700,5.38,5.38,5.38,5.38,5.38,0,0
1635771701,5.39,5.39,5.39,5.39,5.39,5,1
1635771702,5.39,5.39,5.39,5.39,5.39,0,0
1635771703,5.3899,5.3899,5.3899,5.3899,5.3899,1,1
1635771704,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771705,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771706,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771707,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771708,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771709,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771710,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771711,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771712,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771713,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771714,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771715,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771716,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771717,5.38,5.38,5.38,5.38,5.38,4,1
1635771718,5.38,5.38,5.38,5.38,5.38,0,0
1635771719,5.38,5.38,5.38,5.38,5.38,0,0
1635771720,5.38,5.38,5.38,5.38,5.38,0,0
1635771721,5.38,5.39,5.38,5.39,5.3854,13,2
1635771722,5.39,5.39,5.39,5.39,5.39,0,0
1635771723,5.38,5.38,5.38,5.38,5.38,1,1
1635771724,5.38,5.38,5.38,5.38,5.38,0,0
1635771725,5.38,5.38,5.38,5.38,5.38,0,0
1635771726,5.38,5.38,5.38,5.38,5.38,0,0
1635771727,5.38,5.38,5.38,5.38,5.38,0,0
1635771728,5.38,5.38,5.38,5.38,5.38,0,0
1635771729,5.3801,5.3801,5.3801,5.3801,5.3801,3,1
1635771730,5.3801,5.3801,5.3801,5.3801,5.3801,0,0
1635771731,5.3801,5.3801,5.3801,5.3801,5.3801,0,0
1635771732,5.3801,5.3801,5.3801,5.3801,5.3801,0,0
1635771733,5.3801,5.3801,5.3801,5.3801,5.3801,0,0
1635771734,5.3801,5.3801,5.3801,5.3801,5.3801,0,0
1635771735,5.3801,5.3801,5.3801,5.3801,5.3801,0,0
1635771736,5.3801,5.3801,5.3801,5.3801,5.3801,0,0
1635771737,5.3801,5.3801,5.3801,5.3801,5.3801,0,0
1635771738,5.3801,5.3801,5.3801,5.3801,5.3801,0,0
1635771739,5.3801,5.3801,5.3801,5.3801,5.3801,0,0
1635771740,5.3801,5.3801,5.3801,5.3801,5.3801,0,0
1635771741,5.39,5.39,5.39,5.39,5.39,50,1
1635771742,5.39,5.39,5.39,5.39,5.39,2,1
1635771743,5.38,5.38,5.38,5.38,5.38,7,2
1635771744,5.38,5.38,5.38,5.38,5.38,0,0
1635771745,5.38,5.38,5.38,5.38,5.38,0,0
1635771746,5.38,5.38,5.38,5.38,5.38,0,0
1635771747,5.38,5.38,5.38,5.38,5.38,0,0
1635771748,5.38,5.38,5.38,5.38,5.38,0,0
1635771749,5.38,5.38,5.38,5.38,5.38,0,0
1635771750,5.38,5.38,5.38,5.38,5.38,0,0
1635771751,5.38,5.38,5.38,5.38,5.38,1,1
1635771752,5.38,5.38,5.38,5.38,5.38,0,0
1635771753,5.38,5.38,5.38,5.38,5.38,0,0
1635771754,5.38,5.38,5.38,5.38,5.38,0,0
1635771755,5.38,5.38,5.38,5.38,5.38,0,0
1635771756,5.38,5.38,5.38,5.38,5.38,0,0
1635771757,5.3899,5.3899,5.3899,5.3899,5.3899,5,1
1635771758,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771759,5.3899,5.3899,5.3899,5.3899,5.3899,0,0
1635771760,5.38,5.3899,5.38,5.3899,5.38692,33,2
1635771761,5.38,5.39,5.38,5.39,5.3825,4,2
1635771762,5.3801,5.39,5.3801,5.39,5.38109,11,2
1635771763,5.38,5.38,5.38,5.38,5.38,1,1
1635771764,5.38,5.38,5.38,5.38,5.38,0,0
1635771765,5.38,5.38,5.38,5.38,5.38,10,1
1635771766,5.38,5.38,5.38,5.38,5.38,1,1
1635771767,5.38,5.38,5.38,5.38,5.38,0,0
1635771768,5.38,5.38,5.38,5.38,5.38,0,0
1635771769,5.38,5.38,5.38,5.38,5.38,0,0
1635771770,5.38,5.38,5.38,5.38,5.38,0,0
1635771771,5.38,5.38,5.38,5.38,5.38,0,0
1635771772,5.38,5.38,5.38,5.38,5.38,0,0
1635771773,5.38,5.38,5.38,5.38,5.38,0,0
1635771774,5.38,5.38,5.38,5.38,5.38,0,0
1635771775,5.39,5.39,5.39,5.39,5.39,10,3
1635771776,5.39,5.39,5.39,5.39,5.39,0,0
1635771777,5.38,5.38,5.38,5.38,5.38,1,1
1635771778,5.38,5.38,5.38,5.38,5.38,0,0
1635771779,5.38,5.38,5.38,5.38,5.38,0,0
1635771780,5.38,5.38,5.38,5.38,5.38,0,0
1635771781,5.39,5.39,5.38,5.38,5.38667,3,2
1635771782,5.38,5.38,5.38,5.38,5.38,2,1
1635771783,5.38,5.38,5.38,5.38,5.38,0,0
1635771784,5.39,5.39,5.39,5.39,5.39,5,1
1635771785,5.39,5.39,5.39,5.39,5.39,0,0
1635771786,5.39,5.39,5.39,5.39,5.39,0,0
1635771787,5.39,5.39,5.39,5.39,5.39,0,0
1635771788,5.39,5.39,5.39,5.39,5.39,0,0
1635771789,5.39,5.39,5.39,5.39,5.39,1,1
1635771790,5.39,5.39,5.39,5.39,5.39,0,0
1635771791,5.39,5.39,5.39,5.39,5.39,0,0
1635771792,5.39,5.39,5.39,5.39,5.39,0,0
1635771793,5.38,5.38,5.38,5.38,5.38,1,1
1635771794,5.3899,5.39,5.3899,5.39,5.38998,4,2
1635771795,5.39,5.39,5.39,5.39,5.39,0,0
1635771796,5.39,5.39,5.39,5.39,5.39,0,0
1635771797,5.39,5.39,5.39,5.39,5.39,0,0
1635771798,5.39,5.39,5.39,5.39,5.39,0,0
1635771799,5.38,5.39,5.38,5.38,5.38688,12,5
1635771800,5.38,5.38,5.38,5.38,5.38,0,0
1635771801,5.38,5.38,5.38,5.38,5.38,0,0
1635771802,5.38,5.38,5.38,5.38,5.38,0,0
1635771803,5.38,5.38,5.38,5.38,5.38,0,0
1635771804,5.38,5.38,5.38,5.38,5.38,0,0
1635771805,5.38,5.38,5.38,5.38,5.38,0,0
1635771806,5.38,5.38,5.38,5.38,5.38,0,0
1635771807,5.38,5.38,5.38,5.38,5.38,0,0
1635771808,5.3899,5.39,5.38,5.38,5.38796,5,3
1635771809,5.3899,5.3899,5.3899,5.3899,5.3899,10,1
