date,open,high,low,close,average,volume,count
1623398400,5.74,5.74,5.74,5.74,5.74,6,1
1623398700,5.79,5.79,5.74,5.74,5.752,9,2
1623399000,5.74,5.74,5.74,5.74,5.74,0,0
1623399300,5.74,5.74,5.74,5.74,5.74,0,0
1623399600,5.74,5.74,5.74,5.74,5.74,0,0
1623399900,5.74,5.74,5.74,5.74,5.74,0,0
1623400200,5.74,5.74,5.74,5.74,5.74,0,0
1623400500,5.74,5.74,5.74,5.74,5.74,0,0
1623400800,5.74,5.74,5.74,5.74,5.74,0,0
1623401100,5.79,5.79,5.79,5.79,5.79,1,1
1623401400,5.79,5.79,5.79,5.79,5.79,0,0
1623401700,5.79,5.79,5.79,5.79,5.79,0,0
1623402000,6.04,6.04,6.04,6.04,6.04,1,1
1623402300,6.04,6.04,6.04,6.04,6.04,0,0
1623402600,6.04,6.04,6.04,6.04,6.04,0,0
1623402900,6.04,6.04,6.04,6.04,6.04,0,0
1623403200,6.04,6.04,6.04,6.04,6.04,0,0
1623403500,6.04,6.04,6.04,6.04,6.04,0,0
1623403800,6.04,6.04,6.04,6.04,6.04,0,0
1623404100,6.04,6.04,6.04,6.04,6.04,0,0
1623404400,6.04,6.04,6.04,6.04,6.04,0,0
1623404700,6.04,6.04,6.04,6.04,6.04,0,0
1623405000,6.04,6.04,6.04,6.04,6.04,0,0
1623405300,5.95,5.95,5.95,5.95,5.95,1,1
1623405600,5.95,5.95,5.95,5.95,5.95,0,0
1623405900,5.93,5.94,5.93,5.94,5.934,9,2
1623406200,5.94,5.94,5.94,5.94,5.94,0,0
1623406500,5.94,5.94,5.94,5.94,5.94,0,0
1623406800,5.94,5.94,5.94,5.94,5.94,0,0
1623407100,5.87,5.87,5.87,5.87,5.87,1,1
1623407400,5.87,5.87,5.87,5.87,5.87,0,0
1623407700,5.87,5.87,5.87,5.87,5.87,0,0
1623408000,5.87,5.87,5.87,5.87,5.87,0,0
1623408300,5.79,5.79,5.79,5.79,5.79,1,1
1623408600,5.8,5.8,5.8,5.8,5.8,12,1
1623408900,5.79,5.79,5.79,5.79,5.79,3,1
1623409200,5.79,5.79,5.79,5.79,5.79,9,1
1623409500,5.85,5.85,5.85,5.85,5.85,5,1
1623409800,5.94,5.94,5.94,5.94,5.94,9,1
1623410100,5.94,5.94,5.94,5.94,5.94,0,0
1623410400,5.94,5.94,5.94,5.94,5.94,0,0
1623410700,5.93,5.93,5.93,5.93,5.93,3,1
1623411000,5.93,5.93,5.93,5.93,5.93,0,0
1623411300,5.93,5.93,5.93,5.93,5.93,0,0
1623411600,5.93,5.93,5.93,5.93,5.93,0,0
1623411900,5.93,5.93,5.93,5.93,5.93,0,0
1623412200,5.9,5.9,5.9,5.9,5.9,4,2
1623412500,5.9,5.9,5.9,5.9,5.9,0,0
1623412800,5.93,5.95,5.8,5.89,5.885,91,16
1623413100,5.9,5.9,5.88,5.88,5.891,42,5
1623413400,5.88,5.88,5.88,5.88,5.88,10,2
1623413700,5.88,5.88,5.88,5.88,5.88,0,0
1623414000,5.88,5.88,5.88,5.88,5.88,0,0
1623414300,5.87,5.87,5.87,5.87,5.87,4,2
1623414600,5.8,5.8,5.8,5.8,5.8,2,1
1623414900,5.8,5.81,5.8,5.8,5.801,9,2
1623415200,5.86,5.86,5.86,5.86,5.86,9,2
1623415500,5.8,5.8,5.79,5.79,5.794,15,3
1623415800,5.75,5.75,5.63,5.63,5.723,28,4
1623416100,5.86,5.86,5.86,5.86,5.86,1,1
1623416400,5.76,5.76,5.75,5.75,5.754,11,2
1623416700,5.78,5.78,5.78,5.78,5.78,1,1
1623417000,5.78,5.78,5.78,5.78,5.78,0,0
1623417300,5.86,5.87,5.82,5.87,5.843,48,4
1623417600,5.84,5.88,5.84,5.88,5.868,9,5
