date,open,high,low,close,average,volume,count
1639665000,8.74,8.75,8.68,8.68,8.71,12,12
1639665001,8.68,8.7,8.65,8.68,8.688,374,29
1639665002,8.68,8.68,8.68,8.68,8.68,0,0
1639665003,8.7,8.7,8.6,8.68,8.64,73,42
1639665004,8.74,8.74,8.58,8.58,8.612,32,13
1639665005,8.6,8.65,8.6,8.6,8.611,13,7
1639665006,8.65,8.68,8.65,8.68,8.67,3,2
1639665007,8.66,8.66,8.58,8.58,8.586,26,10
1639665008,8.68,8.68,8.58,8.58,8.649,7,2
1639665009,8.68,8.68,8.67,8.68,8.677,3,1
1639665010,8.6,8.6,8.58,8.58,8.585,25,9
1639665011,8.6,8.6,8.58,8.58,8.581,26,2
1639665012,8.72,8.72,8.72,8.72,8.72,2,1
1639665013,8.63,8.63,8.63,8.63,8.63,1,1
1639665014,8.6,8.6,8.6,8.6,8.6,1,1
1639665015,8.66,8.66,8.58,8.6,8.607,33,19
1639665016,8.59,8.64,8.57,8.64,8.582,27,14
1639665017,8.6,8.63,8.57,8.63,8.601,7,5
1639665018,8.57,8.66,8.57,8.58,8.611,41,37
1639665019,8.58,8.58,8.58,8.58,8.58,1,1
1639665020,8.65,8.66,8.59,8.66,8.64,4,4
1639665021,8.6,8.6,8.57,8.57,8.59,25,8
1639665022,8.57,8.64,8.57,8.64,8.59,35,2
1639665023,8.64,8.66,8.62,8.66,8.65,20,18
1639665024,8.66,8.66,8.57,8.66,8.59,32,7
1639665025,8.62,8.66,8.62,8.66,8.632,15,4
1639665026,8.65,8.65,8.65,8.65,8.65,5,2
1639665027,8.6,8.6,8.6,8.6,8.6,2,1
1639665028,8.6,8.6,8.58,8.58,8.582,24,4
1639665029,8.66,8.66,8.66,8.66,8.66,2,1
1639665030,8.66,8.66,8.57,8.57,8.585,53,22
1639665031,8.58,8.58,8.57,8.57,8.573,13,4
1639665032,8.58,8.58,8.57,8.57,8.573,3,2
1639665033,8.57,8.57,8.57,8.57,8.57,0,0
1639665034,8.57,8.57,8.57,8.57,8.57,0,0
1639665035,8.57,8.57,8.57,8.57,8.57,0,0
1639665036,8.57,8.59,8.56,8.57,8.572,57,25
1639665037,8.56,8.64,8.56,8.63,8.569,16,7
1639665038,8.57,8.57,8.56,8.56,8.561,25,3
1639665039,8.56,8.57,8.56,8.56,8.56,0,0
1639665040,8.56,8.56,8.56,8.56,8.56,6,1
1639665041,8.62,8.62,8.61,8.62,8.618,1,1
1639665042,8.56,8.62,8.53,8.62,8.555,64,14
1639665043,8.56,8.56,8.53,8.53,8.549,4,2
1639665044,8.55,8.55,8.55,8.55,8.55,25,2
1639665045,8.55,8.55,8.52,8.52,8.526,44,17
1639665046,8.53,8.55,8.53,8.53,8.535,4,4
1639665047,8.55,8.55,8.53,8.53,8.538,9,5
1639665048,8.55,8.55,8.52,8.54,8.533,11,9
1639665049,8.54,8.54,8.53,8.54,8.535,10,1
1639665050,8.55,8.55,8.55,8.55,8.55,3,3
1639665051,8.57,8.57,8.56,8.57,8.57,4,3
1639665052,8.6,8.6,8.54,8.54,8.553,10,5
1639665053,8.55,8.55,8.55,8.55,8.55,5,1
1639665054,8.57,8.6,8.54,8.6,8.571,19,5
1639665055,8.54,8.6,8.52,8.55,8.553,41,10
1639665056,8.59,8.6,8.52,8.6,8.585,75,29
1639665057,8.6,8.6,8.59,8.6,8.6,0,0
1639665058,8.55,8.6,8.55,8.59,8.56,16,7
1639665059,8.59,8.6,8.58,8.59,8.599,69,4
1639665060,8.54,8.54,8.52,8.52,8.528,53,14
1639665061,8.58,8.59,8.58,8.59,8.589,76,20
1639665062,8.6,8.62,8.58,8.61,8.599,17,8
1639665063,8.61,8.62,8.61,8.62,8.619,10,7
1639665064,8.62,8.65,8.62,8.65,8.628,19,7
1639665065,8.65,8.66,8.59,8.66,8.641,30,12
1639665066,8.66,8.68,8.65,8.65,8.657,11,6
1639665067,8.59,8.59,8.59,8.59,8.59,4,1
1639665068,8.6,8.67,8.59,8.67,8.615,20,8
1639665069,8.66,8.67,8.59,8.59,8.617,15,4
1639665070,8.67,8.67,8.59,8.59,8.617,15,4
1639665071,8.6,8.62,8.6,8.6,8.603,10,4
1639665072,8.61,8.62,8.61,8.61,8.61,5,5
1639665073,8.61,8.61,8.61,8.61,8.61,35,4
1639665074,8.64,8.64,8.64,8.64,8.64,1,1
1639665075,8.64,8.64,8.64,8.64,8.64,0,0
1639665076,8.64,8.64,8.64,8.64,8.64,0,0
1639665077,8.62,8.67,8.6,8.67,8.618,6,3
1639665078,8.67,8.67,8.6,8.6,8.608,9,3
1639665079,8.6,8.6,8.6,8.6,8.6,2,2
1639665080,8.61,8.63,8.61,8.63,8.624,6,2
1639665081,8.6,8.6,8.58,8.58,8.598,28,13
1639665082,8.59,8.6,8.55,8.55,8.578,46,14
1639665083,8.58,8.59,8.54,8.54,8.542,58,10
1639665084,8.53,8.54,8.53,8.53,8.531,2,1
1639665085,8.53,8.53,8.52,8.52,8.522,23,10
1639665086,8.53,8.53,8.51,8.51,8.52,70,12
1639665087,8.52,8.57,8.52,8.57,8.544,5,5
1639665088,8.55,8.56,8.55,8.55,8.552,4,2
