date,open,high,low,close,average,volume,count
1627286400,32.01,32.01,29.99,29.99,30.362,10,5
1627286405,29.99,29.99,29.99,29.99,29.99,0,0
1627286410,29.99,29.99,29.99,29.99,29.99,0,0
1627286415,29.99,29.99,29.99,29.99,29.99,0,0
1627286420,30.12,30.12,30.12,30.12,30.12,11,2
1627286425,30.12,30.15,30.12,30.15,30.144,38,3
1627286430,30.15,30.15,30.15,30.15,30.15,0,0
1627286435,30.15,30.15,30.12,30.12,30.143,6,2
1627286440,30.3,30.3,30.12,30.12,30.173,11,3
1627286445,30.12,30.12,30.12,30.12,30.12,0,0
1627286450,30.12,30.12,30.12,30.12,30.12,1,1
1627286455,30.12,30.12,30.12,30.12,30.12,0,0
1627286460,30.12,30.15,30.12,30.15,30.147,10,2
1627286465,30.15,30.15,30.15,30.15,30.15,0,0
1627286470,30.15,30.15,30.15,30.15,30.15,0,0
1627286475,30.11,30.11,30.11,30.11,30.11,11,1
1627286480,29.06,29.06,29.06,29.06,29.06,11,1
1627286485,29.06,29.06,29.06,29.06,29.06,0,0
1627286490,29.06,29.06,29.06,29.06,29.06,0,0
1627286495,29.06,29.06,29.06,29.06,29.06,0,0
1627286500,28.75,28.75,28.75,28.75,28.75,5,1
1627286505,28.12,28.12,28.12,28.12,28.12,2,1
1627286510,28.12,28.12,28.12,28.12,28.12,3,2
1627286515,28.12,28.12,28.11,28.11,28.114,15,3
1627286520,28.11,28.11,28.0,28.0,28.032,36,4
1627286525,28.0,28.0,28.0,28.0,28.0,5,2
1627286530,28.0,28.0,28.0,28.0,28.0,0,0
1627286535,28.0,28.0,28.0,28.0,28.0,0,0
1627286540,28.0,28.0,28.0,28.0,28.0,0,0
1627286545,28.0,28.0,28.0,28.0,28.0,0,0
1627286550,28.0,28.0,28.0,28.0,28.0,0,0
1627286555,28.0,28.0,28.0,28.0,28.0,0,0
1627286560,28.0,28.0,28.0,28.0,28.0,0,0
1627286565,28.0,28.0,28.0,28.0,28.0,0,0
1627286570,27.51,27.51,27.5,27.5,27.504,2,2
1627286575,27.5,27.5,27.5,27.5,27.5,10,5
1627286580,27.4,27.4,27.4,27.4,27.4,1,1
1627286585,27.4,27.4,27.4,27.4,27.4,0,0
1627286590,27.31,27.31,27.12,27.12,27.223,2,2
1627286595,27.11,27.11,27.1,27.1,27.105,2,2
1627286600,27.07,27.07,27.0,27.0,27.033,14,8
1627286605,27.0,27.0,27.0,27.0,27.0,0,0
1627286610,26.52,26.52,26.51,26.51,26.515,2,2
1627286615,26.94,26.94,26.94,26.94,26.94,1,1
1627286620,26.71,26.8,26.71,26.8,26.733,4,2
1627286625,26.7,26.7,26.7,26.7,26.7,5,1
1627286630,26.51,26.65,26.51,26.65,26.616,17,3
1627286635,26.65,26.65,26.65,26.65,26.65,20,3
1627286640,26.65,26.65,26.65,26.65,26.65,2,2
1627286645,26.65,26.65,26.52,26.52,26.605,6,4
1627286650,26.52,26.52,26.51,26.51,26.515,2,2
1627286655,26.58,26.58,26.58,26.58,26.58,4,1
1627286660,26.58,26.58,26.58,26.58,26.58,8,2
1627286665,26.58,26.58,26.58,26.58,26.58,0,0
1627286670,26.65,26.67,26.65,26.67,26.66,2,2
1627286675,26.67,26.67,26.67,26.67,26.67,0,0
1627286680,27.0,27.0,27.0,27.0,27.0,3,1
1627286685,26.98,27.0,26.98,27.0,26.996,9,4
1627286690,27.0,27.0,27.0,27.0,27.0,9,2
1627286695,27.0,27.0,27.0,27.0,27.0,1,1
1627286700,27.0,27.0,27.0,27.0,27.0,0,0
1627286705,26.98,27.0,26.98,27.0,26.995,4,3
1627286710,27.0,27.0,27.0,27.0,27.0,0,0
1627286715,27.0,27.0,27.0,27.0,27.0,1,1
1627286720,26.91,26.93,26.85,26.92,26.879,25,11
1627286725,26.93,26.93,26.8,26.8,26.865,15,9
1627286730,26.77,26.77,26.75,26.75,26.763,3,3
1627286735,26.75,26.75,26.75,26.75,26.75,0,0
1627286740,26.75,26.75,26.75,26.75,26.75,0,0
1627286745,26.75,26.75,26.75,26.75,26.75,0,0
1627286750,26.75,26.75,26.75,26.75,26.75,0,0
1627286755,26.75,26.75,26.75,26.75,26.75,0,0
1627286760,26.76,26.76,26.76,26.76,26.76,1,1
1627286765,26.76,26.76,26.76,26.76,26.76,0,0
1627286770,26.76,26.76,26.76,26.76,26.76,1,1
1627286775,26.76,26.76,26.76,26.76,26.76,0,0
1627286780,26.76,26.76,26.76,26.76,26.76,0,0
1627286785,26.76,26.76,26.76,26.76,26.76,0,0
1627286790,26.76,26.76,26.76,26.76,26.76,0,0
1627286795,26.75,26.75,26.67,26.67,26.741,11,4
1627286800,26.65,26.65,26.51,26.65,26.559,11,7
1627286805,26.68,26.75,26.67,26.67,26.741,20,6
1627286810,26.67,26.67,26.67,26.67,26.67,4,1
1627286815,26.68,26.68,26.67,26.67,26.672,4,2
1627286820,26.68,26.68,26.67,26.67,26.673,4,2
1627286825,26.67,26.67,26.67,26.67,26.67,0,0
1627286830,26.67,26.67,26.67,26.67,26.67,0,0
1627286835,26.66,26.67,26.66,26.67,26.663,7,3
1627286840,26.67,26.69,26.67,26.69,26.683,3,3
1627286845,26.7,26.7,26.66,26.66,26.685,8,5
1627286850,26.66,26.66,26.66,26.66,26.66,0,0
1627286855,26.57,26.57,26.55,26.55,26.563,4,4
1627286860,26.55,26.55,26.55,26.55,26.55,68,2
1627286865,26.55,26.55,26.55,26.55,26.55,0,0
1627286870,26.55,26.55,26.55,26.55,26.55,0,0
1627286875,26.58,26.58,26.57,26.57,26.573,12,5
1627286880,26.57,26.57,26.57,26.57,26.57,0,0
1627286885,26.57,26.57,26.57,26.57,26.57,0,0
1627286890,26.57,26.57,26.57,26.57,26.57,0,0
1627286895,26.62,26.62,26.58,26.58,26.6,2,2
1627286900,26.62,26.62,26.62,26.62,26.62,1,1
1627286905,26.58,26.58,26.58,26.58,26.58,75,2
1627286910,26.59,26.59,26.58,26.58,26.586,5,4
1627286915,26.6,26.6,26.6,26.6,26.6,1,1
1627286920,26.61,26.61,26.6,26.6,26.603,7,4
1627286925,26.59,26.59,26.59,26.59,26.59,2,2
1627286930,26.59,26.59,26.5,26.5,26.568,32,9
1627286935,26.51,26.51,26.41,26.41,26.497,24,8
1627286940,26.48,26.48,26.48,26.48,26.48,3,1
1627286945,26.48,26.56,26.48,26.56,26.529,4,2
1627286950,26.49,26.49,26.48,26.48,26.485,4,3
1627286955,26.48,26.48,26.48,26.48,26.48,0,0
1627286960,26.46,26.48,26.45,26.48,26.459,8,4
1627286965,26.48,26.55,26.48,26.55,26.521,17,4
1627286970,26.56,26.56,26.56,26.56,26.56,1,1
1627286975,26.56,26.56,26.56,26.56,26.56,0,0
