date,open,high,low,close,average,volume,count
1654785000,27.0,27.0,27.0,27.0,27.0,0,0
1654785001,27.02,27.02,27.02,27.02,27.02,7,4
1654785002,27.03,27.03,27.0299,27.0299,27.02991,11,2
1654785003,27.025,27.04,27.0201,27.04,27.02634,55,13
1654785004,27.04,27.04,27.035,27.035,27.03538,13,2
1654785005,27.035,27.035,27.035,27.035,27.035,0,0
1654785006,27.0343,27.0343,27.01,27.02,27.02339,30,19
1654785007,27.0,27.01,27.0,27.0,27.00084,11,6
1654785008,27.0,27.0,27.0,27.0,27.0,0,0
1654785009,27.0,27.0,27.0,27.0,27.0,0,0
1654785010,27.0,27.0,27.0,27.0,27.0,0,0
1654785011,27.0,27.0,27.0,27.0,27.0,0,0
1654785012,26.97,26.98,26.97,26.98,26.9775,4,4
1654785013,26.98,26.98,26.98,26.98,26.98,0,0
1654785014,26.95,26.95,26.95,26.95,26.95,54,12
1654785015,26.95,26.955,26.95,26.955,26.95417,6,2
1654785016,26.9525,26.96,26.95,26.96,26.95878,17,10
1654785017,26.98,26.98,26.967,26.967,26.96854,22,3
1654785018,26.967,26.967,26.967,26.967,26.967,0,0
1654785019,26.967,26.967,26.967,26.967,26.967,0,0
1654785020,26.967,26.967,26.967,26.967,26.967,0,0
1654785021,26.95,26.96,26.95,26.96,26.95654,34,21
1654785022,26.955,26.955,26.955,26.955,26.955,1,1
1654785023,26.96,26.97,26.96,26.97,26.96954,21,7
1654785024,26.9799,26.9799,26.96,26.96,26.97879,53,4
1654785025,26.9501,26.97,26.9501,26.97,26.95696,2,2
1654785026,26.96,26.99,26.96,26.99,26.9684,48,20
1654785027,26.99,26.99,26.99,26.99,26.99,0,0
1654785028,26.99,26.99,26.99,26.99,26.99,0,0
1654785029,26.98,27.0,26.98,27.0,26.99403,28,6
1654785030,27.0,27.0,27.0,27.0,27.0,2,1
1654785031,27.0,27.01,27.0,27.0,27.00594,16,11
1654785032,27.0,27.0,27.0,27.0,27.0,0,0
1654785033,27.0,27.0,27.0,27.0,27.0,0,0
1654785034,26.99,26.99,26.9779,26.9779,26.9891,34,16
1654785035,26.9779,26.9779,26.9779,26.9779,26.9779,0,0
1654785036,26.9779,26.9779,26.9779,26.9779,26.9779,0,0
1654785037,26.9779,26.9779,26.9779,26.9779,26.9779,0,0
1654785038,26.9779,26.9779,26.9779,26.9779,26.9779,0,0
1654785039,26.98,26.98,26.97,26.979,26.97806,37,12
1654785040,26.98,26.98,26.98,26.98,26.98,4,1
1654785041,26.98,26.98,26.98,26.98,26.98,1,1
1654785042,26.98,26.98,26.98,26.98,26.98,0,0
1654785043,26.9799,26.9799,26.9799,26.9799,26.9799,3,1
1654785044,26.9799,26.9799,26.9799,26.9799,26.9799,0,0
1654785045,26.9799,26.9799,26.9799,26.9799,26.9799,0,0
1654785046,26.9799,26.9799,26.9799,26.9799,26.9799,0,0
1654785047,26.9799,26.9799,26.9799,26.9799,26.9799,0,0
1654785048,26.97,27.0,26.97,27.0,26.97984,31,10
1654785049,27.0,27.0,27.0,27.0,27.0,0,0
1654785050,27.005,27.01,27.005,27.01,27.00875,12,5
1654785051,27.03,27.03,27.03,27.03,27.03,1,1
1654785052,27.03,27.03,27.03,27.03,27.03,0,0
1654785053,27.03,27.03,27.03,27.03,27.03,0,0
1654785054,27.03,27.03,27.03,27.03,27.03,10,3
1654785055,27.03,27.03,27.03,27.03,27.03,7,1
1654785056,27.03,27.03,27.03,27.03,27.03,0,0
1654785057,27.03,27.03,27.03,27.03,27.03,2,2
1654785058,27.03,27.03,27.03,27.03,27.03,0,0
1654785059,27.03,27.03,27.03,27.03,27.03,7,5
1654785060,27.03,27.03,27.03,27.03,27.03,0,0
1654785061,27.03,27.03,27.03,27.03,27.03,0,0
1654785062,27.02,27.0201,27.01,27.02,27.01903,20,10
1654785063,27.02,27.03,27.02,27.03,27.02273,11,3
1654785064,27.02,27.05,27.0128,27.04,27.03016,17,12
1654785065,27.04,27.08,27.03,27.06,27.05214,97,53
1654785066,27.04,27.045,27.04,27.0401,27.04074,7,4
1654785067,27.045,27.05,27.045,27.05,27.0475,2,2
1654785068,27.05,27.05,27.05,27.05,27.05,0,0
1654785069,27.03,27.03,27.03,27.03,27.03,4,2
1654785070,27.03,27.03,27.03,27.03,27.03,0,0
1654785071,27.02,27.02,27.02,27.02,27.02,8,3
1654785072,27.02,27.02,27.02,27.02,27.02,0,0
1654785073,27.015,27.015,27.015,27.015,27.015,13,6
1654785074,27.015,27.02,27.015,27.02,27.01977,21,7
1654785075,27.02,27.02,27.02,27.02,27.02,5,5
1654785076,27.03,27.03,27.03,27.03,27.03,4,2
1654785077,27.03,27.03,27.03,27.03,27.03,0,0
1654785078,27.02,27.02,27.02,27.02,27.02,1,1
1654785079,27.0278,27.0278,27.0278,27.0278,27.0278,8,1
1654785080,27.01,27.01,27.0046,27.0046,27.00902,9,7
1654785081,27.005,27.005,27.005,27.005,27.005,5,1
1654785082,27.005,27.005,27.005,27.005,27.005,0,0
1654785083,27.005,27.005,27.005,27.005,27.005,0,0
1654785084,27.005,27.005,27.005,27.005,27.005,0,0
1654785085,27.0,27.0,27.0,27.0,27.0,15,4
1654785086,26.9999,26.9999,26.9999,26.9999,26.9999,1,1
1654785087,26.99,27.01,26.99,27.0,27.00097,15,11
1654785088,27.0,27.0,27.0,27.0,27.0,0,0
1654785089,27.0,27.0,27.0,27.0,27.0,0,0
1654785090,27.0,27.0,27.0,27.0,27.0,2,2
1654785091,27.0,27.0,27.0,27.0,27.0,5,1
1654785092,27.0,27.0,27.0,27.0,27.0,5,2
1654785093,27.0,27.0,27.0,27.0,27.0,0,0
1654785094,27.0,27.01,27.0,27.01,27.00029,104,18
1654785095,27.01,27.01,27.01,27.01,27.01,0,0
1654785096,27.01,27.01,27.01,27.01,27.01,0,0
1654785097,27.01,27.02,27.01,27.01,27.01588,20,12
1654785098,27.01,27.01,27.01,27.01,27.01,1,1
1654785099,27.0,27.0001,27.0,27.0001,27.00002,6,5
1654785100,27.0,27.0,27.0,27.0,27.0,2,2
1654785101,27.0,27.0,27.0,27.0,27.0,1,1
1654785102,27.0,27.0,27.0,27.0,27.0,0,0
1654785103,27.02,27.02,27.01,27.01,27.014,5,4
1654785104,27.0001,27.0001,27.0001,27.0001,27.0001,1,1
1654785105,27.0001,27.0001,27.0001,27.0001,27.0001,0,0
1654785106,27.0001,27.0001,27.0001,27.0001,27.0001,0,0
1654785107,27.0001,27.0001,27.0001,27.0001,27.0001,0,0
1654785108,27.01,27.01,27.01,27.01,27.01,4,3
1654785109,27.02,27.02,27.01,27.015,27.01789,19,13
1654785110,27.02,27.02,27.01,27.0172,27.01538,11,7
1654785111,27.005,27.005,27.005,27.005,27.005,2,2
1654785112,27.005,27.005,27.005,27.005,27.005,0,0
1654785113,27.005,27.005,27.005,27.005,27.005,0,0
1654785114,27.005,27.005,27.005,27.005,27.005,1,1
1654785115,27.005,27.005,27.005,27.005,27.005,0,0
1654785116,27.0016,27.03,27.0016,27.02,27.01886,34,20
1654785117,27.02,27.04,27.015,27.02,27.0223,13,6
1654785118,27.025,27.025,27.025,27.025,27.025,5,1
1654785119,27.03,27.03,27.0201,27.0201,27.02789,18,12
1654785120,27.0201,27.0201,27.0201,27.0201,27.0201,0,0
1654785121,27.03,27.04,27.025,27.025,27.03027,18,10
1654785122,27.0257,27.0257,27.02,27.02,27.02151,12,7
1654785123,27.02,27.021,27.02,27.0201,27.02009,20,7
1654785124,27.0201,27.0201,27.0201,27.0201,27.0201,0,0
1654785125,27.025,27.025,27.02,27.02,27.02242,2,2
1654785126,27.015,27.015,27.0,27.0001,27.00354,40,21
1654785127,26.99,26.99,26.99,26.99,26.99,4,3
1654785128,26.99,26.99,26.99,26.99,26.99,0,0
1654785129,26.99,26.99,26.99,26.99,26.99,0,0
1654785130,26.99,26.99,26.99,26.99,26.99,11,4
1654785131,26.99,26.99,26.99,26.99,26.99,0,0
1654785132,26.99,26.99,26.99,26.99,26.99,1,1
1654785133,26.98,26.98,26.98,26.98,26.98,1,1
1654785134,26.98,26.98,26.98,26.98,26.98,0,0
1654785135,26.99,27.0,26.99,27.0,26.99269,18,10
1654785136,27.0,27.0,27.0,27.0,27.0,0,0
1654785137,27.0,27.0,27.0,27.0,27.0,0,0
1654785138,27.0,27.0,27.0,27.0,27.0,0,0
1654785139,27.0,27.0,27.0,27.0,27.0,0,0
1654785140,27.0,27.0,27.0,27.0,27.0,0,0
1654785141,27.0,27.0,27.0,27.0,27.0,0,0
1654785142,27.0,27.0,27.0,27.0,27.0,2,2
1654785143,26.99,27.0,26.99,26.999,26.99849,24,6
1654785144,26.99,26.99,26.99,26.99,26.99,1,1
1654785145,26.99,26.99,26.99,26.99,26.99,0,0
1654785146,26.99,26.99,26.99,26.99,26.99,0,0
1654785147,26.99,27.0,26.99,26.99,26.99084,11,5
1654785148,26.98,26.98,26.98,26.98,26.98,9,5
1654785149,26.98,26.98,26.98,26.98,26.98,0,0
1654785150,26.9754,26.9754,26.9754,26.9754,26.9754,5,1
1654785151,26.96,26.96,26.95,26.95,26.955,2,2
1654785152,26.95,26.95,26.93,26.94,26.93985,67,24
1654785153,26.9444,26.9444,26.94,26.94,26.9422,2,2
1654785154,26.95,26.95,26.95,26.95,26.95,3,3
1654785155,26.95,26.95,26.95,26.95,26.95,0,0
1654785156,26.95,26.95,26.95,26.95,26.95,0,0
1654785157,26.95,26.95,26.95,26.95,26.95,0,0
1654785158,26.95,26.95,26.95,26.95,26.95,0,0
1654785159,26.95,26.95,26.95,26.95,26.95,0,0
1654785160,26.94,26.94,26.93,26.93,26.9375,4,4
1654785161,26.92,26.92,26.92,26.92,26.92,3,3
1654785162,26.92,26.92,26.92,26.92,26.92,1,1
1654785163,26.92,26.92,26.92,26.92,26.92,0,0
1654785164,26.92,26.92,26.911,26.9142,26.91786,18,8
1654785165,26.94,26.94,26.91,26.91,26.91727,22,17
1654785166,26.92,26.92,26.92,26.92,26.92,3,2
1654785167,26.93,26.93,26.925,26.925,26.92694,18,5
1654785168,26.93,26.93,26.93,26.93,26.93,2,1
1654785169,26.92,26.92,26.92,26.92,26.92,1,1
1654785170,26.92,26.92,26.92,26.92,26.92,6,4
1654785171,26.92,26.922,26.92,26.922,26.921,10,2
1654785172,26.9335,26.9335,26.9335,26.9335,26.9335,1,1
1654785173,26.9227,26.94,26.9227,26.93,26.93722,15,6
1654785174,26.94,26.94,26.94,26.94,26.94,1,1
1654785175,26.94,26.94,26.94,26.94,26.94,0,0
1654785176,26.94,26.94,26.94,26.94,26.94,2,1
1654785177,26.94,26.94,26.94,26.94,26.94,0,0
1654785178,26.93,26.95,26.93,26.9499,26.94762,13,4
1654785179,26.94,26.94,26.94,26.94,26.94,1,1
1654785180,26.94,26.94,26.94,26.94,26.94,0,0
1654785181,26.9496,26.9496,26.9496,26.9496,26.9496,18,1
1654785182,26.95,26.96,26.95,26.96,26.95389,18,5
1654785183,26.96,26.96,26.96,26.96,26.96,0,0
1654785184,26.96,26.96,26.96,26.96,26.96,0,0
1654785185,26.931,26.931,26.931,26.931,26.931,1,1
1654785186,26.93,26.93,26.92,26.92,26.92788,11,4
1654785187,26.92,26.92,26.91,26.91,26.91225,26,11
1654785188,26.91,26.91,26.91,26.91,26.91,0,0
1654785189,26.9,26.9,26.83,26.85,26.855,83,28
1654785190,26.85,26.85,26.85,26.85,26.85,40,2
1654785191,26.85,26.86,26.8405,26.8405,26.85732,11,4
1654785192,26.86,26.86,26.84,26.85,26.85731,26,10
1654785193,26.85,26.85,26.85,26.85,26.85,0,0
1654785194,26.845,26.845,26.845,26.845,26.845,16,2
1654785195,26.84,26.84,26.84,26.84,26.84,1,1
1654785196,26.841,26.85,26.84,26.84,26.84396,14,5
1654785197,26.85,26.85,26.85,26.85,26.85,7,3
1654785198,26.85,26.85,26.85,26.85,26.85,0,0
1654785199,26.85,26.85,26.85,26.85,26.85,0,0
1654785200,26.845,26.845,26.8414,26.8414,26.8432,2,2
1654785201,26.845,26.845,26.845,26.845,26.845,5,1
1654785202,26.845,26.845,26.845,26.845,26.845,0,0
1654785203,26.845,26.85,26.845,26.85,26.84903,10,4
1654785204,26.86,26.87,26.86,26.87,26.86586,26,17
1654785205,26.86,26.86,26.86,26.86,26.86,11,2
1654785206,26.85,26.855,26.8401,26.8488,26.84087,86,5
1654785207,26.84,26.84,26.835,26.835,26.83818,22,12
1654785208,26.8392,26.8392,26.8392,26.8392,26.8392,2,1
1654785209,26.835,26.84,26.83,26.84,26.83697,13,7
1654785210,26.85,26.86,26.85,26.85,26.85053,18,8
1654785211,26.85,26.85,26.85,26.85,26.85,0,0
1654785212,26.84,26.8401,26.84,26.84,26.84005,19,8
1654785213,26.85,26.86,26.85,26.86,26.85732,13,6
1654785214,26.86,26.86,26.85,26.85,26.8575,4,2
1654785215,26.8671,26.8671,26.8671,26.8671,26.8671,1,1
1654785216,26.8401,26.87,26.8401,26.87,26.85426,19,6
1654785217,26.87,26.87,26.87,26.87,26.87,0,0
1654785218,26.8524,26.8524,26.8524,26.8524,26.8524,3,1
1654785219,26.87,26.87,26.87,26.87,26.87,1,1
1654785220,26.87,26.87,26.87,26.87,26.87,0,0
1654785221,26.8501,26.8501,26.8501,26.8501,26.8501,1,1
1654785222,26.85,26.85,26.85,26.85,26.85,6,1
1654785223,26.86,26.86,26.86,26.86,26.86,1,1
1654785224,26.865,26.88,26.865,26.875,26.87428,23,9
1654785225,26.89,26.9,26.89,26.9,26.89498,19,8
1654785226,26.91,26.91,26.91,26.91,26.91,15,6
1654785227,26.9,26.91,26.9,26.9001,26.90063,16,8
1654785228,26.9,26.91,26.9,26.91,26.90285,8,4
1654785229,26.8901,26.8901,26.8901,26.8901,26.8901,1,1
1654785230,26.8901,26.8901,26.8901,26.8901,26.8901,0,0
1654785231,26.905,26.92,26.905,26.92,26.91446,5,3
1654785232,26.92,26.92,26.92,26.92,26.92,0,0
1654785233,26.92,26.92,26.92,26.92,26.92,11,6
1654785234,26.92,26.92,26.92,26.92,26.92,0,0
1654785235,26.92,26.92,26.92,26.92,26.92,3,2
1654785236,26.925,26.925,26.92,26.92,26.924,5,5
1654785237,26.92,26.92,26.92,26.92,26.92,0,0
1654785238,26.92,26.92,26.92,26.92,26.92,0,0
1654785239,26.9127,26.9127,26.9127,26.9127,26.9127,1,1
1654785240,26.91,26.91,26.89,26.89,26.90242,17,11
1654785241,26.88,26.88,26.88,26.88,26.88,3,3
1654785242,26.88,26.88,26.88,26.88,26.88,0,0
1654785243,26.88,26.88,26.88,26.88,26.88,0,0
1654785244,26.88,26.88,26.88,26.88,26.88,0,0
1654785245,26.875,26.875,26.875,26.875,26.875,1,1
1654785246,26.89,26.9,26.89,26.9,26.899,10,6
1654785247,26.9,26.9,26.9,26.9,26.9,0,0
1654785248,26.9001,26.9001,26.9001,26.9001,26.9001,2,1
1654785249,26.9,26.92,26.9,26.92,26.91524,4,4
1654785250,26.92,26.92,26.92,26.92,26.92,0,0
1654785251,26.92,26.92,26.92,26.92,26.92,3,1
1654785252,26.92,26.92,26.92,26.92,26.92,0,0
1654785253,26.92,26.92,26.92,26.92,26.92,0,0
1654785254,26.92,26.92,26.92,26.92,26.92,0,0
1654785255,26.9,26.9,26.9,26.9,26.9,2,2
1654785256,26.9,26.9,26.9,26.9,26.9,0,0
1654785257,26.9,26.9,26.85,26.85,26.88273,8,4
1654785258,26.8633,26.8633,26.8633,26.8633,26.8633,1,1
1654785259,26.85,26.85,26.85,26.85,26.85,1,1
1654785260,26.85,26.85,26.85,26.85,26.85,0,0
