date,open,high,low,close,average,volume,count
1639749600,3.67,3.68,3.67,3.68,3.671,22,9
1639749601,3.68,3.68,3.68,3.68,3.68,3,2
1639749602,3.67,3.67,3.67,3.67,3.67,5,1
1639749603,3.67,3.67,3.67,3.67,3.67,17,6
1639749604,3.67,3.67,3.67,3.67,3.67,2,1
1639749605,3.67,3.67,3.67,3.67,3.67,2,2
1639749606,3.67,3.67,3.66,3.67,3.666,6,2
1639749607,3.66,3.68,3.66,3.68,3.678,29,17
1639749608,3.68,3.68,3.68,3.68,3.68,13,4
1639749609,3.69,3.7,3.68,3.69,3.697,81,17
1639749610,3.71,3.71,3.71,3.71,3.71,8,3
1639749611,3.71,3.71,3.71,3.71,3.71,12,1
1639749612,3.7,3.7,3.7,3.7,3.7,19,3
1639749613,3.7,3.7,3.68,3.68,3.681,21,9
1639749614,3.69,3.69,3.67,3.67,3.678,40,3
1639749615,3.67,3.67,3.67,3.67,3.67,0,0
1639749616,3.68,3.68,3.67,3.67,3.672,5,5
1639749617,3.67,3.67,3.67,3.67,3.67,35,5
1639749618,3.67,3.68,3.67,3.68,3.673,7,4
1639749619,3.69,3.69,3.66,3.66,3.663,13,6
1639749620,3.67,3.67,3.66,3.66,3.662,58,13
1639749621,3.67,3.68,3.67,3.68,3.678,22,9
1639749622,3.68,3.68,3.66,3.66,3.677,6,4
1639749623,3.67,3.69,3.67,3.69,3.683,4,2
1639749624,3.68,3.68,3.68,3.68,3.68,10,2
1639749625,3.68,3.68,3.68,3.68,3.68,0,0
1639749626,3.68,3.68,3.68,3.68,3.68,19,8
1639749627,3.68,3.69,3.68,3.69,3.682,9,5
1639749628,3.68,3.68,3.68,3.68,3.68,3,1
1639749629,3.68,3.68,3.68,3.68,3.68,14,9
1639749630,3.69,3.69,3.69,3.69,3.69,1,1
1639749631,3.69,3.69,3.69,3.69,3.69,3,3
1639749632,3.69,3.69,3.69,3.69,3.69,20,4
1639749633,3.68,3.7,3.68,3.7,3.691,52,15
1639749634,3.7,3.7,3.69,3.69,3.691,11,5
1639749635,3.69,3.69,3.69,3.69,3.69,9,3
1639749636,3.7,3.7,3.7,3.7,3.7,2,1
1639749637,3.67,3.69,3.67,3.69,3.685,9,5
1639749638,3.7,3.7,3.7,3.7,3.7,1,1
1639749639,3.69,3.69,3.69,3.69,3.69,7,4
1639749640,3.69,3.69,3.68,3.68,3.683,13,3
1639749641,3.68,3.69,3.68,3.68,3.68,21,9
1639749642,3.68,3.68,3.68,3.68,3.68,0,0
1639749643,3.68,3.68,3.68,3.68,3.68,12,5
1639749644,3.68,3.68,3.68,3.68,3.68,6,4
1639749645,3.69,3.69,3.68,3.68,3.681,21,9
