date,open,high,low,close,average,volume,count
1631545200,4.28,4.29,4.28,4.29,4.282,11,8
1631545201,4.29,4.29,4.28,4.29,4.285,15,8
1631545202,4.29,4.29,4.28,4.29,4.284,34,9
1631545203,4.29,4.29,4.28,4.29,4.285,2,2
1631545204,4.28,4.29,4.28,4.29,4.283,15,11
1631545205,4.28,4.28,4.27,4.28,4.279,5,2
1631545206,4.28,4.28,4.27,4.28,4.277,10,4
1631545207,4.28,4.28,4.27,4.27,4.275,82,40
1631545208,4.27,4.28,4.26,4.27,4.266,61,32
1631545209,4.27,4.27,4.26,4.26,4.262,18,6
1631545210,4.27,4.27,4.26,4.26,4.263,16,4
1631545211,4.27,4.27,4.26,4.26,4.261,31,6
1631545212,4.26,4.27,4.25,4.25,4.252,209,27
1631545213,4.25,4.25,4.25,4.25,4.25,1,1
1631545214,4.25,4.25,4.25,4.25,4.25,0,0
1631545215,4.25,4.25,4.25,4.25,4.25,0,0
1631545216,4.25,4.26,4.25,4.25,4.251,30,17
1631545217,4.25,4.26,4.25,4.26,4.258,11,10
1631545218,4.25,4.26,4.25,4.25,4.25,73,9
1631545219,4.25,4.25,4.25,4.25,4.25,1,1
1631545220,4.25,4.26,4.25,4.26,4.25,396,12
1631545221,4.25,4.26,4.25,4.25,4.254,54,5
1631545222,4.25,4.26,4.25,4.25,4.25,0,0
1631545223,4.26,4.26,4.25,4.25,4.255,37,27
1631545224,4.26,4.26,4.25,4.25,4.255,11,4
1631545225,4.26,4.26,4.25,4.26,4.259,9,1
1631545226,4.26,4.26,4.25,4.26,4.26,0,0
1631545227,4.25,4.26,4.25,4.25,4.253,6,5
1631545228,4.25,4.26,4.25,4.25,4.25,0,0
1631545229,4.26,4.26,4.26,4.26,4.26,6,6
1631545230,4.25,4.25,4.25,4.25,4.25,5,5
1631545231,4.25,4.26,4.25,4.25,4.252,25,15
1631545232,4.25,4.25,4.25,4.25,4.25,12,3
1631545233,4.24,4.25,4.24,4.24,4.243,1,1
1631545234,4.24,4.25,4.24,4.24,4.24,0,0
1631545235,4.25,4.25,4.24,4.24,4.246,14,11
1631545236,4.25,4.25,4.24,4.24,4.249,27,3
1631545237,4.25,4.25,4.24,4.24,4.249,9,5
1631545238,4.25,4.25,4.24,4.25,4.25,30,1
1631545239,4.25,4.25,4.24,4.25,4.246,33,8
1631545240,4.25,4.25,4.25,4.25,4.25,13,1
1631545241,4.25,4.25,4.24,4.25,4.245,15,3
