date,open,high,low,close,average,volume,count
20210617,3.41,3.49,3.37,3.42,3.418,2644,1323
20210618,3.41,3.44,3.31,3.34,3.372,1894,838
20210621,3.36,3.44,3.3,3.32,3.363,2096,941
20210622,3.34,3.37,3.26,3.34,3.329,2278,1241
20210623,3.4,3.43,3.3,3.33,3.372,3186,928
20210624,3.35,3.39,3.3,3.3,3.338,3158,1164
20210625,3.31,3.38,3.3,3.31,3.338,1683,745
20210628,3.33,3.35,3.27,3.28,3.303,2040,854
20210629,3.36,3.37,3.17,3.19,3.233,2674,923
20210630,3.26,3.27,3.06,3.11,3.107,6390,2780
20210701,3.09,3.14,2.99,3.02,3.083,4728,1868
20210702,3.02,3.2,3.0,3.13,3.13,8521,2504
20210706,3.16,3.22,3.08,3.1,3.115,17362,2013
20210707,3.08,3.16,2.89,2.9,2.98,4621,1847
20210708,2.9,3.05,2.66,2.95,2.814,10317,4729
20210709,2.94,3.03,2.87,3.02,2.98,1039,424
20210712,3.05,3.1,2.92,2.94,2.977,2416,1192
20210713,2.95,2.96,2.79,2.82,2.843,4801,1212
20210714,2.83,2.89,2.75,2.79,2.802,3538,1215
20210715,2.85,2.85,2.69,2.74,2.73,1918,766
20210716,2.75,2.84,2.71,2.74,2.762,2440,675
20210719,2.69,2.9,2.6,2.87,2.758,4646,2326
20210720,2.88,2.91,2.75,2.75,2.794,3945,1166
20210721,2.78,2.95,2.76,2.94,2.889,3426,1126
20210722,2.9,2.9,2.77,2.8,2.806,1335,745
20210723,2.83,2.93,2.76,2.8,2.818,1039,702
20210726,2.82,2.83,2.68,2.7,2.721,1824,934
20210727,2.71,2.78,2.64,2.72,2.712,1206,578
20210728,2.72,2.79,2.68,2.73,2.741,1550,628
20210729,2.89,3.11,2.81,2.88,2.902,14375,2223
20210730,2.85,2.94,2.81,2.85,2.876,1660,791
20210802,2.93,2.96,2.81,2.92,2.868,6371,1187
20210803,2.9,2.98,2.81,2.94,2.883,3387,1754
20210804,2.91,2.98,2.89,2.95,2.95,2047,1070
20210805,2.94,3.18,2.92,3.12,3.077,4647,2088
20210806,3.18,3.2,3.02,3.12,3.135,2360,1176
20210809,3.15,3.28,3.05,3.24,3.149,7391,2151
20210810,3.22,3.27,2.98,3.01,3.072,3341,1484
20210811,3.0,3.14,2.94,3.12,3.032,3054,1224
20210812,3.18,3.43,3.15,3.4,3.325,7246,2669
20210813,3.4,3.45,3.31,3.35,3.377,2970,1439
20210816,3.31,3.46,3.3,3.41,3.402,2695,1431
20210817,3.32,3.44,3.32,3.41,3.387,1908,1007
20210818,3.4,3.4,3.15,3.17,3.225,1900,682
20210819,3.15,3.16,2.96,3.03,3.021,2222,701
20210820,3.06,3.13,2.95,3.05,3.022,2123,852
20210823,3.11,3.37,3.05,3.31,3.227,4442,975
20210824,3.28,3.43,3.27,3.39,3.358,2235,1069
20210825,3.35,3.49,3.3,3.3,3.434,2552,1116
20210826,3.46,3.62,3.41,3.55,3.529,3838,1464
20210827,3.56,3.74,3.5,3.74,3.603,3569,1743
20210830,3.75,3.83,3.56,3.73,3.677,20825,3021
20210831,3.72,3.77,3.64,3.75,3.685,4337,1330
20210901,3.71,3.75,3.5,3.6,3.657,7170,1956
20210902,3.58,3.86,3.58,3.78,3.705,11310,2455
20210903,3.79,3.88,3.7,3.84,3.799,3911,1545
20210907,3.87,4.11,3.86,3.92,3.978,6949,2623
20210908,3.91,4.1,3.65,3.65,3.816,4783,2024
20210909,3.76,3.93,3.72,3.93,3.852,1558,657
20210910,3.97,4.0,3.91,3.92,3.953,2070,547
20210913,3.8,5.65,3.64,4.85,4.487,368838,89906
20210914,4.78,6.34,4.54,5.61,5.836,417367,115286
20210915,5.65,5.81,5.01,5.78,5.374,41291,13873
20210916,5.75,6.07,5.43,5.77,5.794,19103,7387
20210917,5.79,6.1,5.6,6.01,5.909,16606,6120
20210920,6.01,6.34,5.7,5.75,5.912,17391,5706
20210921,5.98,6.01,5.45,5.86,5.747,7535,2790
20210922,5.81,6.06,5.81,6.02,5.98,6456,2508
20210923,6.0,6.87,6.0,6.31,6.523,35124,12284
20210924,6.32,6.48,6.13,6.37,6.305,14289,6030
20210927,6.45,6.64,6.05,6.55,6.399,13877,6354
20210928,6.55,7.35,6.23,6.65,6.926,47745,17928
20210929,6.71,6.96,5.76,5.83,6.124,27349,9871
20210930,5.9,6.3,5.61,6.12,6.031,28243,9328
20211001,6.13,6.17,5.77,5.97,5.969,7525,3098
20211004,5.8,6.2,5.68,6.02,5.958,6509,2609
20211005,6.06,6.1,5.82,5.86,5.924,2916,1353
20211006,5.81,6.08,5.76,5.86,5.973,4917,2385
20211007,5.97,6.03,5.77,5.9,5.887,4259,1599
20211008,5.81,5.97,5.61,5.62,5.84,2984,1366
20211011,5.89,6.07,5.79,5.83,5.909,6576,2125
20211012,5.87,6.09,5.81,6.04,5.979,4810,1611
20211013,6.04,6.39,5.89,6.02,6.065,7399,2203
20211014,6.02,6.24,5.97,6.11,6.111,6664,1553
20211015,6.22,6.22,6.0,6.09,6.126,6787,1879
20211018,6.04,6.55,5.99,6.3,6.321,12610,2820
20211019,6.3,6.42,6.02,6.11,6.122,4349,1516
20211020,6.07,6.14,5.94,6.06,6.01,6220,1315
20211021,6.06,6.09,5.96,5.96,6.038,3627,1567
20211022,5.99,6.25,5.82,6.24,6.085,5253,2323
20211025,6.22,6.64,6.09,6.5,6.475,11538,2864
20211026,6.53,6.71,6.27,6.35,6.561,11034,3074
20211027,6.27,6.85,6.26,6.74,6.554,16438,3418
20211028,6.72,7.26,6.57,7.01,6.995,12203,4856
20211029,7.07,7.48,7.0,7.32,7.301,11237,4933
20211101,7.35,7.65,7.14,7.23,7.408,14871,3275
20211102,7.07,7.3,6.91,7.1,7.135,6095,2532
20211103,7.07,7.25,6.81,6.97,7.029,2882,1512
20211104,7.0,7.04,6.63,6.76,6.801,5714,2137
20211105,6.72,7.04,6.7,6.9,6.894,9293,3110
20211108,6.65,7.19,6.65,7.13,7.104,11354,2933
20211109,7.15,7.38,7.06,7.2,7.222,10030,4743
20211110,7.32,7.45,7.0,7.0,7.246,6975,3782
20211111,7.35,7.35,7.04,7.14,7.203,6124,3162
20211112,7.01,7.35,6.95,7.02,7.021,22342,4269
20211115,7.11,7.11,6.4,6.47,6.791,16186,5054
20211116,6.52,6.7,6.19,6.2,6.29,17938,3808
20211117,6.21,6.29,5.94,6.14,6.102,8004,3249
20211118,6.09,6.12,5.85,6.05,6.024,3838,2414
20211119,5.9,6.37,5.85,6.26,6.243,17642,3329
20211122,6.26,6.36,6.05,6.21,6.221,11092,3908
20211123,6.14,6.22,5.66,5.94,5.895,18614,3536
20211124,6.13,6.13,5.77,5.8,5.929,3376,1438
20211126,5.8,5.99,5.41,5.46,5.615,4630,1901
20211129,5.5,6.12,5.47,5.62,5.949,8773,4254
20211130,5.8,6.06,5.74,5.97,5.931,4912,2629
20211201,5.95,6.15,5.6,5.75,5.855,7092,2584
20211202,5.68,5.78,5.45,5.51,5.584,6570,2833
20211203,5.52,5.58,5.18,5.5,5.3,6744,3386
20211206,5.49,6.0,5.17,6.0,5.438,5377,2871
20211207,5.46,6.15,5.46,6.14,5.92,10185,4360
20211208,6.15,6.35,5.87,6.02,6.146,8686,4389
20211209,6.35,6.35,5.63,5.67,5.794,4244,1962
20211210,5.57,5.86,5.5,5.5,5.667,4141,2179
20211213,5.9,9.84,5.59,8.3,8.606,1068145,311643
20211214,8.06,8.67,7.72,8.22,8.206,98172,30025
20211215,7.95,8.77,7.73,8.0,8.033,87088,33302
