date,open,high,low,close,average,volume,count
1628001000,25.44,25.45,25.43,25.44,25.439,224,72
1628001001,25.44,25.44,25.43,25.44,25.436,4,4
1628001002,25.44,25.44,25.43,25.44,25.44,0,0
1628001003,25.44,25.44,25.43,25.44,25.435,1,1
1628001004,25.44,25.44,25.43,25.43,25.431,25,9
1628001005,25.44,25.44,25.43,25.44,25.435,1,1
1628001006,25.44,25.44,25.43,25.44,25.436,47,43
1628001007,25.44,25.44,25.43,25.44,25.44,0,0
1628001008,25.44,25.44,25.43,25.44,25.44,0,0
1628001009,25.44,25.45,25.43,25.44,25.44,12,8
1628001010,25.45,25.45,25.44,25.45,25.445,2,2
1628001011,25.45,25.45,25.44,25.44,25.443,3,3
1628001012,25.44,25.44,25.44,25.44,25.44,24,14
1628001013,25.45,25.45,25.44,25.45,25.445,2,2
1628001014,25.45,25.45,25.44,25.45,25.45,0,0
1628001015,25.44,25.44,25.44,25.44,25.44,4,3
1628001016,25.44,25.44,25.44,25.44,25.44,0,0
1628001017,25.45,25.45,25.44,25.45,25.445,2,1
1628001018,25.45,25.45,25.44,25.45,25.45,0,0
1628001019,25.45,25.45,25.44,25.45,25.445,1,1
1628001020,25.44,25.45,25.44,25.45,25.444,6,3
1628001021,25.44,25.45,25.44,25.45,25.447,43,37
1628001022,25.45,25.45,25.45,25.45,25.45,23,13
1628001023,25.45,25.45,25.45,25.45,25.45,11,5
1628001024,25.46,25.46,25.45,25.46,25.454,4,4
1628001025,25.46,25.46,25.45,25.46,25.455,1,1
1628001026,25.45,25.46,25.45,25.46,25.458,19,5
1628001027,25.46,25.46,25.46,25.46,25.46,0,0
1628001028,25.46,25.47,25.46,25.47,25.461,45,24
1628001029,25.47,25.47,25.46,25.46,25.461,5,3
1628001030,25.46,25.46,25.45,25.45,25.45,22,11
1628001031,25.45,25.45,25.45,25.45,25.45,5,2
1628001032,25.45,25.45,25.45,25.45,25.45,34,12
1628001033,25.45,25.45,25.45,25.45,25.45,0,0
1628001034,25.45,25.45,25.44,25.45,25.445,1,1
1628001035,25.45,25.45,25.44,25.45,25.45,0,0
1628001036,25.45,25.45,25.44,25.45,25.45,0,0
1628001037,25.45,25.45,25.44,25.45,25.45,0,0
1628001038,25.45,25.45,25.45,25.45,25.45,1,1
1628001039,25.45,25.45,25.45,25.45,25.45,0,0
1628001040,25.45,25.45,25.45,25.45,25.45,0,0
1628001041,25.44,25.45,25.44,25.44,25.444,1,1
1628001042,25.45,25.45,25.44,25.45,25.446,1,1
1628001043,25.45,25.45,25.44,25.45,25.45,0,0
1628001044,25.45,25.45,25.44,25.44,25.444,7,7
1628001045,25.44,25.44,25.44,25.44,25.44,0,0
1628001046,25.45,25.45,25.45,25.45,25.45,1,1
1628001047,25.44,25.44,25.43,25.44,25.44,102,32
1628001048,25.44,25.44,25.43,25.44,25.435,1,1
1628001049,25.44,25.44,25.44,25.44,25.44,3,3
1628001050,25.44,25.44,25.43,25.44,25.436,20,1
1628001051,25.44,25.44,25.43,25.44,25.44,23,15
1628001052,25.44,25.44,25.44,25.44,25.44,8,6
1628001053,25.44,25.44,25.44,25.44,25.44,0,0
1628001054,25.44,25.44,25.44,25.44,25.44,0,0
1628001055,25.45,25.45,25.45,25.45,25.45,4,3
1628001056,25.45,25.45,25.45,25.45,25.45,0,0
1628001057,25.45,25.45,25.45,25.45,25.45,0,0
1628001058,25.45,25.45,25.44,25.44,25.443,2,2
1628001059,25.45,25.45,25.44,25.45,25.448,5,1
1628001060,25.45,25.45,25.44,25.45,25.445,7,5
1628001061,25.45,25.45,25.44,25.45,25.445,2,2
1628001062,25.45,25.45,25.44,25.45,25.45,0,0
1628001063,25.45,25.45,25.44,25.45,25.445,11,7
1628001064,25.45,25.45,25.45,25.45,25.45,1,1
1628001065,25.45,25.45,25.45,25.45,25.45,37,12
1628001066,25.45,25.45,25.45,25.45,25.45,0,0
1628001067,25.45,25.45,25.45,25.45,25.45,0,0
1628001068,25.46,25.46,25.45,25.46,25.455,4,4
1628001069,25.45,25.45,25.44,25.44,25.446,45,14
1628001070,25.45,25.45,25.44,25.45,25.446,13,4
1628001071,25.45,25.45,25.44,25.45,25.45,14,8
1628001072,25.45,25.45,25.45,25.45,25.45,3,2
1628001073,25.46,25.46,25.45,25.46,25.455,2,2
1628001074,25.46,25.46,25.45,25.46,25.455,1,1
1628001075,25.46,25.46,25.45,25.46,25.46,0,0
1628001076,25.45,25.46,25.45,25.46,25.451,5,2
1628001077,25.46,25.46,25.45,25.46,25.46,0,0
1628001078,25.46,25.46,25.45,25.46,25.46,0,0
1628001079,25.46,25.46,25.45,25.46,25.455,5,3
1628001080,25.46,25.46,25.45,25.46,25.46,0,0
1628001081,25.45,25.46,25.45,25.46,25.452,12,3
1628001082,25.45,25.45,25.44,25.45,25.449,13,8
1628001083,25.44,25.44,25.44,25.44,25.44,1,1
1628001084,25.45,25.45,25.44,25.44,25.443,2,2
1628001085,25.44,25.44,25.44,25.44,25.44,0,0
1628001086,25.44,25.44,25.44,25.44,25.44,0,0
1628001087,25.44,25.44,25.44,25.44,25.44,99,23
1628001088,25.43,25.43,25.43,25.43,25.43,35,14
1628001089,25.43,25.43,25.42,25.43,25.426,4,4
1628001090,25.43,25.43,25.42,25.43,25.428,2,2
1628001091,25.43,25.43,25.42,25.43,25.425,7,3
1628001092,25.42,25.42,25.42,25.42,25.42,1,1
1628001093,25.42,25.42,25.42,25.42,25.42,1,1
1628001094,25.43,25.44,25.43,25.44,25.431,13,12
1628001095,25.43,25.43,25.43,25.43,25.43,18,7
1628001096,25.43,25.43,25.43,25.43,25.43,14,3
1628001097,25.43,25.43,25.43,25.43,25.43,13,6
1628001098,25.43,25.43,25.43,25.43,25.43,0,0
1628001099,25.43,25.43,25.43,25.43,25.43,0,0
1628001100,25.43,25.43,25.43,25.43,25.43,0,0
1628001101,25.43,25.43,25.43,25.43,25.43,0,0
1628001102,25.43,25.43,25.43,25.43,25.43,0,0
1628001103,25.43,25.43,25.43,25.43,25.43,0,0
1628001104,25.43,25.44,25.43,25.44,25.433,6,2
1628001105,25.44,25.44,25.43,25.43,25.431,12,10
1628001106,25.43,25.43,25.42,25.43,25.429,48,11
1628001107,25.42,25.43,25.42,25.42,25.423,2,1
1628001108,25.42,25.43,25.42,25.43,25.421,13,9
1628001109,25.43,25.43,25.42,25.43,25.43,0,0
1628001110,25.42,25.43,25.42,25.43,25.424,12,3
1628001111,25.43,25.43,25.42,25.43,25.425,4,4
1628001112,25.43,25.43,25.42,25.43,25.428,6,5
1628001113,25.43,25.43,25.42,25.43,25.425,3,3
1628001114,25.43,25.43,25.42,25.43,25.425,10,1
1628001115,25.43,25.43,25.42,25.43,25.43,0,0
1628001116,25.43,25.43,25.43,25.43,25.43,14,7
1628001117,25.44,25.44,25.42,25.43,25.429,7,7
1628001118,25.43,25.43,25.43,25.43,25.43,0,0
