date,open,high,low,close,average,volume,count
1631026800,11.77,11.78,11.77,11.77,11.771,29,3
1631026801,11.75,11.75,11.73,11.73,11.737,147,33
1631026802,11.73,11.75,11.73,11.75,11.745,44,13
1631026803,11.74,11.77,11.74,11.77,11.75,3,3
1631026804,11.74,11.77,11.74,11.75,11.756,20,15
1631026805,11.75,11.75,11.72,11.72,11.735,34,14
1631026806,11.71,11.74,11.71,11.74,11.712,84,7
1631026807,11.75,11.75,11.71,11.72,11.735,10,5
1631026808,11.71,11.72,11.68,11.68,11.699,134,35
1631026809,11.73,11.73,11.71,11.71,11.713,10,4
1631026810,11.7,11.7,11.69,11.69,11.695,4,3
1631026811,11.69,11.69,11.69,11.69,11.69,0,0
1631026812,11.71,11.71,11.7,11.71,11.71,32,3
1631026813,11.71,11.73,11.69,11.73,11.72,58,30
1631026814,11.74,11.74,11.72,11.72,11.736,13,4
1631026815,11.72,11.72,11.7,11.7,11.71,11,9
1631026816,11.71,11.72,11.69,11.69,11.71,25,6
1631026817,11.68,11.69,11.66,11.67,11.68,85,11
1631026818,11.66,11.69,11.66,11.67,11.668,15,9
1631026819,11.69,11.69,11.63,11.64,11.661,131,25
1631026820,11.64,11.66,11.64,11.66,11.649,8,3
1631026821,11.63,11.63,11.63,11.63,11.63,3,1
1631026822,11.64,11.66,11.63,11.66,11.65,42,10
1631026823,11.66,11.67,11.64,11.66,11.659,7,5
1631026824,11.64,11.64,11.64,11.64,11.64,50,1
1631026825,11.64,11.64,11.64,11.64,11.64,0,0
1631026826,11.67,11.69,11.66,11.69,11.68,17,8
1631026827,11.69,11.69,11.64,11.65,11.67,12,6
1631026828,11.68,11.69,11.67,11.69,11.689,31,3
1631026829,11.69,11.69,11.68,11.69,11.69,4,4
1631026830,11.69,11.69,11.68,11.69,11.69,0,0
1631026831,11.68,11.68,11.67,11.68,11.68,2,1
1631026832,11.68,11.7,11.66,11.7,11.685,20,7
1631026833,11.72,11.74,11.7,11.7,11.729,54,10
1631026834,11.7,11.7,11.7,11.7,11.7,1,1
1631026835,11.7,11.72,11.69,11.71,11.703,2,2
1631026836,11.69,11.7,11.69,11.69,11.693,17,11
1631026837,11.7,11.73,11.69,11.7,11.715,33,7
1631026838,11.7,11.71,11.7,11.7,11.7,0,0
1631026839,11.71,11.72,11.71,11.71,11.715,10,1
1631026840,11.7,11.71,11.7,11.7,11.703,2,1
1631026841,11.71,11.71,11.7,11.71,11.703,10,8
1631026842,11.73,11.73,11.73,11.73,11.73,6,2
1631026843,11.73,11.74,11.71,11.71,11.726,21,8
1631026844,11.7,11.71,11.7,11.7,11.7,5,1
1631026845,11.71,11.74,11.71,11.73,11.727,5,3
1631026846,11.71,11.75,11.71,11.74,11.724,3,2
1631026847,11.74,11.75,11.74,11.74,11.74,0,0
1631026848,11.74,11.75,11.74,11.74,11.74,0,0
1631026849,11.73,11.73,11.71,11.71,11.714,13,3
1631026850,11.72,11.72,11.71,11.72,11.716,1,1
1631026851,11.73,11.73,11.72,11.73,11.725,3,1
1631026852,11.73,11.73,11.72,11.73,11.73,0,0
1631026853,11.72,11.73,11.71,11.71,11.712,8,4
1631026854,11.71,11.71,11.71,11.71,11.71,0,0
1631026855,11.71,11.71,11.71,11.71,11.71,0,0
1631026856,11.71,11.71,11.71,11.71,11.71,0,0
1631026857,11.71,11.72,11.71,11.71,11.714,2,1
1631026858,11.71,11.72,11.71,11.71,11.71,0,0
1631026859,11.74,11.74,11.73,11.74,11.739,1,1
1631026860,11.73,11.74,11.73,11.73,11.73,11,7
1631026861,11.73,11.74,11.73,11.73,11.73,0,0
1631026862,11.72,11.72,11.72,11.72,11.72,1,1
1631026863,11.72,11.72,11.72,11.72,11.72,0,0
1631026864,11.72,11.72,11.72,11.72,11.72,0,0
1631026865,11.74,11.74,11.73,11.74,11.739,12,5
1631026866,11.74,11.76,11.72,11.76,11.741,25,12
1631026867,11.74,11.75,11.74,11.74,11.74,4,2
1631026868,11.77,11.77,11.75,11.75,11.762,14,3
1631026869,11.77,11.77,11.77,11.77,11.77,3,1
1631026870,11.77,11.77,11.77,11.77,11.77,0,0
1631026871,11.77,11.77,11.76,11.77,11.77,38,3
1631026872,11.77,11.78,11.76,11.76,11.771,10,5
1631026873,11.77,11.77,11.77,11.77,11.77,23,1
1631026874,11.75,11.76,11.75,11.75,11.752,4,2
1631026875,11.75,11.76,11.75,11.75,11.752,3,1
1631026876,11.75,11.76,11.75,11.75,11.75,0,0
1631026877,11.75,11.76,11.75,11.75,11.755,1,1
1631026878,11.75,11.76,11.75,11.75,11.75,0,0
1631026879,11.76,11.77,11.76,11.76,11.761,2,2
1631026880,11.76,11.77,11.76,11.76,11.76,0,0
1631026881,11.76,11.77,11.76,11.76,11.76,0,0
1631026882,11.76,11.77,11.76,11.76,11.76,0,0
1631026883,11.77,11.77,11.77,11.77,11.77,2,2
1631026884,11.77,11.78,11.77,11.78,11.774,5,2
1631026885,11.78,11.78,11.76,11.77,11.775,59,5
1631026886,11.76,11.77,11.73,11.74,11.746,22,14
1631026887,11.72,11.74,11.72,11.74,11.738,45,2
1631026888,11.72,11.73,11.7,11.72,11.708,71,21
1631026889,11.72,11.72,11.72,11.72,11.72,0,0
1631026890,11.73,11.74,11.73,11.73,11.732,1,1
1631026891,11.73,11.74,11.73,11.73,11.73,0,0
1631026892,11.73,11.74,11.73,11.73,11.73,0,0
1631026893,11.73,11.74,11.73,11.73,11.73,0,0
1631026894,11.75,11.75,11.74,11.74,11.748,4,2
1631026895,11.73,11.74,11.73,11.73,11.73,2,1
1631026896,11.73,11.74,11.73,11.73,11.73,0,0
1631026897,11.73,11.79,11.73,11.79,11.757,20,13
1631026898,11.79,11.79,11.67,11.67,11.689,467,147
1631026899,11.7,11.7,11.67,11.69,11.688,18,3
1631026900,11.69,11.69,11.68,11.69,11.69,0,0
1631026901,11.69,11.7,11.68,11.7,11.699,25,6
1631026902,11.72,11.73,11.69,11.69,11.694,11,2
1631026903,11.71,11.74,11.71,11.73,11.715,4,3
1631026904,11.73,11.74,11.73,11.74,11.739,39,8
1631026905,11.74,11.74,11.74,11.74,11.74,0,0
1631026906,11.75,11.75,11.74,11.75,11.745,1,1
1631026907,11.71,11.72,11.71,11.71,11.713,10,2
1631026908,11.71,11.72,11.71,11.71,11.715,1,1
1631026909,11.71,11.72,11.71,11.71,11.71,0,0
