date,open,high,low,close,average,volume,count
1612800000,33.77,33.81,33.74,33.81,33.785,21,3
1612800001,33.78,33.78,33.74,33.74,33.759,4,2
1612800002,33.74,33.75,33.74,33.74,33.74,0,0
1612800003,33.77,33.81,33.77,33.81,33.797,5,3
1612800004,33.81,33.81,33.81,33.81,33.81,0,0
1612800005,33.81,33.81,33.81,33.81,33.81,0,0
1612800006,33.81,33.81,33.81,33.81,33.81,0,0
1612800007,33.81,33.81,33.81,33.81,33.81,0,0
1612800008,33.81,33.81,33.81,33.81,33.81,0,0
1612800009,33.76,33.77,33.76,33.76,33.765,4,1
1612800010,33.76,33.77,33.76,33.76,33.76,0,0
1612800011,33.8,33.8,33.79,33.8,33.8,2,1
1612800012,33.8,33.8,33.79,33.8,33.8,0,0
1612800013,33.8,33.8,33.79,33.8,33.8,0,0
1612800014,33.73,33.8,33.73,33.8,33.786,50,2
1612800015,33.79,33.8,33.72,33.72,33.735,6,5
1612800016,33.72,33.72,33.72,33.72,33.72,0,0
1612800017,33.72,33.72,33.72,33.72,33.72,0,0
1612800018,33.72,33.8,33.72,33.77,33.733,30,4
1612800019,33.73,33.8,33.72,33.8,33.765,10,6
1612800020,33.8,33.8,33.8,33.8,33.8,0,0
1612800021,33.79,33.8,33.74,33.75,33.773,7,6
1612800022,33.75,33.75,33.74,33.75,33.75,0,0
1612800023,33.75,33.75,33.74,33.75,33.75,0,0
1612800024,33.77,33.78,33.74,33.74,33.746,6,2
1612800025,33.8,33.8,33.74,33.75,33.762,17,3
1612800026,33.74,33.74,33.74,33.74,33.74,1,1
1612800027,33.74,33.74,33.74,33.74,33.74,0,0
1612800028,33.74,33.74,33.74,33.74,33.74,0,0
1612800029,33.74,33.74,33.74,33.74,33.74,0,0
1612800030,33.79,33.79,33.75,33.77,33.767,3,3
1612800031,33.75,33.78,33.75,33.77,33.763,2,2
1612800032,33.75,33.76,33.75,33.75,33.75,2,2
1612800033,33.75,33.76,33.75,33.75,33.75,0,0
1612800034,33.77,33.78,33.76,33.76,33.768,6,3
1612800035,33.76,33.76,33.76,33.76,33.76,0,0
1612800036,33.76,33.76,33.76,33.76,33.76,0,0
1612800037,33.77,33.77,33.77,33.77,33.77,20,1
1612800038,33.8,33.8,33.75,33.76,33.756,13,3
