date,open,high,low,close,average,volume,count
1625126400,28.83,28.83,28.83,28.83,28.83,1,1
1625126405,28.82,28.82,28.82,28.82,28.82,1,1
1625126410,28.82,28.82,28.82,28.82,28.82,0,0
1625126415,28.82,28.82,28.82,28.82,28.82,0,0
1625126420,28.82,28.82,28.82,28.82,28.82,9,5
1625126425,28.82,28.82,28.82,28.82,28.82,0,0
1625126430,28.82,28.82,28.82,28.82,28.82,0,0
1625126435,28.82,28.82,28.82,28.82,28.82,0,0
1625126440,28.82,28.82,28.82,28.82,28.82,0,0
1625126445,28.82,28.82,28.82,28.82,28.82,0,0
1625126450,28.82,28.82,28.82,28.82,28.82,0,0
1625126455,28.82,28.82,28.82,28.82,28.82,0,0
1625126460,28.82,28.82,28.82,28.82,28.82,0,0
1625126465,28.82,28.82,28.82,28.82,28.82,0,0
1625126470,28.8,28.8,28.8,28.8,28.8,18,2
1625126475,28.8,28.8,28.8,28.8,28.8,0,0
1625126480,28.8,28.8,28.8,28.8,28.8,0,0
1625126485,28.8,28.8,28.8,28.8,28.8,0,0
1625126490,28.8,28.8,28.8,28.8,28.8,0,0
1625126495,28.8,28.8,28.8,28.8,28.8,0,0
1625126500,28.8,28.8,28.8,28.8,28.8,0,0
1625126505,28.8,28.8,28.8,28.8,28.8,0,0
1625126510,28.8,28.8,28.8,28.8,28.8,0,0
1625126515,28.8,28.8,28.8,28.8,28.8,0,0
1625126520,28.8,28.8,28.8,28.8,28.8,0,0
1625126525,28.8,28.8,28.8,28.8,28.8,0,0
1625126530,28.8,28.8,28.8,28.8,28.8,0,0
1625126535,28.8,28.8,28.8,28.8,28.8,0,0
1625126540,28.8,28.8,28.8,28.8,28.8,0,0
1625126545,28.74,28.74,28.74,28.74,28.74,4,4
1625126550,28.74,28.74,28.74,28.74,28.74,0,0
1625126555,28.74,28.74,28.74,28.74,28.74,0,0
1625126560,28.74,28.74,28.74,28.74,28.74,1,1
1625126565,28.74,28.74,28.74,28.74,28.74,0,0
1625126570,28.74,28.74,28.74,28.74,28.74,0,0
1625126575,28.74,28.74,28.74,28.74,28.74,0,0
1625126580,28.51,28.51,28.51,28.51,28.51,1,1
1625126585,28.7,28.7,28.7,28.7,28.7,1,1
1625126590,28.7,28.7,28.7,28.7,28.7,0,0
1625126595,28.7,28.7,28.7,28.7,28.7,0,0
1625126600,28.7,28.7,28.7,28.7,28.7,0,0
1625126605,28.7,28.7,28.7,28.7,28.7,0,0
1625126610,28.69,28.69,28.69,28.69,28.69,10,1
1625126615,28.69,28.69,28.69,28.69,28.69,0,0
1625126620,28.69,28.69,28.69,28.69,28.69,0,0
1625126625,28.69,28.69,28.69,28.69,28.69,0,0
1625126630,28.54,28.54,28.53,28.54,28.532,11,3
1625126635,28.54,28.54,28.54,28.54,28.54,0,0
1625126640,28.69,28.69,28.69,28.69,28.69,13,5
1625126645,28.69,28.69,28.69,28.69,28.69,0,0
1625126650,28.69,28.69,28.69,28.69,28.69,0,0
1625126655,28.69,28.69,28.69,28.69,28.69,0,0
1625126660,28.69,28.69,28.69,28.69,28.69,2,1
1625126665,28.69,28.69,28.69,28.69,28.69,0,0
1625126670,28.69,28.69,28.69,28.69,28.69,0,0
1625126675,28.69,28.69,28.69,28.69,28.69,0,0
1625126680,28.69,28.69,28.69,28.69,28.69,0,0
1625126685,28.69,28.69,28.69,28.69,28.69,0,0
1625126690,28.69,28.69,28.69,28.69,28.69,0,0
1625126695,28.69,28.69,28.69,28.69,28.69,0,0
1625126700,28.69,28.69,28.69,28.69,28.69,0,0
1625126705,28.69,28.69,28.69,28.69,28.69,0,0
1625126710,28.69,28.69,28.69,28.69,28.69,0,0
1625126715,28.69,28.69,28.69,28.69,28.69,0,0
1625126720,28.61,28.61,28.61,28.61,28.61,1,1
