date,open,high,low,close,average,volume,count
1631545200,25.32,25.32,25.32,25.32,25.32,1,1
1631545201,25.32,25.33,25.32,25.32,25.321,5,2
1631545202,25.32,25.33,25.32,25.32,25.32,0,0
1631545203,25.33,25.35,25.33,25.34,25.338,9,3
1631545204,25.34,25.35,25.34,25.34,25.34,0,0
1631545205,25.34,25.35,25.32,25.33,25.334,11,5
1631545206,25.33,25.33,25.32,25.33,25.33,0,0
1631545207,25.33,25.33,25.32,25.33,25.33,2,2
1631545208,25.32,25.32,25.32,25.32,25.32,4,3
1631545209,25.32,25.32,25.32,25.32,25.32,6,2
1631545210,25.32,25.32,25.32,25.32,25.32,0,0
1631545211,25.32,25.32,25.32,25.32,25.32,0,0
1631545212,25.33,25.33,25.33,25.33,25.33,7,7
1631545213,25.33,25.34,25.33,25.33,25.33,11,2
1631545214,25.33,25.33,25.33,25.33,25.33,0,0
1631545215,25.33,25.33,25.33,25.33,25.33,0,0
1631545216,25.33,25.33,25.33,25.33,25.33,0,0
1631545217,25.33,25.33,25.33,25.33,25.33,0,0
1631545218,25.33,25.33,25.32,25.33,25.325,1,1
1631545219,25.32,25.32,25.32,25.32,25.32,3,3
1631545220,25.32,25.32,25.32,25.32,25.32,4,3
1631545221,25.32,25.32,25.32,25.32,25.32,0,0
1631545222,25.32,25.32,25.32,25.32,25.32,0,0
1631545223,25.32,25.33,25.3,25.32,25.317,54,43
1631545224,25.32,25.32,25.32,25.32,25.32,0,0
1631545225,25.31,25.31,25.3,25.3,25.304,9,7
1631545226,25.31,25.31,25.3,25.31,25.309,6,6
1631545227,25.3,25.3,25.3,25.3,25.3,4,4
1631545228,25.3,25.31,25.29,25.3,25.3,17,7
1631545229,25.3,25.31,25.3,25.3,25.3,0,0
1631545230,25.3,25.31,25.3,25.3,25.3,0,0
1631545231,25.3,25.31,25.3,25.3,25.3,0,0
1631545232,25.3,25.3,25.29,25.29,25.297,3,3
1631545233,25.29,25.3,25.29,25.29,25.29,0,0
1631545234,25.29,25.3,25.29,25.29,25.29,0,0
1631545235,25.29,25.3,25.29,25.29,25.29,0,0
1631545236,25.29,25.3,25.29,25.29,25.291,1,1
1631545237,25.29,25.3,25.29,25.3,25.295,18,8
1631545238,25.3,25.3,25.3,25.3,25.3,0,0
1631545239,25.3,25.31,25.3,25.3,25.305,1,1
1631545240,25.31,25.31,25.31,25.31,25.31,1,1
1631545241,25.32,25.32,25.31,25.32,25.318,2,2
1631545242,25.32,25.32,25.31,25.32,25.319,2,1
1631545243,25.32,25.32,25.31,25.32,25.32,0,0
1631545244,25.32,25.32,25.31,25.32,25.32,0,0
1631545245,25.32,25.32,25.31,25.32,25.319,4,3
1631545246,25.33,25.33,25.33,25.33,25.33,1,1
1631545247,25.33,25.33,25.33,25.33,25.33,0,0
1631545248,25.34,25.34,25.33,25.34,25.338,1,1
1631545249,25.34,25.34,25.34,25.34,25.34,1,1
1631545250,25.35,25.36,25.34,25.36,25.36,44,4
1631545251,25.36,25.36,25.36,25.36,25.36,1,1
1631545252,25.36,25.36,25.36,25.36,25.36,0,0
1631545253,25.36,25.36,25.35,25.35,25.353,6,2
