date,open,high,low,close,average,volume,count
1630404900,18.22,18.22,18.22,18.22,18.22,1,1
1630405800,18.22,18.22,18.22,18.22,18.22,0,0
1630406700,18.22,18.22,18.22,18.22,18.22,0,0
1630407600,18.03,18.04,18.03,18.04,18.039,10,4
1630408500,18.04,18.04,18.04,18.04,18.04,0,0
1630409400,18.04,18.05,18.04,18.05,18.048,8,4
1630410300,18.05,18.05,18.05,18.05,18.05,0,0
1630411200,18.01,18.01,18.01,18.01,18.01,10,4
1630412100,18.01,18.01,18.01,18.01,18.01,2,2
1630413000,18.01,18.02,18.01,18.01,18.013,36,30
1630413900,18.01,18.01,18.01,18.01,18.01,0,0
1630414800,18.03,18.03,18.03,18.03,18.03,1,1
1630415700,18.03,18.03,18.03,18.03,18.03,0,0
1630416600,18.06,18.31,18.01,18.21,18.17,3051,1462
1630417500,18.21,18.22,17.95,18.01,18.068,834,582
1630418400,18.0,18.13,17.97,18.0,18.007,2954,1963
1630419300,18.0,18.14,17.99,18.02,18.063,883,593
1630420200,18.01,18.19,18.0,18.18,18.101,937,565
1630421100,18.17,18.2,18.12,18.17,18.158,697,391
1630422000,18.17,18.25,18.17,18.18,18.212,554,333
1630422900,18.19,18.29,18.19,18.25,18.25,738,420
1630423800,18.25,18.25,18.16,18.24,18.209,482,309
1630424700,18.25,18.27,18.23,18.26,18.254,341,184
1630425600,18.25,18.27,18.23,18.23,18.251,184,119
1630426500,18.24,18.28,18.23,18.26,18.256,242,157
1630427400,18.27,18.36,18.22,18.32,18.304,743,346
1630428300,18.32,18.33,18.25,18.28,18.291,320,175
1630429200,18.28,18.3,18.26,18.28,18.277,292,116
1630430100,18.28,18.32,18.21,18.32,18.264,797,412
1630431000,18.32,18.33,18.29,18.32,18.311,203,100
1630431900,18.33,18.48,18.32,18.48,18.388,1201,486
1630432800,18.48,18.49,18.4,18.44,18.436,1374,723
1630433700,18.44,18.58,18.44,18.51,18.497,1399,652
1630434600,18.52,18.53,18.48,18.5,18.505,697,450
1630435500,18.51,18.52,18.46,18.5,18.493,676,323
1630436400,18.49,18.58,18.48,18.57,18.548,2220,991
1630437300,18.58,18.62,18.55,18.59,18.59,2187,1188
1630438200,18.59,18.63,18.46,18.59,18.556,5001,2330
1630439100,18.58,18.63,18.51,18.52,18.56,4843,2530
1630440000,18.5,18.52,18.47,18.52,18.516,1201,8
1630440900,18.52,18.52,18.52,18.52,18.52,0,0
1630441800,18.52,18.52,18.52,18.52,18.52,20,1
1630442700,18.52,18.52,18.52,18.52,18.52,0,0
1630443600,18.52,18.52,18.52,18.52,18.52,0,0
1630444500,18.52,18.52,18.52,18.52,18.52,0,0
1630445400,18.52,18.52,18.52,18.52,18.52,0,0
1630446300,18.52,18.52,18.52,18.52,18.52,0,0
1630447200,18.52,18.52,18.52,18.52,18.52,0,0
1630448100,18.52,18.52,18.52,18.52,18.52,0,0
1630449000,18.52,18.52,18.52,18.52,18.52,0,0
1630449900,18.52,18.52,18.52,18.52,18.52,0,0
1630450800,18.54,18.54,18.54,18.54,18.54,1,1
1630451700,18.54,18.54,18.54,18.54,18.54,0,0
1630452600,18.54,18.54,18.54,18.54,18.54,0,0
1630453500,18.54,18.54,18.54,18.54,18.54,0,0
1630485900,18.6,18.65,18.6,18.65,18.629,26,3
1630486800,18.65,18.65,18.65,18.65,18.65,0,0
1630487700,18.65,18.65,18.65,18.65,18.65,0,0
1630488600,18.65,18.65,18.65,18.65,18.65,0,0
1630489500,18.64,18.64,18.62,18.62,18.637,10,2
1630490400,18.62,18.62,18.62,18.62,18.62,0,0
1630491300,18.62,18.62,18.62,18.62,18.62,0,0
1630492200,18.62,18.62,18.62,18.62,18.62,0,0
1630493100,18.62,18.62,18.62,18.62,18.62,0,0
1630494000,18.63,18.64,18.63,18.64,18.638,4,3
1630494900,18.64,18.65,18.64,18.65,18.648,6,2
1630495800,18.68,18.69,18.68,18.68,18.686,4,3
1630496700,18.68,18.68,18.68,18.68,18.68,0,0
1630497600,18.6,18.69,18.56,18.56,18.664,34,4
1630498500,18.56,18.56,18.56,18.56,18.56,0,0
1630499400,18.56,18.56,18.56,18.56,18.56,0,0
1630500300,18.56,18.56,18.56,18.56,18.56,0,0
1630501200,18.61,18.7,18.61,18.7,18.682,32,7
1630502100,18.65,18.7,18.65,18.69,18.686,40,7
1630503000,18.65,18.99,18.56,18.96,18.773,7334,3177
1630503900,18.96,18.97,18.63,18.65,18.783,3987,2277
1630504800,18.66,18.8,18.61,18.67,18.709,2645,1678
1630505700,18.67,18.75,18.65,18.75,18.712,2063,1080
1630506600,18.77,18.83,18.63,18.73,18.743,2674,1371
1630507500,18.73,18.8,18.69,18.76,18.745,1591,853
1630508400,18.77,18.93,18.73,18.85,18.828,2954,1283
1630509300,18.85,19.01,18.81,18.94,18.952,1602,780
1630510200,18.95,18.97,18.85,18.88,18.909,815,472
1630511100,18.88,19.08,18.86,18.97,18.996,2048,926
1630512000,18.96,18.98,18.83,18.87,18.906,2863,1208
1630512900,18.86,18.93,18.83,18.88,18.871,1130,601
1630513800,18.88,18.94,18.83,18.87,18.88,836,493
1630514700,18.87,18.93,18.84,18.91,18.892,853,478
1630515600,18.92,19.01,18.91,19.0,18.955,994,572
1630516500,19.01,19.04,18.96,19.04,19.003,703,416
1630517400,19.05,19.22,19.04,19.12,19.148,2496,1123
1630518300,19.12,19.24,19.11,19.19,19.147,4566,2034
1630519200,19.19,19.24,19.14,19.19,19.19,1679,859
1630520100,19.2,19.2,19.12,19.2,19.158,961,554
1630521000,19.2,19.2,19.06,19.13,19.142,1512,832
1630521900,19.14,19.23,19.11,19.23,19.19,1768,482
1630522800,19.23,19.23,19.13,19.19,19.179,1224,753
1630523700,19.19,19.25,19.1,19.12,19.188,1661,1075
1630524600,19.12,19.19,19.1,19.12,19.146,2469,1582
1630525500,19.11,19.2,19.11,19.17,19.158,6273,3529
1630526400,19.16,19.16,19.16,19.16,19.16,880,6
1630527300,19.16,19.16,19.16,19.16,19.16,0,0
1630528200,19.16,19.16,19.16,19.16,19.16,0,0
1630529100,19.1,19.1,19.1,19.1,19.1,1,1
1630530000,19.1,19.1,19.1,19.1,19.1,0,0
1630530900,19.1,19.1,19.1,19.1,19.1,0,0
