date,open,high,low,close,average,volume,count
1626422400,22.0,22.0,21.89,22.0,21.901,99,6
1626422700,21.97,22.13,21.96,22.13,21.986,25,9
1626423000,22.03,22.11,22.03,22.11,22.057,13,5
1626423300,22.09,22.12,22.09,22.12,22.118,12,2
1626423600,22.13,22.13,22.07,22.1,22.112,54,17
1626423900,22.1,22.1,22.1,22.1,22.1,26,6
1626424200,22.13,22.13,22.13,22.13,22.13,7,3
1626424500,22.1,22.11,22.1,22.1,22.102,18,5
1626424800,22.11,22.17,22.11,22.17,22.122,25,8
1626425100,22.18,22.2,22.18,22.2,22.191,38,7
1626425400,22.2,22.2,22.16,22.16,22.199,44,5
1626425700,22.15,22.24,22.15,22.24,22.195,2,2
1626426000,22.24,22.25,22.24,22.25,22.247,86,15
1626426300,22.25,22.25,22.25,22.25,22.25,30,5
1626426600,22.29,22.3,22.27,22.3,22.291,11,4
1626426900,22.3,22.4,22.3,22.4,22.31,9,4
1626427200,22.27,22.27,22.26,22.27,22.267,19,5
1626427500,22.27,22.27,22.27,22.27,22.27,0,0
1626427800,22.31,22.34,22.31,22.34,22.32,15,6
1626428100,22.37,22.37,22.37,22.37,22.37,1,1
1626428400,22.39,22.4,22.34,22.4,22.393,37,15
1626428700,22.35,22.38,22.34,22.34,22.356,15,8
1626429000,22.34,22.34,22.26,22.29,22.303,16,12
1626429300,22.3,22.37,22.3,22.37,22.353,8,8
1626429600,22.36,22.36,22.36,22.36,22.36,1,1
1626429900,22.32,22.32,22.3,22.3,22.306,5,5
1626430200,22.28,22.3,22.26,22.27,22.282,15,6
1626430500,22.26,22.26,22.26,22.26,22.26,1,1
1626430800,22.26,22.28,22.2,22.28,22.248,18,9
1626431100,22.28,22.28,22.28,22.28,22.28,0,0
1626431400,22.27,22.28,22.27,22.28,22.278,13,4
1626431700,22.29,22.29,22.29,22.29,22.29,6,2
1626432000,22.29,22.29,22.25,22.25,22.252,52,4
1626432300,22.26,22.28,22.26,22.28,22.278,117,16
1626432600,22.28,22.28,22.28,22.28,22.28,0,0
1626432900,22.29,22.3,22.28,22.28,22.29,7,4
1626433200,22.2,22.28,22.16,22.28,22.202,90,33
1626433500,22.25,22.26,22.24,22.24,22.249,17,11
1626433800,22.23,22.23,22.21,22.21,22.217,15,8
1626434100,22.24,22.24,22.24,22.24,22.24,12,4
1626434400,22.23,22.24,22.2,22.2,22.221,47,28
1626434700,22.2,22.24,22.18,22.18,22.213,68,26
1626435000,22.18,22.2,22.17,22.17,22.195,68,14
1626435300,22.18,22.25,22.18,22.19,22.188,160,31
1626435600,22.21,22.23,22.21,22.22,22.217,7,7
1626435900,22.25,22.29,22.25,22.29,22.255,75,34
1626436200,22.3,22.3,22.27,22.27,22.283,87,24
1626436500,22.27,22.28,22.26,22.28,22.271,51,15
1626436800,22.3,22.31,22.17,22.28,22.262,625,73
1626437100,22.26,22.28,22.25,22.26,22.262,60,14
1626437400,22.25,22.26,22.24,22.24,22.252,57,18
1626437700,22.24,22.27,22.24,22.26,22.241,218,28
1626438000,22.26,22.28,22.23,22.27,22.258,23,16
1626438300,22.26,22.29,22.26,22.29,22.285,76,19
1626438600,22.3,22.3,22.25,22.26,22.275,88,28
1626438900,22.27,22.29,22.26,22.27,22.268,62,13
1626439200,22.28,22.29,22.27,22.28,22.277,121,18
1626439500,22.29,22.3,22.27,22.28,22.292,106,24
1626439800,22.28,22.3,22.25,22.27,22.28,223,47
1626440100,22.26,22.3,22.25,22.28,22.282,59,25
1626440400,22.28,22.3,22.25,22.25,22.287,190,52
1626440700,22.27,22.3,22.26,22.29,22.289,124,32
1626441000,22.29,22.29,22.27,22.29,22.277,88,18
1626441300,22.29,22.31,22.27,22.31,22.299,224,46
1626441600,22.3,22.34,22.29,22.34,22.307,146,37
1626441900,22.32,22.35,22.23,22.25,22.282,251,48
1626442200,22.26,22.36,22.04,22.17,22.193,17213,4917
1626442500,22.17,22.25,21.97,22.05,22.07,7880,2490
1626442800,22.04,22.11,21.98,22.08,22.061,5049,1595
1626443100,22.08,22.19,21.93,21.98,22.05,9052,2445
1626443400,21.98,22.11,21.91,22.1,21.996,8818,2597
1626443700,22.11,22.14,21.99,22.06,22.047,7317,1747
