date,open,high,low,close,average,volume,count
1640014200,18.94,18.96,18.94,18.96,18.947,47,18
1640014201,18.95,18.95,18.94,18.94,18.947,36,15
1640014202,18.94,18.94,18.93,18.94,18.94,21,13
1640014203,18.94,18.94,18.92,18.92,18.927,27,20
1640014204,18.91,18.92,18.91,18.92,18.919,19,12
1640014205,18.91,18.92,18.91,18.92,18.919,11,9
1640014206,18.93,18.93,18.92,18.93,18.927,6,5
1640014207,18.93,18.93,18.92,18.93,18.929,19,6
1640014208,18.93,18.94,18.93,18.93,18.933,11,9
1640014209,18.93,18.93,18.93,18.93,18.93,3,2
1640014210,18.93,18.93,18.92,18.93,18.927,77,13
1640014211,18.92,18.92,18.91,18.91,18.918,9,8
1640014212,18.91,18.92,18.91,18.91,18.91,22,6
1640014213,18.9,18.9,18.9,18.9,18.9,16,9
1640014214,18.91,18.91,18.89,18.89,18.9,31,8
1640014215,18.89,18.9,18.89,18.89,18.89,18,8
1640014216,18.89,18.9,18.89,18.89,18.893,13,10
1640014217,18.89,18.89,18.89,18.89,18.89,16,8
1640014218,18.89,18.89,18.88,18.89,18.887,14,10
1640014219,18.89,18.9,18.89,18.89,18.891,5,4
1640014220,18.89,18.9,18.89,18.89,18.89,12,3
1640014221,18.89,18.9,18.89,18.9,18.897,3,3
1640014222,18.89,18.9,18.88,18.88,18.889,111,13
1640014223,18.89,18.9,18.89,18.89,18.891,33,12
1640014224,18.89,18.9,18.89,18.89,18.893,41,2
1640014225,18.9,18.9,18.9,18.9,18.9,28,19
1640014226,18.9,18.91,18.89,18.9,18.891,104,21
1640014227,18.91,18.91,18.9,18.91,18.91,3,2
1640014228,18.91,18.92,18.91,18.92,18.912,9,8
1640014229,18.92,18.92,18.9,18.91,18.903,55,39
1640014230,18.89,18.89,18.89,18.89,18.89,85,26
1640014231,18.89,18.9,18.89,18.89,18.891,8,5
1640014232,18.9,18.9,18.89,18.89,18.894,35,7
1640014233,18.9,18.9,18.88,18.9,18.894,12,9
1640014234,18.9,18.9,18.89,18.89,18.897,25,8
1640014235,18.9,18.9,18.89,18.89,18.899,11,3
1640014236,18.9,18.9,18.9,18.9,18.9,1,1
1640014237,18.9,18.9,18.89,18.89,18.893,4,2
1640014238,18.89,18.9,18.89,18.89,18.891,10,2
1640014239,18.89,18.9,18.89,18.89,18.891,6,2
1640014240,18.9,18.9,18.89,18.9,18.897,5,1
1640014241,18.9,18.9,18.89,18.9,18.9,0,0
1640014242,18.89,18.89,18.88,18.89,18.888,15,11
1640014243,18.89,18.89,18.88,18.89,18.885,1,1
1640014244,18.89,18.89,18.88,18.89,18.888,32,16
1640014245,18.88,18.89,18.88,18.89,18.883,5,5
