date,open,high,low,close,average,volume,count
1640595600,21.19,21.2,20.78,20.8,20.963,508,169
1640596500,20.79,20.79,20.62,20.75,20.712,166,55
1640597400,20.71,20.73,20.65,20.71,20.703,104,29
1640598300,20.71,20.71,20.52,20.57,20.62,213,71
1640599200,20.6,20.62,20.43,20.6,20.514,178,82
1640600100,20.6,20.67,20.52,20.58,20.577,180,64
1640601000,20.58,20.59,20.5,20.5,20.55,73,19
1640601900,20.51,20.59,20.51,20.59,20.56,41,17
1640602800,20.58,20.61,20.58,20.6,20.597,17,11
1640603700,20.6,20.66,20.6,20.63,20.655,84,21
1640604600,20.65,20.65,20.61,20.64,20.641,43,24
1640605500,20.65,20.7,20.62,20.7,20.67,117,24
1640606400,20.65,20.7,20.6,20.65,20.64,403,111
1640607300,20.66,20.75,20.64,20.71,20.695,325,174
1640608200,20.71,20.72,20.65,20.68,20.678,411,126
1640609100,20.66,20.68,20.64,20.65,20.658,148,70
1640610000,20.66,20.75,20.53,20.56,20.635,3064,439
1640610900,20.55,20.64,20.53,20.61,20.579,955,191
1640611800,20.62,20.62,20.6,20.61,20.615,345,73
1640612700,20.63,20.66,20.6,20.6,20.639,488,165
1640613600,20.6,20.6,20.44,20.48,20.51,1997,604
1640614500,20.49,20.52,20.3,20.33,20.398,1816,595
1640615400,20.34,20.61,20.03,20.55,20.26,55923,14704
1640616300,20.55,20.8,20.42,20.55,20.608,33759,9203
1640617200,20.54,20.79,20.43,20.73,20.604,22724,6448
1640618100,20.73,20.86,20.69,20.75,20.772,16604,5135
1640619000,20.76,20.82,20.71,20.8,20.775,10664,3413
1640619900,20.79,21.03,20.79,21.0,20.917,19040,5357
1640620800,21.0,21.08,20.96,21.01,21.012,13019,3754
1640621700,21.01,21.09,20.93,21.05,21.007,12704,3423
1640622600,21.04,21.13,20.99,21.11,21.052,16912,4098
1640623500,21.12,21.12,21.0,21.02,21.052,6048,1859
1640624400,21.02,21.04,20.91,20.96,20.963,10660,2770
1640625300,20.96,20.98,20.85,20.86,20.909,10118,2756
1640626200,20.86,20.88,20.77,20.82,20.822,7830,2197
1640627100,20.82,20.92,20.81,20.91,20.863,5840,1618
1640628000,20.92,20.96,20.86,20.94,20.914,5131,1758
1640628900,20.95,20.98,20.88,20.89,20.935,6774,2085
1640629800,20.89,20.94,20.87,20.89,20.901,6021,1741
1640630700,20.88,20.93,20.86,20.92,20.888,4549,1430
1640631600,20.92,20.92,20.83,20.85,20.873,5109,1750
1640632500,20.84,20.87,20.8,20.86,20.842,6470,1666
1640633400,20.87,20.9,20.85,20.87,20.875,4309,1293
1640634300,20.86,20.89,20.84,20.87,20.867,5000,1687
1640635200,20.88,20.92,20.85,20.91,20.892,5618,1986
1640636100,20.9,20.94,20.88,20.9,20.912,6148,2372
1640637000,20.91,20.94,20.82,20.93,20.872,10337,3202
1640637900,20.93,20.99,20.91,20.95,20.953,21536,6675
1640638800,20.95,20.95,20.9,20.9,20.95,11857,41
1640639700,20.92,20.94,20.92,20.92,20.928,58,15
1640640600,20.93,20.93,20.92,20.93,20.926,13,7
1640641500,20.93,20.96,20.93,20.95,20.942,66,22
1640642400,20.98,21.0,20.96,20.97,20.986,263,38
1640643300,20.99,21.02,20.95,20.95,20.977,441,56
1640644200,20.95,20.99,20.92,20.99,20.949,175,30
1640645100,20.95,20.98,20.92,20.95,20.955,56,16
1640646000,20.98,21.0,20.96,20.96,20.983,90,17
1640646900,20.96,20.96,20.96,20.96,20.96,13,6
1640647800,20.95,20.96,20.95,20.95,20.956,14,8
1640648700,20.95,20.98,20.95,20.95,20.951,137,10
1640649600,20.95,20.98,20.95,20.95,20.951,55,8
1640650500,20.95,20.98,20.95,20.95,20.966,104,11
1640651400,20.95,20.97,20.95,20.97,20.962,14,6
1640652300,20.99,20.99,20.96,20.99,20.967,75,12
1640682000,20.72,20.92,20.72,20.87,20.845,93,38
1640682900,20.86,20.86,20.86,20.86,20.86,1,1
1640683800,20.86,20.9,20.86,20.86,20.873,29,11
1640684700,20.87,20.88,20.84,20.84,20.865,25,8
1640685600,20.84,20.84,20.79,20.79,20.803,25,4
1640686500,20.84,20.84,20.84,20.84,20.84,1,1
1640687400,20.82,20.82,20.81,20.81,20.812,4,4
1640688300,20.85,20.85,20.85,20.85,20.85,1,1
1640689200,20.81,20.85,20.8,20.84,20.809,23,8
1640690100,20.84,20.84,20.84,20.84,20.84,0,0
1640691000,20.83,20.84,20.83,20.83,20.832,16,16
1640691900,20.85,20.85,20.83,20.83,20.837,6,6
1640692800,20.84,20.93,20.45,20.77,20.712,525,144
1640693700,20.76,20.78,20.68,20.77,20.739,163,121
1640694600,20.79,20.81,20.76,20.77,20.792,51,36
1640695500,20.76,20.78,20.76,20.78,20.771,40,32
1640696400,20.75,20.91,20.65,20.77,20.766,1151,164
1640697300,20.77,20.83,20.77,20.82,20.797,269,111
1640698200,20.81,20.86,20.8,20.86,20.837,594,187
1640699100,20.86,20.86,20.65,20.65,20.754,885,338
1640700000,20.65,20.71,20.59,20.61,20.635,961,319
1640700900,20.61,20.73,20.5,20.62,20.604,1797,420
1640701800,20.64,21.57,20.51,21.5,21.176,52806,14921
1640702700,21.49,21.69,21.36,21.6,21.515,29810,9619
1640703600,21.59,21.8,21.56,21.7,21.72,27866,8578
1640704500,21.69,21.77,21.61,21.67,21.69,21004,7061
1640705400,21.67,21.77,21.56,21.6,21.672,16763,5587
1640706300,21.59,21.6,21.39,21.4,21.486,14374,4595
1640707200,21.4,21.41,21.22,21.28,21.308,13916,4107
1640708100,21.27,21.29,21.15,21.26,21.225,11850,3409
1640709000,21.26,21.35,21.23,21.28,21.303,10609,2885
1640709900,21.29,21.38,21.25,21.36,21.316,5749,1853
1640710800,21.36,21.36,21.19,21.21,21.255,7184,2111
1640711700,21.21,21.26,21.13,21.19,21.2,8689,2681
1640712600,21.19,21.23,21.09,21.17,21.158,12573,4215
1640713500,21.16,21.17,21.04,21.09,21.105,11618,3288
1640714400,21.1,21.18,21.07,21.12,21.111,5948,1930
1640715300,21.12,21.15,21.08,21.13,21.121,5193,1695
1640716200,21.12,21.13,21.05,21.09,21.096,6081,2243
1640717100,21.09,21.1,21.02,21.05,21.067,6131,2203
1640718000,21.05,21.06,20.92,20.98,20.971,10356,2901
1640718900,20.98,21.07,20.95,21.0,21.004,8265,2760
1640719800,21.0,21.05,20.97,21.01,21.003,5620,1975
1640720700,21.0,21.02,20.94,20.98,20.975,4358,1686
1640721600,20.98,20.99,20.89,20.94,20.931,7438,2326
1640722500,20.93,21.02,20.89,21.0,20.953,8129,2598
1640723400,21.0,21.09,20.96,20.98,21.024,12421,3828
1640724300,20.97,21.0,20.88,20.91,20.923,24331,6545
1640725200,20.92,20.92,20.88,20.9,20.9,18338,75
1640726100,20.91,20.92,20.89,20.91,20.902,164,46
1640727000,20.95,20.96,20.89,20.89,20.912,38,15
1640727900,20.88,20.91,20.88,20.89,20.899,26,9
1640728800,20.87,20.9,20.87,20.9,20.881,34,8
1640729700,20.87,20.9,20.86,20.88,20.873,55,22
1640730600,20.87,20.89,20.87,20.88,20.871,141,26
1640731500,20.87,20.87,20.79,20.79,20.827,117,37
