date,open,high,low,close,average,volume,count
1655798400,9.7,9.8,9.7,9.8,9.732,21,8
1655798405,9.8,9.8,9.8,9.8,9.8,0,0
1655798410,9.92,9.92,9.92,9.92,9.92,10,4
1655798415,9.92,9.92,9.92,9.92,9.92,1,1
1655798420,9.92,9.92,9.92,9.92,9.92,0,0
1655798425,9.92,9.92,9.92,9.92,9.92,0,0
1655798430,9.92,9.92,9.92,9.92,9.92,0,0
1655798435,9.92,9.92,9.92,9.92,9.92,0,0
1655798440,9.92,9.92,9.92,9.92,9.92,0,0
1655798445,9.92,9.92,9.92,9.92,9.92,0,0
1655798450,9.9,9.91,9.9,9.9,9.909,18,6
1655798455,9.89,9.9,9.88,9.89,9.888,14,8
1655798460,9.89,9.89,9.89,9.89,9.89,3,3
1655798465,9.89,9.89,9.89,9.89,9.89,0,0
1655798470,9.9,9.91,9.9,9.91,9.908,10,2
1655798475,9.89,9.89,9.89,9.89,9.89,45,2
1655798480,9.89,9.89,9.89,9.89,9.89,0,0
1655798485,9.89,9.89,9.89,9.89,9.89,0,0
1655798490,9.89,9.9,9.88,9.9,9.886,6,4
1655798495,9.9,9.9,9.9,9.9,9.9,0,0
1655798500,9.9,9.9,9.9,9.9,9.9,0,0
1655798505,9.9,9.9,9.9,9.9,9.9,0,0
1655798510,9.9,9.91,9.88,9.88,9.9,27,6
1655798515,9.88,9.88,9.88,9.88,9.88,0,0
1655798520,9.9,9.9,9.9,9.9,9.9,1,1
1655798525,9.9,9.9,9.9,9.9,9.9,0,0
1655798530,9.9,9.9,9.9,9.9,9.9,0,0
1655798535,9.89,9.89,9.89,9.89,9.89,1,1
1655798540,9.89,9.89,9.89,9.89,9.89,0,0
1655798545,9.89,9.89,9.89,9.89,9.89,0,0
1655798550,9.89,9.89,9.89,9.89,9.89,9,3
1655798555,9.89,9.89,9.89,9.89,9.89,0,0
1655798560,9.89,9.89,9.89,9.89,9.89,0,0
1655798565,9.9,9.9,9.9,9.9,9.9,4,2
1655798570,9.9,9.9,9.9,9.9,9.9,0,0
1655798575,9.9,9.9,9.9,9.9,9.9,0,0
1655798580,9.91,9.91,9.91,9.91,9.91,11,3
1655798585,9.91,9.92,9.91,9.92,9.914,10,4
1655798590,9.92,9.92,9.92,9.92,9.92,0,0
1655798595,9.92,9.92,9.92,9.92,9.92,0,0
1655798600,9.92,9.92,9.92,9.92,9.92,0,0
1655798605,9.91,9.91,9.91,9.91,9.91,15,4
1655798610,9.92,9.92,9.92,9.92,9.92,4,2
1655798615,9.92,9.92,9.92,9.92,9.92,0,0
1655798620,9.92,9.92,9.92,9.92,9.92,17,3
1655798625,9.92,9.92,9.92,9.92,9.92,0,0
1655798630,9.93,9.93,9.92,9.92,9.928,6,5
1655798635,9.92,9.92,9.92,9.92,9.92,0,0
1655798640,9.92,9.92,9.92,9.92,9.92,0,0
1655798645,9.92,9.92,9.92,9.92,9.92,0,0
